Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Haidong Hao,https://www.crunchbase.com/person/haidong-hao,1,1,"China, Asia",Hao Haidong is a Chinese former international footballer.,Individual/Angel,,1,,,,1,,,,"207,600"
Benjamin Manford,https://www.crunchbase.com/person/benjamin-manford,,,"Ghana, Africa",Benjamin Manford,,,,,,,,,,,"207,601"
David Handmaker,https://www.crunchbase.com/person/david-handmaker,,,"Louisville, Kentucky, United States",David Handmaker is the Owner of Multi Fund management Louisville.,,,,,,,,,,,"207,602"
Gert-Jan van der Wel,https://www.crunchbase.com/person/gert-jan-van-der-wel,,,"Rotterdam, Zuid-Holland, The Netherlands",Gert-Jan van der Wel - CTO and Co-Founder @ Floorplanner,,,,,,,,,,,"207,603"
Vini Letteri,https://www.crunchbase.com/person/vini-letteri,,,,Vini Letteri is a Senior Managing Director at Blackstone Growth.,Investment Partner,,,3,,,,,,,"207,604"
Utsugi Junko,https://www.crunchbase.com/person/utsugi-junko,,,"Tokyo, Tokyo, Japan",Utsugi Junko - Executive Officer @ LastRoots,,,,,,,,,,,"207,605"
Margaret Martonosi,https://www.crunchbase.com/person/margaret-martonosi,,,"New York, New York, United States",Margaret Martonosi is the Hugh Trumbull Adams ’35 professor of computer science at Princeton University. She is also director of Princeton U...,Investment Partner,,,5,,,,,,,"207,606"
Ángeles Ucero Garcia,https://www.crunchbase.com/person/ángeles-ucero-garcia,,,"Barcelona, Catalonia, Spain",Ángeles Ucero Garcia is a Managing Director of The Cellnex Foundation.,Investment Partner,,,5,,,,,,,"207,607"
Victor Yuk,https://www.crunchbase.com/person/victor-yuk-9c58,,,"Singapore, Asia","Victor Yuk is the current Chief Executive Officer of Wizlearn Technologies.He previously worked at AsknLearn as a Vice president, sales and ...",,,,,,,,,,,"207,608"
Tim Sykes,https://www.crunchbase.com/person/tim-sykes,,,,Tim Sykes,Investment Partner,,,1,,,,,,,"207,609"
Michael F. Dale,https://www.crunchbase.com/person/michael-f-dale,,,"West Newton, Massachusetts, United States","Michael joined Eastward in 2004 and is responsible for the financial and accounting operations of the funds, and management company. Prior t...",,,,,,,,,,,"207,612"
Madhusudhan Kela,https://www.crunchbase.com/person/madhusudhan-kela,1,,,Madhusudhan Kela,"Investment Partner, Individual/Angel",,1,1,,,,,,,"207,615"
Jamie Matheson,https://www.crunchbase.com/person/jamie-matheson-b942,1,,,Jamie Matheson,Individual/Angel,,1,,,,,,,,"207,616"
Jorge Chacon,https://www.crunchbase.com/person/jorge-chacon-b1d7,,,"Bogotá, Distrito Especial, Colombia",Jorge Chacon is the Mroject Management Manager of Biosechp. He previously worked as a Sales representative at Dallmeier Electronics as a pro...,,,,,,,,,,,"207,617"
Manu Jans,https://www.crunchbase.com/person/manu-jans,1,,"New York, New York, United States",Manu Jans - CEO @ GreenPulse,Individual/Angel,Seed,1,,,,,,,,"207,619"
Myung Yi,https://www.crunchbase.com/person/myung-yi,,,"Bethesda, Maryland, United States",Myung Yi is the Managing Partner at CapitalView Investment Partners. Myung attended Georgetown University Law Center.,,,,,,,,,,,"207,620"
Chris McKay,https://www.crunchbase.com/person/chris-mckay-fab6,,,,Chris McKay is a Managing Principal of Tengro Ventures.,Investment Partner,,,2,,,,,,,"207,622"
Dana Beckman,https://www.crunchbase.com/person/dana-beckman-1e89,,,,"Dana Beckman, head of sustainability at Bread Financial.",Investment Partner,,,19,,,,,,,"207,621"
Dennis C Bottorff,https://www.crunchbase.com/person/dennis-c-bottorff,,,"Nashville, Tennessee, United States","As a successful financial services CEO, Denny created more than $7 billion in realized shareholder value. During his 32-year career in banki...",Investment Partner,,,2,,,,,,,"207,626"
