Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
New Heritage Investment Limited,https://www.crunchbase.com/organization/new-heritage-investment-limited,1,,"Wan Chai, Hong Kong Island, Hong Kong",We are a Family investment company based in Hong Kong with a development history in China spanning 3 decades and two generations.,"Private Equity Firm, Venture Capital",,1,,,,,,,,"60,005"
High Tide Foundation,https://www.crunchbase.com/organization/high-tide-foundation,2,,"Greenbrae, California, United States","High Tide Foundation is to make a sizable, observable difference in the prevention of climate change.",,,2,,,,,,,,"60,006"
Rahul Taneja,https://www.crunchbase.com/person/rahul-taneja,,,"Delhi, Delhi, India",Rahul Taneja is the current Partner of Lightspeed India Partners. He previously worked at Indospirit Group as a Group President. Rahul Tanej...,Investment Partner,,,4,,,,,,,"60,017"
CCCC Growth Fund,https://www.crunchbase.com/organization/cccc-growth-fund,2,,"South Pasadena, California, United States",CCCC Growth Fund is a private equity firm specializing in growth capital investments.,Private Equity Firm,"Late Stage Venture, Private Equity",2,,,,,,,,"60,018"
Pere Valles,https://www.crunchbase.com/person/pere-valles,3,,"Barcelona, Catalonia, Spain","Pere joined Scytl in March 2004 after spending most of his professional career in the United States.  Prior to joining Scytl, Pere was Vi...",Individual/Angel,Seed,3,,,,,,,,"60,021"
BBRC Private Equity,https://www.crunchbase.com/organization/bbrc-private-equity,1,,"Sydney, New South Wales, Australia","BRC Private Equity serves as the direct investing group within the international holding company, BBRC Worldwide.",Private Equity Firm,Private Equity,1,,1,,,,,,"60,026"
Geige Vandentop,https://www.crunchbase.com/person/geige-vandentop,1,,"United States, North America",Geige Vandentop is the Co-Founder of StreamYard . Geige Vandentop attended the University of Victoria.,Individual/Angel,,1,,,,,,,,"60,028"
Selected Society Group Ventures,https://www.crunchbase.com/organization/selected-society-group-ventures,,,"Gasperich, Luxembourg, Luxembourg",Selected Society Group Ventures is a venture capital investment company.,"Micro VC, Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,,,,,,,"60,036"
We Capital,https://www.crunchbase.com/organization/we-capital,28,2,"Beijing, Beijing, China",We Capital is an investment firm.,Private Equity Firm,,26,,10,,2,,,,"60,037"
IPB Capital,https://www.crunchbase.com/organization/ipb-capital,1,,"Singapore, Central Region, Singapore",IPB Capital is a venture capital firm investing mainly in fintech and blockchain start-ups with unique and disruptive business models.,Venture Capital,"Early Stage Venture, Seed",1,,1,,,,,,"60,038"
American Heritage Chocolate,https://www.crunchbase.com/organization/american-heritage-chocolate,4,,"Mount Vernon, Virginia, United States",American Heritage Chocolate is the result of a unique combination of Mars Wrigley chocolate-making expertise and historical knowledge.,,,4,,,,,,,,"60,040"
Three Leaf Ventures,https://www.crunchbase.com/organization/broe-group,15,2,"Denver, Colorado, United States","Operating within the Broe Group family of companies, Three Leaf Ventures invests and supports early to late stage technology companies.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",10,,2,4,2,,,,"60,042"
Cedric Sellin,https://www.crunchbase.com/person/cedric-sellin,10,1,"Paris, Ile-de-France, France",Cedric Sellin is a President at ByTheTower. He attended Stanford University.,Individual/Angel,Seed,10,,,,1,,,,"60,044"
Altatech,https://www.crunchbase.com/organization/altatech,1,1,"Montbonnot-saint-martin, Rhone-Alpes, France","Altatech Semiconductor manufactures equipment for nanoprinting, CVD, and wafer inspection and analysis.",,,1,,1,,1,,,,"60,047"
Benslie Investment Group,https://www.crunchbase.com/organization/benslie-international-ltd,12,,,Benslie International Ltd,Venture Capital,Venture,8,,4,3,,,,,"60,048"
Tenmou,https://www.crunchbase.com/organization/tenmou,7,,"Droichead Uí Bhriain, Clare, Ireland","Tenmou is Bahrain´s first Business Angels Company, which provides both mentor-ship and capital to high-potential, innovative Bahraini",Angel Group,Seed,5,,3,,,,,,"60,052"
4u-ventures,https://www.crunchbase.com/organization/4u-ventures,2,,"Pfaffstatten, Niederosterreich, Austria",4u-ventures develops financing strategies for technical and economic expertise are provided and networking with the ideal network.,Venture Capital,,2,,,,,,,,"60,053"
Eyugame,https://www.crunchbase.com/organization/eyugame,1,,"Guangzhou, Guangdong, China",Eyugame specializes in developing browser games and mobile games.,,,1,,,,,,,,"60,002"
VORTEXINFO,https://www.crunchbase.com/organization/vortexinfo,1,,"Suzhou, Jiangsu, China",VORTEXINFO is a environmental IT and internet and waste sorting operation service provider company.,,,1,,2,,,,,,"60,003"
Navigator Private Capital,https://www.crunchbase.com/organization/navigator-private-capital-llc,1,,"Annapolis, Maryland, United States","Navigator Private Capital is a real estate lender that provides renovation loans, multi-family loans, rental loans & new construction loans.",,,1,,1,,,,,,"60,004"
