Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
PROOF,https://www.crunchbase.com/organization/new-atlantic-ventures,88,20,"Reston, Virginia, United States","PROOF is a growth-stage VC that invests in breakout companies, in partnership with select early-stage Venture Capital funds.",Venture Capital,Late Stage Venture,59,,19,13,20,,,,"6,008"
Bayern Kapital,https://www.crunchbase.com/organization/bayern-kapital,220,26,"Landshut, Bayern, Germany","Bayern Kapital is a venture capital company that offers finances for R&D, market launch of new products, and product diversification.","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",138,,28,,26,,,,"6,002"
Bold Capital Partners,https://www.crunchbase.com/organization/bold-capital,97,5,"Santa Monica, California, United States","Bold Capital Partners is an early-stage venture capital firm investing in life sciences, healthcare, and frontier tech companies.",Venture Capital,Early Stage Venture,57,,18,21,5,,,,"6,000"
New York State,https://www.crunchbase.com/organization/new-york-state,46,4,"New York, New York, United States","New York State is a diverse agency in state government that works to make New York a more welcoming, equitable, and prosperous place.",Government Office,,46,,36,5,4,,,,"6,002"
Ascletis,https://www.crunchbase.com/organization/ascletis,3,1,"Chapel Hill, North Carolina, United States",Ascletis is a specialty therapeutics company developing therapeutics for the treatment of cancer and infectious diseases.,,,1,,2,,1,,,,"6,003"
Earthrise Energy,https://www.crunchbase.com/organization/earthrise-energy,,,"Arlington, Virginia, United States","Earthrise Energy acquires, develops & operates power generation assets to provide reliable electricity and support decarbonizing the grid.",,,,,,,,,,,"6,004"
Ping Identity,https://www.crunchbase.com/organization/ping-identity-corporation,1,,"Denver, Colorado, United States",Ping Identity provides cloud-based identity management software for companies and government organizations.,,,1,,,1,,,,,"6,019"
Lepi Ventures,https://www.crunchbase.com/organization/lepi-ventures,11,1,"Berlin, Berlin, Germany","Lepi Ventures is a family office investing in Real Estate, funds, scalable ventures as well as service providers & consultancies.","Family Investment Office, Micro VC","Convertible Note, Early Stage Venture, Seed",11,,,,1,,,,"6,005"
TSVC,https://www.crunchbase.com/organization/tsvcap,243,44,"Los Altos, California, United States",TSVC is a venture capital firm that focuses on seed-stage technology startups.,Micro VC,"Early Stage Venture, Seed",205,,14,48,44,,,,"6,020"
BingX,https://www.crunchbase.com/organization/bingx,,,"Sydney, New South Wales, Australia","BingX is a crypto exchange platform that offers spot, derivatives and social crypto trading.",,,,,,,,,,,"6,006"
Opportunity Fund,https://www.crunchbase.com/organization/opportunity-fund,2,1,"San Jose, California, United States",Opportunity Fund's microloan & microsavings programs help working families gain financial stability.,Venture Capital,,2,,1,,1,,,,"6,007"
Laxus Technologies,https://www.crunchbase.com/organization/laxus-technologies,1,,"Tokyo, Tokyo, Japan",Laxus Technologies operates the brand bag rental unlimited subscription app.,,,1,,,,,,,,"6,008"
Blackhorn Ventures,https://www.crunchbase.com/organization/blackhorn-ventures,88,6,"Denver, Colorado, United States",Blackhorn Ventures is an early stage venture firm that invests in companies using cutting edge engineering to improve resource productivity.,Venture Capital,"Early Stage Venture, Seed, Venture",61,,33,10,6,,,,"6,009"
Launch Tennessee,https://www.crunchbase.com/organization/launch-tennessee,142,15,"Nashville, Tennessee, United States",Launch Tennessee is a public-private partnership with a vision to make Tennessee the most startup-friendly state in the nation.,Government Office,"Early Stage Venture, Seed",84,,34,14,15,,,,"6,010"
DrawBridge Lending,https://www.crunchbase.com/organization/drawbridge-lending,,,"Chicago, Illinois, United States",DrawBridge offers a lending loans with no margin calls backed by Bitcoin holdings.,,,,,,,,,,,"6,011"
Upfield,https://www.crunchbase.com/organization/upfield,2,,"Amsterdam, Noord-Holland, The Netherlands",Upfield is the authority in plant-based nutrition and the producer of plant-based spreads globally.,,,2,,1,,,,,,"6,012"
Fred Hutchinson,https://www.crunchbase.com/organization/fred-hutchinson-cancer-research-center,4,,"Seattle, Washington, United States","Fred Hutchinson Cancer Research Center provides services for the prevention, early detection, and treatment of cancer and other diseases.",,,3,,,,,,,,"6,014"
Aleph,https://www.crunchbase.com/organization/aleph-vc,121,10,"Tel Aviv, Tel Aviv, Israel",Aleph is an early-stage VC focused on partnering with Israeli entrepreneurs to build large companies and impactful global brands.,Venture Capital,"Early Stage Venture, Seed",56,,55,11,10,,,,"6,015"
Britbots,https://www.crunchbase.com/organization/high-growth-robotics,30,,"London, England, United Kingdom","Britbots an early-stage venture fund based in London, investing in in robotics, ai and other automative technologies.",Micro VC,,27,,6,,,,,,"6,017"
Main Sequence Ventures,https://www.crunchbase.com/organization/main-sequence-ventures,72,,"Sydney, New South Wales, Australia",Main Sequence Ventures invests in founders creating the next set of global industries leveraging deep tech or frontier technologies.,Venture Capital,"Early Stage Venture, Seed",44,,37,4,,,,,"6,018"
GSK,https://www.crunchbase.com/organization/gsk-venture-fund,15,5,"Kelayres, Pennsylvania, United States",GSK is a science-led global healthcare company that researches and develops a broad range of innovative medicines and brands.,Venture Capital,"Early Stage Venture, Late Stage Venture",12,,2,6,5,,,,"6,019"
VentureCrowd,https://www.crunchbase.com/organization/venturecrowd,3,,"Sydney, New South Wales, Australia","VentureCrowd, an investments crowdfunding platform, provides access to fractional equity and property and credit investment opportunities.",Venture Capital,,3,,1,,,,,,"6,020"
OzoneBio,https://www.crunchbase.com/organization/ozonebio,,,"Calgary, Alberta, Canada",OzoneBio is a cleantech company that focuses on lignocellulosic waste-derived bio-plastics production.,,,,,,,,,,,"6,021"
Morgan State University,https://www.crunchbase.com/organization/morgan-state-university,,,"Baltimore, Maryland, United States","Morgan State University is a historically black college (HBCU) in Baltimore, Maryland, United States.",,,,,,,,,,,"6,037"
Hepmil Group,https://www.crunchbase.com/organization/hepmil-group,1,,"Singapore, Central Region, Singapore",Hepmil Media Group is a humorous content provider.,,,1,,,,,,,,"6,048"
Chase,https://www.crunchbase.com/organization/chase,7,3,"New York, New York, United States",Chase prvoides broad range of financial services.,Government Office,,6,,3,,3,,,,"6,022"
Opportunity Finance Network,https://www.crunchbase.com/organization/opportunity-finance-network,1,,"Philadelphia, Pennsylvania, United States",Opportunity Finance Network is a national network of community development financial institutions (CDFIs).,,,1,,1,,,,,,"6,023"
Bosideng,https://www.crunchbase.com/organization/bosideng,3,,"Central, Hong Kong Island, Hong Kong",Bosideng is a Chinese enterprise that exclusively sells down jackets and products.,,,3,,1,,,,,,"6,024"
The City Bank,https://www.crunchbase.com/organization/the-city-bank,2,,"Dhaka, Dhaka, Bangladesh",The City Bank is a first generation private commercial bank in Bangladesh.,Investment Bank,,2,,,,,,,,"6,026"
Finjan Holdings,https://www.crunchbase.com/organization/finjan,1,1,"New York, New York, United States",Finjan owns and licenses patents on various cybersecurity processes to providers of enterprise-level network security solutions.,,,1,,,,1,,,,"6,052"
Rockies Venture Club,https://www.crunchbase.com/organization/rockies-venture-club,72,7,"Denver, Colorado, United States",Rockies Venture Club is a non-profit organization that encourages economic development by funding entrepreneurial companies.,"Accelerator, Angel Group","Early Stage Venture, Seed, Venture",48,,22,32,7,On-Site,,,"6,028"
Metaps Inc.,https://www.crunchbase.com/organization/metaps,3,,"Tokyo, Tokyo, Japan","Metaps is engaged in three businesses: finance business, marketing business and the DX support business.",,,3,,1,,,,,,"6,030"
CDTI,https://www.crunchbase.com/organization/cdti,32,4,"Ventura, California, United States","CDTi (NASDAQ: CDTI) is a cleantech emissions control company that designs, develops and manufactures sustainable solutions to reduce",Angel Group,"Debt, Grant, Seed",30,,4,,4,,,,"6,049"
GGV Capital,https://www.crunchbase.com/organization/ggv-capital,910,134,"Menlo Park, California, United States",GGV Capital is a global venture capital firm that invests in local founders.,Venture Capital,"Early Stage Venture, Late Stage Venture",526,,335,82,134,,,,"6,031"
TJC,https://www.crunchbase.com/organization/the-jordan-company,11,2,"New York, New York, United States","TJC is a private equity firm that specializes in buying and building companies, most often in partnership with the existing",Private Equity Firm,Private Equity,10,,5,,2,,,,"6,032"
Jerusalem Venture Partners (JVP),https://www.crunchbase.com/organization/jerusalem-venture-partners,241,56,"Jerusalem, Yerushalayim, Israel",Jerusalem Venture Partners (JVP) is a venture capital firm that invests in growth-stage companies.,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity, Seed",118,,95,8,56,,,,"6,049"
Trusted Insight,https://www.crunchbase.com/organization/trusted-insight,3,,"New York, New York, United States","Trusted Insight is an LP network that provides institutional investors with curated news, jobs, rankings, events, and a forum.",,,3,,,1,,,,,"6,033"
Salus Capital Partners,https://www.crunchbase.com/organization/salus-capital-partners,31,15,"Needham Heights, Massachusetts, United States",Salus Capital provides secured asset-based loans to middle-market companies across a variety of industries.,Private Equity Firm,Debt,31,,26,2,15,,,,"6,034"
