Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Chad Burgess,https://www.crunchbase.com/person/chad-burgess-2,,,"New York, New York, United States",Chad Burgess,Investment Partner,,,65,,,,,,,"132,601"
Yellow Financial Group,https://www.crunchbase.com/organization/yellow-financial-group,1,,,Yellow Financial Group,,,1,,,,,,,,"132,608"
Shanghai Zhurui Capital,https://www.crunchbase.com/organization/shanghai-zhurui-capital,1,,,Shanghai Zhurui Capital is an investment firm.,,,1,,1,,,,,,"132,615"
Lex Liao,https://www.crunchbase.com/person/lex-liao,2,1,"Seattle, Washington, United States",Lex Liao,Individual/Angel,Seed,2,,,,1,,,,"132,617"
Jeffrey Solomon,https://www.crunchbase.com/person/jeffrey-d-solomon,,,"New York, New York, United States",Jeffrey Solomon currently works as the Founding partner for Strike Capital. He previously worked at Kirkwood Capital Partners as the Managin...,,,,,,,,,,,"132,630"
Pamela Hillman,https://www.crunchbase.com/person/pam-strisofsky,,,"San Francisco, California, United States","Pam is an experienced business operator with more than 24 years of experience. Most recently, Pam served as Managing Director and COO of End...",,,,,,,,,,,"132,634"
Staufen.Digital Invest GmbH,https://www.crunchbase.com/organization/staufen-digital-invest-gmbh,1,,"Stuttgart, Baden-Wurttemberg, Germany","Be­ra­tung und Qua­li­fi­zie­rung im Zu­sam­men­hang mit dem Thema ""In­dus­trie 4.0 und Di­gi­ta­li­sie­rung.",,,1,,,,,,,,"132,648"
Tongjian Tailite,https://www.crunchbase.com/organization/tongjian-tailite,1,,"Beijing, Beijing, China","Tongjian Tailite is a company engaged in technology development, technical services and others.",,,1,,,,,,,,"132,650"
Ciaran Small,https://www.crunchbase.com/person/ciaran-small,,,"New York, New York, United States","Ciaran Small - SVP, Credit and Portfolio Sr. Risk Manager @ Citi",,,,,,,,,,,"132,656"
Mike Figge,https://www.crunchbase.com/person/mike-figge,1,,,Mike Figge - EVP Enterprise Strategy @ WEconnect Health Management,Individual/Angel,Seed,1,,,1,,,,,"132,661"
Apple Funds,https://www.crunchbase.com/organization/beijing-apple-funds-investment,8,1,"Beijing, Beijing, China",Apple Funds is focused on early-stage investments in network security.,Venture Capital,Early Stage Venture,6,,3,,1,,,,"132,662"
