Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Mangold,https://www.crunchbase.com/organization/mangold,2,,,Investment Comapny,Venture Capital,,1,,2,,,,,,"84,001"
B8 Ventures,https://www.crunchbase.com/organization/b8-ventures,1,,"Innisfail, Alberta, Canada",B8 Ventures is a distributor of the renowned Ecoraster® permeable paving system.,Venture Capital,,1,,,,,,,,"84,006"
AGEN PIALA EURO 2024,https://www.crunchbase.com/person/agen-piala-euro-di-indonesia,,,,Agen Taruhan Piala Euro 2024 Yang Sudah Rrsmi Dan Terpeercaya Di Indonesia.,,Debt,,,,,,,,,"84,018"
Equilateral Ventures,https://www.crunchbase.com/organization/global-health-social-innovation-capital-partners,1,,"Stamford, Connecticut, United States","Equilateral Ventures is a Global Health Impact Fund focused on seed stage investments that promote Healthy People, Planet, and Profits.",Venture Capital,Seed,1,,,1,,,,,"84,023"
St. Louis Equity Fund,https://www.crunchbase.com/organization/st-louis-equity-fund,,,"St Louis, Missouri, United States",St. Louis Equity Fund utilizes corporate investment and available tax incentives to stimulate the development of affordable housing units.,Private Equity Firm,,,,,,,,,,"84,039"
Peter Sterling,https://www.crunchbase.com/person/peter-sterling,,,,Mr. Peter Sterling serves as Chief Financial Officer and Vice President at Sid R. Bass Associates LP.  Mr. Sterling has been Vice Preside...,,,,,,,,,,,"84,043"
Companhia de Estágios,https://www.crunchbase.com/organization/companhia-de-estágios,1,,"São Paulo, Sao Paulo, Brazil",Companhia de Estágios provides staffing and recruiting services.,,,1,,,,,,,,"84,045"
Codex Capital Partners,https://www.crunchbase.com/organization/codex-capital-partners,3,,"London, England, United Kingdom",Provides direct investment and advisory services,"Investment Bank, Private Equity Firm",Private Equity,2,,2,,,,,,"84,046"
Charles Songhurst,https://www.crunchbase.com/person/charles-songhurst-da0f,5,,,Charles Songhurst,Individual/Angel,,5,,,,,,,,"84,049"
Valery Krasovsky,https://www.crunchbase.com/person/vladimir-beck,,,"Kharkivs'ka Oblast', Ukraine, Europe",Valery Krasovsky is the CEO/Co-Founder of Sigma Software Group. Valery attended Kharkiv Aviation Institute.,,,,,,,,,,,"84,057"
Rajiv Kapoor,https://www.crunchbase.com/person/rajiv-kapoor-9cd2,3,,,Rajiv Kapoor (East coast investor),Individual/Angel,,3,,,,,,,,"84,067"
Anna X. Wang,https://www.crunchbase.com/person/anna-x-wang,2,,"San Francisco Bay Area, California, United States",Anna X. Wang is the Co-Founder and CTO of Searchlight. She is a former course assistant at Stanford University. Anna holds a master's degree...,Individual/Angel,,2,,,,,,,,"84,000"
"Ninebird Properties, LLC",https://www.crunchbase.com/organization/properties,,,"Plano, Texas, United States",We Buy Houses for Cash. Sell your House Fast to the #1 Cash House Buyer in Dallas-Fort Worth. We Pay Cash for Homes in Any Condition.,Private Equity Firm,,,,,,,,,,"84,001"
Puncak Geliga Capital,https://www.crunchbase.com/organization/puncak-geliga-capital,1,,"Petaling, Kuala Lumpur, Malaysia",Puncak Geliga Capital is an angel investment company.,Angel Group,Seed,1,,,,,,,,"84,002"
Thomas Jones,https://www.crunchbase.com/person/thomas-w-jones,,,,"Jones assumed his position as Senior Partner of TWJ Capital LLC, an investment company, in May 2005. From August 1999 to October 2004, he he...",,,,,,,,,,,"84,003"
Vikram Chachra,https://www.crunchbase.com/person/vikram-chachra,7,4,"Mumbai, Maharashtra, India",Vikram Chachra is the Founding Partner at 8i Ventures.,"Investment Partner, Individual/Angel",Seed,6,8,1,,4,,,,"84,004"
NSG Capital,https://www.crunchbase.com/organization/nsg-capital,,,"Rio De Janeiro, Rio de Janeiro, Brazil",NSG Capital is a private equity firm.,Private Equity Firm,,,,,,,,,,"84,005"
Will Wells,https://www.crunchbase.com/person/will-wells,,,"London, England, United Kingdom","Will founded Hummingbird Technologies in January 2016, where the business spent its first year developing Machine Learning algorithms at the...",Investment Partner,,,1,,,,,,,"84,006"
Fabian Estrada,https://www.crunchbase.com/person/fabian-siegel,1,,"New York, New York, United States",Fabian Siegel is the Founder & CEO of Dinnerly & he attended The University of Bonn in 1995.,"Investment Partner, Individual/Angel",,1,1,,,,,,,"84,009"
Simon Jones,https://www.crunchbase.com/person/simon-jones-12e9,1,,"London, England, United Kingdom",Simon Jones is the Co-Founder and CEO of Voltz Labs He attended Stanford University Graduate School of Business.,Individual/Angel,,1,,,,,,,,"84,040"
Golden Field Fund,https://www.crunchbase.com/organization/golden-field-fund,1,,"Shenzhen, Guangdong, China","Golden Field Fund is an investment firm that provides asset management, investment management and consulting service.",Private Equity Firm,,1,,,,,,,,"84,011"
Moon-Suk Oh,https://www.crunchbase.com/person/moon-suk-oh,,,"South Korea, Asia",Moon-Suk Oh is a Partner at Altos Ventures. He attended Brown University.,Investment Partner,,,7,,,,,,,"84,012"
Keith Getchell,https://www.crunchbase.com/person/keith-getchell,,,"United States, North America",Keith Getchell is a growth leader and angel investor who leverages a natural ability to connect people to create revenue growth opportunitie...,,"Early Stage Venture, Late Stage Venture, Seed",,,,,,,,,"84,014"
Chok Ooi,https://www.crunchbase.com/person/chok-ooi,,,"New York, New York, United States",Board Member of Concourse Global. Co-Founder and CEO at Kenzie Academy.,,,,,,,,,,,"84,016"
