Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Marcos de Moraes,https://www.crunchbase.com/person/marcos-de-moraes,1,,"São Paulo, Sao Paulo, Brazil",Marcos is a serial entrepreneur leading disruptive companies in the Brazilian innovation ecosystem for over 30 years.  Marcos began his jou...,Individual/Angel,,1,,1,,,,,,"48,001"
Cramer Rosenthal McGlynn LLC.,https://www.crunchbase.com/organization/cramer-rosenthal-mcglynn-llc,1,,"Providence, Rhode Island, United States","Cramer Rosenthal McGlynn LLC. is a financial company focusing on equity management for corporations, institutions, and pension funds.",,,1,,,,,,,,"48,004"
KINOKUNIYA,https://www.crunchbase.com/organization/kinokuniya,1,,"Tokyo, Tokyo, Japan",KINOKUNIYA is an e-commerce platform for the sales of books and magazines.,,,1,,1,,,,,,"48,007"
Nike Valiant Labs,https://www.crunchbase.com/organization/nike-valiant-labs,,,"Portland, Oregon, United States","Nike Valiant Labs is a new internal incubation arm of Nike, focused on building businesses that serve consumers in new and unimagined ways.",Incubator,Early Stage Venture,,,,,,,,,"48,010"
Singapore Deep-Tech Alliance,https://www.crunchbase.com/organization/singapore-deep-tech-alliance,,,"Singapore, Central Region, Singapore","Singapore Deep-Tech Alliance accelerates sustainable changes by empowering founders to build, validate, and scale deep-tech startups.",Venture Capital,"Early Stage Venture, Seed",,,,,,,,,"48,011"
Paolo Tiramani,https://www.crunchbase.com/person/paolo-tiramani,,,"New York, United States, North America",Paolo Tiramani - Founder @ Boxabl,,,,,,,,,,,"48,020"
Cato BioVentures,https://www.crunchbase.com/organization/cato-bioventures,1,,"Durham, North Carolina, United States","Cato BioVentures is the venture capital affiliate of Cato Research Ltd., a global contract research and development organization (CRO).",Venture Capital,Seed,1,,,,,,,,"48,026"
CellPay,https://www.crunchbase.com/organization/cellpay-corporation,1,,"Miami, Florida, United States",CellPay is a fintech company that develops and provides mobile payment solutions.,Angel Group,,1,,1,,,,,,"48,030"
Globaltronics,https://www.crunchbase.com/organization/globaltronics,2,,"Manila, Manila, Philippines",Globaltronics is LED display systems and digital out of home (DOOH) advertising company.,,,2,,1,,,,,,"48,031"
NEXT Upstate,https://www.crunchbase.com/organization/next-upstate,1,,"Greenville, South Carolina, United States","NEXT is a entrepreneurial support organization that attracts & helps grow high-impact, knowledge-based companies in Greenville, SC.",Venture Capital,,1,,1,,,,,,"48,034"
Spielmann Capital,https://www.crunchbase.com/organization/spielmann-capital,1,,"London, England, United Kingdom",Spielmann Capital an investment firm and the family office of the Spielmann family.,"Angel Group, Family Investment Office, Syndicate, Venture Capital","Convertible Note, Early Stage Venture, Seed",1,,,,,,,,"48,038"
Roger Egan III,https://www.crunchbase.com/person/roger-e-egan,5,1,"Barcelona, Catalonia, Spain",Roger Egan III - CEO @ RedMart,Individual/Angel,Seed,5,,,,1,,,,"48,000"
Pacific Castle,https://www.crunchbase.com/organization/pacific-castle,,,"Irvine, California, United States",Pacific Castle is a real estate investment firm specializing in acquiring of property management.,Private Equity Firm,,,,,,,,,,"48,001"
DICO,https://www.crunchbase.com/organization/dico,6,1,"Hørsholm, Hovedstaden, Denmark",Focusing on ICT ventures with a strong growth potential,Venture Capital,,4,,1,,1,,,,"48,002"
Go Code Colorado,https://www.crunchbase.com/organization/go-code-colorado,,,"Denver, Colorado, United States","Go Code Colorado, an application challenge, makes public data more accessible by bringing together the development and business communities.",Startup Competition,,,,,,,,,,"48,003"
Apogee Venture Group,https://www.crunchbase.com/organization/apogee-venture-group,1,1,"Burlingame, California, United States",Apogee Venture Group is a company that provides business development services.,Venture Capital,Venture,1,,1,,1,,,,"48,040"
Joel Marcus,https://www.crunchbase.com/person/joel-marcus,,,"Pasadena, California, United States","Joel Marcus is the Executive Chairman of the Board of Directors and Founder of Alexandria Real Estate Equities, Inc. (NYSE:ARE), an urban of...",Investment Partner,,,6,,,,,,,"48,041"
DERTOUR,https://www.crunchbase.com/organization/dertour,1,1,"Frankfurt, Hessen, Germany",DERTOUR is provides tour operator services.,,,1,,1,,1,,,,"48,042"
Jona Capital,https://www.crunchbase.com/organization/jona-capital,1,,"Toronto, Ontario, Canada",Jona Capital is a single-family investment firm.,Family Investment Office,,1,,,,,,,,"48,005"
Grizzly Capital,https://www.crunchbase.com/organization/grizzly-capital,4,,"Amsterdam, Noord-Holland, The Netherlands",Grizzly Capital is a Saas company that provides services in the field of crypto space.,Venture Capital,,4,,1,,,,,,"48,031"
Nick Brown,https://www.crunchbase.com/person/nick-brown-b69e,1,,"New York, New York, United States",Nicholas Brown is a managing partner at Imaginary.,"Investment Partner, Individual/Angel",,1,12,,1,,,,,"48,048"
Benjamin Jones,https://www.crunchbase.com/person/ben-jones-7,1,,"Berlin, Berlin, Germany",Benjamin Jones is the Founder and Coach of OutStride. He previously worked at Bitwala as a Co-Founder and chairman. Benjamin Jones attended ...,Individual/Angel,,1,,1,,,,,,"48,050"
Banner Oak Capital Partners,https://www.crunchbase.com/organization/banner-oak-capital-partners,,,"Dallas, Texas, United States",A fully integrated real estate investment management firm.,Private Equity Firm,,,,,,,,,,"48,007"
Enersense,https://www.crunchbase.com/organization/enersense,1,,"Pori, Western Finland, Finland",Enersense is a global resource management company.,,,1,,,,,,,,"48,052"
Uni-President Asset Holdings,https://www.crunchbase.com/organization/uni-president-asset-holdings,2,,,Uni-President Asset Holdings,,,2,,,,,,,,"48,008"
Telor International,https://www.crunchbase.com/organization/telor-international,7,,"Douglas, Victoria, Australia",Telor International,,,3,,2,,,,,,"48,009"
Creative England,https://www.crunchbase.com/organization/creative-england,25,,"Bristol, Bristol, City of, United Kingdom","Creative England is a national agency that invests in and supports creative ideas, talent and businesses in film, TV, games and digital.","Entrepreneurship Program, Venture Capital",Seed,24,,3,,,,,,"48,010"
KVLR Capital,https://www.crunchbase.com/organization/kvlr-capital,,,"New York, New York, United States","KVLR partners with healthcare executives, medical groups, and SaaS platforms to enhance value & positive impact.",Private Equity Firm,,,,,,,,,,"48,011"
Jefferson Capital,https://www.crunchbase.com/organization/jefferson-capital-ltd,2,,"London, England, United Kingdom",Jefferson Capital provides a large scope of investment solutions to professional and institutional investors.,"Private Equity Firm, Venture Capital","Private Equity, Venture",1,,2,,,,,,"48,056"
TTB Partners,https://www.crunchbase.com/organization/ttb-partners,3,1,"Central, Hong Kong Island, Hong Kong","TTB Partners is a firm specialising in corporate finance and advisory, wealth solutions and direct investments.",Private Equity Firm,Private Equity,3,,2,1,1,,,,"48,055"
Massachusetts Department of Housing and Community Development,https://www.crunchbase.com/organization/massachusetts-department-of-housing-and-community-development,1,,"Boston, Massachusetts, United States","MADHCD provides affordable housing options, financial assistance, and other support to Massachusetts communities.",,,1,,1,,,,,,"48,013"
Magic Hour,https://www.crunchbase.com/organization/magic-hour,1,,"New York, New York, United States",Magic Hour is a Early Stage Venture Fund.,Venture Capital,Early Stage Venture,1,,,1,,,,,"48,014"
Varga Capital,https://www.crunchbase.com/organization/varga-capital,1,1,"Hong Kong, Hong Kong Island, Hong Kong",Varga Capital is an investment firm,Venture Capital,,1,,1,,1,,,,"48,016"
Martin Schrimpff,https://www.crunchbase.com/person/martin-schrimpff-6720,8,2,"Mexico City, Distrito Federal, Mexico",Martin currently works as the co-founder and CEO of Kocomo. He used to worked for PayU as founder and head of global sales.,Individual/Angel,,8,,,,2,,,,"48,058"
Lisa Lambert,https://www.crunchbase.com/person/lisa-lambert,,,"Santa Clara, California, United States","Lisa Lambert is a Managing Partner at the Westly Group responsible for investments in software, IOT, and the internet. Prior to joining the ...",Investment Partner,,,36,,,,,,,"48,018"
The Foundation for Prader-Willi Research,https://www.crunchbase.com/organization/the-foundation-for-prader-willi-research,5,1,"Walnut, California, United States",The Foundation for Prader-Willi Research is a nonprofit corporation with federal tax exempt status as a public charity.,,,5,,1,1,1,,,,"48,019"
Gardiner Garrard,https://www.crunchbase.com/person/gardiner-w-garrard-iii,,,"Atlanta, Georgia, United States",Gardiner Garrard is the Co-Founder and Managing Partner at TTV Capital.,Investment Partner,,,29,,,,,,,"48,021"
Salamanca Group,https://www.crunchbase.com/organization/salamanca-group,1,,"London, England, United Kingdom",Salamanca Group is a boutique investment and advisory business based on traditional Merchant Banking practices and values.,,,1,,1,,,,,,"48,023"
Ralph Ho,https://www.crunchbase.com/person/ralph-ho,1,,"San Francisco, California, United States",Angel Investor and Start up Advisor,Individual/Angel,,1,,,,,,,,"48,024"
