Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
CoVentureCap,https://www.crunchbase.com/organization/coventurecap,,,"San Francisco, California, United States",CoVentureCap is a virtual venture accelerator that focuses on tech-enabled businesses.,,,,,,,,,,,"147,604"
Hansjorg Sage,https://www.crunchbase.com/person/hansjorg-sage,,,"Munich, Bayern, Germany",Hansjorg Sage is the Managing Partner at LeadX Capital Partners. Hansjorg attended INSEAD.,Investment Partner,,,1,,,,,,,"147,609"
Shanghai Zhangjiang S&T Venture Capital,https://www.crunchbase.com/organization/shanghai-zhangjiang-s-t-venture-capital,1,,"Shanghai, Shanghai, China",Shanghai Zhangjiang S&T Venture Capital  is a venture capital firm.,,,1,,,,,,,,"147,617"
Jenny Johnson,https://www.crunchbase.com/person/jenny-johnson-87bd,,,"Burlingame, California, United States","President and CEO at Franklin Resources, Inc. also known as Franklin Templeton. She previously worked at Franklin Resources known as Frankli...",Investment Partner,,,2,,,,,,,"147,624"
Lawrence Jackson,https://www.crunchbase.com/person/lawrence-jackson,3,,"Nashville, Tennessee, United States",Lawrence Jackson is currently a senior advisor at New Mountain Capital. Jackson has more than 30 years of experience with several leading...,Individual/Angel,Seed,1,,,,,,,,"147,627"
Giovanni Strocchi,https://www.crunchbase.com/person/giovanni-strocchi,,,"Milan, Lombardia, Italy",Giovanni Strocchi is the Co-founder and Venture Partner of BlackSheep Ventures.,Investment Partner,,,4,,,,,,,"147,630"
Pilgrim Baxter Hybrid Partners,https://www.crunchbase.com/organization/pilgrim-baxter-hybrid-partners,5,2,"Berwyn, Pennsylvania, United States",Pilgrim Baxter Hybrid Partners is based in Delaware.,,,4,,,,2,,,,"147,629"
Frank VanderSloot,https://www.crunchbase.com/person/frank-vandersloot,,,"Idaho Falls, Idaho, United States",Frank VanderSloot joined Melaleuca as CEO& Founder And he attended Brigham Young University in 1970.,,,,,,,,,,,"147,601"
Hippo Seeds,https://www.crunchbase.com/organization/hippo-seeds,,,"Athens, Attiki, Greece",Pre-Seed Investments and Advisory Firm,"Micro VC, Venture Capital",Early Stage Venture,,,,,,,,,"147,600"
Saeed Ali Khalfan Al Dhaheri,https://www.crunchbase.com/person/saeed-ali-khalfan-al-dhaheri,,,"United Arab Emirates, Asia","Saeed Ali Khalfan Al Dhaheri, is Director of Investments at Ali & Sons Holding LLC. His current role at Ali & Sons Holding includes active m...",,,,,,,,,,,"147,602"
Damian Wilmot,https://www.crunchbase.com/person/damian-wilmot,1,,"Boston, Massachusetts, United States","Mr. Wilmot is the Senior Vice President, Chief Risk and Compliance Officer at Vertex.  He is responsible for leading the company’s Global Co...",Individual/Angel,,1,,,,,,,,"147,603"
Mark Bradshaw,https://www.crunchbase.com/person/mark-bradshaw-3,,,"Cape Town, NA - South Africa, South Africa",Mark is CEO and founder of SnapnSave – SA’s # cash back coupon app that gives shoppers cash back wherever they shop just by snapping their t...,,,,,,,,,,,"147,605"
Roger Lin,https://www.crunchbase.com/person/roger-lin,,,,Roger Lin,,,,,,,,,,,"147,606"
Yaron Cohen,https://www.crunchbase.com/person/yaron-cohen-5,,,"Nairobi, Nairobi Area, Kenya",Yaron Cohen - Co-Founder @ Viktoria Ventures,,,,,,,,,,,"147,643"
Ron Stolero,https://www.crunchbase.com/person/ron-stolero,1,,"Stockholm, Stockholms Lan, Sweden",Ron Stolero,Individual/Angel,,1,,,,,,,,"147,607"
Seqvel,https://www.crunchbase.com/organization/seqvel,1,,"Minato, Chiba, Japan","Seqvel is operated by members with backgrounds such as general business companies, banks, and accounting offices.",,,1,,,,,,,,"147,647"
Gabriel Khodzitski,https://www.crunchbase.com/person/gabriel-khodzitski,,,"Berlin, Berlin, Germany",Habitual Entrepreneur and Investor in the real estate and gaming industry.,,Early Stage Venture,,,,,,,,,"147,608"
Abdelmounaim Derraz,https://www.crunchbase.com/person/abdelmounaim-derraz,1,,,Abdelmounaim Derraz is a founder of Nebulae.,Individual/Angel,,1,,,,,,,,"147,609"
Jon Phillips,https://www.crunchbase.com/person/jon-phillips-78e3,,,"Elmhurst, Illinois, United States",Jon Phillips is a Managing Director and Head of Private Equity for First Trust Capital Partners.,Investment Partner,,,5,,,,,,,"147,610"
Hock Seng Khor,https://www.crunchbase.com/person/hock-seng-khor,,,"Singapore, Asia",Hock Seng Khor is the Group CEO of Great Eastern Holdings.,Investment Partner,,,1,,,,,,,"147,611"
Austin Kirk,https://www.crunchbase.com/person/austin-kirk,1,,"Baltimore, Maryland, United States",Austin Kirk,Individual/Angel,Seed,1,,,,,,,,"147,650"
John Beaird,https://www.crunchbase.com/person/john-beaird,1,,"Shreveport, Louisiana, United States","Mr. Beaird manages diverse investments in real estate, private equity and other alternative assets for his family and their private foundati...",Individual/Angel,Seed,1,,1,,,,,,"147,652"
Jordi Miro Bruix,https://www.crunchbase.com/person/jordi-miro-bruiz,3,1,"Barcelona, Catalonia, Spain",Jordi Miro Bruix is the CTO at The Hotels Network. Jordi also serves Teltoo as an advisory board member.,Individual/Angel,,2,,,,1,,,,"147,612"
Fushang Guquan,https://www.crunchbase.com/organization/fushang-guquan,1,,"Chongqing Shi, Chongqing, China",Fushang Guquan is an investment firm that provides investment management and consulting services.,,,1,,,,,,,,"147,654"
XCO Capital,https://www.crunchbase.com/organization/xco-capital,,,,XCO Capital is a venture and growth capital firm with a passion for people and ideas.,Venture Capital,,,,,,,,,,"147,613"
Wuhan Jiangxia Technology Investment,https://www.crunchbase.com/organization/wuhan-jiangxia-technology-investment,1,,,Wuhan Jiangxia Technology Investment,,,1,,,,,,,,"147,614"
Travis Keeney,https://www.crunchbase.com/person/travis-keeney,,,"San Francisco Bay Area, California, United States",Travis Keeney,,Seed,,,,,,,,,"147,615"
Franco Gonella,https://www.crunchbase.com/person/franco-gonella,,,"Milan, Lombardia, Italy",Franco Gonella - Partner @ Primo Ventures,Investment Partner,,,1,,,,,,,"147,616"
Don Richman,https://www.crunchbase.com/person/don-richman-bcbd,,,"Chicago, Illinois, United States",Don Richman is a Managing Director at Victory Park Capital Advisors.,Investment Partner,,,4,,,,,,,"147,618"
Shella Tamara,https://www.crunchbase.com/person/shella-tamara,,,"Indonesia, Asia",WIN79 merupakan situs judi online gacor terpercaya yang menjediakan provider terbaik gampang menang dengan rtp live akurat terupdate.,,,,,,,,,,,"147,657"
Ronald Meersschaert,https://www.crunchbase.com/person/ronald-meersschaert,,,"Oisterwijk, Noord-Brabant, The Netherlands",Ronald Meersschaert is a managing Partner of DeepTechXL.,Investment Partner,,,1,,,,,,,"147,620"
Simon Bichara,https://www.crunchbase.com/person/simon-bichara,2,1,"London, England, United Kingdom",Simon Bichara,Individual/Angel,Seed,2,,,,1,,,,"147,621"
Gianfranco Filice,https://www.crunchbase.com/person/gianfranco-filice-531a,,,"San Francisco, California, United States",Early Stage Technology Investor. Gianfranco Filice is the Venture Partner at OVO Fund . Gianfranco Filice attended Stanford University.,Investment Partner,,,1,,,,,,,"147,661"
Maxence Lerigner,https://www.crunchbase.com/person/maxence-lerigner,1,,"Cupertino, California, United States",Software engineer graduate of the EFREI (French School of Informatics). Maxence is an Apple Certified Associate and has been developing mobi...,Individual/Angel,Seed,1,,,,,,,,"147,622"
Naver Fund,https://www.crunchbase.com/organization/naver-fund,2,,,Naver Fund,,,2,,1,,,,,,"147,667"
Amy Hedrick,https://www.crunchbase.com/person/amy-hedrick-d58d,,,"Los Angeles, California, United States","Amy Hedrick is CEO, Co-Founder at Cleanbox Technology.he attended Columbia Business School in 2021.",,,,,,,,,,,"147,668"
John Jersin,https://www.crunchbase.com/person/john-jersin,2,,"San Francisco, California, United States",John Jersin is the Board Member at Trestle Biotherapeutics. He attended the University of California and Stanford University.,Individual/Angel,"Early Stage Venture, Seed, Venture",2,,,,,,,,"147,624"
Shanxi Wenhua Zichan,https://www.crunchbase.com/organization/shanxi-wenhua-zichan,1,1,"Xian Shi, Shaanxi, China",Shanxi Wenhua Zichan is an investment firm.,,,1,,,,1,,,,"147,625"
Jim Schwier,https://www.crunchbase.com/person/jim-schwier,,,"Greater Minneapolis-Saint Paul Area, United States, North America","Jim leads all day to day operations for Nanocopoeia’s business, technology and portfolio development.  Jim brings more than 30 years of glob...",,,,,,,,,,,"147,671"
Brian Kinard,https://www.crunchbase.com/person/brian-kinard,,,"Atherton, California, United States",Brian Kinard - CFO and Legal Counsel @ Mojo Vision,Investment Partner,,,1,,,,,,,"147,626"
Guangdong Jinfang Venture Capital,https://www.crunchbase.com/organization/guangdong-jinfang-venture-capital,1,1,"Guangdong, Jilin, China","Guangdong Jinfang Venture Capital is engaged in venture investment business, venture investment consulting business, etc.",Venture Capital,,1,,,,1,,,,"147,628"
Cody Littlewood,https://www.crunchbase.com/person/cody-littlewood,,,,"Cody Littlewood is a Partner at Curated Investments. The Linux Foundation, and other open-source and net freedom-focused organizations. He s...",,,,,,,,,,,"147,629"
BioX Clan,https://www.crunchbase.com/organization/biox-clan,1,,"Seoul, Seoul-t'ukpyolsi, South Korea","BioX Clan, which specializes in early stage funding for new bioscience technologies.",,,1,,1,,,,,,"147,678"
