Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Jep Esteve,https://www.crunchbase.com/person/jep-esteve,1,,"San Francisco, California, United States",Jep Esteve,Individual/Angel,,1,,,,,,,,"225,001"
Peter Pascale,https://www.crunchbase.com/person/peter-pascale,,,"New York, New York, United States",Peter Pascale is the Director of Client Reporting at Guggenheim Partners. Peter Pascale attended Iona College.,,,,,,,,,,,"225,004"
Liu Erh Fei,https://www.crunchbase.com/person/liu-erh-fei,,,,Liu Erh Fei is the Founding Partner and CEO of Asia Investment Capital.,Investment Partner,,,1,,,,,,,"225,003"
Victor Ko,https://www.crunchbase.com/person/victor-ko,,,"New York, New York, United States",Principal at Neuberger Berman.,,,,,,,,,,,"225,002"
Jordi Esturi Castell,https://www.crunchbase.com/person/jordi-esturi-castell,,,"Barcelona, Catalonia, Spain","Jordi Esturi Castell has more than 12 years of experience in planning, implementing and running digital campaigns as well as designing strat...",,,,,,,,,,,"225,005"
Yong Ha Kim,https://www.crunchbase.com/person/yong-ha-kim,,,"Seoul, Seoul-t'ukpyolsi, South Korea",Yong Ha Kim is an attorney and the managing director at Partners Investment.,Investment Partner,,,2,,,,,,,"225,008"
Ilijana Vavan,https://www.crunchbase.com/person/ilijana-vavan,,,"Munich, Bayern, Germany",Ilijana Vavan is the Chief Revenue Officer at Milestone Systems.,,,,,,,,,,,"225,009"
Javier Rincón,https://www.crunchbase.com/person/javier-rincón,1,,"Bogotá, Distrito Especial, Colombia",Javier Rincón - CEO @ Billy Facturex,Individual/Angel,,1,,,,,,,,"225,012"
Trisna Muliadi,https://www.crunchbase.com/person/trisna-muliadi,,,,Trisna Muliadi,,,,,,,,,,,"225,014"
Erick Boniz,https://www.crunchbase.com/person/erick-boniz,,,"Maranhao, Brazil, South America","No ano de 2014, com apenas 10 anos de idade, Erick de Sousa das Dores iniciou sua carreira com o nome artístico de Erick Boniz , essa ideia ...",,Private Equity,,,,,,,,,"225,015"
Kurt de Grosz,https://www.crunchbase.com/person/kurt-de-grosz,,,"San Francisco Bay Area, California, United States",Kurt de Grosz,,,,,,,,,,,"225,016"
Andy Bloch,https://www.crunchbase.com/person/andy-bloch,1,,"Las Vegas, Nevada, United States",Andy Bloch Founder of LabVegas.com; Harvard Law School graduate and licensed attorney; Graduate of MIT (BS&MS in Electrical Engineering); Fo...,Individual/Angel,Seed,1,,,,,,,,"225,011"
Dave Seymour,https://www.crunchbase.com/person/dave-seymour,,,"London, England, United Kingdom",Dave Seymour is the Co-Founder at Brew By Numbers.,,,,,,,,,,,"225,013"
Marco Massini,https://www.crunchbase.com/person/marco-massini,1,1,,Marco Massini,Individual/Angel,,1,,,,1,,,,"225,017"
Dana Singer,https://www.crunchbase.com/person/dana-singer,,,,Dana Singer,,,,,,,,,,,"225,021"
DR.ANUPAMA UPASANI,https://www.crunchbase.com/person/dr-anupama-upasani,,,"Noida, Uttar Pradesh, India",Indraprasth Eye Tech is a top eye care clinic that offers unique solutions for all your eye health needs. Our eye doctors use cutting-edge t...,,Seed,,,,,,,,,"225,022"
Jo Ji-yoon,https://www.crunchbase.com/person/jo-ji-yoon,,,,Jo Ji-yoon is a Senior Vice President of Strong Ventures.,Investment Partner,,,4,,,,,,,"225,023"
Charles M.,https://www.crunchbase.com/person/charles-m-47e0,,,"New York, New York, United States",Charles M.,,,,,,,,,,,"225,025"
Alex Varghese,https://www.crunchbase.com/person/alex-varghese,,,"Thrissur, Kerala, India",Alex Varghese,,Early Stage Venture,,,,,,,,,"225,027"
Sonu Kr. Yadav,https://www.crunchbase.com/person/sonu-kr-yadav,,,"Delhi, Delhi, India",Having more than 12 years of experience in Medical equipment Industry. He has worked with some reputed medical equipment corporations in the...,,Seed,,,,,,,,,"225,028"
Shabir Ahmed,https://www.crunchbase.com/person/shabir-ahmed-b9b2,,,"Wah, Punjab, Pakistan",Shabbir Ahmad is a freelance enthusiastic blogger & SEO expert. He is the founder of Shifted Magazine & Shifted News. He contributes to many...,,Early Stage Venture,,,,,,,,,"225,030"
Investment GB,https://www.crunchbase.com/organization/investment-gb,,,"London, England, United Kingdom","Investment GB investing in the exciting and profitable world of UK startups, companies and properties.",Micro VC,Venture,,,,,,,,,"225,031"
Shenzhenshi Sitong Shiye,https://www.crunchbase.com/organization/shenzhenshi-sitong-shiye,1,1,"Shenzhen, Guangdong, China","Shenzhenshi Sitong Shiye is engaged in the development and research of new products, new processes, new technologies, etc.",,,1,,,,1,,,,"225,029"
Danny Bermant,https://www.crunchbase.com/person/danny-bermant,,,"London, England, United Kingdom","When I founded Brainstorm in 2000, I could never have imagined where we would be today. It was still four years before the launch of Facebo...",,,,,,,,,,,"225,032"
Joseph Jiampietro,https://www.crunchbase.com/person/joseph-jiampietro,,,"Westport, Connecticut, United States",Joe is a managing director in the Financial Institutions Group. He provides corporate finance and mergers and acquisitions advice to mid-cap...,,,,,,,,,,,"225,026"
Fabiano Diagoné,https://www.crunchbase.com/person/fabiano-diagoné,,,"Rio De Janeiro, Rio de Janeiro, Brazil","Fabiano Diagoné is the Chief Executive Officer of Oil Group Investments. He previously worked at Petrobras, Schlumberger, and Niko Resources...",,,,,,,,,,,"225,033"
Dario Franchitti,https://www.crunchbase.com/person/dario-franchitti,1,,,Dario Franchitti,Individual/Angel,,1,,,,,,,,"225,036"
