Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Dirk Graber,https://www.crunchbase.com/person/dirk-graber,3,,"Berlin, Berlin, Germany","Dirk Graber studied business administration in Marburg, Hong Kong, Moscow and Leipzig, graduating from the Leipzig Graduate School of Manage...",Individual/Angel,Seed,2,,,,,,,,"94,800"
Brandon Gath,https://www.crunchbase.com/person/brandon-gath,,,"San Francisco, California, United States",Brandon Gath,Investment Partner,,,3,,,,,,,"94,805"
Pim Holfve,https://www.crunchbase.com/person/pim-holfve,,,"Stockholm, Stockholms Lan, Sweden",Pim Holfve is the CEO at Avalanche Studios. Pim Holfve attended American College in London.,,,,,,,,,,,"94,818"
Elizabeth Clarkson,https://www.crunchbase.com/person/elizabeth-beezer-clarkson,,,"Palo Alto, California, United States",Elizabeth Clarkson is a Managing Director at Sapphire Ventures. She attended Wesleyan University and Harvard Business School.,,Early Stage Venture,,,,,,,,,"94,823"
Andy Altahawi,https://www.crunchbase.com/person/andy-altahawi,1,,"United States, North America","Investor: Experienced 31 years Investment Banker and International attorney with strong corporate legal background, focused on the US capita...",Individual/Angel,"Convertible Note, Crowdfunding, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market, Seed",1,,1,,,,,,"94,826"
IQ Protocal,https://www.crunchbase.com/organization/warp-venture,9,1,"Hangzhou, Zhejiang, China",IQ Protocal is an emerging venture capital firm based in Hangzhou.,Micro VC,,9,,2,,1,,,,"94,830"
East Africa Investments Ltd,https://www.crunchbase.com/organization/east-africa-investments-ltd,2,,"Berkhamsted, Buckinghamshire, United Kingdom",East Africa Investments Ltd has been working with young entrepreneurs in Rwanda.,Venture Capital,Venture,2,,,,,,,,"94,833"
River Ranch Capital,https://www.crunchbase.com/organization/river-ranch-capital-llc,,,"Edmond, Oklahoma, United States",River Ranch Capital is a private investment company providing capital and business management to entrepreneurs and leaders.,Private Equity Firm,,,,,,,,,,"94,839"
Enrique M. Zambrano,https://www.crunchbase.com/person/enrique-zambrano,,,"Monterrey, Nuevo Leon, Mexico",Enrique M. Zambrano is the Principal at Proeza Ventures.,Investment Partner,,,3,,,,,,,"94,849"
Changzhou Investment Group Co Ltd,https://www.crunchbase.com/organization/changzhou-investment-group-co-ltd,2,2,"Changzhou, Zhejiang, China",Changzhou Investment Group Co Ltd is an asset management company.,,,2,,1,,2,,,,"94,857"
Sebastian Ingrosso,https://www.crunchbase.com/person/sebastian-ingrosso,3,,"Stockholm, Stockholms Lan, Sweden",Sebastian Carmine Ingrosso (born 21 April 1983) is a Swedish DJ and electronic dance music producer. He was also former member of the DJ sup...,Individual/Angel,Seed,3,,,1,,,,,"94,866"
Flip Gianos,https://www.crunchbase.com/person/philip-flip-gianos,2,,"Menlo Park, California, United States","Flip Gianos is the General Partner, Emeritus at InterWest Partners. He attended Harvard Business School and Stanford University.","Investment Partner, Individual/Angel",,1,16,,,,,,,"94,867"
Nacascolo,https://www.crunchbase.com/organization/nacascolo,,,"Escazú, San Jose, Costa Rica",Nacascolo helps entrepreneurs and businesses grow.,Venture Capital,"Early Stage Venture, Venture",,,,,,,,,"94,876"
Li Lu,https://www.crunchbase.com/person/li-lu,,,"Seattle, Washington, United States",Li Lu is the Founder and Chairman of Himalaya Capital. He was born in China in 1966. He attended Nanjing University in China from 1985 to 19...,Investment Partner,,,1,,,,,,,"94,800"
Julian Eison,https://www.crunchbase.com/person/julian-eison,,,"San Francisco, California, United States",Julian Eison - Managing Partner @ NEXT VENTŪRES,Investment Partner,,,3,,,,,,,"94,879"
William Hearst,https://www.crunchbase.com/person/william-r-hearst,1,1,"San Francisco, California, United States","William R. Hearst III is chairman of the board of Hearst Corporation, one of the nation's largest diversified media and information companie...","Investment Partner, Individual/Angel",,1,2,,,1,,,,"94,880"
Kevin Frick,https://www.crunchbase.com/person/kevin-frick,,,"San Francisco, California, United States",Kevin Frick - Partner @ Serent Capital,Investment Partner,,,8,,,,,,,"94,885"
Shizu Okusa,https://www.crunchbase.com/person/shizu-okusa,2,,,Shizu Okusa - Founder & CEO @ Apothékary,Individual/Angel,,2,,1,2,,,,,"94,802"
