Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Kedar Swadi,https://www.crunchbase.com/person/kedar-swadi,1,,"Pune, Maharashtra, India",Kedar Swadi Data Science at PhonePe.,Individual/Angel,,1,,,,,,,,"184,801"
Nana Nana,https://www.crunchbase.com/person/federico-rinaudo-1ffb,,,,Nana Nana,,,,,,,,,,,"184,800"
Kosovo VC,https://www.crunchbase.com/organization/kosovo-vc,,,,"Kosovo VC focuses on supporting the startup, technology, and entrepreneurial communities in Kosovo and the broader Balkans Region.","Accelerator, Angel Group, Entrepreneurship Program, Micro VC","Early Stage Venture, Seed, Venture",,,,,,,,,"184,802"
Bhavya Khanna,https://www.crunchbase.com/person/bhavya-khanna,1,,"India, Asia",Bhavya Khanna,Individual/Angel,,1,,,,,,,,"184,806"
Rodin Spielmann de Sá,https://www.crunchbase.com/person/rodin-spielmann-de-s,,,,"Rodin brings the experience of someone who has been in the market for more than 10 years, acting as CFO and also participating in IPOs of co...",,,,,,,,,,,"184,804"
Shanti Mittra,https://www.crunchbase.com/person/shanti-mittra,,,,Shanti Mittra - Director @ Primus Venture Partners,Investment Partner,,,1,,,,,,,"184,805"
Berthy Erydani Jacob,https://www.crunchbase.com/person/berthy-erydani-jacob,,,"Jakarta, Jakarta Raya, Indonesia",Berthy Erydani Jacob is the Co-Founder of rapel apps. Berthy Erydani Jacob attended Hochschule Wismar.,,Seed,,,,,,,,,"184,809"
Tina Tao,https://www.crunchbase.com/person/tina-tao,,,"Beijing, Beijing, China","Tina Tao serves as a COO (and Partner) of IW, leading all daily operations and all the professional services teams at IW.  Prior to IW, Tin...",,,,,,,,,,,"184,810"
private institution,https://www.crunchbase.com/organization/iuoe-local-12,1,,"Los Angeles, California, United States",labor union,,,1,,,1,,,,,"184,811"
Bart Peczkowski,https://www.crunchbase.com/person/bart-peczkowski,,,"Washington, District of Columbia, United States",Bart Peczkowski - Venture Partner @ Flashpoint,,,,,,,,,,,"184,814"
Plum Ventures New Insights Fund,https://www.crunchbase.com/organization/plum-ventures-new-insights-fund,1,,,Plum Ventures New Insights Fund is an investment Fund.,,,1,,1,,,,,,"184,813"
patrick Fallon,https://www.crunchbase.com/person/patrick-fallon-0268,,,"New York, New York, United States",Patrick Fallon is Managing Principal @ Monarch Alternate Capital.,Investment Partner,,,1,,,,,,,"184,815"
Karl Rodger,https://www.crunchbase.com/person/karl-rodger,,,"New York, New York, United States",Karl Rodger is the Principal at Gemspring Capital.,,,,,,,,,,,"184,816"
NYC Partners,https://www.crunchbase.com/organization/nyc-partners,,,,Media/Technology focused investment fund for NYC Media and Tech entrepreneurs.,Venture Capital,,,,,,,,,,"184,817"
Charles Ferguson,https://www.crunchbase.com/person/charles-ferguson-9630,,,"Singapore, Asia","Charles Ferguson, Asia-Pacific general manager of Globalization Partners.",Investment Partner,,,6,,,,,,,"184,818"
Philip Kelley Jr.,https://www.crunchbase.com/person/phil-kelley-6206,,,"Winston Salem, North Carolina, United States",Philip Kelley Jr. is the current President & Chief Executive Officer of Salem One. He previously worked at Georgia Tech Research Institute a...,,,,,,,,,,,"184,819"
Andrew Reum,https://www.crunchbase.com/person/andrew-reum,,,"Oceanside, California, United States",Andrew Reum,,,,,,,,,,,"184,820"
Business Angels,https://www.crunchbase.com/person/business-angels-6439,2,,,Business Angels,Individual/Angel,,2,,,,,,,,"184,821"
Capital Estate Advisors,https://www.crunchbase.com/organization/capital-estate-advisors,,,"New York, New York, United States",Capital Estate Advisors is an independent Registered Investment Advisory firm with securities transactions.,Investment Bank,,,,,,,,,,"184,822"
Chari De Leon,https://www.crunchbase.com/person/chari-de-leon,,,"Globel, Bohinj Commune, Slovenia","Business Developer - Partner Alliance Strategist Deal Architect Interest: Social Enterprises, Sustainable Modular Building Technology/Materi...",,"Convertible Note, Crowdfunding, Initial Coin Offering, Private Equity, Seed",,,,,,,,,"184,825"
Matt Holmes,https://www.crunchbase.com/person/matt-holmes-48ba,,,"Seattle, Washington, United States",Planned a career in rock & roll but ended up working in finance in London. Lived with buddies for twelve years and lined a lot of landlords'...,,,,,,,,,,,"184,826"
Ian Kwok,https://www.crunchbase.com/person/ian-kwok-37c4,,,"London, England, United Kingdom",Ian is a Principal at Bregal Milestone. He brings significant operating and technology sector experience to management teams. Prior to join...,Investment Partner,,,1,,,,,,,"184,828"
Malhar Anaokar,https://www.crunchbase.com/person/malhar-anaokar,1,,"Bengaluru, Karnataka, India",Malhar Anaokar,Individual/Angel,,1,,,,,,,,"184,829"
David Randall,https://www.crunchbase.com/person/david-randall,,,"Portland, Oregon, United States",David Randall earned his Masters of Business Administration from Colorado State University and holds a Bachelor of Science in finance from t...,,,,,,,,,,,"184,830"
Dean Galasso,https://www.crunchbase.com/person/dean-galasso,,,"Miami, Florida, United States","DEAN GALASSO - SOUTH FLORIDA REAL ESTATE ENTREPRENEUR Based in South Florida, Dean Galasso serves as president of Mannahatta Properties and ...",,,,,,,,,,,"184,831"
Ted Ranft,https://www.crunchbase.com/person/ted-ranft,,,"New York, New York, United States",Ted Ranft is Chief Revenue Officer (CRO) at BeyondMinds. Attended at Stanford University Graduate School of Business.,,,,,,,,,,,"184,832"
Toomas Kõuhkna,https://www.crunchbase.com/person/toomas-kõuhkna,1,,,Toomas Kõuhkna,Individual/Angel,,1,,,,,,,,"184,833"
Manmohan Chandolu,https://www.crunchbase.com/person/manmohan-chandolu,1,,,Manmohan Chandolu,Individual/Angel,,1,,1,,,,,,"184,834"
Melissa Fernandez,https://www.crunchbase.com/person/melissa-fernandez,,,"London, England, United Kingdom",Co Founder and CEO of Bookalook.,,,,,,,,,,,"184,802"
Vitor Prado,https://www.crunchbase.com/person/vitor-prado-2,,,"Palo Alto, California, United States",Vitor Prado is the Member of the Corporate Law Commission at OAB SP. He attended Harvard University.,,,,,,,,,,,"184,837"
Beijing Central Wide Joint Media Investment,https://www.crunchbase.com/organization/beijing-central-wide-joint-media-investment,1,,"Beijing, Beijing, China",Beijing Central Wide Joint Media Investment is a media group company.,,,1,,,,,,,,"184,838"
Dongrong Ziben,https://www.crunchbase.com/organization/dongrong-ziben,1,,"Ningbo, Zhejiang, China",Dongrong Ziben is an investment firm that provides asset management and investment management services.,,,1,,,,,,,,"184,839"
John Engates,https://www.crunchbase.com/person/john-engates,,,"San Antonio, Texas, United States","John Engates is Field CTO at Cloudflare. Formerly, John was CTO at Rackspace.",,Seed,,,,,,,,,"184,841"
HAJAK AB,https://www.crunchbase.com/organization/hajak-ab-fc2d,1,,,HAJAK AB,,,1,,,,,,,,"184,843"
Oliver Schoppe,https://www.crunchbase.com/person/oliver-schoppe,,,,Oliver Schoppe serves as investment manager at UVC Partners.,Investment Partner,,,2,,,,,,,"184,845"
Min Xiao,https://www.crunchbase.com/person/min-xiao,,,"Chaoyang, Liaoning, China","Min Xiao is a Partner at Matrix Partners China. He has been working in software and Internet industry for 10 years. Previously, Min worke...",,,,,,,,,,,"184,846"
Yin Shufei,https://www.crunchbase.com/person/yin-shufei,,,,"Yin Shufei, Vice President of Baolong Technology",Investment Partner,,,1,,,,,,,"184,847"
Eduardo Carazo,https://www.crunchbase.com/person/eduardo-carazo,1,,"United States, North America",Eduardo Carazo is a Program Management at Citi.,Individual/Angel,,1,,,,,,,,"184,817"
Likang Zhihui Yiliao,https://www.crunchbase.com/organization/likang-zhihui-yiliao,1,,"Baoshan, Shanghai, China",Likang Zhihui Yiliao is a company engaged in software and information technology services.,,,1,,,,,,,,"184,819"
Josh Miramant,https://www.crunchbase.com/person/josh-miramant,,,"Manhattan, New York, United States","Josh Miramant is the CEO and founder of Blue Orange Digital, a data science and machine learning agency with offices in New York City and Wa...",,,,,,,,,,,"184,851"
Ann Reese,https://www.crunchbase.com/person/ann-n-reese,,,"Rye, New York, United States","Ann Reese is the Co-founder of the Center for Adoption Policy in 2001 and the University of Pennsylvania as a Trustee Emerita. Principal, Cl...",,,,,,,,,,,"184,850"
Ard Suas Holdings,https://www.crunchbase.com/organization/ard-suas-holdings,1,1,"Dublin, Dublin, Ireland",Ard Suas Holdings,,,1,,1,,1,,,,"184,852"
Carol Ashe,https://www.crunchbase.com/person/carol-ashe,,,"New York, New York, United States",Carol Ashe joined SR One in January 2009 directly from the GSK legal department where she led the legal support for corporate staff function...,,,,,,,,,,,"184,854"
Amiel Kornel,https://www.crunchbase.com/person/amiel-kornel,,,"San Francisco, California, United States",Amiel Kornel is a Board Director and Co-Founder at DFMSim. Amiel Kornel attended MIT Sloan School of Management and University of Chicago.,,,,,,,,,,,"184,855"
Lisa Vangreddig,https://www.crunchbase.com/person/lisa-vangreddig-4ff3,1,,,Lisa Vangreddig,Individual/Angel,,1,,1,,,,,,"184,857"
Mateo López Velázquez,https://www.crunchbase.com/person/mateo-lópez-velázquez,1,,"Distrito Federal, Mexico, North America",Mateo es un estudiante de preparatoria en el ITESM Campus Santa Fe  Apasionado por la tecnológia decidio invertir en handfriendly bajo el mo...,Individual/Angel,,1,,,,,,,,"184,856"
Beijing Guangde Chengxin Investment Management Consulting,https://www.crunchbase.com/organization/beijing-guangde-chengxin-investment-management-consulting,1,,"Beijing, Beijing, China",Beijing Guangde Chengxin Investment Management Consulting is engaged in project investment; investment management; asset management.,,,1,,,,,,,,"184,858"
Arjun Lamba,https://www.crunchbase.com/person/arjun-lamba-810c,1,,,Arjun Lamba is a Guardian Advisors.,Individual/Angel,,1,,,,,,,,"184,829"
Stoutlight Inc.,https://www.crunchbase.com/organization/stoutlight-inc,,,"Dallas, Texas, United States","Texas-based media & entertainment investment focused on narrative movie and episodic at early stage venture, private equity, seed","Angel Group, Venture Capital","Convertible Note, Debt, Early Stage Venture, Private Equity",,,,,,,,,"184,860"
Mark Ransford,https://www.crunchbase.com/person/mark-ransford-4d02,,,,Mark Ransford,,,,,,,,,,,"184,862"
Ping Yi,https://www.crunchbase.com/person/ping-yi-24e8,,,,Ping Yi is the partner of Redpoint China.,Investment Partner,,,1,,,,,,,"184,861"
Peter Hase,https://www.crunchbase.com/person/peter-hase,,,,Peter Hase - Managing Director @ Auster Capital Partners,,,,,,,,,,,"184,863"
Ashley Allen Jones,https://www.crunchbase.com/person/ashley-allen-Jones,,,"Washington, District of Columbia, United States",Ashley Allen Jones is the Founder and CEO of i2 Capital. Ms. Allen Jones earned an MBA with distinction (Beta Gamma Sigma) from the Georget...,,,,,,,,,,,"184,864"
Brogan Harris,https://www.crunchbase.com/person/brogan-harris,,,"United Kingdom, Europe",Brogan Harris is a Investment Manager of Baillie Gifford.,Investment Partner,,,1,,,,,,,"184,865"
Kevin Giller,https://www.crunchbase.com/person/kevin-giller,,,"Manila, Manila, Philippines",Kevin Giller is the Co-Founder of Philippine Digital Medicine Society and Endlist and the Chief Administrative Officer at Humouno. He attend...,,,,,,,,,,,"184,867"
Javier Llorente,https://www.crunchbase.com/person/javier-llorente,3,,,Javier Llorente,Individual/Angel,Seed,3,,,,,,,,"184,866"
Tomas Docekal,https://www.crunchbase.com/person/tomas-docekal,,,"Prague, Hlavni mesto Praha, Czech Republic",Tomas Docekal - Co-founder @ TUSECA,,Early Stage Venture,,,,,,,,,"184,868"
Brooks Laich,https://www.crunchbase.com/person/brooks-laich,1,,"United States, North America",Evan Brooks Laich is a Canadian former professional ice hockey forward.,Individual/Angel,,1,,,,,,,,"184,871"
Micah Schaffer,https://www.crunchbase.com/person/micah-schaffer,2,,,Micah Schaffer,Individual/Angel,Seed,2,,,,,,,,"184,872"
Capital List,https://www.crunchbase.com/organization/capital-list,,,"London, England, United Kingdom",Capital list’s mission is to connect and grow london’s startup ecosystem.,"Micro VC, Venture Capital",,,,,,,,,,"184,836"
Eric Reichel,https://www.crunchbase.com/person/eric-reichel,,,"Los Angeles, California, United States",Eric Reichel is the Vice President of Customer Success in North America at IntelligenceBank. Eric attended the University of Washington.,,,,,,,,,,,"184,873"
Georgios Kasselakis,https://www.crunchbase.com/person/georgios-kasselakis,,,"Athens, Georgia, United States",Georgios Kasselakis,Investment Partner,,,17,,,,,,,"184,838"
