Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Don Hebb,https://www.crunchbase.com/person/don-hebb,,,"Baltimore, Maryland, United States","Don is the Chairman and Founding Partner of ABS Capital Partners. His investment interests and experience span the business services, health...",Investment Partner,,,1,,,,,,,"155,405"
Nanjing Huawen Hongsheng Startup Investment Fund,https://www.crunchbase.com/organization/nanjing-huawen-hongsheng-startup-investment-fund,2,,"Nanjing, Jiangsu, China",Nanjing Huawen Hongsheng Startup Investment Fund,,,2,,1,,,,,,"155,408"
HPF,https://www.crunchbase.com/organization/hpf-68ec,1,,,Holding of Pinko (Fashion brand),,,1,,,,,,,,"155,413"
Valerie Sanchez,https://www.crunchbase.com/person/valerie-sanchez,,,"Angoulême, Poitou-Charentes, France",Valerie Sanchez is the Chief Marketing and Digital Officer of Coriolis Telecom. She previously worked at Nexway as a Digital Network Directo...,,,,,,,,,,,"155,416"
Mohammed Almujil,https://www.crunchbase.com/person/mohammed-almujil,,,"Ho Chi Minh City, NA - Vietnam, Vietnam",Mohammed Almujil is the Senior Tech Lead at Aliens. Mohammed Almujil attended Massey University.,,,,,,,,,,,"155,418"
blessmi,https://www.crunchbase.com/organization/blessmi,,,"Lagos, Lagos, Nigeria",blessmi is a fundraising platform designed to help individuals and organisations.,,Crowdfunding,,,,,,,,,"155,400"
Eric Fedewa Mclean,https://www.crunchbase.com/person/eric-fedewa-mclean,,,"Vienna, Virginia, United States",Eric Fedewa has been an award-winning real estate developer for over 20 years. He has acted as the builder/developer of a multitude of proje...,,,,,,,,,,,"155,401"
Oblivion Ventures,https://www.crunchbase.com/organization/oblivion-ventures,,,,Micro VC focused on Seed Investments,Micro VC,,,,,,,,,,"155,402"
Garrett Finney,https://www.crunchbase.com/person/garrett-finney,,,"Houston, Texas, United States","Garrett Finney, Principal, is trained as an architect and lives and works in Houston, Texas. ",,,,,,,,,,,"155,403"
Pedro do Carmo Costa,https://www.crunchbase.com/person/pedro-do-carmo-costa,,,"London, England, United Kingdom",Pedro do Carmo Costa is the Co-Founder and Director at Pulsely. He previously worked as the Director at Tutorean.,,,,,,,,,,,"155,404"
China Entrepreneurship Incubation,https://www.crunchbase.com/organization/china-entrepreneurship-incubation,1,,,China Entrepreneurship Incubation operates as an investment firm.,Incubator,,1,,1,,,,,,"155,405"
Chrysanthi Vakla,https://www.crunchbase.com/person/chrysanthi-vakla,,,,"Chrys Vakla, Deputy CEO of Susten",Investment Partner,,,1,,,,,,,"155,406"
Future Management Partners,https://www.crunchbase.com/organization/future-management-partners,,,"Tokyo, Tokyo, Japan",Future Management Partners is an investment and development firm for small and medium-sized businesses.,Venture Capital,,,,,,,,,,"155,407"
Piyush Gupta,https://www.crunchbase.com/person/piyush-gupta-fc05,1,,,Piyush Gupta,Individual/Angel,,1,,,,,,,,"155,408"
Jo Dumortier,https://www.crunchbase.com/person/jo-dumortier,,,,Jo Dumortieris a CEO CAREvolution & COO at Partena Promeris Group.,Investment Partner,,,1,,,,,,,"155,409"
Michel Taride,https://www.crunchbase.com/person/michel-taride,3,,"Paris, Ile-de-France, France",Michel Taride,Individual/Angel,,3,,,,,,,,"155,424"
Juan Dominguez,https://www.crunchbase.com/person/juan-dominguez,1,,"Madrid, Madrid, Spain",Juan Dominguez - Founder and Chairman @ Adglow,Individual/Angel,Seed,1,,,,,,,,"155,410"
Community Futures,https://www.crunchbase.com/organization/community-futures,1,,"Cornwall, Prince Edward Island, Canada",CCCFDC delivers various programs and services to support economic growth of smallbusinesses.,,,1,,,,,,,,"155,425"
DragonVenture,https://www.crunchbase.com/organization/dragonventure,2,,"Menlo Park, California, United States","DragonVenture a venture capital and advisory firm committed to helping entrepreneurs, investors, clients and their affiliate partners.",Venture Capital,Early Stage Venture,2,,1,,,,,,"155,411"
Damon Fealy,https://www.crunchbase.com/person/damon-fealy,,,"Brisbane, Queensland, Australia","Damon Fealy is an experienced technology consultant & business professional, business starter, digitally literate executive / non-executive ...",,"Early Stage Venture, Non Equity Assistance, Private Equity, Seed",,,,,,,,,"155,412"
Keshav Baljee,https://www.crunchbase.com/person/keshav-baljee,1,1,"Bengaluru, Karnataka, India",Spree was founded in 2011 by Keshav Baljee.,Individual/Angel,Seed,1,,,,1,,,,"155,426"
Guotou Chuangying,https://www.crunchbase.com/organization/guotou-chuangying,3,,"Beijing, Beijing, China",Guotou Chuangying is a private equity fund management company.,,,3,,,,,,,,"155,414"
Lucas Wang,https://www.crunchbase.com/person/lucas-wang,,,"Taiwan, Jiangsu, China","Lucas serves as the CEO of HWTrek, a Taipei-based platform that connects hardware startups with manufacturers and other resources.",,,,,,,,,,,"155,415"
Active Technology,https://www.crunchbase.com/organization/active-technology,,,"Beyoglu, Istanbul, Turkey",Active Technology is a provider of development and maintenance of web sites.,,,,,,,,,,,"155,434"
