Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
GLEDHOW INVESTMENTS PLC,https://www.crunchbase.com/organization/gledhow-investments-plc,,,"London, England, United Kingdom",GLEDHOW INVESTMENTS PLC is an investment firm that specialized in lending to small businesses.,Incubator,Seed,,,,,,,,,"169,802"
Jan Alberti,https://www.crunchbase.com/person/jan-alberti,,,"Berlin, Berlin, Germany",Jan is member of the Management Board of bmp dedicated to new acquisitions and business development of portfolio companies as well as to the...,,,,,,,,,,,"169,803"
Wayne Crane,https://www.crunchbase.com/person/wayne-crane-2,,,"Indianapolis, Indiana, United States","Wayne M. Crane is the Executive Vice President of Business Development and Capital Markets for SAF Holdings, LLC. SAF, under its subsidiarie...",,,,,,,,,,,"169,811"
Altaya Properties,https://www.crunchbase.com/organization/altaya-properties,,,"Montaña, Alajuela, Costa Rica","Altaya Properties is a real estate investment firm focusing on residential, commercial, and fractional real estate investments.",,,,,,,,,,,"169,815"
Shengchuang Capital,https://www.crunchbase.com/organization/shengchuang-capital,1,,,Shengchuang Capital is an investment Firm.,,,1,,1,,,,,,"169,822"
Peter Imburg,https://www.crunchbase.com/person/peter-imburg,,,,Peter Imburg  joined Elfster as Founder and CEO.,,,,,,,,,,,"169,825"
Sheldon Jones,https://www.crunchbase.com/person/sheldon-jones,,,,Sheldon Jones founded Arima Capital to help entrepreneurs and investors in the commercial real estate arena build wealth through the intelli...,,,,,,,,,,,"169,826"
Stratinvest,https://www.crunchbase.com/organization/stratinvest,1,,"Montréal, Quebec, Canada",StreetInvest is registered UK charity which supports tens of thousands of street children around the world by training trustworthy guys.,Venture Capital,,1,,,,,,,,"169,800"
Ray Mignone & Associates,https://www.crunchbase.com/organization/ray-mignone-associates,,,"Boynton Beach, Florida, United States","Ray Mignone Associates, a provider of financial planning and investment management services.",Investment Bank,,,,,,,,,,"169,801"
Mobius Investment Trust,https://www.crunchbase.com/organization/the-mobius-investment,,,"London, England, United Kingdom",Mobius Investment Trust is a Investment firm.,Private Equity Firm,,,,,,,,,,"169,803"
Beijing Ruimei Lianhe,https://www.crunchbase.com/organization/beijing-ruimei-lianhe,1,,"Beijing, Beijing, China",Beijing Ruimei Lianhe is an investment firm.,,,1,,,,,,,,"169,804"
Lesuke.com,https://www.crunchbase.com/organization/lesuke-com,1,,,Lesuke.com is a domestic direct sales model of hotel rooms.,,,1,,1,,,,,,"169,805"
Sravan Davuluri,https://www.crunchbase.com/person/sravan-davuluri,,,"Bangalore City, Karnataka, India",Sravan Davuluri is the Co-Founder and CTO at Logicarts. He attended Silicon Valley University.,,Seed,,,,,,,,,"169,806"
Hunan Yunshanyurun,https://www.crunchbase.com/organization/hunan-yunshanyurun,1,,"Hunan, Fujian, China",Hunan Yunshanyurun is a media and entertainment company.,,,1,,,,,,,,"169,807"
David Wiley,https://www.crunchbase.com/person/david-wiley-ac10,,,"Toronto, Ontario, Canada",David Wiley,Investment Partner,,,1,,,,,,,"169,835"
Tomotaka Goji,https://www.crunchbase.com/person/tomotaka-goji,,,"Chiba, Chiba, Japan","Tomotaka Goji is Director @ Advanced Softmaterials Inc.Graduated from the Faculty of Law of the University of Tokyo in 1996, and entered the...",Investment Partner,,,7,,,,,,,"169,809"
Rob Benson,https://www.crunchbase.com/person/rob-benson-2,1,1,"San Francisco, California, United States",Rob Benson,Individual/Angel,Seed,1,,,,1,,,,"169,810"
Thomas Kunjappu,https://www.crunchbase.com/person/thomas-kunjappu,,,,Thomas Kunjappu,,,,,,,,,,,"169,812"
Danhe Capital,https://www.crunchbase.com/organization/danhe-capital,2,,"Beijing, Beijing, China",Danhe Capital,,,2,,,,,,,,"169,813"
Andrei Herasimchuk,https://www.crunchbase.com/person/andrei-herasimchuk,2,,"Sunnyvale, California, United States",Andrei Herasimchuk,Individual/Angel,Seed,1,,,,,,,,"169,814"
Matthew Colford,https://www.crunchbase.com/person/matthew-colford,,,"San Francisco, California, United States",Matthew Colford,,,,,,,,,,,"169,815"
Thomas Wittig,https://www.crunchbase.com/person/thomas-wittig,1,1,"Zurich, Switzerland, Europe",Thomas Wittig - CEO @ Wittigonia,Individual/Angel,Seed,1,,,,1,,,,"169,816"
Shenzhen Haitang Investment,https://www.crunchbase.com/organization/shenzhen-haitang-investment,1,1,"Shenzhen, Guangdong, China",Shenzhen Haitang Investment is an investment firm.,,,1,,,,1,,,,"169,842"
Mike Harris,https://www.crunchbase.com/person/mike-harris-7609,,,"Wichita, Kansas, United States",Mike Harris is a Managing Director of Koch Equity Development (“KED”).,Investment Partner,,,1,,,,,,,"169,817"
Jay W. Schmelter,https://www.crunchbase.com/person/jay-w-schmelter,,,"United States, North America","Jay Schmelter is a managing director and co-founder of RiverVes®. Drawing on his combination of operating, investment banking and venture ca...",Investment Partner,,,5,,,,,,,"169,819"
Beijing Heyutai Touzi,https://www.crunchbase.com/organization/beijing-heyutai-touzi,1,,"Beijing, Beijing, China",Beijing Heyutai Touzi is an investment management firm.,,,1,,,,,,,,"169,820"
Hamraj Kumar,https://www.crunchbase.com/person/hamraj-kumar,,,"India, Asia","Entrepreneur, Social Network, Marketing",,,,,,,,,,,"169,821"
Jason C. Akus,https://www.crunchbase.com/person/jason-c-akus,,,"Southborough, Massachusetts, United States","Jason Akus is responsible for investment research and due diligence in the Medical Device, Diagnostic, and Biopharmaceutical areas.  Jaso...",,,,,,,,,,,"169,824"
Cuy Sheffield,https://www.crunchbase.com/person/cuy-sheffield-b3a9,2,,"San Francisco Bay Area, California, United States",Cuy Sheffield Head of Crypto at Visa,Individual/Angel,,2,,,,,,,,"169,849"
Robert Donahue,https://www.crunchbase.com/person/robert-donahue-2,,,"San Diego, California, United States",Robert Donahue joined Anokiwave as Chief Executive Officer in April 2013.,,,,,,,,,,,"169,826"
Connect skane,https://www.crunchbase.com/organization/connect-skane,,,"Lund, Skane Lan, Sweden",CONNECT Skåne is a volunteer network to help innovative businesses to develop and grow.,Incubator,,,,,,,,,,"169,827"
Jamie Bailey,https://www.crunchbase.com/person/jamie-bailey,,,"Nashville, Tennessee, United States",Jamie Bailey is the Founder & CEO of Initial State Technologies.   Jamie has over 12 years of experience as a chip designer and system en...,,,,,,,,,,,"169,829"
Steven DiPasquale,https://www.crunchbase.com/person/steven-dipasquale-c088,,,"Austin, Texas, United States",Steven DiPasquale,Investment Partner,,,1,,,,,,,"169,832"
Luke Youngblood,https://www.crunchbase.com/person/luke-youngblood,3,,,Luke Youngblood,Individual/Angel,,3,,,,,,,,"169,834"
Daniel Bodea,https://www.crunchbase.com/person/daniel-bodea,,,"Paris, Ile-de-France, France","Visiting scholar at Ecole Polytechnique and PKI expert at European Commission Daniel benefits from a strong background in cryptography, IT a...",,,,,,,,,,,"169,859"
Mothers,https://www.crunchbase.com/organization/mothers-5999,,,"Paris, Ile-de-France, France",Mothers is a tokenized fund dedicated to the upcoming creative class that provides brands with equity and powerful influence.,,,,,,,,,,,"169,860"
Marc Fàbregas Bachs,https://www.crunchbase.com/person/marc-fàbregas-bachs,1,,"Barcelona, Catalonia, Spain",Marc Fabregas Bachs is the Founder and CTO of Citisend. He previously worked at 4Senses as a Chief Technical Advisor. Marc Fabregas Bachs at...,Individual/Angel,Seed,1,,,,,,,,"169,838"
Teoh Family,https://www.crunchbase.com/organization/teoh-family,1,,"Sydney, New South Wales, Australia",Founders of TPG Telecom,,,1,,,,,,,,"169,867"
Ofra Kalechstain,https://www.crunchbase.com/person/ofra-kalechstain,1,,"Tel Aviv, Tel Aviv, Israel",Ofra Kalechstain,Individual/Angel,,1,,,,,,,,"169,869"
Jacob Saß,https://www.crunchbase.com/person/jacob-saß,,,"Greifswald, Mecklenburg-Vorpommern, Germany",Jacob Saß - Co-Founder & Head of Product @ Advocado,,,,,,,,,,,"169,839"
Black Business Fund,https://www.crunchbase.com/organization/black-business-fund,10,,,Black Business Fund is set up by Uber Eats in collaboration with Be Inclusive Hospitality and Enterprise Nation.,,,10,,10,,,,,,"169,840"
Fuxiang Venture Capital,https://www.crunchbase.com/organization/fuxiang-venture-capital,1,,,Venture Capital Firm based in Shanghai focused on technology investments.,,,1,,,1,,,,,"169,841"
Frank V. McMahon,https://www.crunchbase.com/person/frank-v-mcmahon,1,,"Manhattan Beach, California, United States","Frank V. McMahon, an investor, and a partner at American Discovery Capital.",Individual/Angel,,1,,1,,,,,,"169,842"
James Mclachlan,https://www.crunchbase.com/person/james-mclachlan,1,1,"Charlotte, North Carolina, United States",James Mclachlan is the Manager at OkClear. James Mclachlan attended Western Carolina University.,Individual/Angel,Seed,1,,,,1,,,,"169,876"
Jeroen Grasman,https://www.crunchbase.com/person/jeroen-grasman,,,"Oakland, California, United States",Jeroen Grasman is the Chief Financial Officer at AltruBio. He attended Harvard Business School.,,,,,,,,,,,"169,845"
Joshua Kramer,https://www.crunchbase.com/person/joshua-kramer-d2c2,,,"Singapore, Asia",Joshua Kramer is the Co-Founder / Director / Chief Investment Officer of Clime Capital. He previously worked at Creative Advisors as a Partn...,Investment Partner,,,3,,,,,,,"169,846"
FRANCISCO BORRERO,https://www.crunchbase.com/person/surja-bose,,,"United States, North America","We have always dreamed of a world full of possibilities, within everyone's reach. That is why we are building the B2B marketplace by excelle...",,Seed,,,,,,,,,"169,847"
Oliver Sinner,https://www.crunchbase.com/person/oliver-sinner,1,,"Hamburg, Hamburg, Germany",Founder of SinnerSchrader AG,Individual/Angel,,1,,1,,,,,,"169,848"
"Shyue Ong, Ph.D.",https://www.crunchbase.com/person/shyue-ong,1,,"San Diego, California, United States","Shyue Ong, Ph.D. is a Professor at UC San Diego. He attended Massachusetts Institute of Technology.",Individual/Angel,Seed,1,,,,,,,,"169,849"
Moises Shuster,https://www.crunchbase.com/person/moises-shuster,,,,Moises Shuster is a travel agent from Mexico and he is also one of the founders of the International Congress and Convention Association.,,,,,,,,,,,"169,851"
Michael Horowitz,https://www.crunchbase.com/person/michael-horowitz,1,,"Austin, Texas, United States",Michael Horowitz,Individual/Angel,Seed,1,,,,,,,,"169,852"
Business Angels,https://www.crunchbase.com/person/business-angels-bebb,3,,,Business Angels,"Investment Partner, Individual/Angel",,3,2,,,,,,,"169,884"
Robin Van Dijke,https://www.crunchbase.com/person/robin-van-dijke,2,,"The Netherlands, Europe",Robin Van Dijke,Individual/Angel,,2,,,,,,,,"169,886"
Lars Wulff,https://www.crunchbase.com/person/lars-wulff,,,"Olympia, Washington, United States",Lars Wulff is the Founder and Executive Chairman of Mud Bay.,,,,,,,,,,,"169,888"
Nick Chong,https://www.crunchbase.com/person/nick-chong-b98a,4,,,"Nick Chong, Investment Analyst at ParaFi Capital.","Investment Partner, Individual/Angel",,4,2,,,,,,,"169,853"
Ali Tabibian,https://www.crunchbase.com/person/ali-tabibian,1,,"San Francisco, California, United States",Ali Tabibian,Individual/Angel,Seed,1,,,,,,,,"169,854"
Tommy Mello,https://www.crunchbase.com/person/tommy-mello-40cd,,,,Tommy Mello,Investment Partner,,,1,,,,,,,"169,855"
Steven L. Soignet,https://www.crunchbase.com/person/steven-l-soignet,,,"New York, New York, United States",Steven L. Soignet - Founding/ General Partner @ Arcus Ventures,Investment Partner,,,4,,,,,,,"169,856"
Sanjai Vohra,https://www.crunchbase.com/person/sanjai-vohra,3,1,"Hong Kong, Asia",Sanjai Vohra,Individual/Angel,Seed,3,,,,1,,,,"169,891"
Jiaxing Guangrun Guquan Touzi Jijin Guanli Youxian Gongsi,https://www.crunchbase.com/organization/jiaxing-guangrun-guquan-touzi-jijin-guanli-youxian-gongsi,1,,"Jiaxing, Zhejiang, China",Jiaxing Guangrun Guquan Touzi Jijin Guanli Youxian Gongsi engaged in investment management and consulting.,,,1,,,,,,,,"169,857"
Boyett Group,https://www.crunchbase.com/organization/boyett-group,1,,,Boyett Group,,,1,,1,,,,,,"169,890"
Shanghai Oliver Enterprise,https://www.crunchbase.com/organization/shanghai-oliver-enterprise,1,,"Shanghai, Shanghai, China","Shanghai Oliver Enterprise mainly produces down products, specialising in down quilts, down pillows and down cushions.",,,1,,1,,,,,,"169,859"
Sanpower International Medical Group,https://www.crunchbase.com/organization/sanpower-international-medical-group,,,"Guangzhou, Guangdong, China",Sanpower International Medical Group is a specialized medical investment and operation management organization under the Sanpower Group. ,,,,,,,,,,,"169,861"
Lince Capital,https://www.crunchbase.com/person/lince-capital-9ab6,,,,Lince Capital,Investment Partner,,,1,,,,,,,"169,860"
Tongchuang Borun Chuangtou,https://www.crunchbase.com/organization/tongchuang-borun-chuangtou,1,1,"Xian Shi, Shaanxi, China",Tongchuang Borun Chuangtou is an investment firm that provides investment management and consulting services.,,,1,,,,1,,,,"169,863"
Stephane Lopes,https://www.crunchbase.com/person/stephane-lopes,2,1,"São Paulo, Sao Paulo, Brazil",Stephane Lopes - Managing Director @ Credit Suisse,Individual/Angel,Seed,2,,,,1,,,,"169,865"
Hares Youssef,https://www.crunchbase.com/person/hares-youssef,1,,,"Hares Youssef (Arab: حَارِث يُوسف Harith Al-Yusuf, b. August 16, 1964, Syria) is an influential international businessman, philosopher, and ...",Individual/Angel,Seed,1,,,,,,,,"169,896"
Chandan Miskin,https://www.crunchbase.com/person/chandan-miskin,,,"Sydney, New South Wales, Australia","Chandan has over 22+ years of experience in CRM Consulting with 15+ Salesforce.com Strategy, Consulting, Practice Building, Sales & Account ...",,,,,,,,,,,"169,866"
SSVC,https://www.crunchbase.com/organization/ssvc,,,,SSVC is a US-based life sciences investment fund,,,,,,,,,,,"169,900"
Zhuhai Jiuheangran Touzi Guanli Youxian Gongsi,https://www.crunchbase.com/organization/zhuhai-jiuheangran-touzi-guanli-youxian-gongsi,1,,"Zhuhai, Guangdong, China",Zhuhai Jiuheangran Touzi Guanli Youxian Gongsi is an investment management firm.,,,1,,,,,,,,"169,867"
The Texas Technology Development Center,https://www.crunchbase.com/organization/the-texas-technology-development-center-2,,,"San Antonio, Texas, United States","The Texas Technology Development Center is a venture capital firm specializing in startup, early stage investments.",Venture Capital,,,,,,,,,,"169,869"
Lil Durk,https://www.crunchbase.com/person/lil-durk-d86e,1,,,Lil Durk,Individual/Angel,,1,,,,,,,,"169,868"
@Sillytuna Angel Investor,https://www.crunchbase.com/person/sillytuna-angel-investor,1,,,@Sillytuna Angel Investor,Individual/Angel,,1,,,,,,,,"169,870"
Gary St. Hilaire,https://www.crunchbase.com/person/gary-st-hilaire,,,"Mechanicsburg, Pennsylvania, United States",Gary St. Hilaire is the President and Chief Executive Officer of Horizon Blue Cross Blue Shield of New Jersey. Gary St. attended Southern Ne...,,,,,,,,,,,"169,872"
"Shenzhen Yunchuang Tiancheng Keji Fuwu Co., Ltd",https://www.crunchbase.com/organization/shenzhen-yunchuang-tiancheng-keji-fuwu-co-ltd,1,,"Shenzhen, Guangdong, China","Shenzhen Yunchuang Tiancheng Keji Fuwu Co., Ltd is a technology development and technical consulting for automotive electronic products.",,,1,,,,,,,,"169,873"
Paloma Partners,https://www.crunchbase.com/organization/paloma-partners,,,"New City, New York, United States",Paloma Partners,,,,,,,,,,,"169,874"
Saurabh Jalan,https://www.crunchbase.com/person/saurabh-jalan-ad7c,,,,Saurabh Jalan is Co-Founder of ManageBac.,,,,,,,,,,,"169,875"
Carlos Zucchi,https://www.crunchbase.com/person/carlos-zucchi,1,,"Madrid, Madrid, Spain",Carlos joined ARGIS as Partner and CEO in 2020 after being an investor since 2015. He previously led Advent International’s Argentina office...,Individual/Angel,,1,,,,,,,,"169,876"
Tejinder Virk,https://www.crunchbase.com/person/tejinder-virk-69ab,,,,Tejinder Virk is a co-founder & managing partner at NLX Capital.,Investment Partner,,,1,,,,,,,"169,877"
Willy Braun,https://www.crunchbase.com/person/willy-braun,,,"Paris, Ile-de-France, France",We are hiring! Check out:  https://medium.com/daphni-chronicles/work-daphni-b60b7e510fdf#.y11byq2r0,Investment Partner,,,2,,,,,,,"169,878"
GLse,https://www.crunchbase.com/organization/glse-co,1,,"Daejeon, Taejon-jikhalsi, South Korea",Glyss is planning and delivering creative and efficient sports marketing solutions to its customers in the right time and place .,,,1,,,,,,,,"169,879"
Sam Hanhui Sun,https://www.crunchbase.com/person/sam-hanhui-sun,1,,"Beijing, China, Asia","Sam Hanhui Sun is the Partner of VS Partners, Social entrepreneur.",Individual/Angel,,1,,,,,,,,"169,880"
Chiao Tung Bank,https://www.crunchbase.com/organization/chiao-tung-bank,2,,"Taipei, T'ai-pei, Taiwan","Chiao Tung Bank accepts deposits, issues financial debentures, and provides medium- and long-term loans to enterprises.",Venture Capital,Early Stage Venture,2,,,,,,,,"169,913"
Kolja Mühlberger,https://www.crunchbase.com/person/kolja-mühlberger,1,,"Munich, Bayern, Germany",Kolja Mühlberger,Individual/Angel,,1,,,,,,,,"169,882"
Olga Lozovskaya,https://www.crunchbase.com/person/olga-lozovskaya,,,"San Francisco, California, United States",Olga (Lozovskaya) Kaplan is a Software Investor at Vista Equity Partners. She attended Washington University in St. Louis.,,,,,,,,,,,"169,918"
