Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
FX Capital Group,https://www.crunchbase.com/organization/fx-capital-group,,,"London, England, United Kingdom",FX Capital is a company that offers financial services.,Venture Capital,,,,,,,,,,"90,000"
Kevin Bone,https://www.crunchbase.com/person/kevin-bone-27a9,,,"London, England, United Kingdom","Kevin joined Impact Ventures UK as Partner in September 2016 with 10 years of fund management and private equity experience, most latterly a...",Investment Partner,,,6,,,,,,,"90,002"
Bill Crossan,https://www.crunchbase.com/person/bill-crossan,,,"London, England, United Kingdom","Bill founded GCP in 1999 and chairs the investment committee. He has over 30 years’ experience investing in growing mid-market companies, bo...",,,,,,,,,,,"90,003"
Libra Capital Ventures,https://www.crunchbase.com/organization/libra-capital-ventures,1,,"Singapore, Central Region, Singapore",Libra Capital Ventures is a venture capital firm.,Venture Capital,Early Stage Venture,1,,,,,,,,"90,019"
Alison Riske Amritraj,https://www.crunchbase.com/person/alison-riske-amritraj,2,,,Alison Riske Amritraj,Individual/Angel,,2,,,1,,,,,"90,014"
Dorian Merritt,https://www.crunchbase.com/person/dorian-merritt,,,"San Francisco Bay Area, California, United States",Dorian Merritt joined Tenaya Capital in September 2017 and has 20 years of experience in finance and accounting. She started her career at P...,,,,,,,,,,,"90,015"
Michio Fujimura,https://www.crunchbase.com/person/michio-fujimura,,,"Redwood City, California, United States","Michio is a Director Emeritus and former Managing Director of ATA, including participation in ATA’s first two funds, from the firm’s foundin...",,,,,,,,,,,"90,016"
Gonzalo Costa,https://www.crunchbase.com/person/gonzalo-costa,,,"Argentina, Sao Paulo, Brazil",Gonzalo has experience in private equity and venture capital. He has been providing consulting services related to management and strategy f...,,,,,,,,,,,"90,017"
Cloud Incubator Hub,https://www.crunchbase.com/organization/cloud-incubator-hub,,,"Cartagena, Murcia, Spain",HUB is a Cloud Incubator Accelerator Startups and entrepreneurial projects in seed stage.,"Accelerator, Co-Working Space, Entrepreneurship Program, University Program","Early Stage Venture, Non Equity Assistance, Seed",,,,,,Online,2023-01-31,12,"90,020"
Kumar Abhishek,https://www.crunchbase.com/person/kumar-abhishek,1,,"Bengaluru, Karnataka, India",Kumar Abhishek - Founder & CEO @ ToneTag,Individual/Angel,Seed,1,,,,,,,,"90,000"
HMP Partners,https://www.crunchbase.com/organization/hmp-partners-f259,1,,,Investment Firm,,,1,,,1,,,,,"90,025"
Alban Wyniecki,https://www.crunchbase.com/person/alban-wyniecki,,,"Paris, Ile-de-France, France","Alban is head of Idinvest Growth Fund. Before joining Idinvest in November 2016, Alban spent two years at Partech Ventures, where he source...",Investment Partner,Late Stage Venture,,11,,,,,,,"90,024"
Al Faisaliah Ventures,https://www.crunchbase.com/organization/al-faisaliah-ventures,2,,,Al Faisaliah Ventures is created Corporate Ventures Capital arm of Al Faisaliah Group.,Venture Capital,,2,,1,,,,,,"90,002"
William E. Johnson,https://www.crunchbase.com/person/william-e-johnson,,,"Atlanta, Georgia, United States","William E. ""Bill"" Johnson is CEO of Citi Retail Services, which provides consumer and commercial credit products and services, including pri...",,,,,,,,,,,"90,003"
Beehive Equity Ltd.,https://www.crunchbase.com/organization/beehive-equity-ltd,1,,"Blackburn, Lancashire, United Kingdom",Beehive Equity Ltd. operates as an investment firm.,,,1,,1,,,,,,"90,005"
Agricultural Fund of China,https://www.crunchbase.com/organization/agricultural-fund-of-china,3,,"Beijing, Beijing, China",Agricultural Fund of China is a private equity fund that focuses on investment in the agricultural industry.,Venture Capital,Early Stage Venture,3,,,,,,,,"90,006"
Damian Lamb,https://www.crunchbase.com/person/damian-lamb,,,,"Mr. Lamb is co-Founder and Managing Director of Genesys Capital. He brings a unique experience base, blending skills in both the commercial ...",Investment Partner,,,1,,,,,,,"90,009"
Wolf of Markets,https://www.crunchbase.com/organization/wolf-of-markets,1,,"Liverpool, Liverpool, United Kingdom",Wolf of Markets is a cryptocurrency-based community & research group.,,,1,,,,,,,,"90,033"
Velven Gård AS,https://www.crunchbase.com/organization/velven-gård-as,1,,,Velven Gård AS,,,1,,,,,,,,"90,035"
Alemsah Ozturk,https://www.crunchbase.com/person/alemsah-ozturk,1,,"Istanbul, Turkey, Europe","Alemsah Ozturk is an angel investor of more than ten startup companies in Turkey, including Grupanya, ArcadeMonk, Digital Bureau, and 41?29!...",Individual/Angel,,1,,,,,,,,"90,013"
Luna Doctor,https://www.crunchbase.com/organization/luna-doctor-6fe2,1,,,Luna Doctor provides investment services.,,,1,,,,,,,,"90,014"
Gabriel Schulze,https://www.crunchbase.com/person/gabriel-schulze,,,"Dubai, Dubai, United Arab Emirates",Gabriel Schulze is a Senior Managing Director and Co-Head of Cerberus Frontier.,Investment Partner,,,1,,,,,,,"90,015"
Arun Sarin,https://www.crunchbase.com/person/arun-sarin,5,,"Oakland, California, United States",Sarin has been a member of the Board of Directors since September 2009 and previously served on the Board of Directors from September 1998 t...,Individual/Angel,Seed,5,,1,,,,,,"90,016"
AB Ility,https://www.crunchbase.com/organization/ab-ility,1,,,AB Ility is an invesment comapny.,,,1,,,,,,,,"90,018"
Kuran Malhotra,https://www.crunchbase.com/person/kuran-malhotra,,,"New Jersey, United States, North America","Kuran Malhotra is an investor at Insight Partners with a background in technology and finance. Prior to Insight, Malhotra worked as an execu...",,"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,,,,,,,,"90,044"
