Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
ThuanCapital,https://www.crunchbase.com/organization/thuancapital,1,,"Moon, Virginia, United States",ThuanCapital is a digital currency (Crypto) media unit covering a wide range of Crypto market news and analysis.,,,1,,,,,,,,"76,802"
Access Private Capital,https://www.crunchbase.com/organization/access-private-capital,2,,"Norcross, Georgia, United States",Access Private Capital is the private equity arm of Berkeley Capital Partners.,Private Equity Firm,Private Equity,2,,2,1,,,,,"76,813"
Encinno Capital,https://www.crunchbase.com/organization/encinno-capital,,,"Mexico City, Distrito Federal, Mexico","Encinno Capital is a private equity investment investor that seeks to acquire, operate and grow a mid-sized company.",,,,,,,,,,,"76,816"
Ajay Srinivasan,https://www.crunchbase.com/person/ajay-srinivasan,2,,"Mumbai, Maharashtra, India","Ajay Srinivasan has been the Chief Executive of Aditya Birla Capital Limited, the holding company of the financial services businesses of th...",Individual/Angel,,2,,,,,,,,"76,815"
ENN Energy Holdings,https://www.crunchbase.com/organization/enn-energy-holding,1,,"Langfang, Hebei, China",ENN Energy Holdings is an investment holding company that primarily engages in natural gas distribution business.,,,1,,1,,,,,,"76,834"
Flavin Ventures,https://www.crunchbase.com/organization/flavin-ventures,1,,"Woodridge, Illinois, United States",Flavin Ventures provides entrepreneurial expertise to life science companies expecting to cross the divide between proprietary research,Venture Capital,"Early Stage Venture, Seed",1,,,,,,,,"76,842"
Daniel Jaffe,https://www.crunchbase.com/person/daniel-jaffe-7a5f,,,"Los Angeles, California, United States","Daniel Jaffe is the Partner at 9Yards Capital. Daniel attended the University of California, Los Angeles.",Investment Partner,,,8,,,,,,,"76,802"
ACKERBERG,https://www.crunchbase.com/organization/ackerberg,,,"Minneapolis, Minnesota, United States","Ackerberg is a privately held organization of real estate related development, investment, and management activities.",Private Equity Firm,,,,,,,,,,"76,804"
Reawaken Capital,https://www.crunchbase.com/organization/reawaken-capital,1,,"Miami, Florida, United States",Reawaken Capital is an investment and consultancy firm,Venture Capital,"Early Stage Venture, Seed, Venture",1,,,,,,,,"76,805"
VLX Ventures,https://www.crunchbase.com/organization/vlx-ventures,11,,"Jerusalem, Yerushalayim, Israel","VLX Ventures is an early-stage investment firm, operating a tech incubator that is focused on the ICT and Life Science Industries.",Incubator,,11,,3,,,,,,"76,807"
Startup Angels Network,https://www.crunchbase.com/organization/startup-angels-network,6,,"Gurgaon, Haryana, India",Startup Angels Network is an early-stage fund.,Angel Group,,4,,1,,,,,,"76,808"
