Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Eric Wuestmann,https://www.crunchbase.com/person/eric-wuestmann,,,"Bayport, New York, United States",Eric Wuestmann is the Chief Executive Officer at THQ Nordic. Eric attended Alfred University.,,,,,,,,,,,"141,012"
Massimiliano Aliverti,https://www.crunchbase.com/person/massimiliano-aliverti,,,"Chiasso, Ticino, Switzerland",Massimiliano plays a leading role in Blasting News’ Product Development. He and his team are responsible for the new features and algorithms...,,,,,,,,,,,"141,021"
Abhay Amrute,https://www.crunchbase.com/person/abhay-amrute,3,,,Abhay Amrute,Individual/Angel,,2,,,,,,,,"141,035"
Robert Shilton,https://www.crunchbase.com/person/robert-shilton,,,"Los Angeles, California, United States",Robert Shilton is a vice president for Kayne Anderson Capital Advisors’ growth equity activities. He is primarily responsible for identifyin...,Investment Partner,,,4,,,,,,,"141,039"
John Kole,https://www.crunchbase.com/person/john-kole,,,"Amherst, Massachusetts, United States","John Kole has worked with the Long River Ventures team since 2009 as an advisor and Venture Partner, and then joined Long River Ventures III...",,,,,,,,,,,"141,040"
Soren Lemonius,https://www.crunchbase.com/person/sren-lemonius,,,"Copenhagen, Hovedstaden, Denmark",Soren Lemonius is a partner in the Life Science group and one of the three co-founders. Søren focuses on diagnostics and therapeutics invest...,Investment Partner,,,2,,,,,,,"141,001"
Rong Capital,https://www.crunchbase.com/organization/rong-capital,1,,"Beijing, Beijing, China","Rong Capital started building its internet financial ecosystem 2015, and consists of: Rong Capital Data, Rong Capital Credit.",,,1,,,,,,,,"141,047"
Anton Kononov,https://www.crunchbase.com/person/anton-kononov-2b6d,,,,Anton Kononov is the Founder of FORMEL Skin.,,,,,,,,,,,"141,003"
Jinyang Touzi,https://www.crunchbase.com/organization/jinyang-touzi,2,1,,"Jinyang Touzi provides investment consulting, investment management, and asset management services.",,,2,,,,1,,,,"141,051"
Cytiholding,https://www.crunchbase.com/organization/cyti-holding,3,1,,Cytiholding is an investment group managed by Michel Delloye with a focus on private equity.,,,3,,,,1,,,,"141,004"
Shandong Hongqiao,https://www.crunchbase.com/organization/shandong-hongqiao,5,,"Laiwu, Shandong, China",Shandong Hongqiao is a venture capital management company.,Venture Capital,,5,,1,,,,,,"141,056"
Umar AbdulHamid,https://www.crunchbase.com/person/umar-abdulhamid,1,,"Singapore, Central Region, Singapore",Umar Abdul Hamid is a Venture Partner at Spark Labs.,Individual/Angel,Seed,1,,,,,,,,"141,005"
Reinhardt Olsen,https://www.crunchbase.com/person/reinhardt-olsen-824b,1,,,Reinhardt Olsen,Individual/Angel,,1,,,,,,,,"141,006"
Darren Johnson,https://www.crunchbase.com/person/darren-johnson-3,1,,"San Diego, California, United States","Darren Johnson is the Founder of Top Agent Connection, GetDarren, ReferZip, and CovMD, the Marketing & Technology at Vessel, Growth Hacker, ...",Individual/Angel,Seed,1,,,,,,,,"141,007"
Danny Williamson,https://www.crunchbase.com/person/danny-williamson,,,"London, England, United Kingdom","Investment Director, joined CVC in 2015. Daniel is a member of the CVC Telecommunications, Media & Technology group and is based in London. ...",,,,,,,,,,,"141,009"
Justin Wilder,https://www.crunchbase.com/person/justin-wilder,,,"Arlington, Virginia, United States","Justin Wilder is Senior Vice President Leading the Cyber Practice at In-Q-Tel, an independent, non-profit, strategic investment firm that id...",Investment Partner,"Early Stage Venture, Seed",,2,,,,,,,"141,010"
David Helgerson,https://www.crunchbase.com/person/david-helgerson-b92b,1,,"Bala Cynwyd, Pennsylvania, United States",David Helgerson is a Co-Head of Impact Investing at Hamilton Lane.,"Investment Partner, Individual/Angel",,1,1,,,,,,,"141,011"
Doug Kelly,https://www.crunchbase.com/person/doug-kelly,,,"San Francisco Bay Area, California, United States","Doug Kelly is the Deputy Director for Science, Center for Devices and Radiological Health at FDA.",Investment Partner,,,3,,,,,,,"141,012"
