Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Trans-Continental Venture Fund,https://www.crunchbase.com/organization/trans-continental-venture-fund,4,,"Worli, Maharashtra, India",Trans-Continental Venture Fund invests in high-quality start-ups and emerging companies.,Venture Capital,Early Stage Venture,4,,4,,,,,,"123,601"
Geoff Schneider,https://www.crunchbase.com/person/geoff-schneider-2,,,"New York, New York, United States","Geoff Schneider is the Founder and Managing Partner, Cava Capital, Co-Founder and CEO of GoSaga,Inc..",Investment Partner,,,8,,,,,,,"123,608"
Philippe Charrier,https://www.crunchbase.com/person/philippe-charrier,,,"France, Europe","Philippe Charrier is the Chairman and Chief Executive Officer at ORPEA, a Founding President of Clubhouse France, and President at ALPHIDENT...",,,,,,,,,,,"123,614"
Creators Expedition,https://www.crunchbase.com/organization/creators-expedition,,,"Graz, Steiermark, Austria","Creators Expedition drives automotive startups and cutting edge technologies in the area of Electric Mobility, Autonomous Driving.",Accelerator,,,,,,,,,,"123,616"
"Jilin Anjie Environmental Protection Co., Ltd.",https://www.crunchbase.com/organization/jilin-anjie-environmental-protection-co-ltd,1,,"Changchun, Jilin, China",Jilin Anjie Environmental Protection provides environmental protection solutions.,,,1,,,,,,,,"123,620"
Healthcare Equity Partners,https://www.crunchbase.com/organization/healthcare-equity-partners,3,1,"Chicago, Illinois, United States","Healthcare Equity Partners, L.P. is a fund specializes in providing capital to growth companies.",Private Equity Firm,,2,,,,1,,,,"123,626"
Debonair Capital LP,https://www.crunchbase.com/organization/debonair-capital-lp,,,"New York, New York, United States",Debonair Capital LP invests in real estate in the United States on behalf of investors in Africa.,Private Equity Firm,,,,,,,,,,"123,627"
Rossella Blatt Vital,https://www.crunchbase.com/person/rossella-blatt-vital,1,,"Chicago, Illinois, United States",Rossella Blatt Vital is a Sr Director of Artificial Intelligence at Levi Strauss & Co.,Individual/Angel,,1,,,,,,,,"123,632"
Scott Gray,https://www.crunchbase.com/person/scott-gray-9bcd,,,,Scott Gray is the Founder of Genie and Head of NFT Products at Uniswap Labs.,Investment Partner,,,1,,,,,,,"123,633"
Swissfirst Bank AG,https://www.crunchbase.com/organization/swissfirst-bank-ag,3,1,"Zürich, Zurich, Switzerland",Swissfirst Bank AG provides banking services.,,,2,,1,,1,,,,"123,634"
