Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Rob Rousseau,https://www.crunchbase.com/person/rob-rousseau,,,"Rotterdam, Zuid-Holland, The Netherlands",Rob Rousseau became part of the henQ family in September 2017. Before becoming part of the team he studied Aerospace Engineering at Delft Un...,Investment Partner,,,3,,,,,,,"138,000"
Marissa Hermer,https://www.crunchbase.com/person/marissa-hermer-fef5,1,,"Los Angeles, California, United States",OWNER,Individual/Angel,,1,,,,,,,,"138,002"
Alliance Digital Fund (ADF),https://www.crunchbase.com/organization/alliance-digital-fund-adf,,,"Praha, Hlavni mesto Praha, Czech Republic",Alliance Digital Fund is a company incorporated under the laws of the Czech Republic.,Venture Capital,,,,,,,,,,"138,004"
Wintool,https://www.crunchbase.com/organization/wintool,1,,"Nanchangshi, Jiangxi, China",Wintool is a professional precision tool manufacturer.,,,1,,,,,,,,"138,016"
Olivetta,https://www.crunchbase.com/organization/olivetta-2dd8,1,,,Olivetta is a venture capital firm.,Private Equity Firm,,1,,,,,,,,"138,021"
9C Capital,https://www.crunchbase.com/organization/9c-capital,17,1,"Beijing, Beijing, China","9C Capital is a venture capital firm specializing in early stage investments in the consumer, technology, media, and internet sector.",Venture Capital,Early Stage Venture,14,,,,1,,,,"138,023"
Jobs and Prosperity Fund,https://www.crunchbase.com/organization/jobs-and-prosperity-fund,1,1,,Jobs and Prosperity Fund,,,1,,1,,1,,,,"138,022"
InvestBAN,https://www.crunchbase.com/organization/investban,,,"San Sebastián De Los Reyes, Madrid, Spain",Meeting platform for investors and entrepreneurs.,Angel Group,,,,,,,,,,"138,027"
José Luis Silva Vázquez,https://www.crunchbase.com/person/jose-luis-silva,,,"Mexico, North America",José Luis Silva Vázquez is a Co-Founder and Managing Partner at Dux Capital.,Investment Partner,,,4,,,,,,,"138,029"
Acoustic Link,https://www.crunchbase.com/organization/acoustic-link,2,,"Shenzhen, Guangdong, China",Acoustic Link is a system solution provider based on lean manufacturing of intelligent products.,,,2,,,,,,,,"138,032"
Jeffrey Deakins,https://www.crunchbase.com/person/jeffrey-deakins-66a8,,,"Chicago, Illinois, United States",Jeffrey Deakins is the Director of IT Security at Marmon Holdings.,,,,,,,,,,,"138,035"
John Wang,https://www.crunchbase.com/person/john-wang-hk,,,,"Prior to joining Ascendent, Mr. Wang was a Director at Bank of America Merrill Lynch and head of the firm’s China M&A practice, where he foc...",,,,,,,,,,,"138,039"
Cooper,https://www.crunchbase.com/organization/cooper-1c78,1,,,Cooper is the company behind the iconic Mini Cooper.,,,1,,,,,,,,"138,042"
Shai Avnit,https://www.crunchbase.com/person/shai-avnit,1,1,"Aba, Abia, Nigeria",CFO at Safe-T.,Individual/Angel,,1,,,,1,,,,"138,045"
Ummey Salma Raaya,https://www.crunchbase.com/person/ummey-salma-raaya,,,"Khulna, Bangladesh, Asia","Ummey Salma Raaya, a prominent Bangladeshi writer. She has etched her name in the annals of literature and business alike. As the CEO of Kar...",,,,,,,,,,,"138,047"
Betsy Bland,https://www.crunchbase.com/person/betsy-bland,,,"San Francisco, California, United States",Betsy Bland is the Chief Operating Officer at Wellthy. She attended Stanford University Graduate School of Business.,Investment Partner,,,1,,,,,,,"138,055"
