Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Graham Stirling,https://www.crunchbase.com/person/graham-stirling,1,,"Gibraltar, Gibraltar, Gibraltar",Graham Stirling is the Manager - Investments at Veddis.,Individual/Angel,Seed,1,,,,,,,,"183,600"
King WhatsApp Gold,https://www.crunchbase.com/person/king-whatsapp-gold,,,"Pakistan, Asia","A website that provides downloading access to all updates of different versions of King WhatsApp for Android and iPhone devices, such as KIW...",,Seed,,,,,,,,,"183,601"
Alex Tryg,https://www.crunchbase.com/person/olexander-trygubenko,,,"London, England, United Kingdom",Entrepreneur | Investor | Founder I help to convert natural wealth into financial wealth in a sustainable way for our planet. 10+ years o...,,,,,,,,,,,"183,603"
Eleonore Cluzel,https://www.crunchbase.com/person/eleonore-cluzel,,,"New York, New York, United States","Eleonore Cluzel, director of gBETA Houston",Investment Partner,,,5,,,,,,,"183,604"
R. Michael Crill,https://www.crunchbase.com/person/r-michael-crill,1,,,Mike is the Managing Director for Atlas Accelerator and has served as a part-time CFO for over 90 companies to include RVM Scientific (sold ...,Individual/Angel,Seed,1,,,,,,,,"183,605"
Carolyn Campbell,https://www.crunchbase.com/person/carolyn-campbell,,,"Washington, District of Columbia, United States",Carolyn Campbell is a Managing Director and Founding Partner of Emerging Capital Partners (ECP). Having raised over $2.5 billion for investm...,,,,,,,,,,,"183,606"
Jan Sherman,https://www.crunchbase.com/person/jan-sherman-dffd,,,"Sugar Land, Texas, United States",Jan Sherman is a Chief Development Officer at Carbonvert Inc. She attended Texas A&M University.,,,,,,,,,,,"183,607"
Hiroshi Mikitani,https://www.crunchbase.com/person/hiroshi-mikitani-625b,1,,,Hiroshi Mikitani is the Co-founder and CEO of Rakuten Fits Me.,Individual/Angel,,1,,,,,,,,"183,609"
William Sipper,https://www.crunchbase.com/person/william-sipper,,,"Ramsey, New Jersey, United States","William Sipper is a global beverage industry, award-winning sales and marketing and operations expert. He has had leadership roles with Evia...",,,,,,,,,,,"183,608"
Xavier ekkel,https://www.crunchbase.com/person/xavier-ekkel-7d72,1,,,Xavier ekkel is a indiviual investor.,Individual/Angel,,1,,,,,,,,"183,610"
Laurent Maisonnave,https://www.crunchbase.com/person/laurent-maisonnave,,,"Montréal, Quebec, Canada","Serial startup entrepreneur, senior tech executive and investor, I love to build scalable tech products, lead multi-function product and dev...",,"Early Stage Venture, Seed",,,,,,,,,"183,611"
Roman Piszcz,https://www.crunchbase.com/person/roman-piszcz-8009,,,"Livermore, California, United States",Roman Piszcz is the Founder & CEO at Quotebeam. Roman attended Stanford University.,,,,,,,,,,,"183,614"
Hirogin Capital Partners,https://www.crunchbase.com/organization/hirogin-capital-partners,1,,"Hiroshima-shi, Hiroshima, Japan",Hirogin Capital Partners provides financial support through equity finance and management support centered on temporary staffing.,"Private Equity Firm, Secondary Purchaser, Venture Capital",,1,,,,,,,,"183,616"
Giacomo Perotta,https://www.crunchbase.com/person/giacomo-perotta,1,,,Giacomo Perotta,Individual/Angel,,1,,,,,,,,"183,617"
Ziad Noujaim,https://www.crunchbase.com/person/ziad-noujaim-5e64,,,,Ziad Noujaim of Lacerta Partners.,Investment Partner,,,1,,,,,,,"183,618"
Peter Jarrett,https://www.crunchbase.com/person/peter-jarrett,,,"Brisbane, Queensland, Australia","General Manager at Business Aspect, a Data#3 Company. I help business leaders manage growth and team productivity by driving IT Strategy, Op...",,,,,,,,,,,"183,619"
Guangzhou Zhonghuan Guigu Keji Touzi Hehou Qiye,https://www.crunchbase.com/organization/guangzhou-zhonghuan-guigu-keji-touzi-hehou-qiye,1,,"Huangpu, Guangdong, China","Guangzhou Zhonghuan Guigu Keji Touzi Hehou Qiye offers construction, investment and environmental protection services.",,,1,,1,,,,,,"183,620"
The Cook Foundation,https://www.crunchbase.com/organization/the-cook-foundation,1,,"Gloucester, Virginia, United States",The Cook Foundation nurtures and sponsors the arts.,,,1,,1,,,,,,"183,621"
Coastal Capital,https://www.crunchbase.com/organization/jiangsu-coastal-capital,7,1,"Nanjing, Jiangsu, China",Coastal Capital is an investment firm based in China.,Venture Capital,Early Stage Venture,7,,2,,1,,,,"183,622"
Din Mustaffa,https://www.crunchbase.com/person/din-mustaffa,,,,"Din Mustaffa, Chief Strategy Officer at FNZ Group.",Investment Partner,,,3,,,,,,,"183,623"
MAK Investment Trust,https://www.crunchbase.com/organization/mak-investment-trust,1,,,Discretionary Investment Trust,,,1,,,,,,,,"183,625"
Erik Balck Sørensen,https://www.crunchbase.com/person/erik-sørensen,,,"Copenhagen, Hovedstaden, Denmark","Responsible for new investments and business development within the ICT portfolio. Co-founder of Billetto.dk, Downtown.dk, BloggersDelight.d...",Investment Partner,,,3,,,,,,,"183,627"
Eric Garcia,https://www.crunchbase.com/person/eric-garcia-2,,,"San Francisco, California, United States",Eric Garcia is the Founder at Harvest Growth Capital. Eric attended Stanford University.,Investment Partner,,,1,,,,,,,"183,628"
Ryan Gonzales,https://www.crunchbase.com/person/ryan-gonzales,,,"Los Angeles, California, United States",Ryan Gonzales is the current CEO of xdFlo. He previously worked at Shine Bathroom as Director of Design.,,Early Stage Venture,,,,,,,,,"183,630"
Ronen Yehoshua,https://www.crunchbase.com/person/ronen-yehoshua,,,"Be'er Sheva, HaDarom, Israel",Yehoshua joined Cedar in 2006. Ronen brings to Cedar over 15 years of technology and investment experience in the communications and softwar...,Investment Partner,,,3,,,,,,,"183,631"
Shenzhenshi Qianhai Dege Touzi Qiye,https://www.crunchbase.com/organization/shenzhenshi-qianhai-dege-touzi-qiye,1,1,"Shenzhen, Guangdong, China",Shenzhenshi Qianhai Dege Touzi Qiye engaged in investment management and consulting service.,,,1,,,,1,,,,"183,632"
Gongqingcheng Angcheng Touzi,https://www.crunchbase.com/organization/gongqingcheng-angcheng-touzi,1,,"Shanghai, Shanghai, China",Gongqingcheng Angcheng Touzi is an investment firm.,,,1,,1,,,,,,"183,600"
Thorsten Grenz,https://www.crunchbase.com/person/thorsten-grenz,1,,"Germany, Europe",Thorsten Grenz,Individual/Angel,,1,,,,,,,,"183,633"
Richard Delgado,https://www.crunchbase.com/person/richard-delgado,,,"Dallas, Texas, United States","Richard Delgado is an entrepreneur, investor, and advisor who partners with early-stage companies to bring innovative ideas and technologies...",,,,,,,,,,,"183,606"
Meriwether Beckwith,https://www.crunchbase.com/person/meriwether-beckwith,,,"London, England, United Kingdom","Meriwether joined Oxford Capital as part of the growth capital team, where he sources potential investment opportunities, and supports exist...",Investment Partner,,,4,,,,,,,"183,634"
Val Stoyanov,https://www.crunchbase.com/person/val-stoyanov,,,"United States, North America","With over 20 years of experience in strategic and technical privacy and cyber security, Val has the breadth and depth of experience needed t...",,,,,,,,,,,"183,636"
BFS Partners Inc.,https://www.crunchbase.com/organization/bfs-partners-inc,1,1,,Private Investment Firm located in state of Washington.,,,1,,,,1,,,,"183,610"
FERMAT INVERSIONES,https://www.crunchbase.com/organization/fermat-inversiones,,,,Holding company,,,,,,,,,,,"183,637"
Amira Pro Event Production,https://www.crunchbase.com/person/amira-pro-amirapro,,,"Jakarta, Jakarta Raya, Indonesia",Amira Pro ( Amira Tent ) adalah perusahan yang sudah berdiri sejak tahun 2006 yang bergerak dibidang sewa tenda pesta dan sewa berbagai perl...,,,,,,,,,,,"183,638"
Dongyang Wenhan,https://www.crunchbase.com/organization/dongyang-wenhan,1,1,"Jinhua, Zhejiang, China",Dongyang Wenhan is a film and television production company.,,,1,,,,1,,,,"183,612"
Argyrios Spyridis,https://www.crunchbase.com/person/argyrios-spyridis,,,"Greece, Europe",Argyris has more than 20 years experience as a coach and mentor for all levels of businesses – from Startup to MME. He is currently CEO of A...,,,,,,,,,,,"183,639"
Andy Tong,https://www.crunchbase.com/person/andy-tong,,,"San Leandro, California, United States",Andy Tong is serial entrepreneur well known for his success in the video game industry as CEO and Founder of top online game portal MMOABC w...,,,,,,,,,,,"183,641"
Feng Yao,https://www.crunchbase.com/person/feng-yao-7adb,,,,Feng Yao is the managing director of Yunqi Venture Partners,Investment Partner,,,2,,,,,,,"183,617"
Noranda Income Fund,https://www.crunchbase.com/organization/noranda-income-fund,,,"Toronto, Ontario, Canada","The Fund owns the electrolytic zinc processing facility and ancillary assets located in Salaberry-de-Valleyfield, Québec.",,,,,,,,,,,"183,618"
Geri Schuster,https://www.crunchbase.com/person/geri-schuster,1,,"Pontal Do Paraná, Parana, Brazil",Geri Schuster,Individual/Angel,Private Equity,1,,,,,,,,"183,643"
Carla Valdes,https://www.crunchbase.com/person/carla-valdes,,,"Gainesville, Virginia, United States",Carla Valdes is the Founder at Handpressions and Director Of User Experience at imre. She previously worked as the General Partner at Fortif...,,,,,,,,,,,"183,619"
Imran Khan,https://www.crunchbase.com/person/imran-khan,,,,Imran Khan is a Managing Director and Global Head of Internet equity research at J.P. Morgan.,,,,,,,,,,,"183,645"
Scott Ames,https://www.crunchbase.com/person/scott-ames,,,,"Mr. Ames is a Principal at Blue Sea Capital. Scott assists with identifying, evaluating and executing investment opportunities as well as pr...",Investment Partner,,,2,,,,,,,"183,646"
Pauline Andriejanssen,https://www.crunchbase.com/person/pauline-andriejanssen,,,,Pauline Andriejanssen - Investor @ B Capital,,,,,,,,,,,"183,648"
Malcolm Potts,https://www.crunchbase.com/person/malcolm-potts,1,1,"Toronto, Ontario, Canada",Malcolm Potts,Individual/Angel,Seed,1,,,,1,,,,"183,649"
Paul Basil,https://www.crunchbase.com/person/paul-basil,,,"Bangalore, Karnataka, India","Paul Basil founded Villgro in 2001 with the mission of incubating early-stage, innovative businesses and has since worked in discovering tho...",,,,,,,,,,,"183,650"
Beijing Hejubian Keji,https://www.crunchbase.com/organization/beijing-hejubian-keji,1,,"Beijing, Beijing, China","Beijing Hejubian Keji is a company engaged in technology promotion services, product design, software development and others.",,,1,,,,,,,,"183,651"
Jiaxing Yanhai Chuangye Touzi Hehuo Qiye,https://www.crunchbase.com/organization/jiaxing-yanhai-chuangye-touzi-hehuo-qiye,1,1,"Jiaxing, Zhejiang, China",Jiaxing Yanhai Chuangye Touzi Hehuo Qiye operates as an investment firm.,,,1,,,,1,,,,"183,652"
SA Angels,https://www.crunchbase.com/organization/sa-angels,,,"Adelaide, South Australia, Australia",SA Angels Inc is an Adelaide (South Australia) based business angel group. We are a group of sophisticated investors interested in,Angel Group,,,,,,,,,,"183,653"
Morgan O'Malley,https://www.crunchbase.com/person/morgan-o-malley,,,"Denver, Colorado, United States",Morgan O'Malley is the Co-Founder of RampUp.,,,,,,,,,,,"183,626"
james semaj,https://www.crunchbase.com/person/james-semaj-e780,,,,james semaj,,,,,,,,,,,"183,654"
Anthony P. Adamis,https://www.crunchbase.com/person/anthony-p-adamis,,,"New York, New York, United States",Anthony P. Adamis is the Co-founder of Eyebiotech.,,,,,,,,,,,"183,655"
Qichu Medical,https://www.crunchbase.com/organization/qichu-medical,1,,"Beijing, Beijing, China",Qichu Medical is an investment firm.,,,1,,1,,,,,,"183,656"
Abhishek Vishwakarma,https://www.crunchbase.com/person/abhishek-vishwakarma-2122,,,"Ghazipur, Uttar Pradesh, India","Abhishek vishwakarma is a young successful entrepreneur, Networker, Leadership consultant   has started his business journey at the young ag...",,,,,,,,,,,"183,657"
Real Design,https://www.crunchbase.com/organization/real-design,2,,"Foshan, Guangdong, China","Real Design is an enterprise focusing on the research and development, manufacturing and sales of home appliance controllers.",,,2,,1,,,,,,"183,659"
American Financial and Retirement Services,https://www.crunchbase.com/organization/american-financial-and-retirement-services,,,"Midland, Texas, United States",American Financial and Retirement Services aims to help people make their assets grow safely.,,,,,,,,,,,"183,641"
Nico Paraskevas,https://www.crunchbase.com/person/nico-paraskevas,2,,,Nico Paraskevas is a former senior executive at Glencore.,Individual/Angel,,1,,1,,,,,,"183,661"
Karen Adame,https://www.crunchbase.com/person/karen-adame,,,,Successful Chief Financial Officers have multi-faceted business experiences. Karen Adame’s background is a testament to this. Her 26-year...,,,,,,,,,,,"183,662"
Peter Jungbeck,https://www.crunchbase.com/person/peter-jungbeck,,,"Skane, Varmlands Lan, Sweden",Peter Jungbeck is the Founder and CEO of Scanicus Invest AB.,,Seed,,,,,,,,,"183,660"
Joe Rando,https://www.crunchbase.com/person/joe-rando,1,,"Attleboro, Massachusetts, United States",Joe Rando is the Founder & CEO at LifeStarr. He attended University of Connecticut.,"Investment Partner, Individual/Angel",,1,4,,,,,,,"183,645"
Jason Cho,https://www.crunchbase.com/person/jason-cho-d709,,,"Singapore, Asia","Jason Cho, managing director at STIC Investments.",Investment Partner,,,1,,,,,,,"183,664"
Tamara Warren,https://www.crunchbase.com/person/tamara-warren-1,,,"Brooklyn, New York, United States",Tamara Warren,,,,,,,,,,,"183,650"
