Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Acasia Angels,https://www.crunchbase.com/organization/acasia-angels,2,,"Cairo, Al Qahirah, Egypt",An angel investing platform empowered by a global community of angel investors.,Angel Group,"Early Stage Venture, Seed",2,,,,,,,,"57,605"
Usen-Next Holdings,https://www.crunchbase.com/organization/usen-next-holdings,2,,"Tokyo, Tokyo, Japan","USEN-NEXT GROUP has expanded its business domain through management integration, so it has developed business in six segments.",,,2,,1,,,,,,"57,607"
Tetuan Valley,https://www.crunchbase.com/organization/tetuan-valley,,,"Madrid, Madrid, Spain",Tetuan Valley is a non-for-profit pre-accelerator program that promotes local entrepreneurship and regional development.,Accelerator,Seed,,,,,,On-Site,2020-03-26,6,"57,618"
Oliver Miao,https://www.crunchbase.com/person/oliver-miao,1,,"Mountain View, California, United States","Oliver Miao is a mobile games entrepreneur.  His first company, Centerscore, started creating mobile games on emulator devices in 2001.  Aft...",Individual/Angel,,1,,,,,,,,"57,619"
The Sputnik Group,https://www.crunchbase.com/organization/the-sputnik-group,1,,"Moscow, Moscow City, Russian Federation",The Sputnik Group seeks to identify and to execute investment opportunities and advisory mandates both in Russia/CIS and in Europe,,,1,,,,,,,,"57,621"
City of Rahway,https://www.crunchbase.com/organization/city-of-rahway,1,1,"Rahway, New Jersey, United States",City of Rahway is a city in southern union county of new jersey.,,,1,,,,1,,,,"57,623"
BlackPines Capital Partners,https://www.crunchbase.com/organization/blackpines-capital-partners,3,,"Vancouver, British Columbia, Canada",BlackPines Capital Partners helps owners and leaders of private and public companies materially improve the outcomes of their investments.,Venture Capital,Early Stage Venture,1,,1,,,,,,"57,635"
Alexander Christen,https://www.crunchbase.com/person/alexander-christen-8cc1,,,"Zurich, Switzerland, Europe",Alexander Christen joined Deeptech Ventures as Co-Founder and he attended University of St.Gallen in 2009.,Investment Partner,,,3,,,,,,,"57,634"
Springhouse Capital,https://www.crunchbase.com/organization/springhouse-capital,,,"Franklin, Tennessee, United States",Spring House Capital is a New York based investment firm that provides superior investment returns.,Venture Capital,,,,,,,,,,"57,600"
BGG Capital,https://www.crunchbase.com/organization/bgg-capital,,,"Bellevue, Washington, United States",BGG Capital is a privately owned investment management firm focused on private debt and opportunisitic credit strategies.,,"Debt, Secondary Market",,,,,,,,,"57,602"
Leading Venture Capital,https://www.crunchbase.com/organization/qifan-venture-capital,3,,,Leading Venture Capital is an Investment firm.,Venture Capital,,3,,1,,,,,,"57,645"
Tensile Investments,https://www.crunchbase.com/organization/tensile-investments,2,,"New York, New York, United States",Tensile Investments is an impact-driven holding company that collaborates with municipalities and communities.,"Private Equity Firm, Venture Capital","Early Stage Venture, Private Equity",1,,,,,,,,"57,606"
Bure Equity AB,https://www.crunchbase.com/organization/bure-equity-ab,8,3,"Stockholm, Stockholms Lan, Sweden","Bure is an investment company focused on the communications, textiles, training, and education industries.",Private Equity Firm,Private Equity,7,,1,2,3,,,,"57,607"
Peter Harrison,https://www.crunchbase.com/person/peter-harrison,1,,"Ponte Vedra Beach, Florida, United States",Peter Harrison has over 35 years of executive and investment experience spanning the private and public technology sectors. Mr. Harrison is ...,"Investment Partner, Individual/Angel",Private Equity,1,1,,,,,,,"57,608"
