Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Hans Hemmingsson,https://www.crunchbase.com/person/hans-hemmingsson,,,"Stockholm, Stockholms Lan, Sweden",Hans Hemmingsson - Board Member @ Unikum.net,,,,,,,,,,,"256,204"
Funmi Oyetunji,https://www.crunchbase.com/person/funmi-oyetunji,,,,Funmi Oyetunji,Investment Partner,,,1,,,,,,,"256,206"
Robb Merritt,https://www.crunchbase.com/person/robb-merritt-2670,,,,Robb Merritt,,,,,,,,,,,"256,202"
Paul Wahlberg,https://www.crunchbase.com/person/paul-wahlberg,,,"Boston, Massachusetts, United States",Paul Wahlberg,,,,,,,,,,,"256,209"
Reed Probst,https://www.crunchbase.com/person/reed-probst-d581,1,,,Reed Probst,Individual/Angel,,1,,,,,,,,"256,200"
John Schaufele,https://www.crunchbase.com/person/john-schaufele-df5b,,,,John Schaufele,Investment Partner,,,1,,,,,,,"256,203"
Junichi Ryusekido,https://www.crunchbase.com/person/junichi-ryusekido,,,,Junichi Ryusekido,,,,,,,,,,,"256,201"
Bruno Jacquemin,https://www.crunchbase.com/person/bruno-jacquemin,1,,,Bruno Jacquemin - Pentalabbs Partner @ Pentalabbs,Individual/Angel,,1,,,,,,,,"256,216"
Stephen Wild,https://www.crunchbase.com/person/stephen-wild,,,"Bolton, United Kingdom, Europe",Stephen Wild,,,,,,,,,,,"256,207"
Clarissa Vieira,https://www.crunchbase.com/person/clarissa-vieira,,,"São Paulo, Sao Paulo, Brazil",Clarissa Vieira is a Co-Founder at KeyCash.,,,,,,,,,,,"256,208"
Shin Ah Jung,https://www.crunchbase.com/person/shin-ah-jung,,,"Gyeongju, Kyongsang-bukto, South Korea",Shin Ah Jung,Investment Partner,,,1,,,,,,,"256,210"
Michael Zang- Gandor,https://www.crunchbase.com/person/michael-zang-gandor,,,"Zurich, Switzerland, Europe",Michael Zang- Gandor,,,,,,,,,,,"256,215"
Abdul Rehman,https://www.crunchbase.com/person/abdul-rehman-9003,,,,A passionate mobile app enthusiast and a visionary in the mobile app sphere. Leads our team with a blend of innovation and practical know-ho...,,,,,,,,,,,"256,210"
Nicolò S. Pudel,https://www.crunchbase.com/person/nicolò-s-pudel,,,"Cape Town, NA - South Africa, South Africa",Nicolò S. Pudel is the Founder and Board Member at Port2Port.wine.,,,,,,,,,,,"256,233"
Pedro Fraga,https://www.crunchbase.com/person/pedro-fraga,,,"Lisbon, Lisboa, Portugal",Pedro Fraga - Partner @ BrainTrust,,,,,,,,,,,"256,230"
Josh Holloway,https://www.crunchbase.com/person/josh-holloway,,,,Josh Holloway,,,,,,,,,,,"256,229"
Pol Martin,https://www.crunchbase.com/person/pol-martin,,,,Pol Martin,,,,,,,,,,,"256,212"
