Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Bruce Shalett,https://www.crunchbase.com/person/bruce-shalett,,,"New York, New York, United States","Bruce Shalett graduated with a B.S. in Economics from the University of Pennsylvania’s Wharton School in 1988, and earned his MBA at Harvard...",,,,,,,,,,,"171,000"
Florida Angel Investment Alliance,https://www.crunchbase.com/organization/florida-angel-investment-alliance,,,"Jacksonville, Florida, United States",The Florida Angel Investment Alliance was founded in January of 2006 to facilitate early-stage angel investment throughout the state.,Venture Capital,Early Stage Venture,,,,,,,,,"171,002"
Travis Dulaney,https://www.crunchbase.com/person/travis-dulaney,,,"Plantation, Florida, United States","Travis Dulaney is a Operational Board Member of the Faster Payment Council. After a successful exit of the company he founded, PayFi, he is ...",,"Early Stage Venture, Seed",,,,,,,,,"171,003"
Anhui Jintu Wangluo,https://www.crunchbase.com/organization/anhui-jintu-wangluo,1,,"Hefei, Anhui, China","Anhui Jintu Wangluo specializes in IT solutions and provides software development, hardware, technical assistance, and consulting services.",,,1,,,,,,,,"171,004"
Dontá L. Wilson,https://www.crunchbase.com/person/dontá-l-wilson,,,"Charlotte, North Carolina, United States",Dontá Wilson currently works as Chief Digital and Client Experience Officer at Truist. He attended Dartmouth College.,Investment Partner,,,2,,,,,,,"171,006"
Kristian Melhuus,https://www.crunchbase.com/person/kristian-melhuus,,,,"Kristian Melhuus, Partner, Sandwater",Investment Partner,,,1,,,,,,,"171,007"
Martin Weiblen,https://www.crunchbase.com/person/martin-weiblen,,,,Prof. Martin Weiblen is a Managing General Partner at HeidelbergCapital Asset Management GmbH. Prof. Weiblen co-founded the firm on August 1...,,,,,,,,,,,"171,008"
DH Lee,https://www.crunchbase.com/person/dh-lee-c686,,,,Chief executive officer of KDB Investment.,Investment Partner,,,1,,,,,,,"171,010"
Felix Lyubashevsky,https://www.crunchbase.com/person/felix-lyubashevsky,4,,,Felix Lyubashevsky,Individual/Angel,Seed,1,,3,4,,,,,"171,012"
Guillaume Staal,https://www.crunchbase.com/person/guillaume-staal-2b4f,,,"Mayfair, Westminster, United Kingdom","Guillaume Staal is a Principal at Spice Capital Equity since October 2021. Before that, he was Senior Finance Manager at Eurazeo Mid-Large B...",,"Private Equity, Venture",,,,,,,,,"171,014"
Jean-Daniel Hamet,https://www.crunchbase.com/person/jean-daniel-hamet,1,,"Luxembourg, Europe",Jean-Daniel Hamet,Individual/Angel,,1,,,,,,,,"171,015"
Miguel Sotomayor,https://www.crunchbase.com/person/miguel-sotomayor,1,,"Madrid, Madrid, Spain",Miguel Sotomayor,Individual/Angel,,1,,,,,,,,"171,016"
Caroline Sorlin,https://www.crunchbase.com/person/caroline-sorlin,,,"Paris, Ile-de-France, France",Caroline Sorlin is Senior Product Manager at Bel Group.,Investment Partner,,,2,,,,,,,"171,017"
Chuck Saldarini,https://www.crunchbase.com/person/chuck-saldarini,1,,"New York, New York, United States","Mr. Charles Saldarini is currently the Co-Founder of Relovate, a private marketplace for online trip planning and booking, launching in Spri...",Individual/Angel,Seed,1,,,,,,,,"171,018"
Hangzhou Yantong Investment,https://www.crunchbase.com/organization/hangzhou-yantong-investment,1,,"Hangzhou, Zhejiang, China","Hangzhou Yantong Investment is engaged in industrial investment, investment management and investment consulting.",Private Equity Firm,,1,,,,,,,,"171,019"
SilverYard,https://www.crunchbase.com/organization/silveryard,,,"Menlo Park, California, United States",Firm focused on global innovation.,Venture Capital,,,,,,,,,,"171,020"
Tricle,https://www.crunchbase.com/organization/tricle,1,,"Shibuya, Kanagawa, Japan","Tricle is a creative agency that offers services including planning, production, editing, and photographing of promotion and contents.",,,1,,,,,,,,"171,022"
Central Asset Investments,https://www.crunchbase.com/organization/central-asset-investments,,,"Central, Hong Kong Island, Hong Kong",Central Asset Investments is an Asia-focused multi-strategy investment firm.,,,,,,,,,,,"171,023"
Dr. Daniel Simon.,https://www.crunchbase.com/person/dr-daniel-simon,,,,Dr. Daniel Simon.,,,,,,,,,,,"171,024"
