Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
ASSETPLUS,https://www.crunchbase.com/organization/assetplus,4,,"Seongnam, Kyonggi-do, South Korea",ASSETPLUS is an independent asset management company.,Private Equity Firm,,4,,,,,,,,"36,602"
Zimmer Financial Services Group,https://www.crunchbase.com/organization/zimmer-financial-services-group,1,,"Kimberly, Wisconsin, United States",Zimmer Financial Services Group operates as an investment firm.,"Private Equity Firm, Venture Capital","Private Equity, Venture",1,,1,,,,,,"36,604"
Zee Learn,https://www.crunchbase.com/organization/zee-learn,1,1,"Mumbai, Maharashtra, India",Zee Learn provides consultancy and end-to-end education management services to local entrepreneurs who wish to set up K-12 schools in India.,,,1,,1,,1,,,,"36,608"
VIS MUNDI,https://www.crunchbase.com/organization/vis-mundi,1,,"Dubai, Dubai, United Arab Emirates",VIS MUNDI is an investment company focusing on Fast Moving Consumer Goods (FMCG) and Consumer Healthcare in high growth geographies,Private Equity Firm,,1,,,,,,,,"36,613"
Nfluence Partners,https://www.crunchbase.com/organization/nfluence-partners,,,"San Francisco, California, United States",Nfluence Partners is a boutique Investment Bank.,,,,,,,,,,,"36,617"
BUTTON CAPITAL,https://www.crunchbase.com/organization/button-capital,5,,"Mountain View, California, United States",Committed to life sciences and medical technology through searching and investing in right people and right team,"Private Equity Firm, Venture Capital","Convertible Note, Early Stage Venture, Seed",5,,,,,,,,"36,611"
Michael Katchen,https://www.crunchbase.com/person/michael-katchen,7,1,"Toronto, Ontario, Canada","Founder & CEO. Entrepreneur, passionate about transforming investment management.",Individual/Angel,,7,,,,1,,,,"36,628"
Mirae Asset Sekuritas,https://www.crunchbase.com/organization/mirae-asset-sekuritas,5,,"Jakarta, Jakarta Raya, Indonesia",Mirae Asset Sekuritas makes it easy for stock traders / investors to be able to monitor stocks and trade online.,Private Equity Firm,,5,,,,,,,,"36,600"
Tango.vc,https://www.crunchbase.com/organization/tango-vc,3,,"Redwood City, California, United States",Tango.vc is a venture capital fund investing in seed-stage ML and Robotics.,Venture Capital,Early Stage Venture,3,,,,,,,,"36,601"
Deutsche Pfandbriefbank,https://www.crunchbase.com/organization/deutsche-pfandbriefbank,1,1,"Unterschleißheim, Bayern, Germany",Deutsche Pfandbriefbank is a European specialist bank that focuses on real estate financing and public investment finance.,Investment Bank,,1,,1,,1,,,,"36,635"
