Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
International Biotechnology Trust,https://www.crunchbase.com/organization/international-biotechnology-trust,8,3,"London, England, United Kingdom",International Biotechnology Trust offers investors access to the fast growing biotechnology sector through an actively managed fund.,Private Equity Firm,Early Stage Venture,7,,1,,3,,,,"83,401"
Chris Sheldrick,https://www.crunchbase.com/person/chris-sheldrick,1,,"London, England, United Kingdom","Chris worked in the music business for 10 years, booking bands and managing production for events around the globe. He was constantly frustr...",Individual/Angel,Seed,1,,,,,,,,"83,403"
Euro Private Equity,https://www.crunchbase.com/organization/euro-private-equity,,,"Paris, Ile-de-France, France","Euro Private Equity (""Euro-PE"") is a global private markets investor and advisor in Private Equity, Mezzanine.",Private Equity Firm,Private Equity,,,,,,,,,"83,409"
Alexey Moiseenkov,https://www.crunchbase.com/person/alexey-moiseenkov,1,,"San Francisco, California, United States",Alexey Moiseenkov,Individual/Angel,,1,,,,,,,,"83,418"
Ari Jacoby,https://www.crunchbase.com/person/ari-jacoby,,,"New York, New York, United States",Ari Jacoby is the CEO of Deduce.,,,,,,,,,,,"83,419"
Bene Schulz,https://www.crunchbase.com/person/bene-schulz,1,,,"Elevator Boys@ Bene Schulz,",Individual/Angel,,1,,,,,,,,"83,427"
Devendra Parulekar,https://www.crunchbase.com/person/devendra-parulekar,1,1,"Mumbai, Maharashtra, India","Deven Parulekar is the Founder, Director, and Chief Growth Hacker at Saffronstays.",Individual/Angel,Seed,1,,,,1,,,,"83,428"
Shanghai Zhongkai Group,https://www.crunchbase.com/organization/shanghai-zhongkai-group,1,,,"Shanghai Zhongkai Group combines research & development, manufacture, and sales of high and low voltage switchgear.",,,1,,,,,,,,"83,434"
Major Group Asia,https://www.crunchbase.com/organization/major-group-asia,1,,,Major Group Asia is an investment firm.,,,1,,,,,,,,"83,439"
Kyowa Hakko Kogy,https://www.crunchbase.com/organization/kyowa-hakko-kogy,1,,,Kyowa Hakko Kogy is a pharmaceutical and biotechnology development and manufacturing company.,,,1,,1,,,,,,"83,441"
Helen Min,https://www.crunchbase.com/person/helen-min,2,,"San Francisco, California, United States","Helen Min was the Head of Marketing at Plaid.  Helen Min attended University of California, Berkeley, Haas School of Business.","Investment Partner, Individual/Angel",,2,1,,1,,,,,"83,446"
Recursive Capital,https://www.crunchbase.com/organization/recursive-capital,2,,,Recursive Capital is a company that provides equity market advisory and hedge fund.,Hedge Fund,,2,,,,,,,,"83,449"
Acanam Capital,https://www.crunchbase.com/organization/acanam-capital,1,,,Acanam Capital is an investment firm.,,,1,,,,,,,,"83,453"
Will Margiloff,https://www.crunchbase.com/person/will-margiloff,1,,"New York, New York, United States",Will Margiloff serves as CEO of IgnitionOne. Margiloff is charged with the overall vision and strategic direction of IgnitionOne’s services ...,Individual/Angel,Seed,1,,,,,,,,"83,456"
Grit Ventures,https://www.crunchbase.com/organization/grit-ventures-7f8a,9,1,"Shenzhen, Guangdong, China",Grit Ventures is a venture capital fund focusing on the initial and growth period of the operating subjects in China and American markets.,Venture Capital,"Early Stage Venture, Seed",7,,,,1,,,,"83,459"
W2 Labs,https://www.crunchbase.com/organization/w2-labs,5,1,"London, England, United Kingdom",Wincanton’s W2 Labs has been designed in partnership with L Marks.,Accelerator,Seed,5,,5,1,1,,2022-05-01,10,"83,402"
Cannabis Growth Opportunity Corp,https://www.crunchbase.com/organization/cannabis-growth-opportunity-corp,1,,"Toronto, Ontario, Canada",Cannabis Growth Opportunity is a cannabis-focused investment corporation.,,,1,,,,,,,,"83,401"
SEDANIA Innovator,https://www.crunchbase.com/organization/sedania-innovator,1,,"Petaling Jaya, Selangor, Malaysia",Sedania Innovator is a technology empowerment company that offers sustainable energy.,,,1,,,,,,,,"83,467"
Lucanus Polagnoli,https://www.crunchbase.com/person/lucanus-polagnoli,,,"Vienna, Wien, Austria",Lucanus founded Calm/Storm Ventures in 2020 with the aim to build a new platform of successful founders supporting new entrepreneurs: the Ca...,Investment Partner,"Convertible Note, Early Stage Venture, Grant, Non Equity Assistance, Seed, Venture",,23,,,,,,,"83,403"
Risco,https://www.crunchbase.com/organization/risco,1,,"Alvaro Obregón, Distrito Federal, Mexico","Risco is a financial brokerage firm that provides bail bonds, economic damage insurance coverage, and business risk management services.",,,1,,,,,,,,"83,404"
Alice Newcombe-Ellis,https://www.crunchbase.com/person/alice-newcombe-ellis,,,"United Kingdom, Europe",Alice Newcombe-Ellis is Founding and Managing Partner at Ahren Innovation Capital.,Investment Partner,,,9,,,,,,,"83,405"
Xizang Jingfeng Keji Youxian Gongsi,https://www.crunchbase.com/organization/xizang-jingfeng-keji-youxian-gongsi,1,,"Lhasa, Xizang, China",Xizang Jingfeng Keji Youxian Gongsi engaged in technology development and technical consulting.,,,1,,,,,,,,"83,406"
Thomas Mastrobuoni,https://www.crunchbase.com/person/thomas-mastrobuoni,1,,"Essex Fells, New Jersey, United States","Tom is the Chief Investment Officer for Big Idea Ventures (“BIV”), a New York and Singapore-based venture capital firm focused on solving th...","Investment Partner, Individual/Angel",,1,3,,1,,,,,"83,407"
Amir Suissa,https://www.crunchbase.com/person/amir-suissa,3,,"Zürich, Zurich, Switzerland",Amir Suissa is the founder and President of the Board of wefox.,Individual/Angel,Seed,3,,,,,,,,"83,471"
Ziad Mokhtar,https://www.crunchbase.com/person/ziad-mokhtar,,,"Cairo, Al Qahirah, Egypt",Ziad Mokhtar - Managing Partner @ Algebra Ventures,Investment Partner,,,13,,,,,,,"83,472"
Logan Gururajah,https://www.crunchbase.com/person/logan-gururajah,1,,,Logan Gururajah,Individual/Angel,,1,,1,,,,,,"83,408"
Zeta Investments,https://www.crunchbase.com/organization/zeta-investments,1,,"London, Ontario, Canada",Zeta Investments is an Investment firm.,,,1,,,,,,,,"83,409"
Grupo NotreDame Intermédica,https://www.crunchbase.com/organization/grupo-notredame-intermédica,1,,"Curitiba, Parana, Brazil",Grupo NotreDame Intermédica is a healthcare provider that thinks about the beneficiary before the beneficiary needs to think about it.,,,1,,1,,,,,,"83,477"
Jeffery M. Jackson,https://www.crunchbase.com/person/jeff-jackson-3,,,"Dallas, Texas, United States","In addition to a large reservoir of solid business skills and judgment, Jeff brings a wealth of knowledge, experience and connections in the...",Investment Partner,,,11,,,,,,,"83,410"
Elizabeth Wills Chou,https://www.crunchbase.com/person/elizabeth-wills-chou,,,"Hartford, Connecticut, United States",Elizabeth Chou joined New Markets Venture Partners in 2010 and is a Partner. Elizabeth is a board director for Kickboard and previously for ...,Investment Partner,,,5,,,,,,,"83,411"
Telelink Investments,https://www.crunchbase.com/organization/telelink-ventures,2,,"Sofia, Grad Sofiya, Bulgaria","Telelink Investments is focused on investing in regional entrepreneurs, solving global problems with technology.",Venture Capital,,2,,2,,,,,,"83,412"
Meriton Capital,https://www.crunchbase.com/organization/meriton-capital,1,,,Meriton Capital is an investment Firm.,,,1,,1,,,,,,"83,480"
Patrick Curley,https://www.crunchbase.com/person/patrick-curley,,,"Miami, Florida, United States","Patrick Curley is the Co-Founder, Chairman, and CEO of YachtLife.",,,,,,,,,,,"83,413"
Kirby Harris,https://www.crunchbase.com/person/kirby-harris,,,"San Francisco, California, United States",Kirby Harris is the Co-Founder & Managing Partner at Base Ventures.,Investment Partner,,,9,,,,,,,"83,481"
Garth Timoll,https://www.crunchbase.com/person/garth-timoll,,,"San Francisco, California, United States",Garth is a Managing Director and member of the Investment Committee at Top Tier Capital Partners. He leads the velocity team which executes ...,Investment Partner,,,17,,,,,,,"83,414"
Baltic Business Angels,https://www.crunchbase.com/organization/baltic-business-angels,1,,"Kiel, Schleswig-Holstein, Germany",Baltic Business Angels unite private investors who have made it their business to develop young innovative companies.,Angel Group,,1,,,,,,,,"83,415"
Erez Mathan,https://www.crunchbase.com/person/erez-mathan,2,,"London, England, United Kingdom",Erez Mathan,Individual/Angel,,2,,,,,,,,"83,416"
Huayin Finance & Investment,https://www.crunchbase.com/organization/huayin-finance-investment,1,1,,Huayin Finance & Investment is a venture capital firm.,Venture Capital,,1,,,,1,,,,"83,419"
JNP-AVENTURES,https://www.crunchbase.com/organization/jnp-aventures,3,,"Daejeon, Taejon-jikhalsi, South Korea",JNP-AVENTURES offers customized accelerator programs for prospective founders and startups.,Accelerator,,3,,1,,,,,,"83,420"
Jamie Urquhart,https://www.crunchbase.com/person/jamie-urquhart,,,"Cambridge, Cambridgeshire, United Kingdom","Based in Europe, Jamie Urquhart is a Venture Partner with Pond. Jamie is highly experienced in global technology licensing businesses.  C...",Investment Partner,,,3,,,,,,,"83,421"
Arun Chetty,https://www.crunchbase.com/person/arun-chetty,,,"Saratoga, California, United States",Arun Chetty is the Managing Director of Intel Capital. He has been with Intel Capital since 2004. He holds a B.S.E. from Princeton and an M....,Investment Partner,,,6,,,,,,,"83,422"
BDC ICE Fund (Cleantech),https://www.crunchbase.com/organization/bdc-ice-fund-cleantech,8,,"Montréal, Quebec, Canada",BDC Capital offers business loans and advisory services.,Venture Capital,,6,,5,,,,,,"83,490"
Urs Ehrismann,https://www.crunchbase.com/person/urs-ehrismann,11,7,"Zurich, Switzerland, Europe","Urs has been in venture capital and private equity for more than 20 years, focusing on primary and secondary growth capital investments in m...",Individual/Angel,"Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market",11,,,,7,,,,"83,489"
Douglas D. French,https://www.crunchbase.com/person/douglas-d-french,,,"Austin, Texas, United States",Douglas French is the Managing Director at Santé Health Ventures.,Investment Partner,,,8,,,,,,,"83,423"
Vialta Inc.,https://www.crunchbase.com/organization/vialta-inc,1,,"Fremont, California, United States",Vialta Inc is a consumer electronics company.,,,1,,1,,,,,,"83,425"
Eric Kobe,https://www.crunchbase.com/person/eric-kobe,,,"Miami, Florida, United States",Eric Kobe is the CEO at Groundspeed. He serves as a Partner at xffirmers. Eric attended the University of Michigan - Stephen M. Ross School ...,Investment Partner,,,1,,,,,,,"83,424"
Chris Brookfield,https://www.crunchbase.com/person/chris-brookfield,,,"Bellingham, Washington, United States",Chris Brookfield is a Partner and Co-founder at Salmon Nation. He was a Founder at Elevar Equity. He attended Williams College.,Investment Partner,,,1,,,,,,,"83,426"
John Bonhard,https://www.crunchbase.com/person/john-bonhard,,,"San Diego, California, United States","John Bonhard is a Vice President at Blueprint Equity. Prior to joining Blueprint, John was a Vice President at Beringea, a transatlantic ven...",,,,,,,,,,,"83,427"
ISALT,https://www.crunchbase.com/organization/isalt,1,,"Rue, Picardie, France",ISALT provides constructive finance to French firms in order to accelerate their growth and meet the challenges of transitions.,,,1,,1,,,,,,"83,428"
Hifuture Electric,https://www.crunchbase.com/organization/hifuture-electric,4,1,"Shenzhen, Guangdong, China",Hifuture Electric is providing professional network equipment and comprehensive solutions.,,,4,,2,,1,,,,"83,430"
Sid Shah,https://www.crunchbase.com/person/sid-shah,,,"Manhattan Beach, California, United States",Sid Shah is the Managing Director and Commercial Officer at Magic Leap.,Investment Partner,,,3,,,,,,,"83,431"
Christian Leybold,https://www.crunchbase.com/person/christian-leybold,,,"Hamburg, Hamburg, Germany",Christian Leybold is the Founding and General Partner of Headline. He was a Board Member at Brumbrum. He attended the University of Illinois...,Investment Partner,,,4,,,,,,,"83,432"
Olivier Morlet,https://www.crunchbase.com/person/olivier-morlet,,,,Olivier Morlet - Managing Director @ Noveo,,,,,,,,,,,"83,495"
F3 Challenge - Carnivore Edition,https://www.crunchbase.com/organization/f3-challenge-carnivore-edition,2,,,"F3 Challenge - Carnivore Edition assist aquacultue, feed ingredient companies.",Startup Competition,,2,,2,,,,,,"83,433"
Maritime Blue Innovation Accelerator,https://www.crunchbase.com/organization/maritime-blue-innovation-accelerator,11,,"New York, New York, United States",Maritime Blue Innovation Accelerator is a maritime accelerator.,Accelerator,,11,,10,,,,2019-11-30,,"83,435"
Datong Chen,https://www.crunchbase.com/person/datong-chen,,,,"Datong was the Co-Founder and CTO of Spreadtrum Communications (NASDAQ: SPRD), a leading fabless semiconductor company that develops baseban...",Investment Partner,,,1,,,,,,,"83,498"
Mayfair 101,https://www.crunchbase.com/organization/mayfair-101,4,,"Melbourne, Victoria, Australia","Mayfair 101 is a independent investment bank with offices in London, Melbourne and Sydney.",Investment Bank,"Convertible Note, Debt, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Non Equity Assistance, Post-Ipo, Private Equity",3,,1,,,,,,"83,436"
Eden Hall Foundation,https://www.crunchbase.com/organization/eden-hall-foundation,4,,"Pittsburgh, Pennsylvania, United States",Eden Hall Foundation operates as a private foundation.,,,4,,4,,,,,,"83,437"
Cheol-Woo Kim,https://www.crunchbase.com/person/cheol-woo-kim,,,,Cheol-Woo Kim is a partner at The Ventures.,Investment Partner,,,17,,,,,,,"83,503"
Dominik Escher,https://www.crunchbase.com/person/dominik-escher,,,"Zurich, Switzerland, Europe",Dominik is a founding partner of Pureos and a co-founder and Executive Chairman of CDR-Life. He is also president of the Swiss Biotech Assoc...,Investment Partner,,,3,,,,,,,"83,438"
George (Gerry) Ohrstrom Jr.,https://www.crunchbase.com/person/gerry-ohrstrom,1,,,George (Gerry) Ohrstrom Jr. - Chairman @ Vistan Corporation,Individual/Angel,Seed,1,,,1,,,,,"83,439"
Liberbank,https://www.crunchbase.com/organization/liberbank,1,,"Málaga, Andalucia, Spain",Liberbank  is a bank for individuals and companies.,,,1,,,,,,,,"83,505"
Joshua Perk,https://www.crunchbase.com/person/joshua-perk,,,"Raleigh, North Carolina, United States",Joshua Perk - Co-Founder & CEO @ Vector,,,,,,,,,,,"83,440"
Mark Houghton-Berry,https://www.crunchbase.com/person/mark-houghton-berry,,,"San Diego, California, United States",Mark Houghton-Berry is a Member of US Advisory Board at IP Group plc.,,,,,,,,,,,"83,441"
Unified Music Group,https://www.crunchbase.com/organization/unified-music-group,2,,"Richmond, Victoria, Australia",Unified Music Group is the soundtrack of good people working together to achieve extraordinary results.,,,2,,,,,,,,"83,508"
Luke Page,https://www.crunchbase.com/person/luke-page,,,"Brooklyn, New York, United States","Luke Page joined RTP Ventures in 2018 as Managing Director and became a General Partner in 2020. In addition to investment activities, Luke ...",Investment Partner,,,1,,,,,,,"83,442"
Tina Mueller,https://www.crunchbase.com/person/tina-mueller,3,,"Germany, Europe","Since November 2017, Tina Müller has been chairwoman of the board (CEO) at Douglas GmbH. Previously, she was responsible for strategic brand...",Individual/Angel,,3,,1,,,,,,"83,443"
Curt Hopkins,https://www.crunchbase.com/person/curt-hopkins,4,,"London, England, United Kingdom","Tech CEO, Chairman and venture builder in sustainable tech, fintech and the future of work.",Individual/Angel,,2,,1,,,,,,"83,511"
Benjamin Satterfield,https://www.crunchbase.com/person/benjamin-satterfield,,,"Los Angeles, California, United States","Benjamin Satterfield - Co-Founder, CEO @ Twiddla",,,,,,,,,,,"83,513"
Kelso Group Holdings,https://www.crunchbase.com/organization/kelso-group-holdings,,,"Leamington, Warwickshire, United Kingdom",Kelso Group Holdings is an investment management company that aims to engage and align with other stakeholders by taking stakes directly.,,,,,,,,,,,"83,514"
n-hop technologies,https://www.crunchbase.com/organization/n-hop-technologies,,,"Hong Kong, Hong Kong Island, Hong Kong",N-hop technologies is a technology company implementing the coding algorithm into software that operates in industrial PC.,,,,,,,,,,,"83,448"
Whitney Bouck,https://www.crunchbase.com/person/whitney-bouck,1,,"San Francisco, California, United States","Whitney Bouck joined Insight Partners in 2022, where she is a Managing Director. She brings more than 30 years of operating experience to ve...","Investment Partner, Individual/Angel","Early Stage Venture, Seed",1,2,,,,,,,"83,449"
Sophis Investments,https://www.crunchbase.com/organization/sophis-investments,,,"New York, New York, United States",Sophis Investments is a company that offers investment advisory services.,Venture Capital,,,,,,,,,,"83,518"
Craig Hanson,https://www.crunchbase.com/person/craig-hanson,,,"San Francisco, California, United States",Craig Hanson is the Senior Director of Market Strategy at Gong. He attended Stanford Graduate School of Business and Carleton College.,Investment Partner,,,30,,,,,,,"83,450"
Gemüsering,https://www.crunchbase.com/organization/gemüsering,1,,"Stuttgart, Baden-Wurttemberg, Germany",Gemüsering supports its producers in the creation of flowering areas for the protection and preservation of biodiversity.,Private Equity Firm,,1,,,,,,,,"83,451"
Beyond Capital,https://www.crunchbase.com/organization/beyond-capital-2744,,,"Berlin, Berlin, Germany","Beyond Capital operates as a venture capital firm, focus on B2B companies especially in SaaS startups.",Venture Capital,"Early Stage Venture, Seed",,,,,,,,,"83,452"
Vernon Davis,https://www.crunchbase.com/person/vernon-davis,5,,"Washington, District of Columbia, United States",Vernon Davis - Advisor @ SportsCastr,Individual/Angel,,5,,1,2,,,,,"83,455"
