Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Glennmont Partners,https://www.crunchbase.com/organization/glennmont-partners,,,"London, England, United Kingdom",Glennmont Partners is one of Europe’s largest fund managers focusing exclusively on investment in clean energy infrastructure.,Venture Capital,,,,,,,,,,"33,000"
Ameet Patel,https://www.crunchbase.com/person/ameet-patel-2,9,1,"United States, North America","CTO//Investor//Whisperer to Leading Enterprise Companies Exits Acopia Networks, Mimosa Systems, Integrien, Cyvera, Librato, Caspida, Blue...",Individual/Angel,,8,,,,1,,,,"33,006"
Sun Technology Investors,https://www.crunchbase.com/organization/sun-technology-investors,1,,,Sun Technology Investors is a Hospital and Health Care company,,,1,,,,,,,,"33,007"
Erica Jain,https://www.crunchbase.com/person/erica-jain,1,,"New York, New York, United States",Erica Jain is the Co-Founder and CEO at Healthie.,Individual/Angel,,1,,,,,,,,"33,010"
J-STAR,https://www.crunchbase.com/organization/j-star,36,3,"Tokyo, Tokyo, Japan",J-STAR is a private equity investment company.,Private Equity Firm,Late Stage Venture,36,,5,,3,,,,"33,013"
AKITUA,https://www.crunchbase.com/organization/akitua,15,3,"Lyon, Rhone-Alpes, France",AKITUA is an investment company that provides management services to its affiliates.,"Family Investment Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed, Venture",12,,4,,3,,,,"33,020"
Rodina Capital,https://www.crunchbase.com/organization/rodina-capital,2,1,"Lomas De Chapultepec, Distrito Federal, Mexico","Rodina is an investment firm focused on real estate, technology,resorts, and infrastructure investments is holding company of Andres Chico.",Family Investment Office,,2,,,,1,,,,"33,028"
Edition.VC,https://www.crunchbase.com/organization/edition-vc,3,,"Dresden, Sachsen, Germany",We back the world’s most iconic entrepreneurs of tomorrow. We have a passion for B2C and B2B products and out-of-the-box thinking.,"Incubator, Venture Capital","Convertible Note, Early Stage Venture, Seed",2,,1,,,,,,"33,031"
Chint Group,https://www.crunchbase.com/organization/chint-group,3,,"Yueqing, Zhejiang, China",Chint Group is an industrial construction company.,,,2,,,,,,,,"33,034"
Elite Capital,https://www.crunchbase.com/organization/elite-capital,5,,"Beijing, Beijing, China",Elite Capital is a venture capital / private equity firm targeting life sciences companies.,Venture Capital,Late Stage Venture,5,,1,,,,,,"33,036"
Sistema_VC,https://www.crunchbase.com/organization/sistema-venture-capital,30,5,"Moscow, Moscow City, Russian Federation",Sistema VC is a venture capital firm focused on investments in the growth-stage Internet companies (or at least Series A Round).,Venture Capital,Early Stage Venture,15,,11,,5,,,,"33,037"
