Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Yisheng Industrial Fund,https://www.crunchbase.com/organization/yisheng-industrial-fund,1,,,Yisheng Industrial Fund is an investment institution.,,,1,,1,,,,,,"45,600"
Nahdet Misr Publishing Group,https://www.crunchbase.com/organization/nahdet-misr-publishing-group,,,"Gîza, Al Jizah, Egypt",Nahdet Misr Publishing Group provides publishing solutions in the fields of education and digital content.,,,,,,,,,,,"45,601"
Cross Culture Ventures,https://www.crunchbase.com/organization/cross-culture-ventures-a546,1,,"Culver City, California, United States",Cross Culture Ventures invests in entrepreneurs creating next generation technology and consumer products.,Venture Capital,,1,,,1,,,,,"45,627"
Horizen Ventures,https://www.crunchbase.com/organization/horizen-ventures,9,,"Bangalore, Karnataka, India",Horizen Ventures was founded in 2004 as an early stage fund focused on India-based technology and internet firms.,"Micro VC, Venture Capital",,8,,5,,,,,,"45,630"
Brentt Baltimore,https://www.crunchbase.com/person/brentt-baltimore,,,"Los Angeles, California, United States",Brentt Baltimore is a Principal at Greycroft and was an Analyst at Detroit Venture Partners. He attended The University of Chicago Booth Sch...,Investment Partner,,,4,,,,,,,"45,634"
Ronny Shibley,https://www.crunchbase.com/person/ronny-shibley,7,1,"London, England, United Kingdom",Ronny Shibley - Co-Founder & CTO @ Gorillas,Individual/Angel,,7,,1,,1,,,,"45,638"
Hiro Mashita,https://www.crunchbase.com/person/hiro-mashita,12,3,"Singapore, Central Region, Singapore",Hiro Mashita - Founder & Director @ M&S Partners,"Investment Partner, Individual/Angel",Seed,11,2,,,3,,,,"45,639"
Golden Brick Capital,https://www.crunchbase.com/organization/golden-brick-capital,4,,"Beijing Shi, Beijing, China","Golden Brick Capital is specialized in private equity investment management, and manages assets.",Private Equity Firm,,4,,3,,,,,,"45,651"
Javest Investment Fund,https://www.crunchbase.com/organization/javest-investment-fund,8,,"Amsterdam, Noord-Holland, The Netherlands",Javest Investment Fund is an investment fund with a focus on internet and technology investments.,Venture Capital,"Early Stage Venture, Seed",7,,3,,,,,,"45,652"
Waverly Street Foundation,https://www.crunchbase.com/organization/waverly-street-foundation,2,,"Palo Alto, California, United States",Waverly Street Foundation provides grants to support climate solutions arising from local leaders and organizations.,,Grant,2,,2,,,,,,"45,655"
