Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Zhang Min,https://www.crunchbase.com/person/zhang-min-1e1e,,,,Zhang Min,Investment Partner,,,1,,,,,,,"222,601"
Garrett Winther,https://www.crunchbase.com/person/garrett-winther,,,"Boulder, Colorado, United States",Garrett Winther is a Partner at HAX.,Investment Partner,,,3,,,,,,,"222,603"
Jasson Walker,https://www.crunchbase.com/person/jasson-walker,,,"Upper Marlboro, Maryland, United States",Jasson Walker is the Chief Security Officer at GOVPROP.com. Jasson Walker attended Dartmouth College.,,,,,,,,,,,"222,605"
Clive Snowdon,https://www.crunchbase.com/person/clive-snowdon,,,"Stratford-upon-avon, Warwickshire, United Kingdom",Clive Snowdon,,,,,,,,,,,"222,607"
Kumar Prakash,https://www.crunchbase.com/person/kumar-prakash-c878,,,,Kumar Prakash,,Seed,,,,,,,,,"222,604"
Carlos Camarillo,https://www.crunchbase.com/person/carlos-camarillo-b37e,,,,Carlos Camarillo is Co-Founder at Slash Sensei.,,,,,,,,,,,"222,606"
Intekhab Askari,https://www.crunchbase.com/person/intekhab-askari,,,"United States, North America",Intekhab Askari,,,,,,,,,,,"222,608"
David Ross,https://www.crunchbase.com/person/david-ross-c603,,,"Kigali, Butare, Rwanda",Professor at Carnegie Mellon University Africa Manager of CMU-Africa Industry Innovation Lab Founder and Managing Director of Stratera Capit...,,,,,,,,,,,"222,609"
Patrick Bassing,https://www.crunchbase.com/person/patrick-bassing,,,"Copenhagen, Hovedstaden, Denmark",I have a masters degree in Computer Science from the IT University of Copenhagen. I’ve worked as a developer both in the consulting industry...,,,,,,,,,,,"222,610"
Michael Knapp,https://www.crunchbase.com/person/michael-knapp-2,,,"Menlo Park, California, United States","Michael Knapp, Ph.D. is a scientist and successful entrepreneur who has worked with ARCH to build multiple companies. Most recently, he serv...",,,,,,,,,,,"222,615"
Steve Collins,https://www.crunchbase.com/person/steve-collins-3583,,,"London, England, United Kingdom",Steve Collins,Investment Partner,Seed,,1,,,,,,,"222,616"
Robert Forras,https://www.crunchbase.com/person/robert-forras,1,,"Lafayette, Louisiana, United States",Robert Forras - Director of Information Technology @ ATC Group Services,Individual/Angel,Seed,1,,,,,,,,"222,612"
Robin Meehan,https://www.crunchbase.com/person/robin-meehan-1a01,,,,Robin is a technology strategist with a proven track record in leading and executing technology innovations and adoptions to make a real imp...,,,,,,,,,,,"222,614"
Marc Young,https://www.crunchbase.com/person/marc-young,,,"London, England, United Kingdom",Marc Young - Partner @ MXC Capital,,,,,,,,,,,"222,611"
Andrés Sanchez,https://www.crunchbase.com/person/andrés-sanchez,,,,Andrés Sanchez,Investment Partner,,,1,,,,,,,"222,620"
Peter Frintzilas,https://www.crunchbase.com/person/peter-frintzilas,,,,"Peter Frintzilas, member of the Board of Directors of PLAYS and CEO of TeamSnap.",Investment Partner,,,1,,,,,,,"222,621"
Philip Stubbs,https://www.crunchbase.com/person/philip-stubbs-15d0,,,,Chief Financial Officer,,,,,,,,,,,"222,622"
WILLIAM SPIEGEL,https://www.crunchbase.com/person/william-spiegel,,,"Hamilton, Hamilton, Bermuda","William Spiegel has served as a member of the board of directors since 2008 and serves as the Company’s lead independent director, Chairman ...",Investment Partner,,,1,,,,,,,"222,624"
Richard Adam,https://www.crunchbase.com/person/richard-adam-1723,,,"Pieve, Veneto, Italy",Richard Adam is the President of MCElettrici.,,,,,,,,,,,"222,625"
Renat Nasretdinov,https://www.crunchbase.com/person/renat-nasretdinov-af26,,,"Russia, Ohio, United States",Renat Nasretdinov,Investment Partner,,,1,,,,,,,"222,626"
Xiamen Detongcai Touzi,https://www.crunchbase.com/organization/xiamen-detongcai-touzi,1,,"Xiamen, Fujian, China",Xiamen Detongcai Touzi is an investment company.,,,1,,,,,,,,"222,627"
