Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Enduring Ventures,https://www.crunchbase.com/organization/enduring-ventures,1,,"San Francisco, California, United States",Enduring Ventures is a private equity firm that buys small and medium businesses and holds them forever.,Private Equity Firm,Private Equity,1,,,,,,,,"19,800"
Graham & Walker,https://www.crunchbase.com/organization/graham-walker-9514,10,,"Seattle, Washington, United States",Graham & Walker operates as an investment company.,Venture Capital,Early Stage Venture,10,,1,6,,,,,"19,881"
Centerview Partners,https://www.crunchbase.com/organization/centerview-partner,,,"New York, New York, United States",Leading independent investment banking and advisory firm.,Investment Bank,,,,,,,,,,"19,820"
Dana Settle,https://www.crunchbase.com/person/dana-settle,,,"Los Angeles, California, United States",Dana Settle is a Co-Founder and Partner at Greycroft and was an Analyst at Lehman Brothers.,Investment Partner,,,56,,,,,,,"19,834"
Keppel Infrastructure Trust,https://www.crunchbase.com/organization/keppel-corporation,2,,"Singapore, Central Region, Singapore",Keppel is a business trust that provides investors with the opportunity to invest in a large and well-diversified portfolios.,,,2,,2,,,,,,"19,835"
José Manuel Anderson,https://www.crunchbase.com/person/jose-manuel-anderson,1,,"Los Angeles, California, United States","Jose Manuel Anderson is the Founder, President, and Chairman of NewSwing Academies. His love for golf and former success in entertainment al...","Investment Partner, Individual/Angel",Venture,1,1,1,,,,,,"19,837"
Bridge33 Capital,https://www.crunchbase.com/organization/bridge33-capital,,,"Seattle, Washington, United States",Bridge33 Capital is a commercial real estate investment firm that focuses on acquiring value-add commercial properties.,,,,,,,,,,,"19,841"
Phi Capital,https://www.crunchbase.com/organization/phi-capital,5,,"New Delhi, Delhi, India",Phi Capital is an India focused private equity firm.,Private Equity Firm,,5,,3,,,,,,"19,801"
Brooks Brothers,https://www.crunchbase.com/organization/brooks-brothers,1,1,"New York, New York, United States","Brooks Brothers is offering stylish modern clothing and fresh takes on heritage designs for men, women, and kids.",,,1,,,,1,,,,"19,802"
Lobster Capital,https://www.crunchbase.com/organization/lobster-capital,4,,"Dover, Delaware, United States",Investing in YC startups,Venture Capital,,3,,,2,,,,,"19,803"
Five Points Capital,https://www.crunchbase.com/organization/bb-t-capital-partners,54,24,"Winston Salem, North Carolina, United States","Five Points Capital is a leading private equity manager, exclusively focused on the U.S. lower middle market.",Private Equity Firm,Private Equity,51,,4,1,24,,,,"19,804"
Harish Bahl,https://www.crunchbase.com/person/harish-bahl,6,,"Gurgaon, Haryana, India",Harish Bahl is the Founder and Chairman of Smile Group. He previously worked at Airseva as a Co-Founder and Local JV Partner. Harish Bahl at...,"Investment Partner, Individual/Angel",Seed,6,5,,,,,,,"19,805"
Solardis Health Ventures,https://www.crunchbase.com/organization/solardis-health-ventures,2,,"Los Angeles, California, United States",Solardis Health Ventures is an investment firm.,Venture Capital,,2,,2,,,,,,"19,806"
Christian Dörffer,https://www.crunchbase.com/person/christian-dorffer,8,,"London, England, United Kingdom",Christian Dörffer is the Founder and General Partner of Defiance Capital. He previously worked at Midnight Runners as a Co-Founder and Owner...,"Investment Partner, Individual/Angel",Seed,8,39,,2,,,,,"19,854"
Wakestream Ventures,https://www.crunchbase.com/organization/wakestream-ventures,67,10,"Grand Rapids, Michigan, United States",Wakestream Ventures is an early stage fund that backs founders working with physical products converging with the internet.,Micro VC,"Early Stage Venture, Seed",47,,10,19,10,,,,"19,807"
ChainGuardians,https://www.crunchbase.com/organization/chainguardians-c50d,2,,"Hong Kong, Hong Kong Island, Hong Kong",ChainGuardians is a player-driven platform based on a blockchain network incorporating NFTs.,,,2,,1,,,,,,"19,808"
Dave Morin,https://www.crunchbase.com/person/dave-morin,61,33,"San Francisco, California, United States",Dave is the Co-Founder & Managing Director of Offline Ventures. He was Founder & Partner Emeritus of Slow Ventures. A leading Silicon Valle...,"Investment Partner, Individual/Angel",Early Stage Venture,58,3,3,19,33,,,,"19,809"
Quintillion media,https://www.crunchbase.com/organization/quintillion-media,6,1,"Noida, Uttar Pradesh, India",Quintillion Media is a digital journalism and media company developing mobile consumption digital contents.,,,4,,1,,1,,,,"19,810"
Dalton Caldwell,https://www.crunchbase.com/person/dalton-caldwell,14,5,"San Francisco, California, United States",Dalton Caldwell is the current Managing Director of Y Combinator. He previously worked at App.net as a Founder/CEO. Dalton Caldwell attended...,"Investment Partner, Individual/Angel",Seed,12,32,,3,5,,,,"19,861"
Hony Capital,https://www.crunchbase.com/organization/hony-capital,58,13,"Beijing, Beijing, China",Hony Capitalis is an investment management firm.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",47,,19,3,13,,,,"19,812"
MBM Capital,https://www.crunchbase.com/organization/mbm-capital,2,,"New York, New York, United States","MBM Capital back teams building fintech, hrtech, data and e-commerce businesses.",,,2,,2,1,,,,,"19,813"
Jim Hunt,https://www.crunchbase.com/person/jim-hunt-2,5,1,"Mclean, Virginia, United States","Jim Hunt is the Managing Partner at Lavrock Ventures. Jim previously worked at Capgemini as a President, Capgemini Technologies. He attended...","Investment Partner, Individual/Angel",Seed,5,5,,2,1,,,,"19,863"
zVentures,https://www.crunchbase.com/organization/zventures,21,2,"San Francisco, California, United States",Emerging companies with opportunities for massive growth and improvement,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",19,,5,1,2,,,,"19,814"
NXGEN,https://www.crunchbase.com/organization/nxgen,6,,"Whitefish, Montana, United States","NXGEN International is the global Merchant Service Provider (MSP) serving over 13,000 merchants in multiple countries.",,,6,,,1,,,,,"19,815"
BioInnovation Institute,https://www.crunchbase.com/organization/bioinnovation-institute,64,1,"Copenhagen, Hovedstaden, Denmark",BioInnovation Institute is a biotechnology startup that offers entrepreneurs and researchers in life science.,Micro VC,,58,,59,,1,,,,"19,816"
