Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Daichi Shiki,https://www.crunchbase.com/person/daichi-shiki,,,"Tokyo, Tokyo, Japan",Daichi Shiki - Operating Officer @ Corekara,,,,,,,,,,,"251,405"
Olivier Gervais Blondel,https://www.crunchbase.com/person/olivier-gervais-blondel-1122,,,,Olivier Gervais Blondel,,,,,,,,,,,"251,403"
Jonathan A. Masarof,https://www.crunchbase.com/person/jonathan-a-masarof,,,"Peekskill, New York, United States","Jonathan A. Masarof joined Palisade Capital in June 2010, as Vice President of Risk Management & Portfolio Analysis.  Jonathan’s responsibil...",,,,,,,,,,,"251,406"
Yemyht Boy,https://www.crunchbase.com/person/olamoju-kolawole-olayemi,,,"Lagos, Nigeria, Africa","Nigerian Entrepreneur, Blogger, Promoter, Web Developer, Social Media Manager And also a Disc Jockey. Interests range from Design to Music.",,Venture,,,,,,,,,"251,402"
Marioly Chacon,https://www.crunchbase.com/person/marioly-chacon,,,"Florida, United States, North America","Marioly Chacon is completing her Bachelor's Degree in Political Science, engaging with her interests in politics, writing, reading, and a gr...",,,,,,,,,,,"251,404"
Johan Pedersen,https://www.crunchbase.com/person/johan-pedersen-f479,,,,"Professional crypto trader, hedge fund manager, financial consultant that help you make informed investment decision across equity, commodit...",,Early Stage Venture,,,,,,,,,"251,400"
Mu Yingjiang,https://www.crunchbase.com/person/mu-yingjiang,,,,Mu Yingjiang is the chairman of Huanghe Industrial.,Investment Partner,,,1,,,,,,,"251,408"
Grace S N Lau,https://www.crunchbase.com/person/grace-s-n-lau,,,,Grace S N Lau,Investment Partner,,,1,,,,,,,"251,409"
Yoshida Takao,https://www.crunchbase.com/person/yoshida-takao,1,1,,Yoshida Takao,Individual/Angel,,1,,,,1,,,,"251,411"
Yoshio Osaki,https://www.crunchbase.com/person/yoshio-osaki,,,,Yoshio Osaki,,,,,,,,,,,"251,410"
Wang Zhanying,https://www.crunchbase.com/person/wang-zhanying,,,,"Wang Zhanying, chairman of Hongxinye Technology",Investment Partner,,,1,,,,,,,"251,412"
Chen jun,https://www.crunchbase.com/person/chen-jun-102a,,,,Chenjun is a member of the CITIC Construction Investment.,Investment Partner,,,1,,,,,,,"251,413"
Chen Xinlong,https://www.crunchbase.com/person/chen-xinlong,,,"Shanghai, Shanghai, China",Chen Xinlong is working as Vice President for Yuanqi Capital.,Investment Partner,,,1,,,,,,,"251,414"
Saito Yu,https://www.crunchbase.com/person/saito-yu,,,,Saito Yu - CEO @ FUUD Japan,,,,,,,,,,,"251,421"
Louis Deveau,https://www.crunchbase.com/person/louis-deveau,,,,Louis Deveau joined Acadian Seaplants as Founder.,,,,,,,,,,,"251,432"
Enokiya Yukio,https://www.crunchbase.com/person/enokiya-yukio,1,1,,Enokiya Yukio - President & CEO @ PHYZ,Individual/Angel,,1,,1,,1,,,,"251,425"
Corrie Conrad,https://www.crunchbase.com/person/corrie-conrad-d86d,,,"San Francisco, California, United States","Corrie Conrad is a Vice President of Communities and Impact, Executive Director of Box.org at Box.",Investment Partner,,,4,,,,,,,"251,430"
Frederick Chung,https://www.crunchbase.com/person/frederick-chung,,,"New York, New York, United States","Frederick Chung is a Partner and Head of Credit Underwriting, Private Credit at Adams Street Partners.",,,,,,,,,,,"251,435"
Glenn Alverus,https://www.crunchbase.com/person/glenn-alverus,,,,Glenn Alverus,,,,,,,,,,,"251,434"
Holger Winkelmann,https://www.crunchbase.com/person/holger-winkelmann,,,"Magdeburg, Sachsen-Anhalt, Germany",Holger Winkelmann,,,,,,,,,,,"251,426"
Rubina Toorawa,https://www.crunchbase.com/person/rubina-toorawa,,,,Rubina Toorawa,,,,,,,,,,,"251,415"
Mich Bayley,https://www.crunchbase.com/person/mich-bayley,,,,Mich Bayley,,,,,,,,,,,"251,440"
Guillaume Germay,https://www.crunchbase.com/person/guillaume-germay,,,,Guillaume Germay joined Lantana Paysage as CEO & Founder.,,,,,,,,,,,"251,441"
Jorge Diez Ferreras,https://www.crunchbase.com/person/jorge-diez-ferreras,,,"Luleå, Norrbottens Lan, Sweden",Jorge Diez Ferreras is the R & D Director at BehavioSec. Jorge Diez Ferreras attended ‎the Polytechnic University of Madrid‎.,,,,,,,,,,,"251,437"
William Roper,https://www.crunchbase.com/person/william-roper-8391,,,,William Roper,,,,,,,,,,,"251,417"
Burke Edwards,https://www.crunchbase.com/person/burke-edwards,,,,Burke Edwards is the Founder at Compassionate Cultivation.,,,,,,,,,,,"251,423"
Lu Chih-Yuan,https://www.crunchbase.com/person/lu-chih-yuan,,,,"Deputy Director of Electronics Institute of Industrial Technology Research Institute, General Manager of World Advanced, General Manager of ...",,,,,,,,,,,"251,439"
Asuman Dayıcan,https://www.crunchbase.com/person/asuman-dayıcan,1,,,Asuman Dayıcan,Individual/Angel,,1,,,,,,,,"251,443"
Franck Martinez,https://www.crunchbase.com/person/franck-martinez,,,,Franck Martinez is Chief Operating Officer & Executive Director	at Groupe SEGNERE.,,,,,,,,,,,"251,438"
Gadi Pinkas,https://www.crunchbase.com/person/gadi-pinkas,,,"Israel, Asia",Dr. Pinkas served as Chief Scientist and VP R&D of Amdocs. Prior to Amdocs Dr. Pinkas managed and developed Complex systems for the IDF.  ...,,,,,,,,,,,"251,445"
Eric Williams,https://www.crunchbase.com/person/eric-williams-345d,,,,Eric Williams,,,,,,,,,,,"251,431"
Ricardo Catto,https://www.crunchbase.com/person/ricardo-catto,,,"São Paulo, Sao Paulo, Brazil",Ricardo Catto - CEO @ Trustin,,,,,,,,,,,"251,433"
Hashiyama Aiko,https://www.crunchbase.com/person/hashiyama-aiko,,,,"He was born in Shizuoka Prefecture. Graduated from the Faculty of Law, Sophia University. Joined Rakuten Co., Ltd since 2005. Mainly engaged...",,,,,,,,,,,"251,444"
amedée levillain,https://www.crunchbase.com/person/amedée-levillain,,,"London, Ontario, Canada",amedée levillain - co-founder @ App Lab Ventures Limited,,,,,,,,,,,"251,436"
Łukasz Pobudejski,https://www.crunchbase.com/person/łukasz-pobudejski,,,,Łukasz Pobudejski is a head of a financing department at BNP Paribas Bank Polska.,Investment Partner,,,1,,,,,,,"251,447"
Richard N. Gibson,https://www.crunchbase.com/person/richard-n-gibson,,,"Carbondale, Illinois, United States",Richard Gibson is a Senior Casualty Fellow at American Academy of Actuaries.,,,,,,,,,,,"251,448"
Yegor Gilev,https://www.crunchbase.com/person/yegor-gilev,1,,,Yegor Gilev,Individual/Angel,,1,,,,,,,,"251,451"
Craig White,https://www.crunchbase.com/person/craig-white-f7f8,,,"Toronto, Ontario, Canada","Craig White is the Vice President, Highway & Tolling Operations at 407 ETR. He attended University of Waterloo.",Investment Partner,,,1,,,,,,,"251,449"
Fred Phillips,https://www.crunchbase.com/person/fred-phillips,,,,Fred Phillips - Team Member @ ABN AMRO Fund,Investment Partner,,,1,,,,,,,"251,450"
Sudo Hisayoshi,https://www.crunchbase.com/person/sudo-hisayoshi,,,,"Sudo Hisayoshi - Executive Officer, Director, Technical Headquarters @ Arara",,,,,,,,,,,"251,454"
Jared Shaw,https://www.crunchbase.com/person/jared-shaw-ebea,,,,Jared Shaw Ph.D is passionate about the development of novel instrumentation and methods for top-down proteomics and native mass spectrometr...,,,,,,,,,,,"251,477"
Arnaud Cosson,https://www.crunchbase.com/person/arnaud-cosson,,,"Laval, Pays de la Loire, France",Arnaud Cosson,,,,,,,,,,,"251,468"
Yoshimi Tokui,https://www.crunchbase.com/person/yoshimi-tokui,2,,"Tokyo, Tokyo, Japan",Yoshimi Tokui is the angel investor of SYRUP.,Individual/Angel,,2,,,,,,,,"251,464"
Erica Zolnierczyk,https://www.crunchbase.com/person/erica-zolnierczyk,,,"Greater Chicago Area, United States, North America",Erica Zolnierczyk,,,,,,,,,,,"251,469"
Harsh Gurjar,https://www.crunchbase.com/person/harsh-gurjar-0712,,,"Mohali, Punjab, India",There are so many people out there in the world across industries who have shown what it takes to become one’s best versions and how to take...,,"Early Stage Venture, Venture",,,,,,,,,"251,455"
John Wood,https://www.crunchbase.com/person/john-wood-8f58,,,"Staffordshire, United Kingdom, Europe",John Wood,,,,,,,,,,,"251,474"
Nancy Widjaja,https://www.crunchbase.com/person/nancy-widjaja,,,"Washington, District of Columbia, United States",Nancy Widjaja,,,,,,,,,,,"251,478"
