Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Johnathan Robertson,https://www.crunchbase.com/person/johnathan-robertson-3,,,"Miami, Florida, United States",Johnathan Robertson is the President and Managing Director of TG Capital and a Director for the United States Olympic and Paralympic Foundat...,,,,,,,,,,,"98,405"
Canada India Accelerator Program,https://www.crunchbase.com/organization/canada-india-accelerator-program,,,"Ottawa, Ontario, Canada",CIAP provides growth opportunities for female entrepreneurs while increasing foreign revenue for their ventures.,Accelerator,Seed,,,,,,,,,"98,411"
Pembani Remgro Infrastructure Managers,https://www.crunchbase.com/organization/pembani-remgro-infrastructure-fund,3,,"Johannesburg, NA - South Africa, South Africa","Pembani Remgro investment objectives are focused on equity, quasi-equity and equity-related investments in infrastructure in Africa.",Private Equity Firm,,3,,3,,,,,,"98,414"
James Dyson Foundation,https://www.crunchbase.com/organization/james-dyson-foundation,5,1,"Chicago, Illinois, United States",The James Dyson Foundation aims to ignite young people’s interest in engineering.,,,5,,1,,1,,,,"98,419"
Venture Café Rotterdam,https://www.crunchbase.com/organization/venture-cafe-rotterdam,1,,"Rotterdam, Zuid-Holland, The Netherlands","Venture Cafe connects entrepreneurs, investors, and students to each other and to the outside community to foster innovation.",Venture Capital,,1,,,1,,,,,"98,427"
Paul Srivorakul,https://www.crunchbase.com/person/paul-srivorakul,1,1,"Bangkok, Krung Thep, Thailand",Paul Srivorakul is the Co-Founder and Group CEO at aCommerce.,Individual/Angel,"Convertible Note, Early Stage Venture, Seed",1,,,,1,,,,"98,430"
Tschudi Logistics,https://www.crunchbase.com/organization/tschudi-logistics,1,,"Lysaker, Akershus, Norway",Tschudi Logistics is a worldwide provider of multimodal transport solutions.,,,1,,,,,,,,"98,432"
The Summer Institute,https://www.crunchbase.com/organization/the-summer-institute,9,,"Fredericton, New Brunswick, Canada",The Summer Institute offers an intensive three-month program to guide you through the process of turning your vision into a livelihood.,Accelerator,Grant,9,,9,,,On-Site,2019-02-15,12,"98,435"
Preetinder Singh Panjrath,https://www.crunchbase.com/person/preetinder-singh-panjrath,,,"Mclean, Virginia, United States","Preetinder Singh Panjrath is a CFO at BIG Capital, Board Member Alakai Technologies, Magnax.",Investment Partner,,,1,,,,,,,"98,436"
Jingjiang Jinyi,https://www.crunchbase.com/organization/jingjiang-jinyi,1,,"Beijing, Beijing, China",Jingjiang Jinyi is an Investment firm.,,,1,,,,,,,,"98,442"
Mark A. Goldsmith,https://www.crunchbase.com/person/mark-a-goldsmith,,,"San Francisco, California, United States","Mark Goldsmith joined Third Rock Ventures in 2012. He serves as a Partner to the firm and participates in the ideation, development and lead...",Investment Partner,,,2,,,,,,,"98,443"
GovCon Fund,https://www.crunchbase.com/organization/govcon-fund,,,"Reston, Virginia, United States",GovCon Fund is a domestic investment firm that offers funding services.,,,,,,,,,,,"98,446"
Howard Steyn,https://www.crunchbase.com/person/howard-steyn,,,,"Mr. Steyn is a Partner at Catterton Partners.        Prior to joining Catterton, he was a Principal in Bain Capital's venture capital and...",Investment Partner,,,4,,,,,,,"98,454"
