Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
McCartt,https://www.crunchbase.com/organization/mccartt,,,"Amarillo, Texas, United States","McCartt concentrates on real estate investment, property and asset management.",Private Equity Firm,,,,,,,,,,"145,203"
Douglas James,https://www.crunchbase.com/person/douglas-james-031d,1,,"San Diego, California, United States","3 times Inc. 5000 Entrepreneur, 10 Year US Navy Vet, Marketing Leader to 10,000+ Students Worldwide",Individual/Angel,,1,,,,,,,,"145,206"
Greatwall,https://www.crunchbase.com/organization/greatwall,1,,"Beijing, Beijing, China","Greatwall specializes in industrial applications and system integration, serving government and enterprise informatization.",,,1,,,,,,,,"145,212"
Joaquin Engel,https://www.crunchbase.com/person/joaquin-engel,1,1,"Barcelona, Catalonia, Spain",Joaquin Engel is the Co-Founder and Board Member of GymForLess.,Individual/Angel,Seed,1,,,,1,,,,"145,214"
Daryn Edgar,https://www.crunchbase.com/person/daryn-edgar,,,"London, England, United Kingdom",Daryn Edgar is the Chief Executive Officer at Lytt. She previously worked as a Senior Sector Partner of the Athene Capital Group. Daryn is ...,,,,,,,,,,,"145,222"
Maureen Taylor,https://www.crunchbase.com/person/maureen-taylor,1,,"San Francisco Bay Area, California, United States",Maureen Taylor co-founded SNP Communications with her husband Renn Vara more than 25 years ago to help founders and leaders through the art ...,Individual/Angel,,1,,,,,,,,"145,224"
Victor Gullin,https://www.crunchbase.com/person/victor-gullin,,,"Stockholm, Stockholms Lan, Sweden",Victor Gullin,,,,,,,,,,,"145,200"
Carey Smith,https://www.crunchbase.com/person/carey-smith,1,,"Austin, Texas, United States",Carey Smith is the Founding Contrarian at Unorthodox Ventures. He attended Hood College.,"Investment Partner, Individual/Angel",,1,4,,,,,,,"145,201"
Adhila Mayet,https://www.crunchbase.com/person/adhila-mayet,1,,"Johannesburg, NA - South Africa, South Africa",Adhila Mayet is a Head of Project Development at Pele Green Pty (Ltd).,Individual/Angel,,1,,1,,,,,,"145,202"
FD Corporation,https://www.crunchbase.com/organization/fd-corporation,1,,"Kariya, Aichi, Japan","FD Corporation engages in planning, designing, constructing, operating and managing solar power generation systems.",,,1,,,,,,,,"145,226"
Prada Invest,https://www.crunchbase.com/organization/prada-invest,1,,"Bergamo, Lombardia, Italy",Angel Investor,Angel Group,Seed,1,,1,,,,,,"145,203"
The Spell Fund,https://www.crunchbase.com/organization/the-spell-fund,,,"London, England, United Kingdom",A Property Development Investment Fund.,Private Equity Firm,,,,,,,,,,"145,234"
Francisco Quintero Abbo,https://www.crunchbase.com/person/francisco-quintero-abbo,1,1,"Boca Raton, Florida, United States",Software developer with 7 years experience building and 10 years managing tech products. In companies ranging from 2 to 200 people that had ...,Individual/Angel,,1,,,,1,,,,"145,205"
Ben Allen,https://www.crunchbase.com/person/ben-allen-142e,,,"San Francisco, California, United States",Ben Allen - Chief Marketing Officer @ Go1,,,,,,,,,,,"145,204"
Master of Technology Management and Entrepreneurship,https://www.crunchbase.com/organization/master-of-technology-management-and-entrepreneurship,1,,"Saint John, New Brunswick, Canada",MTME is provides the theoretical understanding and the hands-on experience to create a startup.,"Entrepreneurship Program, University Program",,1,,1,,,,,,"145,207"
Alex Benzer,https://www.crunchbase.com/person/alex-benzer,1,,"Los Angeles, California, United States","Alex Benzer is the Director, Audio at Medium He attended University of Redlands.",Individual/Angel,Seed,1,,,,,,,,"145,208"
Aldabra Capital,https://www.crunchbase.com/organization/aldabra-capital,1,,"Roma, Lazio, Italy","Aldabra Capital is an investment holding company that specializes in venture capital, private equity, and financial advisory operations.",Private Equity Firm,,1,,,,,,,,"145,238"
Yonette Chung McLean,https://www.crunchbase.com/person/yonette-chung-mclean-yonette-chung-mclean,,,"New York, New York, United States",Yonette Chung McLean is a Managing Director of  RBC Capital Markets.,Investment Partner,,,1,,,,,,,"145,209"
Shirley Wong,https://www.crunchbase.com/person/shirley-wong,1,,"Singapore, Asia",Shirley Wong is an entrepreneur with more than 20 years of experience in the IT industry. She co-founded Frontline Technologies Corporation ...,Individual/Angel,,1,,1,,,,,,"145,239"
Yintaihuaying,https://www.crunchbase.com/organization/yintaihuaying,2,1,"Beijing Shi, Beijing, China",Yintaihuaying is an investment firm.,,,2,,,,1,,,,"145,240"
L&L,https://www.crunchbase.com/organization/l-l-holding-s-a-,2,,"Luxembourg, Luxembourg, Luxembourg","L&L is an investment company focused on FinTech, payment, and bitcoin companies.",Venture Capital,"Early Stage Venture, Seed",2,,,,,,,,"145,210"
Blaise Mentha,https://www.crunchbase.com/person/blaise-mentha,1,,,Blaise Mentha,Individual/Angel,,1,,1,,,,,,"145,211"
Hiller Logistik,https://www.crunchbase.com/organization/hiller-logistik,1,1,"Lüneburg, Niedersachsen, Germany",Hiller Logistik offers medium-sized industrial customers all logistics services.,,,1,,,,1,,,,"145,213"
Carolyn Wall,https://www.crunchbase.com/person/carolyn-wall,1,1,"Stamford, Connecticut, United States",Carolyn Wall - President @ Narrowstep,Individual/Angel,Seed,1,,,,1,,,,"145,214"
Jiu Yu Capital,https://www.crunchbase.com/organization/jiu-yu-capital,11,2,"Shenzhen, Guangdong, China","Jiu Yu Capital focuses on long-term equity investments in new economic sectors such as TMT and fashion consumption, such as PE/VC and NEEQ.","Private Equity Firm, Venture Capital",,10,,,,2,,,,"145,215"
Trinvest AB,https://www.crunchbase.com/organization/trinvest-ab,1,,,Trinvest AB is an investment Firm.,,,1,,1,,,,,,"145,245"
Marc E. Binda,https://www.crunchbase.com/person/marc-e-binda,,,"Burbank, California, United States","Marc E. Binda has served as Senior Vice President – Finance since June 2012, Vice President – Finance and Accounting since 2006, and Assista...",,,,,,,,,,,"145,218"
Quamdeen Amuwo,https://www.crunchbase.com/organization/quamdeen-amuwo-8637,,,"San Bruno, California, United States",A businessman having connections to Chicago and almost all states generally is Quamdeen Amuwo.,Private Equity Firm,,,,,,,,,,"145,220"
Go Fujita,https://www.crunchbase.com/person/go-fujita,,,,Go Fujita is a representative director and president of MTG Ventures.,Investment Partner,,,6,,,,,,,"145,222"
Chris Joseph,https://www.crunchbase.com/person/chris-joseph-7e22,,,"Houston, Texas, United States",Chris Joseph serves as a Managing Partner and Principal at Clovis Point Capital. He attended Texas McCombs School of Business and Washington...,Investment Partner,,,2,,,,,,,"145,223"
PowerHaus,https://www.crunchbase.com/organization/powerhaus,,,,PowerHaus is a network that invests time and capital in promising new companies providing innovative solutions for established industries.,Venture Capital,,,,,,,,,,"145,226"
Gayle Bowen,https://www.crunchbase.com/person/gayle-bowen,,,"Bristol, Bristol, City of, United Kingdom","Experienced, commercial private equity specialist and finance director. I have advised numerous businesses on MBO's, fund raising, M&A and d...",Investment Partner,,,1,,,,,,,"145,227"
Mason Kauffman,https://www.crunchbase.com/person/mason-kauffman,,,"Memphis, Tennessee, United States",Mason Kauffman received his BS from the University of Michigan and MBA from the University of Memphis. He was part of FedEx’s pioneering tea...,,Seed,,,,,,,,,"145,228"
Finance Innovation Technology Fund,https://www.crunchbase.com/organization/finance-innovation-technology-fund,1,,"Paris, Ile-de-France, France",Finance Innovation Technology Fund is a venture capital firm.,Venture Capital,"Seed, Venture",1,,,,,,,,"145,229"
Fahad Abdullah S Alsulaim,https://www.crunchbase.com/person/fahad-abdullah-s-alsulaim,1,,"Saudi Arabia, Asia",Fahad Abdullah S Alsulaim,Individual/Angel,,1,,,,,,,,"145,230"
Arvin Zuberbuehler,https://www.crunchbase.com/person/arvin-zuberbuehler,2,,"Herisau, Ausser-Rhoden, Switzerland",Arvin Zuberbuehler is the Co-Founding Partner of 3wVentures.,Individual/Angel,Seed,2,,,,,,,,"145,251"
Patrick Pouyanné,https://www.crunchbase.com/person/patrick-pouyanné,,,"Paris, Ile-de-France, France",Patrick Pouyanne is the CEO of TotalEnergies. He previously worked at Ministry of Information Technology and Space as a Chief of staff. Patr...,Investment Partner,,,1,,,,,,,"145,231"
Atvex,https://www.crunchbase.com/organization/atvex,,,"Moscow, Moscow City, Russian Federation","Atvex is an investment management company that develops from year to year, expands the range of products.",,,,,,,,,,,"145,234"
Laurence Moroney,https://www.crunchbase.com/person/laurence-moroney,,,"Kirkland, Washington, United States",Laurence Moroney is the Lead Artificial Intelligence Advocate at Google.,,,,,,,,,,,"145,235"
Celine Orjubin,https://www.crunchbase.com/person/celine-orjubin,2,1,"Paris, Ile-de-France, France",Celine Orjubin is a cofounder of My Little Paris,Individual/Angel,Seed,2,,,,1,,,,"145,236"
Mark Horrocks,https://www.crunchbase.com/person/mark-horrocks,2,1,"London, England, United Kingdom",Mark Horrocks,Individual/Angel,,1,,,,1,,,,"145,255"
Dutch Fund for Climate and Development,https://www.crunchbase.com/organization/dutch-fund-for-climate-and-development,1,,"The Hague, Zuid-Holland, The Netherlands",Dutch Fund for Climate and Development enables private sector investment in projects aimed at climate adaptation and mitigation.,,,1,,1,,,,,,"145,237"
Evercore Mexico Capital Partners,https://www.crunchbase.com/organization/evercore-mexico-capital-partners,,,"Mexico City, Distrito Federal, Mexico",Evercore Mexico Capital Partners is the Mexican private equity division of Evercore Partners and manages more than $400 million dollars of,Private Equity Firm,,,,,,,,,,"145,238"
Philippe Peltier,https://www.crunchbase.com/person/philippe-peltier,,,"Paris, Ile-de-France, France",Philippe has been a Partner at Auriga Partners since 1999. Philippe has been an early stage investor in numerous successful healthcare compa...,Investment Partner,,,25,,,,,,,"145,239"
Startup Showdown,https://www.crunchbase.com/organization/startup-showdown,1,,,Startup Showdown is monthly competetions open for entrepreneurs hosted by Panoramic ventures.,Startup Competition,Seed,1,,1,,,,,,"145,257"
