Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Capital Blue Partners,https://www.crunchbase.com/organization/capital-blue-partners,2,,"Haarlem, Noord-Holland, The Netherlands","Capital Blue Partners is a family fund that mainly invests in private equity, food, sustainable energy and IT sectors.",Venture Capital,,2,,,,,,,,"108,601"
5Desire,https://www.crunchbase.com/organization/5desire,,,"Ho Chi Minh City, NA - Vietnam, Vietnam",5Desire is a Vietnamese incubator and startup accelerator for Southeast Asian companies in various sectors. ,"Accelerator, Incubator",,,,,,,On-Site,,,"108,602"
Rahul verma (Rv),https://www.crunchbase.com/person/rahul-verma-7982,,,"India, Asia","Rahul verma (Rv) is an Indian Enterpreneur , writer and the founder and CEO of LittleMove.in and Rvalllplay.",,,,,,,,,,,"108,604"
Iain Wilcock,https://www.crunchbase.com/person/iain-wilcock,,,"London, England, United Kingdom","Iain established and ran the healthcare investment business of Quester Capital, an early-stage venture capital business, for over 10 years. ...",Investment Partner,,,1,,,,,,,"108,616"
LIV Capital Group,https://www.crunchbase.com/organization/liv-capital-group,,,"San Diego, California, United States",LIV Capital Group offers investment opportunities for individuals to own shares of real estate.,,,,,,,,,,,"108,617"
Cian Cotter,https://www.crunchbase.com/person/cian-cotter,,,"New York, New York, United States",Cian Cotter joined Insight in 2003 and leads Insight's capital markets activities. Cian focuses on creating strategic outcomes for Insight's...,,,,,,,,,,,"108,631"
Ruigao Venture Capital,https://www.crunchbase.com/organization/ruigao-venture-capital,1,,,Ruigao Venture Capital is an investment firm.,,,1,,1,,,,,,"108,635"
Incube Ventures,https://www.crunchbase.com/organization/incube-ventures-2,2,1,"Ahmedabad, Gujarat, India",InCube Ventures is a life science venture firm focused on investing.,Venture Capital,"Early Stage Venture, Late Stage Venture",2,,1,,1,,,,"108,636"
David Blyghton,https://www.crunchbase.com/person/david-blyghton,,,"London, England, United Kingdom",David Blyghton is the Partner at Highland Europe. He attended University of Oxford.,Investment Partner,,,1,,,,,,,"108,638"
Calvin Cooper,https://www.crunchbase.com/person/calvin-cooper,,,"Miami, Florida, United States",Calvin is the CEO and Co-Founder of Tokr Labs. He attended Capital University.,Investment Partner,,,2,,,,,,,"108,646"
Tendris Holding,https://www.crunchbase.com/organization/tendris-holding,3,1,"Amsterdam, Noord-Holland, The Netherlands",Tendris Holding develops solutions that range from electric cars to energy efficient lightbulbs and carbon compensating credit cards.,,,1,,,,1,,,,"108,651"
John Sinclair,https://www.crunchbase.com/person/john-sinclair,,,"Golden, Colorado, United States",John Sinclair is the Managing Director at TIFF Investment Management.,,,,,,,,,,,"108,658"
SPARX Asset Management,https://www.crunchbase.com/organization/sparx-asset-management,3,,"Konan, Tokyo, Japan","SPARX Asset Management engages in investment management, advisory, and first and second-class financial instruments business.",Venture Capital,,3,,,,,,,,"108,665"
Umai Global,https://www.crunchbase.com/organization/umai-global,1,1,,"Umai Global enable agrifoodtech innovation by attracting, investing in and nurturing the best entrepreneurs.","Private Equity Firm, Venture Capital",Early Stage Venture,1,,1,,1,,,,"108,680"
Julie Herendeen,https://www.crunchbase.com/person/julie-herendeen,2,,"San Francisco, California, United States","Julie is an experienced marketing executive with over 15 years in technology marketing. As Vice President of Marketing at Lookout, Julie is ...",Individual/Angel,Seed,2,,,,,,,,"108,685"
Talos VC,https://www.crunchbase.com/organization/talos-vc,1,,,Talos VC operates as a venture capital firm.,Venture Capital,Early Stage Venture,1,,,,,,,,"108,693"
SFR Development,https://www.crunchbase.com/organization/sfr-development,4,1,"Paris, Ile-de-France, France","SFR Development is the corporate venture capital fund of SFR, a French services provider.",Corporate Venture Capital,Late Stage Venture,3,,1,2,1,,,,"108,697"
Samuel Levin,https://www.crunchbase.com/person/samuel-levin-7022,,,"Brooklyn, New York, United States",Samuel Levin is Co-Founder & CEO at Melonfrost. Samuel attended University of Oxford.,,,,,,,,,,,"108,701"
Dustin D. Trammell,https://www.crunchbase.com/person/dustin-d-trammell,,,"San Juan, NA - Puerto Rico, Puerto Rico","Entrepreneur, Venture Capitalist, InfoSec Research Scientist, Real-estate Investor, and Cryptocurrency Mogul.",,"Convertible Note, Crowdfunding, Early Stage Venture, Private Equity, Seed, Venture",,,,,,,,,"108,702"
Shyam Sunder,https://www.crunchbase.com/person/shyam-sunder,,,"Mumbai, Maharashtra, India",Shyam Sunder is the COO & Co-Founder at Hitachi Payment Services.,,,,,,,,,,,"108,600"
Michal Klar,https://www.crunchbase.com/person/michal-klar,3,,"Christchurch, Canterbury, New Zealand",Michal Klar Supporting & accelerating new protein sector in the Asia Pacific.,"Investment Partner, Individual/Angel",,2,9,,,,,,,"108,601"
