Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Brian Boruff,https://www.crunchbase.com/person/brian-boruff,1,1,"Charleston, South Carolina, United States","Brian Boruff is President of the Enterprise Business Unit, leading sales, marketing, services, support, analytics and solution innovation sp...",Individual/Angel,Seed,1,,,,1,,,,"185,400"
Takwin Startup Studio,https://www.crunchbase.com/organization/takwin-startup-studio,,,"Istanbul, Istanbul, Turkey","Takwin, is a startup studio focusing on funding and building innovative products and companies.",Micro VC,"Early Stage Venture, Seed",,,,,,,,,"185,403"
Prosun Bepari,https://www.crunchbase.com/person/prosun-bepari,,,"Dhaka, Dhaka, Bangladesh","Prosun Bepari is the Founder and Director of Sasthya Seba Limited, a healthcare platform that provides a variety of services to patients and...",,Seed,,,,,,,,,"185,405"
Luoji Siwei,https://www.crunchbase.com/organization/luoji-siwei-c31b,1,,"Beijing, Beijing, China",Luoji Siwei is a company engaged in software and information technology services.,,,1,,,,,,,,"185,406"
Jonathan Taylor,https://www.crunchbase.com/person/jonathan-taylor-3eda,1,,"Salem, New Jersey, United States",Jonathan Taylor is an American football running back for the Indianapolis Colts of the National Football League.,Individual/Angel,,1,,,,,,,,"185,408"
Arden Tse,https://www.crunchbase.com/person/arden-tse,,,"Edmonton, Alberta, Canada","Arden is an accomplished business professional with over 15 years of private and public sector experience. Throughout his career, Arden has ...",Investment Partner,,,3,,,,,,,"185,410"
Jiekang Shangwu Zixun,https://www.crunchbase.com/organization/jiekang-shangwu-zixun,1,,"Hongkou, Shanghai, China",Jiekang Shangwu Zixun engaged in business management consulting.,,,1,,,,,,,,"185,411"
LaTricogne Capital,https://www.crunchbase.com/organization/latricogne-capital,,,"Paris, Ile-de-France, France",LaTricogne Capital is an investment Firm.,,,,,,,,,,,"185,412"
Next Business Generation,https://www.crunchbase.com/organization/next-business-generation,,,"Nottingham, Nottingham, United Kingdom","The Next Business Generation Programme is a pilot programme designed to create more, better quality startups in Nottingham.",Venture Debt,,,,,,,,,,"185,413"
Ingrid Van de Maele,https://www.crunchbase.com/person/ingrid-van-de-maele,,,,"Ingrid Van de Maele was vanaf de oprichting in 2007 betrokken bij de ontwikkeling van Anima, eerst als Group Financial Controller bij Ackerm...",,,,,,,,,,,"185,414"
Amnon Shenfeld,https://www.crunchbase.com/person/amnon-shenfeld,,,"Kafr Saba, HaMerkaz, Israel",VP R&D at EyeSight Mobile Technologies.,,,,,,,,,,,"185,416"
Choi Hee-doo,https://www.crunchbase.com/person/choi-hee-doo,,,"South Korea, Asia",Choi Hee-doo is the Senior Business Development Manager of Kakao Corp.,,,,,,,,,,,"185,418"
Nick Jordan,https://www.crunchbase.com/person/nick-jordan-3,,,"Durham, North Carolina, United States","Nick Jordan is the founder and Managing Director of Smashing Boxes, a web and mobile application development firm in Durham, North Carolina....",,,,,,,,,,,"185,419"
Scott Olson,https://www.crunchbase.com/person/scott-olson,,,"Ann Arbor, Michigan, United States",Scott Olson is the President of Life Science Consultants. He attended the University of Michigan - Stephen M. Ross School of Business and Pu...,,,,,,,,,,,"185,420"
Francoise Peretti,https://www.crunchbase.com/person/francoise-peretti,,,"London, England, United Kingdom",Francoise Peretti is the Managing Partner & Founder at Peretti Communications.,,,,,,,,,,,"185,404"
Morgan Lorimer,https://www.crunchbase.com/person/morgan-lorimer,,,,Morgan Lorimer,Investment Partner,,,5,,,,,,,"185,405"
Initial Capital,https://www.crunchbase.com/organization/initial-capital-16c9,10,,"Beijing, Beijing, China",Initial Capital is an investment firm based in China.,Venture Capital,,6,,,,,,,,"185,421"
Bob Hambrecht,https://www.crunchbase.com/person/bob-hambrecht,,,"San Francisco, California, United States","Bob Hambrecht is a partner at Allotrope Partners. He attended Columbia University and the University of California, Berkeley.",Investment Partner,,,1,,,,,,,"185,409"
Tianantai Guquan Touzi,https://www.crunchbase.com/organization/tianantai-guquan-touzi,1,1,"Beijing, Beijing, China",Tianantai Guquan Touzi is an investment firm that provides asset management and investment management services.,,,1,,,,1,,,,"185,423"
Privee Turnaround Group,https://www.crunchbase.com/organization/privee-turnaround-group,,,"Tokyo, Tokyo, Japan",Privee Turnaround Group is a privately held company that holds 100% of the shares through market purchases and treasury stock purchases.,,,,,,,,,,,"185,424"
Karolin Troubetzkoy,https://www.crunchbase.com/person/karolin-troubetzkoy,,,"Saint Lucia, North America",Karolin Troubetzkoy is the Chairwoman of the Caribbean Biodiversity Fund. She previously worked at Saint Lucia National Conservation Fund as...,,,,,,,,,,,"185,426"
Hongtai Hurong,https://www.crunchbase.com/organization/hongtai-hurong,5,,"Changning, Shanghai, China",Hongtai Hurong is an investment firm.,Angel Group,,5,,,,,,,,"185,428"
Alcazar Partners,https://www.crunchbase.com/organization/alcazar-partners,,,,"Alcazar Partners, LLC provides marketing and client service consulting to private equity managers.",,,,,,,,,,,"185,429"
Mr. Dev Sodha,https://www.crunchbase.com/person/devisinh-sodha,,,"Bhuj, Gujarat, India","Devisinh Sodha is a blogger, SEO expert, digital marketing expert, and Founder and CEO of India's Best Hindi Blog.",,Seed,,,,,,,,,"185,432"
Stefan Gaiser,https://www.crunchbase.com/person/stefan-gaiser,,,"Freiburg, Baden-Wurttemberg, Germany","Stefan Gaiser joined TeamViewer in November 2017, as the company’s Chief Financial Officer. He is a seasoned Financial Executive, who has sp...",,,,,,,,,,,"185,433"
Alek Ferro,https://www.crunchbase.com/person/alek-ferro-177e,,,"San Francisco, California, United States",Alek Ferro is a Technology Investor at Advent International.,Investment Partner,,,1,,,,,,,"185,434"
Dagfinn Saetre,https://www.crunchbase.com/person/dagfinn-saetre-8bec,,,,Dagfinn Saetre is a General Manager Cardiovascular Ultrasound at GE HealthCare,Investment Partner,,,1,,,,,,,"185,416"
Shiao Lianhe Guanggao,https://www.crunchbase.com/organization/shiao-lianhe-guanggao,1,,"Changping, Beijing, China","Shiao Lianhe Guanggao is an advertising agency that creating, planning, and handling advertising.",,,1,,,,,,,,"185,435"
Keith Neumeyer,https://www.crunchbase.com/person/keith-neumeyer-5f8e,,,"Vancouver, British Columbia, Canada","Keith Neumeyer is the Founder, CEO, and President of First Majestic Silver.",,,,,,,,,,,"185,436"
Lauren Casper,https://www.crunchbase.com/person/lauren-casper,,,"London, England, United Kingdom","Lauren Casper joined Advent International in 2013 and is focused on marketing activities in North America and Latin America. Previously, ...",,,,,,,,,,,"185,437"
