Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Chris Rogers,https://www.crunchbase.com/person/chris-rogers-15ff,,,"London, England, United Kingdom",Chris Rogers is the COO and Founder of FluidOne.,,,,,,,,,,,"244,200"
Mark Wong,https://www.crunchbase.com/person/mark-wong-4e72,,,"Singapore, Asia",Mark Wong,,,,,,,,,,,"244,203"
Eddie Black,https://www.crunchbase.com/person/eddie-black,,,,Eddie Black - founder @ Blacks Photo Corporation,,,,,,,,,,,"244,204"
Eduardo Garre,https://www.crunchbase.com/person/eduardo-garre,,,,Eduardo Garre,,Private Equity,,,,,,,,,"244,202"
Scott Peters,https://www.crunchbase.com/person/scott-peters-301e,,,"Greater Phoenix Area, Arizona, United States",Scott Peters,Investment Partner,,,1,,,,,,,"244,213"
Raihan Hossain,https://www.crunchbase.com/person/raihan-hossain-1e1e,,,"Bangladesh, Asia","Mern Stack Developer | Android, IOS, Windows Developer (Flutter) | WordPress Developer | UI/UX designer | SEO EXPERT",,Seed,,,,,,,,,"244,214"
Petr Seidl,https://www.crunchbase.com/person/petr-seidl,,,"Czech Republic, Europe",Petr Seidl,,,,,,,,,,,"244,207"
Mao Jun Zeng,https://www.crunchbase.com/person/john-maojun-zeng,,,,"Mr. Zeng has served as a director of the Company since February 2016. Mr. Zeng has been President of Wanda Cinema Line Co., Ltd, a subsidia...",,,,,,,,,,,"244,206"
Paul Rourke,https://www.crunchbase.com/person/paul-rourke,1,,"London, England, United Kingdom",Paul Rourke is the Sr. Partner Development Manager - Global at Amazon Web Services. Paul Rourke attended Matthew Arnold.,Individual/Angel,"Crowdfunding, Early Stage Venture, Late Stage Venture, Non Equity Assistance, Seed, Venture",1,,,,,,,,"244,208"
Laurence Abbott,https://www.crunchbase.com/person/laurence-abbott,,,"Milton Keynes, Milton Keynes, United Kingdom",Laurence Abbott,,,,,,,,,,,"244,209"
Charlie Johnson,https://www.crunchbase.com/person/charlie-johnson-4b11,,,"Newland, Gloucestershire, United Kingdom","Charlie Johnson Prior to joining ADC Biotechnology as Commercial Director in early 2012, Johnson was Director for the High Potency Division ...",,,,,,,,,,,"244,211"
Michael Prentice,https://www.crunchbase.com/person/michael-prentice,1,,,Michael Prentice,Individual/Angel,Seed,1,,,,,,,,"244,217"
Masakazu Fukuda,https://www.crunchbase.com/person/masakazu-fukuda,,,,Dr. Fukuda received a Ph.D. in science from the University of Tokyo in 2009. He worked in R&D for stem cell culture-related products at Wako...,,,,,,,,,,,"244,219"
Lior Yahalomi,https://www.crunchbase.com/person/lior-yahalomi,,,"Philadelphia, Pennsylvania, United States",Lior Yahalomi,,,,,,,,,,,"244,213"
Joshua Vial,https://www.crunchbase.com/person/joshua-vial,1,,"Wellington, Wellington, New Zealand","JV, founder of Enspiral, completed a 6 month tour of duty building Bucky Box in her formative first year and now sits on the board. Programm...",Individual/Angel,Seed,1,,,,,,,,"244,223"
Susumu Tatematsu,https://www.crunchbase.com/person/tatematsu-susumu,,,,Susumu Tatematsu,,,,,,,,,,,"244,215"
Bhrugu Pagne,https://www.crunchbase.com/person/bhrugu-pagne,1,,,Bhrugu Pagne,Individual/Angel,Seed,1,,,,,,,,"244,216"
Henry Zhang,https://www.crunchbase.com/person/henry-zhang-aac3,,,,Henry Zhang,Investment Partner,,,1,,,,,,,"244,218"
Tsutsumi Kensei,https://www.crunchbase.com/person/tsutsumi-kensei,,,,Tsutsumi Kensei is the Representative Director and Founder at Theoria Japan and Representative Director and Founder of Emoclo.,,,,,,,,,,,"244,224"
Pablo Cardoso,https://www.crunchbase.com/person/pablo-cardoso,,,"Juiz De Fora, Minas Gerais, Brazil",Pablo Cardoso used to be a co-founder at Encarte Mobile.,,,,,,,,,,,"244,221"
Kash Patel,https://www.crunchbase.com/person/kash-patel,,,"Singapore, Central Region, Singapore",Kash Patel,,,,,,,,,,,"244,224"
Aaron Stern,https://www.crunchbase.com/person/aaron-stern,1,1,,Aaron Stern,Individual/Angel,,1,,,,1,,,,"244,210"
Claire Rochford,https://www.crunchbase.com/person/claire-rochford,,,"Skelmersdale, Lancashire, United Kingdom",Claire Rochford,,,,,,,,,,,"244,222"
UKMGO Group,https://www.crunchbase.com/person/rudi-yanto-f643,,,,Funding & Investment | Program Development,,,,,,,,,,,"244,212"
Ajay Mangal,https://www.crunchbase.com/person/ajay-mangal-2e53,,,,Ajay Mangal,,,,,,,,,,,"244,217"
Liu Yangze,https://www.crunchbase.com/person/liu-yangze,1,,,Liu Yangze is an Entrepreneur.,Individual/Angel,,1,,,,,,,,"244,225"
Philippe Vanrie,https://www.crunchbase.com/person/philippe-vanrie,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Philippe is an engineer who started his career at the University of Brussels (ULB) and then joined the first European EC-BIC in Liège (Socra...,,,,,,,,,,,"244,225"
Vivek Prakash,https://www.crunchbase.com/person/vivek-prakash-1f77,,,,Vivek Prakash,,,,,,,,,,,"244,232"
Michael Fu,https://www.crunchbase.com/person/michael-fu,,,"Central, Hong Kong Island, Hong Kong","Mr. Fu is a Principal based in Hong Kong. Prior to joining TPG in 2013, Mr. Fu was a Director at FountainVest Partners, a private equity ...",,,,,,,,,,,"244,226"
Farhan Journey,https://www.crunchbase.com/person/farhan-journey,,,"Indonesia, Asia","entrepreneur, writter at farhanjourney.com",,Crowdfunding,,,,,,,,,"244,227"
