Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Liz Reitman,https://www.crunchbase.com/person/liz-reitman,,,"New York, New York, United States",Liz Reitman is the Chief Marketing Officer at Other Parents Like Me. She attended Yale School of Management,,,,,,,,,,,"162,000"
Jinhuixin Equity Investment Management,https://www.crunchbase.com/organization/jinhuixin-equity-investment-management,1,,"Nanan, Chongqing, China","Jinhuixin Equity Investment Management is an investment firm that offer asset management, investment management and consulting service.",Private Equity Firm,,1,,,,,,,,"162,001"
Bruce Barclay,https://www.crunchbase.com/person/bruce-j-barclay,1,,"San Francisco Bay Area, California, United States","Bruce J Barclay joined Hansen Medical in June 2010 as president and CEO, and a member of the Board of Directors. He brings with him over 30 ...",Individual/Angel,,1,,,,,,,,"162,002"
André Cruz,https://www.crunchbase.com/person/andré-cruz,,,"Sao Paulo, Brazil, South America",André Cruz,Investment Partner,,,1,,,,,,,"162,005"
Bruno Cappuccini,https://www.crunchbase.com/person/bruno-cappuccini,,,,"Bruno joined Richmond Park as a Partner and Head of Sales and Marketing. Previously, he served as Global Head of Sales and Marketing for Fix...",,,,,,,,,,,"162,008"
Recordworld sl,https://www.crunchbase.com/organization/recordworld-sl,1,,"Barcelona, Catalonia, Spain",Recordworld sl,,,1,,,,,,,,"162,009"
Joel Harris,https://www.crunchbase.com/person/joel-harris-e43d,,,"Chicago, Illinois, United States","Joel Harris, Executive Director of Ag Startup Engine.",Investment Partner,,,7,,,,,,,"162,010"
Elevator Lab powered by Raiffeisen Bank International,https://www.crunchbase.com/organization/elevator-lab-by-raiffeisen-bank-international,,,"Vienna, Wien, Austria",Elevator Lab is a leading Fintech Partnership Program powered by Raiffeisen Bank International AG (RBI).,Accelerator,,,,,,,Online,2020-10-31,16,"162,011"
Patrick Hruby,https://www.crunchbase.com/person/patrick-hruby,,,"São Paulo, Sao Paulo, Brazil",Patrick Hruby is the Chief Executive Officer of Movile.,Investment Partner,,,6,,,,,,,"162,012"
Jonathan Ruffer,https://www.crunchbase.com/person/jonathan-ruffer,1,,"Rockford, Michigan, United States",Jonathan Ruffer - Founder & Chairman @ Ruffer,Individual/Angel,Seed,1,,,,,,,,"162,014"
Local Skills Improvement Fund,https://www.crunchbase.com/organization/local-skills-improvement-fund,,,,Local Skills Improvement Fund is an investment firm.,,,,,,,,,,,"162,013"
Danin Kahn,https://www.crunchbase.com/person/danin-kahn,1,,,Danin Kahn is the Climate Tech Syndicate Lead Angel Investor.,Individual/Angel,,1,,,,,,,,"162,016"
Ezekiel Duran,https://www.crunchbase.com/person/ezekiel-duran,,,"Los Angeles, California, United States",Ezekiel Duran,,"Early Stage Venture, Seed",,,,,,,,,"162,017"
Dan Bailey,https://www.crunchbase.com/person/dan-bailey-2ed3,,,"Charlotte, North Carolina, United States",Dan Bailey is a managing Director at CoVenture.,Investment Partner,,,1,,,,,,,"162,020"
Susan White Livermore,https://www.crunchbase.com/person/susan-white-livermore,1,,"Barrie, Ontario, Canada",Susan White Livermore is the Founder at Millionaire Mom.,Individual/Angel,,1,,,,,,,,"162,021"
Amol Sonavane,https://www.crunchbase.com/person/amol-sonavane-9163,1,,"Mumbai, Maharashtra, India",Amol Sonavane is the Founder of CricketGraph and the Co-Founder of Elemnt Life. He earned his bachelor's degree in mathematics at GN Khalsa ...,Individual/Angel,Early Stage Venture,1,,1,,,,,,"162,022"
Yourong Investment,https://www.crunchbase.com/organization/yourong-investment,1,,"Guangzhou, Guangdong, China",Yourong Investment is an investment firm.,,,1,,,,,,,,"162,023"
Nocottay Equity Management,https://www.crunchbase.com/organization/nocottay-equity-management,,,,Investment fund,,,,,,,,,,,"162,024"
Miguel Bueno,https://www.crunchbase.com/person/miguel-bueno-6edc,,,,I am known for making extraordinary pieces for unforgettable moments. From rings to bracelets and diamonds to colored stones; the whole expe...,,Venture,,,,,,,,,"162,026"
Longrun Asset,https://www.crunchbase.com/organization/longrun-asset,1,,,Longrun Asset,,,1,,1,,,,,,"162,027"
Karann Mittal,https://www.crunchbase.com/person/karann-mittal,,,"New Delhi, Delhi, India",Karann Mittal is the Partner at Ev2 Ventures and Velos Partners.,Investment Partner,,,1,,,,,,,"162,001"
CEC,https://www.crunchbase.com/organization/cec-bd5c,,,,CEC,Government Office,,,,,,,,,,"162,029"
