Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Kerri Breen,https://www.crunchbase.com/person/kerri-breen,,,,Kerri Breen focuses her efforts on investing in early stage technology companies and working with JumpStart's portfolio companies on their f...,,,,,,,,,,,"227,400"
Aaron Gerszewski,https://www.crunchbase.com/person/aaron-gerszewski,,,"Salt Lake City, Utah, United States",Aaron Gerszewski is a VP of Venture Investments at Wasatch Acquisitions & Capital.,Investment Partner,,,1,,,,,,,"227,404"
Annica Forsgren Kjellman,https://www.crunchbase.com/person/annica-forsgren-kjellman,1,,,Annica Forsgren Kjellman,Individual/Angel,,1,,,,,,,,"227,403"
Shalini Gandham,https://www.crunchbase.com/person/shalini-gandham,,,"Pune, Maharashtra, India",Founder at EDUGILD,,,,,,,,,,,"227,405"
Harman Singh,https://www.crunchbase.com/person/harman-singh-24d0,,,"Altrincham, Cheshire, United Kingdom",Harman Singh,,,,,,,,,,,"227,408"
David Aung,https://www.crunchbase.com/person/david-aung,,,"San Francisco, California, United States",David Aung,,,,,,,,,,,"227,406"
Nicolas Leeper,https://www.crunchbase.com/person/nicolas-leeper,,,"New York, New York, United States",Nicolas Leeper was the former Senior Associate at SeedInvest. He's a graduate of B.A. in Political Science from Columbia University.,,,,,,,,,,,"227,407"
Martin Glover,https://www.crunchbase.com/person/martin-glover,1,,,Martin Glover,Individual/Angel,Seed,1,,,,,,,,"227,411"
Patrick McCarthy,https://www.crunchbase.com/person/patrick-mccarthy-2fe4,1,1,,Patrick McCarthy,Individual/Angel,Crowdfunding,1,,,,1,,,,"227,410"
Niklas Pichler,https://www.crunchbase.com/person/niklas-pichler,,,,"Niklas Pichler, a managing partner of BlackPeak Capital.",Investment Partner,,,1,,,,,,,"227,412"
Mitch Weisburgh,https://www.crunchbase.com/person/mitch-weisburgh,1,,,Mitch Weisburgh,Individual/Angel,,1,,,,,,,,"227,413"
ishaan haritwal,https://www.crunchbase.com/person/ishaan-haritwal,,,,ishaan haritwal,,Seed,,,,,,,,,"227,414"
