Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Alt Capital,https://www.crunchbase.com/organization/alt-capital-10ea,1,,,Alt Capital is a venture capital firm.,Venture Capital,,1,,,,,,,,"21,008"
Outset Capital,https://www.crunchbase.com/organization/outset-capital,11,,"San Francisco, California, United States",Investing in pre-seed and seed startups,"Angel Group, Micro VC, Venture Capital","Early Stage Venture, Seed",10,,,3,,,,,"21,007"
Eduardo Saverin,https://www.crunchbase.com/person/eduardo-saverin,30,7,"Singapore, Central Region, Singapore",Eduardo Saverin is a Co-founder at Meta. Eduardo attended Harvard University.,"Investment Partner, Individual/Angel",Seed,19,12,8,,7,,,,"21,021"
Essential Capital,https://www.crunchbase.com/organization/essential-404e,13,,"New York, New York, United States",Essential Capital is a global venture investor and an early backer of industry-transforming businesses.,Venture Capital,,13,,2,4,,,,,"21,009"
Isos Capital Management,https://www.crunchbase.com/organization/isos-capital-management,1,,"Westport, Connecticut, United States","Isos Capital Management focuses on identifying and executing on investment opportunities in the media, entertainment and sports industries.",,,1,,,1,,,,,"21,013"
Good Startup,https://www.crunchbase.com/organization/good-startup,9,,"Singapore, Central Region, Singapore",Good Startup is a venture firm focused on the alternative protein sector.,Venture Capital,,9,,,1,,,,,"21,020"
Disruptech Ventures,https://www.crunchbase.com/organization/disruptech,17,2,"Cairo, Al Qahirah, Egypt",Disruptech Ventures specializes in financial technology start-up investments.,Venture Capital,Early Stage Venture,14,,9,,2,,,,"21,021"
Daimler Truck,https://www.crunchbase.com/organization/daimler-truck-ag,1,,"Leinfelden-echterdingen, Baden-Wurttemberg, Germany","Daimler Truck manufactures trucks, coaches, and intercity buses.",,,1,,1,,,,,,"21,023"
Third Point,https://www.crunchbase.com/organization/third-point,10,6,"New York, New York, United States",Third Point is an SEC-registered investment adviser based in New York.,Venture Capital,,9,,4,,6,,,,"21,024"
AddVenture,https://www.crunchbase.com/organization/addventure,51,5,"Nicosia, Nicosia, Cyprus","AddVenture is a global venture capital firm, investing at pre-seed / seed & Series A.",Venture Capital,"Early Stage Venture, Secondary Market, Seed",34,,28,1,5,,,,"21,029"
