Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
NDS Group,https://www.crunchbase.com/organization/nds-group-2,1,1,"Staines-upon-thames, Surrey, United Kingdom",NDS Group Limited provides video software and content security solutions to media companies.,,,1,,,1,1,,,,"63,000"
TKX Capital,https://www.crunchbase.com/organization/tkx-capital,6,,"Hong Kong, Hong Kong Island, Hong Kong",TKX Capital is an investment firm.,Venture Capital,,6,,,,,,,,"63,001"
River Partners Capital Management,https://www.crunchbase.com/organization/river-partners-capital-management,,,"New York, New York, United States",River Partners Capital Management is a national financial advisory firm,,,,,,,,,,,"63,005"
Joey Katzen,https://www.crunchbase.com/person/joey-katzen,9,3,"Honolulu, Hawaii, United States","Joey Katzen is an entrepreneur and attorney whose expertise has been instrumental in the founding, growth, and exit of multiple Inc-500 comp...",Individual/Angel,,9,,,3,3,,,,"63,014"
Orlando Bravo,https://www.crunchbase.com/person/orlando-bravo,,,"San Francisco Bay Area, California, United States",Orlando Bravo is the Founder and Managing Partner of Thoma Bravo.,Investment Partner,,,1,,,,,,,"63,018"
Rogier van Mazijk,https://www.crunchbase.com/person/rogier-van-mazijk,,,"Amsterdam, Noord-Holland, The Netherlands",Fund manager,Investment Partner,Venture,,12,,,,,,,"63,020"
HCM Capital,https://www.crunchbase.com/organization/hcm-capital-2c0b,6,2,"Beijing, Beijing, China",HCM  is sponsored by Foxconn Technology Group one of the Top 10 Technology companies.,Venture Capital,,5,,3,1,2,,,,"63,021"
Redhawk Ventures,https://www.crunchbase.com/organization/redhawk-ventures,4,1,"Oxford, Ohio, United States",Redhawk Ventures is a student-led venture capital that funds startups founded by Miami University students and alumni.,Micro VC,Seed,4,,1,,1,,,,"63,025"
Stonington Partners Inc.,https://www.crunchbase.com/organization/stonington-partners-inc,,,"New York, New York, United States","Stonington Partners, Inc. is a private equity firm specializing in middle market investments.",Private Equity Firm,,,,,,,,,,"63,027"
Shimai Pharmaceutical Group,https://www.crunchbase.com/organization/shimai-pharmaceutical-group,1,,"Hangzhou, Zhejiang, China",Shimai Pharmaceutical Group is a pharmaceutical consulting company that provides human resources services for pharmaceutical companies.,,,1,,1,,,,,,"63,028"
Wanqiang Li,https://www.crunchbase.com/person/li-wanqiang,5,,"Beijing, Beijing, China",Wanqiang Li is responsible for the marketing of Xiaomi. He was the General Manager of Kingsoft Dictionary and notable for being one of the e...,Individual/Angel,,5,,2,,,,,,"63,030"
Catalyst Growth Partners,https://www.crunchbase.com/organization/catalyst-growth-partners,5,,"Yucca Valley, California, United States",Catalyst Growth Partners provides strategic and financial support to technology enabled businesses.,Venture Capital,,5,,,,,,,,"63,031"
John Hennessy,https://www.crunchbase.com/person/john-l-hennessy,8,2,"Stanford, California, United States",John Hennessy is the Assistant Professor of Electrical Engineering at Stanford University.,Individual/Angel,Seed,6,,,2,2,,,,"63,035"
Hollod Holdings,https://www.crunchbase.com/organization/hollod-holdings,,,"Los Angeles, California, United States",Hollod Holdings invests in early-stage innovative consumer brands at the convergence of culture and wellness.,Venture Capital,"Debt, Early Stage Venture, Seed",,,,,,,,,"63,042"
We Are Human,https://www.crunchbase.com/organization/we-are-human,4,,"London, England, United Kingdom",We Are Human is a co-creative company that designs and builds products and services.,,,4,,,,,,,,"63,051"
Skye Global,https://www.crunchbase.com/organization/skye-global-management,,,"West Palm Beach, Florida, United States",Skye Global is an investment firm.,Hedge Fund,Late Stage Venture,,,,,,,,,"63,052"
Eric Edell,https://www.crunchbase.com/person/eric-edell,,,"New York, New York, United States",Eric Edell is the Managing Partner at 22C Capital,Investment Partner,,,2,,,,,,,"63,053"
KLP Enterprises,https://www.crunchbase.com/organization/klp-enterprises,5,3,"North Haven, Connecticut, United States","KLP Enterprises is an entrepreneurial investor group that finances biotechnology, clean technology, and software companies.",Venture Capital,"Early Stage Venture, Late Stage Venture",5,,3,,3,,,,"63,055"
Peter M. Hecht,https://www.crunchbase.com/person/peter-m-hecht,3,1,"Cambridge, Massachusetts, United States",Peter Hecht is the Co-Founder and CEO of Cyclerion Therapeutics.,Individual/Angel,,2,,1,,1,,,,"63,057"
FaDièse,https://www.crunchbase.com/organization/fadise,28,7,"Paris, Ile-de-France, France","FaDièse is a private equity firm that focuses on investments in digital, life sciences, and industrial technologies.",Private Equity Firm,Early Stage Venture,20,,1,,7,,,,"63,062"
EVP Capital Management,https://www.crunchbase.com/organization/evp-capital-management,7,4,"Frankfurt, Hessen, Germany","EVP Capital Management AG ist eine Private Equity Gesellschaft, die als Tochter der Co-Investor AG in mittelständische",Venture Capital,"Early Stage Venture, Late Stage Venture",6,,2,,4,,,,"63,069"
Wit-Gele Kruis van Vlaanderen,https://www.crunchbase.com/organization/wit-gele-kruis-van-vlaanderen,1,,"Lubbeek, Vlaams-Brabant, Belgium","Wit-Gele Kruis van Vlaanderen offers home nursing, healthcare, tools and emergency care services.",,,1,,1,,,,,,"63,000"
Jordan Shlain,https://www.crunchbase.com/person/jordan-shlain,2,,"San Francisco, California, United States",Jordan is a practicing physician who is building new models of healthcare delivery.  On his 15 year journey he is actively deconstructing th...,Individual/Angel,,2,,,1,,,,,"63,001"
Craig Cummings,https://www.crunchbase.com/person/craig-cummings,,,"Austin, Texas, United States","Craig Cummings is currently the Co-Founder and Chief Operating Officer of RideScout, the “Kayak” of Ground Transportation.  RideScout was ac...",Investment Partner,,,8,,,,,,,"63,002"
