Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Suvir Sujan,https://www.crunchbase.com/person/suvir-sujan,,,"India, Asia",Suvir Sujan is the Co-Founder and Managing Director at Nexus Venture Partners.,Investment Partner,,,15,,,,,,,"34,829"
Barclays Corporate & Investment Bank,https://www.crunchbase.com/organization/barclays-corporate-investment-bank,2,2,"New York, New York, United States","Barclays Corporate & Investment Bank offers BARX, credit, equities, mergers, acquisition, debt capital markets, and research services.",Investment Bank,,2,,,,2,,,,"34,800"
Aathitiyan Somu,https://www.crunchbase.com/person/aathitiyan-somu,,,"Chennai, Tamil Nadu, India",Founder at  HeroTalkies,,,,,,,,,,,"34,801"
Safaricom Foundation,https://www.crunchbase.com/organization/safaricomfoundation,,,"Nairobi, Nairobi Area, Kenya",The Safaricom Foundation is one of the largest corporate Foundations in Kenya.,,,,,,,,,,,"34,802"
Florida Institute of Technology,https://www.crunchbase.com/organization/florida-institute-of-technology,3,,"Melbourne Beach, Florida, United States","Florida Tech, Florida's second largest private college, offers degrees in a wide variety of science and engineering fields.",,,3,,1,,,,,,"34,805"
Roger Pantos,https://www.crunchbase.com/person/roger-pantos,,,"San Francisco, California, United States","Roger Pantos is a lead engineer on Apple’s media streaming team. He is a co-author of RFC 8216, ""HTTP Live Streaming,"" and is responsible fo...",,,,,,,,,,,"34,807"
Aleutian Capital Partners,https://www.crunchbase.com/organization/aleutian-capital-partners,1,,"New York, New York, United States",Aleutian Capital is a banking firm that provides merger and acquisition advisory services.,Private Equity Firm,,1,,,,,,,,"34,811"
Bob Kocher,https://www.crunchbase.com/person/bob-kocher,,,"Palo Alto, California, United States","Bob Kocher, MD is a Partner at Venrock and focuses on healthcare IT and services investments. He currently serves on the Boards of Devoted H...",Investment Partner,,,32,,,,,,,"34,817"
Soaring Startup Circle Venture Partners,https://www.crunchbase.com/organization/soaring-startup-circle-venture-partners,9,,"Boston, Massachusetts, United States","SSC VP is a VC fund created by Boston College alums that offers seed funding, office space, and mentorship to startups.",Accelerator,Seed,8,,,,,,,,"34,818"
Engineers Without Borders Canada,https://www.crunchbase.com/organization/engineers-without-borders-canada,4,,"Toronto, Ontario, Canada",Investing in people and ideas to end global poverty.,,,4,,4,,,,,,"34,824"
Idris Mokhtarzada,https://www.crunchbase.com/person/idris-mokhtarzada,2,1,"Silver Spring, Maryland, United States",Idris Mokhtarzada is the Founder and CTO at Truebill. He was the Co-Founder and Architect at Webs. Idris attended the University of Maryland...,Individual/Angel,Seed,2,,,1,1,,,,"34,800"
Friends Provident International,https://www.crunchbase.com/organization/friends-provident-international,1,,"Douglas, NA - Isle of Man, Isle of Man","Friends Provident International offers life assurance, pensions, and investment products.",,,1,,,,,,,,"34,801"
Nirvana Holdings,https://www.crunchbase.com/organization/nirvana-holdings,,,"Hyderabad, Andhra Pradesh, India",Nirvana Holdings was established as a Single Family Office (SFO) in 2008 to manage the wealth and investments of the Nara family.,Venture Capital,,,,,,,,,,"34,831"
Verium AG,https://www.crunchbase.com/organization/verium-ag,3,1,"Zürich, Zurich, Switzerland",Verium is a management-owned multi-family office providing a wide range of services to entrepreneurial families.,Family Investment Office,,3,,2,,1,,,,"34,802"
Justin Sun,https://www.crunchbase.com/person/justin-sun-cbba,2,1,"San Francisco, California, United States","Justin Sun, born in 1990, received a Master's Degree from the University of Pennsylvania, and a Bachelor Degree from Peking University. Just...","Investment Partner, Individual/Angel",,2,1,,1,1,,,,"34,804"
Grenoble Angels,https://www.crunchbase.com/organization/grenoble-angels,12,,"Grenoble, Rhone-Alpes, France",Grenoble Angels is a network of investors that is focused on seed- and early-stage venture investments.,Angel Group,"Early Stage Venture, Seed",12,,1,,,,,,"34,805"
Harvest Capital,https://www.crunchbase.com/organization/harvest-capital,13,3,"Concord, New Hampshire, United States",Harvest Capital is a wealth and investment management company.,Private Equity Firm,,13,,5,,3,,,,"34,833"
Carrot Ventures,https://www.crunchbase.com/organization/carrot-ventures,1,,"Calgary, Alberta, Canada",Carrot Ventures is the Third Option for commercializing agricultural technologies.,Venture Capital,Early Stage Venture,1,,,,,,,,"34,806"
Twin Bridge Capital Partners,https://www.crunchbase.com/organization/twin-bridge-capital-partners,,,"Chicago, Illinois, United States",Leader in North American Small & Middle Market Private Equity Investing,"Fund Of Funds, Private Equity Firm",Private Equity,,,,,,,,,"34,807"
Black Nova Venture Capital,https://www.crunchbase.com/organization/black-nova-venture-capital,2,,"Surry Hills, New South Wales, Australia",Championing the next generation of B2B technology startups.,Venture Capital,,2,,2,,,,,,"34,809"
Atlantic-Pacific Capital,https://www.crunchbase.com/organization/atlantic-pacific-capital,,,"New York, New York, United States",Atlantic-Pacific Capital is the largest independently owned global placement agent and advisory firm dedicated to raising capital for,Private Equity Firm,,,,,,,,,,"34,836"
LYNK,https://www.crunchbase.com/organization/lynk-c36d,,,"Riyadh, Ar Riyad, Saudi Arabia",LYNK is a financial institutions to expedite the Murabaha process while complying with Islamic Sharia.,,,,,,,,,,,"34,810"
Idea Fund of La Crosse,https://www.crunchbase.com/organization/idea-fund-of-la-crosse,13,1,"La Crosse, Wisconsin, United States",As an investment vehicle for early-stage companies.,Venture Capital,"Early Stage Venture, Seed",8,,8,5,1,,,,"34,811"
Brpx,https://www.crunchbase.com/organization/brightpixel,,,"Maia, Porto, Portugal","Bright Pixel is a group of builders, thinkers & investors who seek to change the way innovation meets businesses & new initiatives emerge.","Micro VC, Venture Capital","Convertible Note, Early Stage Venture, Seed",,,,,,,,,"34,812"
IPV Capital,https://www.crunchbase.com/organization/ipv-capital,19,5,"Shanghai, Shanghai, China",IPV Capital is a China based venture capital firm dedicated to delivering exceptional investment performance by backing high growth,Venture Capital,"Early Stage Venture, Late Stage Venture",16,,6,1,5,,,,"34,823"
Blue Investment Group,https://www.crunchbase.com/organization/blue-investment-group,2,,"Warsaw, Mazowieckie, Poland",Blue Investment Group is a venture capital investment firm.,Venture Capital,,2,,,,,,,,"34,813"
Asian Capital Alliance,https://www.crunchbase.com/organization/aca-investments-pte-ltd,54,11,"Nagatacho, Tokyo, Japan","ACA Investments provides investment-related services, including advisory services for mergers and acquisitions.",Private Equity Firm,,53,,6,,11,,,,"34,838"
Trustroot Internet,https://www.crunchbase.com/organization/trustroot-internet,1,,"Singapore, Central Region, Singapore",Trustroot Internet,,,1,,1,,,,,,"34,814"
Siddharth Menon,https://www.crunchbase.com/person/siddharth-menon,5,1,,"Entrepreneur, investor, blockchain.  Founded Tegro - blockchain game asset marketplace, WazirX - India's largest Crypto exchange",Individual/Angel,Early Stage Venture,5,,,,1,,,,"34,815"
Himanshu Dhameliya,https://www.crunchbase.com/person/himanshu-dhameliya-4d9a,1,,"New York, New York, United States",Himanshu Dhameliya is Founder and Chief Executive Officer at Rentech Digital. He attended his education at Hofstra University.,Individual/Angel,Seed,1,,1,,,,,,"34,816"
Shortcut Ventures,https://www.crunchbase.com/organization/shortcut-ventures-gmbh,14,3,"Hamburg, Hamburg, Germany","Shortcut is a venture capital firm focusing on early-stage startups in the fields of internet, mobile phones, games, and social media.",Micro VC,"Early Stage Venture, Seed",7,,2,,3,,,,"34,817"
IDG-Accel China Growth Fund,https://www.crunchbase.com/organization/idg-accel,6,2,"Beijing, Beijing, China",IDG-Accel China Growth Fund invests in seed and startup investments.,Venture Capital,,5,,1,,2,,,,"34,819"
GreenAxs Capital,https://www.crunchbase.com/organization/greenaxs-capital,3,,"New York, New York, United States",GreenAxs Capital is a venture capital investment firm.,Venture Capital,"Early Stage Venture, Seed",3,,2,,,,,,"34,821"
CloudTree Ventures,https://www.crunchbase.com/organization/cloudtree-ventures,1,,"Miami, Florida, United States",CloudTree Ventures is focused on the technologies driving interactive entertainment and the metaverse.,Venture Capital,"Early Stage Venture, Seed",1,,1,,,,,,"34,822"
Ricky Li,https://www.crunchbase.com/person/ricky-li,,,"New York, New York, United States","Ricky Li is the Co-Founder of Altonomy, a cryptocurrency trading, advisory and asset management firm. Now based in New York, he is a veteran...",Investment Partner,,,3,,,,,,,"34,823"
Consolidated Press Holdings,https://www.crunchbase.com/organization/consolidated-press-holdings-cph,4,2,"Sydney, New South Wales, Australia","CPH is a holding company associated with a variety of industries including entertainment, tourism, and media.",,,2,,,,2,,,,"34,824"
GMG Capital Partners,https://www.crunchbase.com/organization/gmg-capital-partners,21,2,"New York, New York, United States",GMG Capital Partners is a New York-based venture capital firm specialized in providing investments for early-stage companies.,Private Equity Firm,"Early Stage Venture, Late Stage Venture",10,,8,,2,,,,"34,825"
Marshall Capital Partners,https://www.crunchbase.com/organization/marshall-capital-partners,,,"Moscow, Moscow City, Russian Federation",Marshall Capital Partners is a private equity firm.,Private Equity Firm,Private Equity,,,,,,,,,"34,826"
Tim Ranzetta,https://www.crunchbase.com/person/tim-ranzetta,2,1,"San Francisco, California, United States","Tim Ranzetta is the Founder of Next Gen Personal Finance, a non-profit organization to connect educators with free resources and equip stude...",Individual/Angel,Seed,2,,,1,1,,,,"34,849"
Renault Nissan Technology & Business Centre India (RNTBCI).,https://www.crunchbase.com/organization/renault-nissan-technology-business-centre-india-rntbci,4,,"Chengalpattu, Tamil Nadu, India",RNTBCI is a captive automation technology and bysiness centre,,,4,,3,,,,,,"34,827"
Jennifer Tejada,https://www.crunchbase.com/person/jennifer-tejada,2,,"San Francisco Bay Area, California, United States","Jennifer Tejada is the CEO and Chairperson of PagerDuty (NYSE: PD), a leading platform for real-time operations. She is a veteran software i...",Individual/Angel,,2,,,1,,,,,"34,828"
Genesis Block HK,https://www.crunchbase.com/organization/genesis-block-hk,1,,"Hong Kong, Hong Kong Island, Hong Kong",Genesis Block is backed by an experienced team of financial professionals and deep liquidity pools.,,,1,,,,,,,,"34,829"
Maheshwari Investors,https://www.crunchbase.com/organization/maheshwari-investment-pvt-ltd,3,,"Mumbai, Maharashtra, India","Maheshwari Investors promotes ventures, builds teams, and creates impact across industries.",Corporate Venture Capital,,3,,,,,,,,"34,830"
Casey Winters,https://www.crunchbase.com/person/casey-winters,11,,"San Francisco, California, United States","Casey Winters is an advisor and angel investor to scaling companies like Eventbrite, Whatnot, Faire, Canva, Hipcamp, et al. Casey Winters wa...",Individual/Angel,"Early Stage Venture, Seed",11,,,,,,,,"34,831"
Invision Capital,https://www.crunchbase.com/organization/invision-capital,2,1,"Chicago, Illinois, United States",Invision Capital is a lower middle market private equity firm,Private Equity Firm,Private Equity,2,,1,,1,,,,"34,832"
ROM Utrecht Region,https://www.crunchbase.com/organization/rom-utrecht-region-27bc,8,,"Utrecht, Utrecht, The Netherlands","ROM Utrecht Region invest in digital, health, and sustainability businesses in the Utrecht region, the Netherlands",Venture Capital,,8,,3,,,,,,"34,833"
Timothy K. Lu,https://www.crunchbase.com/person/timothy-k-lu,1,,"Rehovot, HaMerkaz, Israel",Timothy K. Lu is the Co-Founder and CEO of Senti Biosciences. He previously worked at AmpliPhi Biosciences as a Scientific Advisor. Timothy ...,Individual/Angel,Seed,1,,,,,,,,"34,834"
Blockstone,https://www.crunchbase.com/organization/blockstone,,,"Boca Raton, Florida, United States",Blockstone is a public policy research organization that promotes growth and innovation in blockchain technologies.,,,,,,,,,,,"34,835"
Jacob Wolff-Petersen,https://www.crunchbase.com/person/jacob-wolff-petersen,1,,"Copenhagen, Hovedstaden, Denmark","Jacob Wolff-Petersen is the founder of SteelSeries, a leading manufacturer of peripherals for gaming and electronic sports (eSports), includ...",Individual/Angel,,1,,,,,,,,"34,856"
IMS Digital Ventures,https://www.crunchbase.com/organization/ims-digital-ventures,9,,"Hong Kong, Hong Kong Island, Hong Kong",Market-leading Venture Builder that co-founds and invests in disruptive technology ventures,Corporate Venture Capital,Early Stage Venture,5,,8,,,,,,"34,836"
City of New York,https://www.crunchbase.com/organization/city-of-new-york,1,,"New York, New York, United States","City of New York, often called as New York City, is the most populous city in United States.",Government Office,,1,,,1,,,,,"34,837"
Andeo Capital,https://www.crunchbase.com/organization/andeo-capital,10,,"Cali, Valle del Cauca, Colombia",ANDEO Capital is an Angel Smart Capital firm that invests in entrepreneurs.,Venture Capital,"Early Stage Venture, Seed",9,,,,,,,,"34,838"
