Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Botzen Invest Euregio Finance AG,https://www.crunchbase.com/organization/botzen-invest-euregio-finance-ag,1,,"Borzago, Trentino-Alto Adige, Italy","Botzen Invest is a private holding company financed by private investors and entrepreneurs, with a focus on private equity investments.",,,1,,,,,,,,"111,604"
GBS Bindra,https://www.crunchbase.com/person/gbs-bindra,1,,"Bengaluru, Karnataka, India","Before founding Tagos, he was a global executive at Logica Plc and held number of positions Most recently, he was Chief Innovation Officer a...",Individual/Angel,,1,,,,,,,,"111,606"
Jerome Masurel,https://www.crunchbase.com/person/jerome-masurel,,,"France, Europe",Jerome Masurel - Founder & CEO @ 50 Partners,Investment Partner,,,3,,,,,,,"111,609"
Cherington Capital,https://www.crunchbase.com/organization/cherington-capital,,,"Cambridge, Massachusetts, United States","Cherington Capital is a private equity firm specializing in leveraged buyouts, recapitalizations.",Private Equity Firm,Private Equity,,,,,,,,,"111,612"
Roxane Gay,https://www.crunchbase.com/person/roxane-gay,1,,"New York, New York, United States","Roxane Gay’s writing has appeared or is forthcoming in Best American Mystery Stories 2014, Best American Short Stories 2012, Best Sex Writin...",Individual/Angel,,1,,,1,,,,,"111,624"
Daimler Vermögens- und Beteiligungsgesellschaft mbH,https://www.crunchbase.com/organization/daimler-vermögens-und-beteiligungsgesellschaft-mbh,,,,Daimler Vermögens- und Beteiligungsgesellschaft is a subsidiary of Daimler AG that holds and manages assets and interests.,,,,,,,,,,,"111,628"
WorkInc,https://www.crunchbase.com/organization/workinc,,,"Sydney, New South Wales, Australia",Work inc is one of Sydney’s newest and most unique coworking spaces.,Co-Working Space,,,,,,,,,,"111,632"
John Jack,https://www.crunchbase.com/person/john-jack,2,,"San Francisco, California, United States","JJ has over 32 years of sales, marketing, and executive management experience. JJ served as the CEO and President of Fortify Software Inc., ...","Investment Partner, Individual/Angel",Seed,2,7,,,,,,,"111,640"
Barry Downes,https://www.crunchbase.com/person/barry-downes-2,1,,"Waterford, Waterford, Ireland","Barry Downes is the CEO of the Telecommunications Software and Systems Group (TSSG). In his role as CEO, Barry is responsible for strategic ...","Investment Partner, Individual/Angel",,1,8,,,,,,,"111,642"
M. R. Al Khathlan,https://www.crunchbase.com/organization/m-r-al-khathlan,1,,"Dammam, Ash Sharqiyah, Saudi Arabia","M. R. Al Khathlan provides construction services to the oil and gas, refining, petrochemical, power generation, and transmission sectors.",,,1,,,,,,,,"111,654"
Glocal Agrifoodtech 2020,https://www.crunchbase.com/organization/glocal-agrifoodtech-2020,1,,"Rosario, Cordoba, Argentina","Glocal Agrifoodtech 2020 is an accelerator for both, startups and mid-sized established companies in the agribusiness industry.",Accelerator,,1,,,,,,2020-05-01,,"111,656"
Melanie Stricklan,https://www.crunchbase.com/person/melanie-stricklan,,,"Manhattan Beach, California, United States","In 2016, Melanie Stricklan combined her military experience and indomitable spirit to co-found Slingshot Aerospace, a leading company in sit...",,,,,,,,,,,"111,658"
Jean Deleage,https://www.crunchbase.com/person/jean-deleage,,,,"Jean began his venture capital career in 1971 in Paris, France with Sofinnova and started its very successful American subsidiary, Sofinnova...",Investment Partner,,,1,,,,,,,"111,666"
Chuchang Investment Group,https://www.crunchbase.com/organization/chuchang-investment-group,2,,"Wuhan, Hubei, China",Chuchang Investment Group is an investment firm.,Venture Capital,,2,,,,,,,,"111,673"
"ngena investments SPV, LP",https://www.crunchbase.com/organization/ngena-investments-spv-lp,1,,,Investment Fund,,,1,,,,,,,,"111,677"
MKN Web Solutions,https://www.crunchbase.com/organization/mkn-web-solutions,2,1,"Troy, Michigan, United States",MKN Web Solutions is a web-based software development company.,,,2,,,,1,,,,"111,600"
Kiran Karunakaran,https://www.crunchbase.com/person/kiran-karunakaran-2,1,,"Singapore, Asia",Kiran is a Partner with over 12 years of management consulting and private equity experience. His primary focus is in management consulting ...,Individual/Angel,,1,,,,,,,,"111,602"
"Zeitgeist Holdings, LLC",https://www.crunchbase.com/organization/zeitgeist-holdings-llc,4,1,,"Zeitgeist Holdings provides trading, business consultation, and employment services.",Angel Group,Early Stage Venture,4,,1,,1,,,,"111,678"
Hedgespur,https://www.crunchbase.com/organization/hedgespur,1,,"London, England, United Kingdom",We Accelerate & Give Momentum To Crypto & Blockchain Startups,Hedge Fund,Seed,1,,1,,,,,,"111,635"
SMSRC,https://www.crunchbase.com/organization/smsrc,1,,"Kolkata, West Bengal, India",Leading Strategic Consultants & Rx Data based Market Researchers for Pharmaceutical Industries in India and Bangladesh.,,,1,,1,,,,,,"111,603"
Rockefeller Financial Services,https://www.crunchbase.com/organization/rockefeller-financial-services,1,,"Los Angeles, California, United States","Rockefeller & Co. has always taken pride in the integrity, depth, and vision of its professionals.",Private Equity Firm,,1,,,,,,,,"111,679"
DSQ Capital,https://www.crunchbase.com/organization/dsq-capital,4,1,"London, England, United Kingdom",DSQ Capital is engaged in enterprise management services.,,,3,,2,,1,,,,"111,604"
Goodmore Capital,https://www.crunchbase.com/organization/goodmore-capital,1,,"Liverpool, Liverpool, United Kingdom",Goodmore Capital is a venture capital firm that invests in seed-stage crypto companies and protocols.,,,1,,,,,,,,"111,681"
AJ Faraj,https://www.crunchbase.com/person/aj-faraj,1,,"United States, North America","AJ Faraj is a serial entrepreneur, investor, CEO, and Co-Founder of WadiTek. He attended George Mason University.",Individual/Angel,"Early Stage Venture, Seed",1,,,,,,,,"111,605"
1st11,https://www.crunchbase.com/organization/1st11,1,,"London, England, United Kingdom",1st11 gaming entertainment portfolio will own and manage core business assets strengthening product offering.,,,1,,1,,,,,,"111,606"
Mejority Capital,https://www.crunchbase.com/organization/mejority-capital,,,"Surfers Paradise, Queensland, Australia","Mejority Capital provides corporate advisory, funds management, and wealth management services to retail and corporate clients in Australia.",Venture Capital,Early Stage Venture,,,,,,,,,"111,608"
Rob Witoff,https://www.crunchbase.com/person/rob-witoff,2,,"San Francisco, California, United States",Rob Witoff is a Director at Coinbase.,Individual/Angel,,2,,,,,,,,"111,607"
Ross M. Patten,https://www.crunchbase.com/person/ross-m-patten,,,"Prague, Hlavni mesto Praha, Czech Republic",Ross M. Patten is the Chairman at Agilyx. Ross M. Patten is the Chairman and Chief Executive Officer of Agilyx. He brings more than thirty...,,,,,,,,,,,"111,609"
Ros DiMere Inc,https://www.crunchbase.com/organization/ros-dimere-inc,,,,Marcia created and incorporated Ros DiMere as an extension of her person for transactional business and operations.,,,,,,,,,,,"111,610"
Nakashimato,https://www.crunchbase.com/organization/nakashimato,2,,"Tokyo, Tokyo, Japan",Nakashimato is a food company.,Venture Capital,,2,,,,,,,,"111,611"
Bradley M. Bloom,https://www.crunchbase.com/person/bradley-m-bloom,4,,"Boston, Massachusetts, United States",Bradley M. Bloom is the Managing Director at Berkshire Partners.,Individual/Angel,,4,,,,,,,,"111,612"
Domenico Gimeli,https://www.crunchbase.com/person/domenico-gimeli,1,,"Bisceglie, Puglia, Italy",Domenico Gimeli,Individual/Angel,,1,,,,,,,,"111,690"
Thomas McInerney,https://www.crunchbase.com/person/thomas-mcinerney,1,1,"New York, New York, United States",Thomas J. McInerney joined Altaba Inc. as Chairman Of The Board Of Directors in 2022. McInerney has served as a member of yahoo! board since...,Individual/Angel,Seed,1,,,,1,,,,"111,613"
SBNJ Corp,https://www.crunchbase.com/organization/sbnj-corp,,,"New York, New York, United States",SBNJ Corporation is a company that provides support in fundraising for small publicly traded companies and private companies.,Private Equity Firm,,,,,,,,,,"111,614"
Luis Perez,https://www.crunchbase.com/person/luis-perez,1,1,"Raleigh, North Carolina, United States",Founder @Remoov.  Luis is a graduate of the University of Michigan and the University of Pennsylvania's Wharton school.,Individual/Angel,,1,,,,1,,,,"111,615"
Satyendra Shukla,https://www.crunchbase.com/person/satyendra-shukla,1,,"Gurgaon, Haryana, India",Satyendra Shukla - Founder and CEO @ Four-S Services,Individual/Angel,Seed,1,,,,,,,,"111,616"
Muhammad Ismail,https://www.crunchbase.com/person/muhammad-ismail-f6c9,1,,"Ras Al Khaimah, Ras Al Khaimah, United Arab Emirates",Muhammad Ismail is the Managing Director at Amtec Links International. Muhammad Ismail  attended University of Derby.,Individual/Angel,,1,,1,,,,,,"111,617"
Luc Bondar,https://www.crunchbase.com/person/luc-bondar,,,"Chicago, Illinois, United States",Luc Bondar is the President of MileagePlus and Vice President of Marketing and Loyalty at United Airlines.,Investment Partner,,,1,,,,,,,"111,694"
