Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Luc Ménard,https://www.crunchbase.com/person/luc-ménard,,,"Montréal, Quebec, Canada",Luc Menard is the Executive Vice President and Managing Director and Head of Private Equity at National Bank of Canada. Luc Menard attended ...,Investment Partner,,,11,,,,,,,"65,404"
Pascal Cagni,https://www.crunchbase.com/person/pascal-cagni,9,3,"Paris, Ile-de-France, France","Pascal Cagni was born on October 28, 1961 and is a specialist in the European digital economy. He advises and invests in startups and contri...","Investment Partner, Individual/Angel",Seed,8,3,1,1,3,,,,"65,412"
Richard Kovacevich,https://www.crunchbase.com/person/richard-m-kovacevich,1,,"San Francisco, California, United States","Richard M. Kovacevich is the Board Director of Cisco.Kovacevich, 68, has been a Member of the Board of Directors since January 2005. He serv...",Individual/Angel,Seed,1,,,,,,,,"65,415"
Neo Portfolio,https://www.crunchbase.com/organization/neo-portfolio,2,,"Sisli, Istanbul, Turkey","Neo Portfolio engages in the management of money market, real estate, venture capital, and private equity funds.",Venture Capital,,2,,,,,,,,"65,427"
Arash Rezaei,https://www.crunchbase.com/person/arash-rezaei,,,,Arash Rezaei is a young entrepreneur who is driven by a vision to help others to succeed and write their own epic success stories. Someone ...,,,,,,,,,,,"65,430"
Eurovestech,https://www.crunchbase.com/organization/eurovestech,9,2,"London, England, United Kingdom",Eurovestech is the AIM listed pan-European development capital fund focused on high-technology enterprises.,Venture Capital,"Early Stage Venture, Late Stage Venture",7,,3,,2,,,,"65,431"
Analog Garage,https://www.crunchbase.com/organization/analog-garage,,,"Norwood, Massachusetts, United States",Analog Garage is a corporate incubator and a venture capital arm of Analog Garage.,Venture Capital,"Early Stage Venture, Seed",,,,,,,,,"65,434"
Vilmorin & Cie,https://www.crunchbase.com/organization/vilmorin-cie,,,"Gerzat, Auvergne, France","Vilmorin & Cie engaged in the production, marketing and sale of vegetable and crop seeds for agricultural production and market gardeners.",,,,,,,,,,,"65,445"
Takahata Precision,https://www.crunchbase.com/organization/takahata-precision,2,,"Tokyo, Tokyo, Japan",Takahata Precision manufactures and sales of precision functional parts.,,,2,,,,,,,,"65,451"
Launchgarage,https://www.crunchbase.com/organization/launchgarage,,,"Quezon City, Quezon City, Philippines",Manila based startup accelerator,Micro VC,"Early Stage Venture, Seed",,,,,,,,,"65,458"
Taisei,https://www.crunchbase.com/organization/taisei-co-ltd,4,,"Nagoya, Aichi, Japan",company mainly focuses on the management and maintenance of buildings.,,,3,,1,,,,,,"65,460"
Climate Innovation Vouchers,https://www.crunchbase.com/organization/climate-innovation-vouchers,9,,"Kyiv, Kyyiv, Ukraine",Climate Innovation Vouchers is a program to finance the development of climate innovations in Ukraine.,,,9,,8,,,,,,"65,463"
Samir Kumar,https://www.crunchbase.com/person/samir-kumar-qulacomm-research,,,"San Francisco, California, United States",Samir Kumar is a GM and Managing Director at M12. Samir previously worked at 1910 Genetics as a Member Board Of Directors. He attended Corne...,Investment Partner,,,9,,,,,,,"65,401"
