Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Arthur Xie,https://www.crunchbase.com/person/arthur-xie-0ec6,,,,Arthur Xie,,Private Equity,,,,,,,,,"214,800"
Beijing Rongjin Borui Touzi Zixun Youxian Gongsi,https://www.crunchbase.com/organization/beijing-rongjin-borui-touzi-zixun-youxian-gongsi,1,,"Tongzhou, Beijing, China",Beijing Rongjin Borui Touzi Zixun Youxian Gongsi is an investment firm that provides investment management and consulting service.,,,1,,,,,,,,"214,802"
Jeremy Hinman,https://www.crunchbase.com/person/jeremy-hinman,1,,,Jeremy Hinman,Individual/Angel,Seed,1,,,1,,,,,"214,801"
Robert Mayer,https://www.crunchbase.com/person/robert-mayer-436e,3,,"New York, New York, United States",Robert Mayer,Individual/Angel,Seed,3,,,1,,,,,"214,803"
FAR EAST FOOD FUND,https://www.crunchbase.com/organization/far-east-food-fund,,,"London, England, United Kingdom",Private equity fund creates project more than 600 container mini-factories for the production of food products in the  35 countries.,"Private Equity Firm, Venture Capital","Convertible Note, Debt, Early Stage Venture, Private Equity, Venture",,,,,,,,,"214,809"
David Carratt,https://www.crunchbase.com/person/david-carratt,,,"London, England, United Kingdom",David is one of Europe’s experts on e-commerce and online marketing analytics.  He was on the worldwide and European board of Sybase’s pr...,Investment Partner,,,1,,,,,,,"214,806"
Guy Shelton,https://www.crunchbase.com/person/guy-shelton,,,"London, England, United Kingdom","Entrepreneur & Investor. 20yrs tech & digital. Growing SaaS companies in EMEA, APAC & NA building start-ups & establishing companies oversea...",,"Early Stage Venture, Private Equity, Venture",,,,,,,,,"214,805"
John White,https://www.crunchbase.com/person/john-white-12a6,,,"London, England, United Kingdom",John entered the commercial real estate market in 1987 and after qualifying as a chartered surveyor at Allsops moved to the investment team ...,,,,,,,,,,,"214,808"
Micah Johnson,https://www.crunchbase.com/person/micah-johnson-d2c1,2,,,"Micah Johnson, Creator, Aku",Individual/Angel,,2,,,,,,,,"214,807"
Mitsuo Oshimura,https://www.crunchbase.com/person/mitsuo-oshimura,,,"Tottori, Hyogo, Japan",Mitsuo Oshimura is the Representative Director and Founder at Trans Chromosomics. He is  also a Professor at the Department of Biomedical Sc...,,,,,,,,,,,"214,811"
Farooq Arjomand,https://www.crunchbase.com/person/farooq-arjomand,1,1,,Farooq Arjomand,Individual/Angel,,1,,,,1,,,,"214,812"
Gustavo Junqueira,https://www.crunchbase.com/person/gustavo-junqueira,,,"Belo Horizonte, Minas Gerais, Brazil",Gustavo Junqueira - General Partner @ Inseed Investimentos,,,,,,,,,,,"214,813"
Tatsu Aikawa,https://www.crunchbase.com/person/tatsu-aikawa,,,"Austin, Texas, United States",Tatsu Aikawa is a  Private Investor at Ramen Tatsu-ya.,,,,,,,,,,,"214,814"
Nimrod May,https://www.crunchbase.com/person/nimrod-may-801d,1,,,Nimrod May,Individual/Angel,,1,,,,,,,,"214,816"
Dianne Letzelter,https://www.crunchbase.com/person/dianne-letzelter,,,,Dianne joined Catalyst Health Ventures in 2011 as Vice President of Investor Relations. She brings over 17 years of experience in private eq...,,,,,,,,,,,"214,815"
