Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Travelport Labs Accelerator,https://www.crunchbase.com/organization/travelport-labs-incubator,4,,"Englewood, Colorado, United States",Travelport hosted startup accelerator focused on helping seed stage travel tech startups get the best possible start on their new business.,Accelerator,Seed,4,,1,,,,,,"46,201"
Epsilon Partners,https://www.crunchbase.com/organization/epsilonpartners,1,1,"London, England, United Kingdom","Epsilon Partners  is a private equity partnership dedicated to investing in the sports, media and entertainment sectors.",Private Equity Firm,,1,,1,,1,,,,"46,207"
Meridian Venture Partners,https://www.crunchbase.com/organization/meridian-venture-partners,10,4,"London, England, United Kingdom",Meridian Venture Partners is a UK venture capital firm investing in development stage technology businesses.,Venture Capital,"Early Stage Venture, Late Stage Venture",8,,5,,4,,,,"46,213"
Cebuana Lhuillier,https://www.crunchbase.com/organization/cebuana-lhuillier,,,"Makati, Manila, Philippines","Philippines’ leading & largest non-bank financial services provider specializing in pawning, remittance, and micro-insurance.",,,,,,,,,,,"46,215"
Bull Creek Capital,https://www.crunchbase.com/organization/bull-creek-capital,5,,"Austin, Texas, United States",Bull Creek Capital focus on early stage investments for companies needing growth capital.,Venture Capital,Early Stage Venture,3,,,2,,,,,"46,218"
Jennifer Fraser,https://www.crunchbase.com/person/jennifer-fraser,,,"San Francisco, California, United States",Jennifer Fraser is in Apple Cloud Services at Apple. He has been an author and teacher as well. Jennifer Fraser has a PhD in Comparative Lit...,,,,,,,,,,,"46,219"
M.B. Finmart,https://www.crunchbase.com/organization/m-b-finmart,2,1,"New Delhi, Delhi, India",M.B. Finmart is a privately held company owned by the Burman Family.,Investment Bank,,1,,,,1,,,,"46,223"
Abhishek Kumar Burman,https://www.crunchbase.com/person/abhishek-kumar-burman-2,,,"Ranchi, Jharkhand, India",Abhishek Kumar Burman is the chairman and managing director at NexMoney.,,,,,,,,,,,"46,224"
Ravi Adusumalli,https://www.crunchbase.com/person/ravi-adusumalli,1,,"Salt Lake City, Utah, United States","Ravi Adusumalli is a Non-Independent, Non-Executive Director of our Company. He was appointed as a Director of our Company on October 9, 200...","Investment Partner, Individual/Angel",,1,12,,,,,,,"46,201"
Shenwan Innovation Investment,https://www.crunchbase.com/organization/shenwan-innovation-investment,4,,"Xuhui, Shanghai, China",Shenwan Innovation Investment is an investment firm.,Venture Capital,,4,,,,,,,,"46,202"
Harry Briggs,https://www.crunchbase.com/person/harry-briggs,6,1,"London, England, United Kingdom","Harry is a partner at OMERS Ventures, previously at Balderton Capital & BGF Ventures- and the youngest investor in the inaugural Forbes ""Mid...","Investment Partner, Individual/Angel",Early Stage Venture,6,23,,,1,,,,"46,203"
AngelFire Ventures,https://www.crunchbase.com/organization/angelfire-ventures,12,6,"Mineola, New York, United States",Investing in the Greater New York Metropolitan Region,Angel Group,,11,,,2,6,,,,"46,219"
Global Health Strategies,https://www.crunchbase.com/organization/global-health-strategies,1,,"New York, New York, United States",Global Health Strategies is an international affairs company that offers communicaton and advocation services.,,,1,,1,,,,,,"46,204"
Brad Kark,https://www.crunchbase.com/person/brad-kark,,,"Johannesburg, NA - South Africa, South Africa",Brad Kark is  a CEO of KLT holdings.,Investment Partner,,,1,,,,,,,"46,205"
