Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Zach Nies,https://www.crunchbase.com/person/zach-nies,,,"Boulder, Colorado, United States",Zach Nies - Managing Director @ Techstars,Investment Partner,,,19,,,,,,,"131,400"
Third Shore Group,https://www.crunchbase.com/organization/third-shore-group,,,"Royal Oak, Michigan, United States",Third Shore Group is a venture capital firm.,"Private Equity Firm, Venture Capital",,,,,,,,,,"131,402"
Dan Kozikowski,https://www.crunchbase.com/person/dan-kozikowski,,,"New York, New York, United States","Dan Kozikowski is the Partner and Head of Platform at FirstMark Capital, and is responsible for all of the firm’s portfolio-facing initiativ...",,,,,,,,,,,"131,404"
Uday Shankar,https://www.crunchbase.com/person/uday-shankar-744a,,,"Mumbai, Maharashtra, India",Uday Shankar,Investment Partner,,,2,,,,,,,"131,405"
Hongtong Touzi,https://www.crunchbase.com/organization/hongtong-touzi-85a2,1,1,"Shenzhen, Guangdong, China","Hongtong Touzi is an investment firm that provides asset management, investment management and consulting services.",,,1,,,,1,,,,"131,407"
Alex Arteaga,https://www.crunchbase.com/person/alex-arteaga,,,"Toronto, Ontario, Canada",Alex Arteaga is the founder of eRa Eternity.,,Seed,,,,,,,,,"131,410"
Francesco Manzi,https://www.crunchbase.com/person/francesco-manzi-a940,1,,"Bergamo, Lombardia, Italy",Francesco Manzi,Individual/Angel,,1,,1,,,,,,"131,425"
Aditya Pittie,https://www.crunchbase.com/person/aditya-pittie,1,,,Aditya Pittie is the Managing Director at IN10 Media Network. He attended King's College London.,Individual/Angel,,1,,,,,,,,"131,428"
Richard Lefrak,https://www.crunchbase.com/person/richard-lefrak,1,1,"New York, New York, United States",Richard Lefrak is the Senior Managing Director and Co-Chief Investment Officer at LeFrak.,Individual/Angel,Seed,1,,,,1,,,,"131,429"
Mark Kukolus,https://www.crunchbase.com/person/mark-kukolus,,,"London, England, United Kingdom",Founder & Managing Partner,,,,,,,,,,,"131,433"
John Paul Kirwin,https://www.crunchbase.com/person/john-paul-kirwin,,,"Wayne, Pennsylvania, United States","John P. Kirwin, III, Founding Partner, co-founded Argosy in 1990 and is responsible for general fund administration, developing and assessin...",Investment Partner,,,1,,,,,,,"131,434"
Ramzi Chamat,https://www.crunchbase.com/person/ramzi-chamat,1,,"Geneva, Geneve, Switzerland",Ramzi Chamat - Managing Director & Founder @ 8 Ways Media SA,Individual/Angel,Seed,1,,,,,,,,"131,435"
California Health Facilities Financing Authority,https://www.crunchbase.com/organization/california-health-facilities-financing-authority,4,,"Sacramento, California, United States",CHFFAwas created to serve as the state's vehicle for providing financial assistance to public and non-profit health care providers.,Government Office,,2,,4,,,,,,"131,438"
Michael O'Brien,https://www.crunchbase.com/person/michael-o-brien-cb30,1,,,"Mike O’Brien is a NED – Abrdn and Carne, And hw was ex-JP Morgan, ex-BGI/BlackRock.",Individual/Angel,,1,,,,,,,,"131,439"
Anthony and Jeanne Pritzker Family Foundation,https://www.crunchbase.com/organization/anthony-and-jeanne-pritzker-family-foundation,1,,"Los Angeles, California, United States",Anthony and Jeanne Pritzker Family Foundation has been investing in strengthening many of the unique institutions.,,,1,,1,,,,,,"131,442"
Andrew Comber,https://www.crunchbase.com/person/andrew-comber,1,,"Ontario, Canada, North America",Andrew Comber is Co-Founder at Money Mover.,Individual/Angel,Seed,1,,,,,,,,"131,445"
Christer Rosén,https://www.crunchbase.com/person/christer-rosn,,,"Jupiter, Florida, United States","Chairman, CEO and Founder Mr. Rosén served as a Director and Executive Vice President of Top Source Technologies, a publicly-traded supplier...",,Seed,,,,,,,,,"131,401"
Ron Williams,https://www.crunchbase.com/person/mr-ronald-a-williams,,,"Boca Raton, Florida, United States","Williams has served as Chairman and Chief Executive Officer of RW2 Enterprises, LLC (consulting) since May 2011.  Williams served as Chai...",,,,,,,,,,,"131,402"
Christian Seegers,https://www.crunchbase.com/person/christian-seegers,,,"Berlin, Berlin, Germany",Senior Investment Manager- Life Science at IBB Beteiligungsgesellschaft mbH.,Investment Partner,,,7,,,,,,,"131,404"
Mark Roberts,https://www.crunchbase.com/person/mark-roberts-5f6e,,,"Harrogate, North Yorkshire, United Kingdom","Mark Roberts is a Deputy Chair & Board Member at Leeds City Region Enterprise Partnership (LEP), the UK’s leading craft beer retailer, is a ...",Investment Partner,,,2,,,,,,,"131,407"
Butterfly Real Estate Investments,https://www.crunchbase.com/organization/butterfly-real-estate-investments,,,"Tel Aviv, Tel Aviv, Israel","BREI will manage your U.S. property investment for you, keeping the entire process simple, transparent and stress-free!",Venture Capital,,,,,,,,,,"131,406"
Thomas Tighe,https://www.crunchbase.com/person/thomas-tighe,,,"Santa Barbara, California, United States","Thomas Tighe has served as President and CEO of Direct Relief, a nonprofit humanitarian medical organization, since October 2000. Direct Rel...",Investment Partner,,,1,,,,,,,"131,410"
Rob Dhanoa,https://www.crunchbase.com/person/rob-dhanoa,,,"Milton, Ontario, Canada",Rob Dhanoa is the President at Roadstar Trucking. He attended the Govt School Sowaddi Kalan.,,,,,,,,,,,"131,411"
Ubiz Corporate Finance,https://www.crunchbase.com/organization/ubiz-acceleration,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Ubiz is a corporate finance firm (M&A, fundraising, structuring) active in EMEA & Asia. Focus on biotech, agtech, tech, service & infra","Accelerator, Investment Bank","Convertible Note, Crowdfunding, Debt, Early Stage Venture, Private Equity",,,,,,On-Site,,32,"131,455"
Tjeerd Brenninkmeijer,https://www.crunchbase.com/person/tjeerd-brenninkmeijer,,,"Amsterdam, Noord-Holland, The Netherlands","Executive Vice President BloomReach, EMEA.",,,,,,,,,,,"131,412"
Terrance Orr,https://www.crunchbase.com/person/terrance-orr,,,"United States, North America","Startup advisor, angel investor, and venture builder with experience in product management, new venture creation, fundraising, and business ...",,"Early Stage Venture, Venture",,,,,,,,,"131,414"
Impact Capital Investments,https://www.crunchbase.com/organization/impact-capital-investments,1,1,,Impact Capital Investments is a investment firm.,,,1,,1,,1,,,,"131,415"
Gatewest Capital,https://www.crunchbase.com/organization/gatewest-capital,5,1,,Gatewest Capital,Venture Capital,,5,,,,1,,,,"131,416"
Peter Dumanian,https://www.crunchbase.com/person/peter-dumanian,,,"San Francisco, California, United States",Peter Dumanian is the Director of Platform Sales at Cloudflare. He attended Stanford University Graduate School of Business.,,,,,,,,,,,"131,458"
Chattanooga Area Chamber INCubator,https://www.crunchbase.com/organization/chattanooga-area-chamber-incubator,,,"Chattanooga, Tennessee, United States","The INCubator is a 125,000 square foot former ceramic manufacturing facility which has been renovated into a highly successful business",Incubator,,,,,,,,,,"131,460"
Wei Xiong,https://www.crunchbase.com/person/wei-xiong-7513,,,,Wei Xiong is the Founding Partner of Fibonacci VC.,Investment Partner,,,2,,,,,,,"131,418"
Lanyue Keji,https://www.crunchbase.com/organization/lanyue-keji,2,1,"Futian, Guangdong, China",Lanyue Keji is a mobile game development company engaged in developing and publishing mobile games.,,,2,,,,1,,,,"131,417"
THE OKINAWA KAIHO BANK,https://www.crunchbase.com/organization/the-okinawa-kaiho-bank,2,,"Okinawa, Okinawa, Japan",THE OKINAWA KAIHO BANK offers general banking services.,,,2,,,,,,,,"131,420"
Russell Cox,https://www.crunchbase.com/person/russell-j-cox,,,"San Francisco, California, United States",Russell J. Cox was appointed our Executive Vice President and Chief Commercial Officer in March 2012.  He has served in a variety of escala...,,,,,,,,,,,"131,421"
Spark,https://www.crunchbase.com/organization/spark-investment-fund-,,,"San Rafael, California, United States","Spark is an open platform for building better 3D printing software, hardware, materials and services.",,,,,,,,,,,"131,423"
Park House Ventures,https://www.crunchbase.com/organization/park-house-ventures,,,"Truro, Cornwall, United Kingdom","Park House Ventures Ltd. (PHV) provides Consulting, Executive Interim, Non Executive Director and Investment support to businesses. It's","Micro VC, Venture Capital",,,,,,,,,,"131,467"
Silicon Couloir,https://www.crunchbase.com/organization/silicon-couloir,,,"Jackson, Wyoming, United States",Silicon Couloir supports and connects dedicated entrepreneurs.,Incubator,,,,,,,,,,"131,468"
Suleman Soorani,https://www.crunchbase.com/person/suleman-soorani,,,"United Arab Emirates, Asia",Suleman Soorani Director - Principal Investments at Tricap Investments,Investment Partner,,,2,,,,,,,"131,425"
Gilfus Venture Partners,https://www.crunchbase.com/organization/gilfus-venture-partners,1,,"Washington, District of Columbia, United States",Gilfus Venture Partners (GVP) formed by Stephen Gilfus a founder of DC based Blackboard Inc.,"Micro VC, Venture Capital",Debt,1,,,,,,,,"131,426"
Michael Lubitz,https://www.crunchbase.com/person/michael-lubitz,,,,Michael Lubitz originally formed GTT Group as a global patent brokerage specializing in essential asset transactions with transnational comp...,Investment Partner,,,1,,,,,,,"131,470"
Ajith Jaya-Wickrema,https://www.crunchbase.com/person/ajith-jaya-wickrema,,,"Bristol, Bristol, City of, United Kingdom",Ajith Jaya-Wickrema is a Founder Director at Turtle Bay Restaurants Ltd.,,,,,,,,,,,"131,427"
Tim Bemer,https://www.crunchbase.com/person/tim-bemer,,,"New York, New York, United States",Investor at  Lead Edge Capital.,,,,,,,,,,,"131,431"
Stefano Zorzi,https://www.crunchbase.com/person/stefano-zorzi,,,"Copenhagen, Hovedstaden, Denmark",Stefano Zorzi - Co-Founder @ Founders,Investment Partner,,,13,,,,,,,"131,430"
China Link Capital,https://www.crunchbase.com/organization/china-link-capital-c421,1,,"Hong Kong, Hong Kong Island, Hong Kong",China Link Capital invest in highly innovative companies.,"Private Equity Firm, Venture Capital",Private Equity,1,,1,,,,,,"131,432"
Motoki Tani,https://www.crunchbase.com/person/motoki-tani,,,,Motoki Tani is the CEO of Animoca Brands Japan,Investment Partner,,,1,,,,,,,"131,433"
PRAISE Program,https://www.crunchbase.com/organization/praise-program,,,,PRAISE intends to recognize and support social enterprises in India.,,,,,,,,,,,"131,436"
RTS Ventures,https://www.crunchbase.com/organization/rts-ventures,1,1,,RTS Ventures,,,1,,,,1,,,,"131,437"
Babak Pasdar,https://www.crunchbase.com/person/babak-pasdar,,,"Jersey City, New Jersey, United States",Babak Pasdar is the Founder and Chief Technology Officer of Acreto. He previously worked at Welnys as a Senior Advisor.,,,,,,,,,,,"131,438"
Daniel Wagner,https://www.crunchbase.com/person/daniel-wagner-3,,,"Rocky Hill, Connecticut, United States","Daniel Wagner joined Connecticut Innovation as  Managing Director, Investments in 2018",Investment Partner,,,17,,,,,,,"131,439"
Suzhou Science & Technology City Development,https://www.crunchbase.com/organization/suzhou-science-technology-city-development,4,,"Suzhou, Jiangsu, China",Suzhou Science & Technology City Development engages in development of science and technology products.,,,3,,1,,,,,,"131,486"
Porter Collins,https://www.crunchbase.com/person/porter-collins,1,1,"Darien, Connecticut, United States",Porter Collins is a Portfolio Manager at Seawolf Capital. he attended Brown University.,Individual/Angel,,1,,,,1,,,,"131,440"
Betty Vo,https://www.crunchbase.com/person/betty-vo,,,"New York, New York, United States","Ms. Vo is a Vice President, having originally joined WCAS in 2017",Investment Partner,,,1,,,,,,,"131,441"
Maksim Balashevich,https://www.crunchbase.com/person/maksim-balashevich,,,"Frankfurt, Hessen, Germany","Maksim Balashevich - Founder, CEO @ Santiment",,,,,,,,,,,"131,488"
Joshua R. Dorkin,https://www.crunchbase.com/person/joshua-r-dorkin,1,,"Denver, Colorado, United States","Joshua Dorkin is the founder and former CEO of BiggerPockets,  launched on October 22, 2004. Mr. Dorkin's vision for BiggerPockets helped to...",Individual/Angel,,1,,,1,,,,,"131,442"
Hersh Narula,https://www.crunchbase.com/person/hersh-narula,1,,"New York, New York, United States","Hersh Narula is the President and Chief Executive Officer of Imagine Management, a General Partner at Imagine Ventures, and a Board Member a...",Individual/Angel,Seed,1,,,1,,,,,"131,490"
CQVB,https://www.crunchbase.com/organization/cqvb,1,,"Quebec, Quebec, Canada",CQVB was founded in 1985,Venture Capital,Early Stage Venture,1,,,,,,,,"131,443"
Charlie's Angel Network,https://www.crunchbase.com/organization/charlies-angel-network,,,"London, England, United Kingdom",Charlie's Angel Network seeks high potential startups for seed stage investments.,Angel Group,,,,,,,,,,"131,444"
Peter L. Rottier,https://www.crunchbase.com/person/peter-l-rottier,,,"San Francisco, California, United States","Peter L. Rottier joined Summit Partners in 2006. Prior to Summit, he worked for KSL Capital Partners, Stone Arch Capital and RBC Capital Mar...",Investment Partner,,,1,,,,,,,"131,445"
Resources Capital Partners,https://www.crunchbase.com/organization/resources-capital-partners,1,1,"Madrid, Madrid, Spain","Resource Capital Partners (Resource) is a real estate investment management and advisory company established in 2009, acting on behalf of",Private Equity Firm,,1,,1,,1,,,,"131,447"
Andre Haroche,https://www.crunchbase.com/person/andre-haroche,,,"New York, United States, North America",Andre Haroche formed Silverleaf companies in 2005 and most he Andre co-founded Silverleaf Venture Partners with Douglas Hannah to pursue Can...,Investment Partner,,,1,,,,,,,"131,449"
Hanyang University ERICA Industry-University Cooperation Foundation,https://www.crunchbase.com/organization/hanyang-university-erica-industry-university-cooperation-foundation,,,"Ansan, Inch'on-jikhalsi, South Korea",Hanyang University ERICA Industry-University Cooperation Foundation provides systematic R&D curriculum and top-notch start-up programs.,University Program,,,,,,,,,,"131,494"
Peter Brack,https://www.crunchbase.com/person/peter-brack,,,"Los Angeles, California, United States",Peter Brack is the Managing Partner at Hypothesis.,,,,,,,,,,,"131,452"
Steve Tingiris,https://www.crunchbase.com/person/steve-tingiris,,,"Tampa Bay Area, Florida, United States",Steve Tingiris is the Founder of Dabble Lab.,,,,,,,,,,,"131,496"
Austin Bryan,https://www.crunchbase.com/person/austin-bryan-fd7f,,,,"Austin Bryan  joined CLP Holdings in May 2016 as Senior Director – Innovation, leading the company’s innovation strategy in the face of chal...",Investment Partner,,,2,,,,,,,"131,453"
Richard McIntyre,https://www.crunchbase.com/person/rich-mcintyre,3,,"Tampa, Florida, United States","Education:  Allegheny College, BS Chemistry 1988, Carnegie Mellon University MBA 1992, University of Pittsburgh JD 1992. Work:  Kass Shuler ...",Individual/Angel,"Early Stage Venture, Seed",2,,1,,,,,,"131,455"
Corinne Nevinny,https://www.crunchbase.com/person/corinne-nevinny,1,,"Beverly Hills, California, United States",Corinne Nevinny is an Astia Angel Member.,Individual/Angel,,1,,,,,,,,"131,456"
Lise Kaae,https://www.crunchbase.com/person/lise-kaae,,,"Aarhus, Midtjylland, Denmark",Lise Kaae is the CEO of Heartland.,Investment Partner,,,7,,,,,,,"131,457"
Francisco Sáenz Rica,https://www.crunchbase.com/person/francisco-sáenz-rica,,,"Santiago, Region Metropolitana, Chile",Francisco Sáenz Rica is the Co-Founder and Partner of Magma Partners.,,,,,,,,,,,"131,502"
Tyler Ernst,https://www.crunchbase.com/person/tyler-ernst,,,"New York, New York, United States",Tyler Ernst currently works as the Principal for Clayton Dubilier & Rice.  He previously worked at FFL Partners as an Associate.,,,,,,,,,,,"131,459"
Preston Phillips,https://www.crunchbase.com/person/preston-phillips,,,"Newark, California, United States",Preston Phillips - Director of Marketing and Communications @ Replay Technologies,Investment Partner,,,1,,,,,,,"131,504"
Amrith Prasad,https://www.crunchbase.com/person/amrith-prasad,1,,,Amrith Prasad,Individual/Angel,,1,,1,,,,,,"131,460"
Dorin Miller,https://www.crunchbase.com/person/dorin-miller,,,"New York, New York, United States","A venture partner with Cedar Fund, Ms. Miller brings to Cedar extensive startup and corporate IT operational experience. Prior to joining...",Investment Partner,,,5,,,,,,,"131,461"
