Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Max Seel,https://www.crunchbase.com/person/max-seel,,,"Boston, Massachusetts, United States",Max Seel,,,,,,,,,,,"205,800"
Angela Baker,https://www.crunchbase.com/person/angela-baker-549f,,,"Washington, District of Columbia, United States","Angela Baker is a Chief Sustainability Officer at Qualcomm, Inc.",Investment Partner,,,1,,,,,,,"205,801"
JULIAN LIN,https://www.crunchbase.com/person/julian-lin,,,"San Jose, California, United States","Julian Lin is a co-founder and Managing Director of Hillcrest Venture Partners. Julian oversees the firm's investment in Notion, Phizzle, Ti...",,,,,,,,,,,"205,802"
Jun Li,https://www.crunchbase.com/person/mr-jun-li,,,,Jun Li - Founding Partner and Adviser @ Innovation Camp,,,,,,,,,,,"205,803"
Gaurav Kumar,https://www.crunchbase.com/person/gaurav-kumar-d881,,,,"Gaurav Kumar is the founder and driving force behind Leegal, a legal, registration, and tax consultancy services company. Born and raised in...",,Private Equity,,,,,,,,,"205,804"
Kaici Konggu,https://www.crunchbase.com/organization/kaici-konggu,1,,"Shenzhen, Guangdong, China",Kaici Konggu is an investment firm.,,,1,,,,,,,,"205,806"
Tomás Pérez Moreno,https://www.crunchbase.com/person/tomás-pérez-moreno,,,"La Coruña, Galicia, Spain",Tomás Pérez Moreno is a ceo at noso capital.,Investment Partner,,,1,,,,,,,"205,809"
Johan Qviberg,https://www.crunchbase.com/person/johan-qviberg,1,,"Stockholm, Stockholms Lan, Sweden","Johan Qviberg - Advisor, Investor @ Tipser",Individual/Angel,,1,,,,,,,,"205,811"
Stephen Hall,https://www.crunchbase.com/person/stephen-hall-4,,,,Stephen Hall - Co-Founder @ Axalon Ventures,Investment Partner,,,1,,,,,,,"205,813"
Humbert Pang,https://www.crunchbase.com/person/humbert-pang,,,,Humbert Pang managing partner at Gaw Capital Partners,Investment Partner,,,1,,,,,,,"205,812"
Janet Nieboer,https://www.crunchbase.com/person/janet-nieboer,,,,"Janet Nieboer, CEO ROM InWest.",Investment Partner,,,5,,,,,,,"205,814"
Kashgar Alliance Capital Venture Investment,https://www.crunchbase.com/organization/kashgar-alliance-capital-venture-investment,1,,"Kashgar, Xinjiang, China",Kashgar Alliance Capital Venture Investment is engaged in venture capital business.,Venture Capital,,1,,1,,,,,,"205,815"
NOAH DRABINSKY,https://www.crunchbase.com/person/noah-drabinsky,,,"Toronto, Ontario, Canada",NOAH DRABINSKY - Vice President-Chief Compliance Officer @ Triumph Capital Limited,,,,,,,,,,,"205,816"
Steven Govier,https://www.crunchbase.com/person/steven-govier,,,,Steven Govier,,,,,,,,,,,"205,817"
Jinyuntian Shiye,https://www.crunchbase.com/organization/jinyuntian-shiye,1,,"Hainan, Hainan, China",Jinyuntian Shiye is a company engaged in agriculture.,,,1,,,,,,,,"205,819"
Loren Brill,https://www.crunchbase.com/person/loren-brill,,,"New York, New York, United States","When Loren Brill was 22, she learned she had Stage II cancer, and started monitoring how certain foods made her feel. Heavily processed ones...",,,,,,,,,,,"205,822"
Zhang Ao,https://www.crunchbase.com/person/zhang-ao-d87e,,,,Zhang Ao is the Executive Director of Qiming Venture Partners.,Investment Partner,,,1,,,,,,,"205,823"
William Newman,https://www.crunchbase.com/person/william-newman,,,"Beaverton, Oregon, United States",William Newman is the managing director of Northwest Technology Ventures. He attended MIT Sloan School of Management.,Investment Partner,,,1,,,,,,,"205,826"
Ryan Gwee,https://www.crunchbase.com/person/ryan-gwee,,,,"Ryan Gwee Founder, Chairman of Asia Capital Pioneers Group.",Investment Partner,,,1,,,,,,,"205,825"
Ilya Rodin,https://www.crunchbase.com/person/dmitry-godovsky-23cc,1,,"United Kingdom, Europe","Ilya Rodin is the Chief Executive Officer, Director at ANGARA Industries. Ilya Rodin is the Massachusetts Institute of Technology - Sloan Sc...",Individual/Angel,,1,,,,,,,,"205,827"
Sara Landa,https://www.crunchbase.com/person/sara-landa-fdca,,,"Miami, Florida, United States",Entrepreneur and mentor with experience bootstrapping the creation of new businesses. Has founded and grown successful businesses in the tou...,,Early Stage Venture,,,,,,,,,"205,828"
Roya Zadeh,https://www.crunchbase.com/person/roya-zadeh,,,"Glen Allen, Virginia, United States",Roya Zadeh is the President at Signal Processing Technologies. Roya Zadeh attended University of North Carolina at Charlotte.,,,,,,,,,,,"205,829"
Andesh Bhatti,https://www.crunchbase.com/person/andesh-bhatti,,,,Andesh Bhatti is the Protocol Founder of ChainB. He attended MIT.,,,,,,,,,,,"205,830"
Bernd Egger,https://www.crunchbase.com/person/bernd-egger,1,,"Austria, Europe",Bernd Egger is the current CEO of Multitude. He previously worked at mPAY24 GmbH as a Co-Owner & Managing Director. Bernd Egger attended The...,Individual/Angel,,1,,,,,,,,"205,834"
Jeff Klofas,https://www.crunchbase.com/person/jeff-klofas,,,,Jeff Klofas,Investment Partner,,,1,,,,,,,"205,835"
Jiuqi Keji,https://www.crunchbase.com/organization/jiuqi-keji,2,1,"Haidian, Beijing, China",Jiuqi Keji is an investment firm.,,,2,,,,1,,,,"205,839"
Vadim Onishchenko,https://www.crunchbase.com/person/vadim-onishchenko,,,"Singapore, Asia",Vadim Onishchenko is the Founder and CEO at Fragma and Founder at Photoliga.,,,,,,,,,,,"205,838"
Jeevak Gupta,https://www.crunchbase.com/person/jeevak-gupta,1,,"Bornes, Vila Real, Portugal",Jeevak Gupta,Individual/Angel,,1,,,,,,,,"205,840"
Michael Marks,https://www.crunchbase.com/person/michael-marks,,,,Michael Marks is the Founding Partner at Paxion Capital Partners.,Investment Partner,,,1,,,,,,,"205,800"
Josh Baltzell,https://www.crunchbase.com/person/josh-baltzell,,,"San Francisco, California, United States",Josh Baltzell joined Split Rock Partners at the firm's inception as a Principal with the healthcare investment team. Located in the Menlo Pa...,Investment Partner,,,21,,,,,,,"205,842"
Sergiy Chudnovkyy,https://www.crunchbase.com/person/sergiy-chudnovkyy,,,,Sergiy Chudnovkyy - President of Products @ 4shared,Investment Partner,,,1,,,,,,,"205,844"
Swiss DeFi Fund,https://www.crunchbase.com/organization/swiss-defi-fund,,,,A Switzerland-based VC firm,,,,,,,,,,,"205,846"
David Sturek,https://www.crunchbase.com/person/david-sturek,1,,"New York, New York, United States",David Sturek,Individual/Angel,Seed,1,,,,,,,,"205,845"
Darlene Williams,https://www.crunchbase.com/person/darlene-williams-cc22,,,"United States, North America",Darlene Williams is Chief Information Officer at Rocket Software.She previously worked at American Water as PRESIDENT.She attended Nova Sout...,,,,,,,,,,,"205,803"
Shravan Patel,https://www.crunchbase.com/person/shravan-patel-e8ae,,,"Hyderabad, Andhra Pradesh, India","Shravan Patel Professionally also known as Shravan Jakkula (Born 14 July 2000) is an Indian Entrepreneur, Actor, Musician & Author by Profes...",,,,,,,,,,,"205,848"
Claire Lachance,https://www.crunchbase.com/person/claire-lachance-17c4,,,"Redwood City, California, United States",Claire Lachance is the current President and CEO of ReSurge International. She previously worked at Inspiration Quest as a Founder and Presi...,,,,,,,,,,,"205,849"
Philippe Debaillon Vesque,https://www.crunchbase.com/person/philippe-debaillon-vesque,,,,"Philippe graduated from TELECOM ParisTech (84), and spent most of his carreer in the Thales Group (formerly Thomson CSF).  Philippe started...",,,,,,,,,,,"205,850"
Markus Malti,https://www.crunchbase.com/person/markus-malti,,,"Berlin, Berlin, Germany",Markus Malti is the Founding Partner of Impact Plus Ventures. He also Co-Founded WeQ.,,,,,,,,,,,"205,851"
Yerim Choi,https://www.crunchbase.com/person/yerim-choi,,,,Yerim Choi is the Blue Point Partners' examiner.,Investment Partner,,,3,,,,,,,"205,852"
Alain Odijk,https://www.crunchbase.com/person/alain-odijk,,,"Rotterdam, Zuid-Holland, The Netherlands",Alain Odijk,,,,,,,,,,,"205,809"
Anne Clarke Wolff,https://www.crunchbase.com/person/anne-clarke-wolff-e30d,,,"New York, New York, United States",Anne Clarke Wolff is the Founder & CEO at Independence Point Advisors. She attended Northwestern University - Kellogg School of Management.,,,,,,,,,,,"205,853"
LCMFunds,https://www.crunchbase.com/organization/lcmfunds,,,"London, England, United Kingdom","LCMFunds invests in early stage African businesses, African Impact bonds, and African Eurodollar bonds.",Private Equity Firm,Early Stage Venture,,,,,,,,,"205,810"
Plug Cambridge Coworking,https://www.crunchbase.com/organization/plug-cambridge-coworking,,,"Cambridge, Massachusetts, United States",They help global entrepreneurs enter the US Market,Co-Working Space,,,,,,,,2017-03-31,,"205,855"
June Payne,https://www.crunchbase.com/person/june-payne,,,"San Francisco, California, United States",June Payne - Accredited Investor @ Sand Hill Angels,,,,,,,,,,,"205,856"
OYD Capital,https://www.crunchbase.com/organization/oyd-capital,1,,"Beijing, Beijing, China",OYD Capital is an investment firm based in China.,Venture Capital,Venture,1,,,,,,,,"205,857"
Indonesia KNS,https://www.crunchbase.com/organization/indonesia-kns,1,,,Indonesia KNS,,,1,,,1,,,,,"205,859"
Audrey Selian,https://www.crunchbase.com/person/audrey-selian,,,"Geneva, Geneve, Switzerland",Audrey Selian currently serves as Director of the Artha Initiative associated with Rianta Capital Zurich and is a team member/advisor to the...,Investment Partner,,,2,,,,,,,"205,822"
Daniel Marhel,https://www.crunchbase.com/person/daniel-marhel,,,"Latvia, Europe",Daniel Marhel is a member of BADideas.fund.,Investment Partner,,,1,,,,,,,"205,861"
"Ningbo Xinghe Zichan Guanli Co., Ltd.",https://www.crunchbase.com/organization/ningbo-xinghe-zichan-guanli-co-ltd,,,"Ningbo, Zhejiang, China","Ningbo Xinghe Zichan Guanli Co., Ltd. is an asset management firm.",,,,,,,,,,,"205,823"
Amrinder Singh,https://www.crunchbase.com/person/amrinder-singh-aef6,,,"Greater Minneapolis-Saint Paul Area, United States, North America",Amrinder Singh,Investment Partner,,,1,,,,,,,"205,863"
Bin Tan,https://www.crunchbase.com/person/bin-tan-530e,,,,Bin Tan	joined IdeeBank as Chief Executive Officer & Founder.,,,,,,,,,,,"205,864"
Ben Ault,https://www.crunchbase.com/person/ben-ault,,,"Minneapolis, Minnesota, United States",Ben Ault is a Member Board Of Directors at Tile Redi and a Managing Director at Mayfair Capital Partners.,,,,,,,,,,,"205,865"
Daniel Camejo,https://www.crunchbase.com/person/daniel-camejo-78f4,1,,"Lausanne, Vaud, Switzerland",Daniel Camejo,Individual/Angel,,1,,,1,,,,,"205,827"
Hao Yiwen,https://www.crunchbase.com/person/hao-yiwen,,,,Mr. Yiwen Hao joined Source Code Capital in 2014,Investment Partner,,,5,,,,,,,"205,825"
Prem Kumar,https://www.crunchbase.com/person/prem-kumar-01f5,1,,,Prem Kumar former HCL executive,Individual/Angel,,1,,,,,,,,"205,866"
Maria Alfano,https://www.crunchbase.com/person/maria-alfano,,,"Toronto, Ontario, Canada","Maria Alfano, Senior Managing Partner of GTA Capital Partners, top speaker in her field, speaks to business folks all over Canada and the US...",,,,,,,,,,,"205,867"
Saad Ahmed,https://www.crunchbase.com/person/saad-ahmed-c633,1,,"Singapore, Asia",Saad Ahmed,Individual/Angel,Seed,1,,,,,,,,"205,868"
Imad Malik,https://www.crunchbase.com/person/imad-malik,,,"Srinagar, Jammu and Kashmir, India","Hi Folks, My Name is Imaad Malik and I am the founder of Travelling Folks a Leading Travel agency in Jammu And KashmirVersatile, Enthusiasti...",,"Initial Coin Offering, Private Equity, Venture",,,,,,,,,"205,870"
Stelcom Technology Company Limited,https://www.crunchbase.com/organization/stelcom-technology-company-limited,1,,"Foochow, Fujian, China",Stelcom Technology Company develops and markets communication equipment and voice over Internet protocol (VoIP) solutions.,,,1,,,,,,,,"205,869"
Hideya Takatsu,https://www.crunchbase.com/person/hideya-takatsu,,,"Shiba, Tokyo, Japan","Joined the Nippon Life Group asset management company in 2017 as a new graduate, engaged in investment advisory. Mainly in charge of marketi...",Investment Partner,,,1,,,,,,,"205,872"
John F. McGrath,https://www.crunchbase.com/person/john-f-mcgrath,,,"San Francisco, California, United States","John F. McGrath, Jr. joined Atara Biotherapeutics as Chief Financial Officer in 2012. He was previously Executive in Residence and Operat...",,,,,,,,,,,"205,873"
Franco Amatta,https://www.crunchbase.com/person/franco-amatta,,,"Barcelona, Catalonia, Spain",Franco Amatta is the Co-Founder and Chief Technology Officer at Biboss.,,,,,,,,,,,"205,874"
James Adler,https://www.crunchbase.com/person/james-adler-fa78,,,"New York, New York, United States",James Adler is the Co-Founder and CEO of MaxIterations. He attended The Wharton School and William and Mary.,,,,,,,,,,,"205,836"
Pete Marshall,https://www.crunchbase.com/person/pete-marshall,,,"London, England, United Kingdom","Pete Marshall is the Group CTO of MAPAL Software (backed by Providence Equity), ex-CTO of Planday, and ex-Engineering Director at Bookatable...",,,,,,,,,,,"205,835"
Wyoming Innovations Network,https://www.crunchbase.com/organization/wyoming-innovations-network,,,"Laramie, Wyoming, United States",he Wyoming Innovations Network is comprised of Members that are companies or individuals who offer a technological product or service or,,,,,,,,,,,"205,837"
Viljar Arakas,https://www.crunchbase.com/person/viljar-arakas,1,,"Tallinn, Harjumaa, Estonia","Viljar Arakas,CEO at EfTEN Capital AS.",Individual/Angel,,1,,,,,,,,"205,877"
Damson Idris,https://www.crunchbase.com/person/damson-idris,1,,,Damson Idris,Individual/Angel,,1,,,,,,,,"205,876"
Terry Baker,https://www.crunchbase.com/person/terry-baker-4,1,1,,Terry Baker,Individual/Angel,Seed,1,,,,1,,,,"205,878"
Ray Bailey,https://www.crunchbase.com/person/ray-bailey-8c04,,,"Grand Prairie, Texas, United States",Ray Bailey is the current Founder and President of Lone Star Communications.,Investment Partner,,,1,,,,,,,"205,879"
Hui Zhang,https://www.crunchbase.com/person/hui-zhang-1d2f,1,,,"Co-Founder of Changtong Group and Founder of GIIC, Co., Ltd. Dedicated to resources integration and overseas cooperation within mid-east cou...",Individual/Angel,Seed,1,,,,,,,,"205,847"
Manfred Ziegler,https://www.crunchbase.com/person/manfred-ziegler,1,,,Manfred Ziegler,Individual/Angel,,1,,,,,,,,"205,880"
Robert Gidel,https://www.crunchbase.com/person/robert-gidel,,,"Orlando, Florida, United States","Robert H. Gidel was appointed to our board in 2012. He also serves on the board of directors of DDR Corp., a real estate investment trust. G...",,,,,,,,,,,"205,852"
Beijing Xiaohe Hanmo Investment Management,https://www.crunchbase.com/organization/beijing-xiaohe-hanmo-investment-management,1,,"Beijing, Beijing, China",Beijing Xiaohe Hanmo Investment Management is engaged in investment management; investment consulting; project investment; etc.,Private Equity Firm,,1,,1,,,,,,"205,850"
Gediminas Būda,https://www.crunchbase.com/person/gediminas-būda,1,,"Lithuania, Europe",Gediminas Būda is an Investment Manager at Prudentis UAB. He has over 16 years of experience in the field of Investment management. Būda is ...,Individual/Angel,,1,,,,,,,,"205,881"
Delta Airlines Reservas,https://www.crunchbase.com/person/emily-rodhas,,,"Anaheim, California, United States",Delta Airlines ofrece un servicio de reservas eficiente y conveniente. Puedes reservar tus vuelos fácilmente en línea o a través de su aplic...,,,,,,,,,,,"205,884"
Mark Smith,https://www.crunchbase.com/person/mark-smith-32,1,,"San Francisco, California, United States",Mark Smith - Executive Director @ Zeamo,Individual/Angel,Seed,1,,,,,,,,"205,885"
Mahan Hansraj,https://www.crunchbase.com/person/mahan-hansraj,,,"India, Asia",Entrepreneur I Rural Management Professional l Wanderlust,,Early Stage Venture,,,,,,,,,"205,886"
Dr.Dinesh Singh,https://www.crunchbase.com/person/dr-dinesh-singh,,,"Gurgaon, Haryana, India",Dr.Dinesh Singh,Investment Partner,,,1,,,,,,,"205,887"
Jim Momtazee,https://www.crunchbase.com/person/jim-momtazee,,,"Menlo Park, California, United States",Jim Momtazee is the Managing Partner of Patient Square Capital.,,,,,,,,,,,"205,889"
Lakshmi Apurva K,https://www.crunchbase.com/person/lakshmi-apurva-k,,,"India, Asia","Lakshmi Apurva K is the Founder and CEO of Pakka Local Ideas, an E-commerce start-up.",,,,,,,,,,,"205,860"
Stella Xu,https://www.crunchbase.com/person/stella-xu,,,"United States, North America","Stella Xu, Ph.D. has served as a member of our board of directors since November 2018. Dr. Xu has served as Managing Director of Quan Capita...",Investment Partner,,,7,,,,,,,"205,890"
Rong Yiren,https://www.crunchbase.com/person/rong-yiren-1866,,,"Beijing, China, Asia",Rong Yiren was the Founder of CITIC Group Corporation. He was the Vice President of the People's Republic of China from 1993 to 1998 and was...,,,,,,,,,,,"205,893"
Bulent Bahadır,https://www.crunchbase.com/person/bulent-bahadır,,,"Istanbul, Istanbul, Turkey",Bulent Bahadır,,,,,,,,,,,"205,863"
Saif I Shah Mohammed,https://www.crunchbase.com/person/saif-i-shah-mohammed,1,,,Saif I Shah Mohammed,Individual/Angel,,1,,,,,,,,"205,894"
Heidi Kunz,https://www.crunchbase.com/person/heidi-kunz-bb1d,,,"Zurich, Switzerland, Europe",Heidi Kunz is the Investment Manager at Spicehaus Partners AG.,Investment Partner,,,1,,,,,,,"205,895"
Jeremie Le Febvre,https://www.crunchbase.com/person/jrmie-le-febvre,,,,Jeremie Le Febvre,,,,,,,,,,,"205,897"
