Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Hotgen,https://www.crunchbase.com/organization/hotgen-c490,1,,"Daxing, Beijing, China",Hotgen is a diagnostic technology platform that develops liquid biopsy early screening technology.,,,1,,1,,,,,,"14,405"
Cypress Semiconductor,https://www.crunchbase.com/organization/cypress,6,3,"San Jose, California, United States","Cypress Semiconductor delivers various high-performance, mixed-signal, and programmable solutions.",,,6,,1,,3,,,,"14,407"
SEB (Skandinaviska Enskilda Banken),https://www.crunchbase.com/organization/seb,26,9,"Stockholm, Stockholms Lan, Sweden",SEB is the leading corporate and investment bank in the Nordic countries.,Investment Bank,,23,,5,1,9,,,,"14,411"
Coliba,https://www.crunchbase.com/organization/coliba,1,,"Accra, Greater Accra, Ghana",Coliba is a company collection and household waste management that makes use of computer technology to innovate in its industry.,,,1,,1,,,,,,"14,415"
Martin Marietta,https://www.crunchbase.com/organization/martin-marietta,1,,"Raleigh, North Carolina, United States",Martin Marietta Materials supplies the products to build the world around you. They are the nation’s second largest producer of,,,1,,,1,,,,,"14,422"
Leerink Partners,https://www.crunchbase.com/organization/leerink-partners,17,13,"Boston, Massachusetts, United States","Describes equity research, investment banking, and asset management services.",Investment Bank,,16,,1,9,13,,,,"14,427"
uncubical,https://www.crunchbase.com/organization/uncubical,,,"Boston, Massachusetts, United States",Uncubical Offering step-by-step breathwork and wellness programs to help stressed employees unwind.,,,,,,,,,,,"14,433"
Delphi Ventures,https://www.crunchbase.com/organization/delphi-ventures,200,45,"San Mateo, California, United States",Delphi Ventures was founded over 25 years ago as one of the first venture capital firms to focus on investing in life sciences companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",118,,31,14,45,,,,"14,436"
Krillion Ventures,https://www.crunchbase.com/organization/krillion-ventures,28,7,"Miami, Florida, United States","Krillion Ventures is a venture capital firm investing in seed-stage technology companies in health and wellness, real estate, and finance.",Micro VC,"Early Stage Venture, Seed",21,,2,7,7,,,,"14,400"
Nationwide Ventures,https://www.crunchbase.com/organization/nationwide-ventures,29,2,"Columbus, Ohio, United States","Nationwide Ventures, corporate venture arm of Nationwide Insurance",Corporate Venture Capital,Early Stage Venture,20,,3,4,2,,,,"14,401"
