Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Achal Mittal,https://www.crunchbase.com/person/achal-mittal-039f,1,,,Achal Mittal,Individual/Angel,,1,,,,,,,,"166,802"
Andreas Olmes,https://www.crunchbase.com/person/andreas-olmes,,,"Bonn, Nordrhein-Westfalen, Germany",Andreas Olmes has a PhD in physics and has always enjoyed working on the strategic development of companies. In the first ten years of his p...,Investment Partner,Seed,,1,,,,,,,"166,800"
Craig Dreyer,https://www.crunchbase.com/person/craig-dreyer,,,"Johannesburg, NA - South Africa, South Africa","Craig Dreyer joined Ethos in 1998 as the company’s Chief Financial Officer. Prior to joining Ethos, he was a partner and member of the execu...",,,,,,,,,,,"166,803"
Xianggang Baoxin Guoji Luyou Jituan,https://www.crunchbase.com/organization/xianggang-baoxin-guoji-luyou-jituan,1,,,Xianggang Baoxin Guoji Luyou Jituan is a travel company.,,,1,,,,,,,,"166,806"
Shantanu Johri,https://www.crunchbase.com/person/shantanu-johri,,,,Shantanu Johri is the Co-Founder of Market Dynamics,,Early Stage Venture,,,,,,,,,"166,805"
Alexia Keglevich,https://www.crunchbase.com/person/alexia-keglevich-f2a7,1,,,Alexia Keglevich,Individual/Angel,,1,,,,,,,,"166,807"
Michael Rucker,https://www.crunchbase.com/person/michael-rucker-d3f9,,,"Boulder, Colorado, United States",Michael Rucker is a CEO and founder of Scout Clean Energy LLC. He Attended The Johns Hopkins University - Paul H. Nitze School of Advanced I...,,,,,,,,,,,"166,808"
Expresión 2020,https://www.crunchbase.com/organization/expresión-2020,1,,,Expresión 2020,,,1,,1,,,,,,"166,801"
Stephanie Khurana,https://www.crunchbase.com/person/stephanie-khurana,,,,Stephanie Khurana is responsible for identifying and supporting DRK Entrepreneurs.  Stephanie currently serves on the boards of DRK portfoli...,Investment Partner,,,2,,,,,,,"166,802"
Peter Phoun,https://www.crunchbase.com/person/peter-phoun-2,,,"California, United States, North America","Peter is currently a Supply Chain Analyst at Samsung Electronics America. Previously, he has invested into Reg A+ and Reg CF SPV funds and i...",,"Convertible Note, Crowdfunding, Debt, Private Equity, Secondary Market, Seed",,,,,,,,,"166,803"
Brian Masondo,https://www.crunchbase.com/person/brian-masondo-7527,,,"Johannesburg, NA - South Africa, South Africa",Brian Masondo is an Investment Manager at E Squared Investments.,Investment Partner,,,1,,,,,,,"166,810"
Courtney Lipkin,https://www.crunchbase.com/person/courtney-lipkin,,,"San Francisco Bay Area, California, United States",Founders take a huge leap of faith when they start their companies. I love learning about the personal stories that drive people to change t...,Investment Partner,,,1,,,,,,,"166,804"
Zhong An Xiao Technology,https://www.crunchbase.com/organization/zhong-an-xiao-technology,1,,"Beijing, Beijing, China","Zhong An Xiao Technology is engaged in technology development, technology transfer, technical consulting, etc.",,,1,,,,,,,,"166,805"
Wuxi Gaode Venture Capital Management,https://www.crunchbase.com/organization/wuxi-gaode-venture-capital-management,1,,"Wuxi, Anhui, China",Wuxi Gaode Venture Capital Management is an investment Firm.,,,1,,,,,,,,"166,807"
