Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Canton of St. Gallen,https://www.crunchbase.com/organization/canton-of-st-gallen,1,,"Saint Gallen, Sankt Gallen, Switzerland","The canton of St. Gallen, also canton of St Gall is a canton of Switzerland. The capital is St. Gallen.",Government Office,,1,"49,924"
Government of Odisha,https://www.crunchbase.com/organization/government-of-odisha,9,,"Cuttack, Orissa, India","Odisha is one of the 29 states of India, located in the eastern coast.",Government Office,,9,"49,898"
Région Ile-de-France,https://www.crunchbase.com/organization/région-ile-de-france,8,,"Saint-ouen, Ile-de-France, France",Région Ile-de-France is a major business and techno hub in Europe.,Government Office,,1,"49,505"
SMEDAN,https://www.crunchbase.com/organization/smedan,2,,"Abuja, Federal Capital Territory, Nigeria",Agency of Federal government of Nigeria supporting small and Medium size enterprises.,Government Office,Grant,,"49,477"
Nigerian Communications Commission,https://www.crunchbase.com/organization/nigerian-communications-commission,3,,"Abuja, Federal Capital Territory, Nigeria",The Nigerian Communications Commission is the independent national regulatory authority for the telecommunications industry in Nigeria.,Government Office,,2,"49,417"
Western Economic Diversification Canada,https://www.crunchbase.com/organization/western-economic-diversification-canada,31,3,"Edmonton, Alberta, Canada","Western Economic Diversification Canada focuses on business development, innovation and community development.",Government Office,,21,"49,344"
Clifford Capital,https://www.crunchbase.com/organization/clifford-capital,1,,"Singapore, Central Region, Singapore",Clifford Capital is a company that provides overseas marine investment services.,Government Office,,1,"49,325"
Franklin County,https://www.crunchbase.com/organization/franklin-county,1,,"Columbus, Ohio, United States","Franklin County provides marriage licenses, adoptions, veteran grave search, and adult protective services.",Government Office,,1,"49,266"
Redevelopment Assistance Capital Program (RACP),https://www.crunchbase.com/organization/redevelopment-assistance-capital-program-racp,7,,"Philadelphia, Pennsylvania, United States",RACP is a Commonwealth grant program administered by the Commonwealth of Pennsylvania’s Office of Budget for economic development projects.,Government Office,,7,"49,213"
Indian Institute of Management Kashipur,https://www.crunchbase.com/organization/iim-kashipur,2,,"Kashipur, Uttarakhand, India",Indian Institute of Management Kashipur offers post graduate programs in management and two years of full-time residential programs.,University Program,,2,"49,159"
California Department of Water Resources,https://www.crunchbase.com/organization/california-department-of-water-resources,2,,"Sacramento, California, United States",Our mission is to sustainably manage the water resources of California,Government Office,,2,"49,155"
Singapore International Foundation - SIF,https://www.crunchbase.com/organization/singapore-international-foundation-sif,5,,"Singapore, Central Region, Singapore",Singapore International Foundation is a not-for-profit organization that makes friends for a better world.,Government Office,,5,"49,146"
Information Technology Industry Development Agency,https://www.crunchbase.com/organization/information-technology-industry-development-agency,1,,"Gîza, Al Jizah, Egypt","ITIDA, is the Egyptian business partner making sure that you get all the help you need.",Government Office,,1,"48,972"
DGB Daegu Bank,https://www.crunchbase.com/organization/dgb-daegu-bank,1,,"Daegu, Taegu-jikhalsi, South Korea",DGB Daegu Bank is a financial company that offers banking and DGB management value systems.,Government Office,,,"48,933"
California Department Of Transportation,https://www.crunchbase.com/organization/california-department-of-transportation,1,,"Santa Ana, California, United States","Information and news about transportation in California. Includes highway conditions, maps, live traffic videos, links to regional.",Government Office,,1,"48,890"
California Air Resources Board,https://www.crunchbase.com/organization/california-air-resources-board,1,,"Sacramento, California, United States",Agency charged with protecting the public from the harmful effects of air pollution & developing programs & actions to fight climate change.,Government Office,,,"48,861"
University of Antwerp,https://www.crunchbase.com/organization/university-of-antwerp,7,2,"Antwerp, Antwerpen, Belgium",The University of Antwerp (Universiteit Antwerpen) is a young and dynamic Belgian university.,University Program,,,"48,784"
Banques Populaires,https://www.crunchbase.com/organization/banques-populaires,8,,"Montigny-le-bretonneux, Ile-de-France, France",Banque Populaire is witness to its humanistic values and its willingness to place the client at the heart of the practice of its business.,Government Office,,2,"48,769"
Defense Threat Reduction Agency (DTRA),https://www.crunchbase.com/organization/defense-threat-reduction-agency-dtra,9,2,"Fort Belvoir, Virginia, United States",Defense Threat Reduction Agency (DTRA) is a combat support agency.,Government Office,Grant,7,"48,759"
California Natural Resources Agency,https://www.crunchbase.com/organization/california-natural-resources-agency,2,,"Sacramento, California, United States",California Natural Resources Agency leads efforts to protect California's natural environment and advance Governor Newsom's core priorities.,Government Office,Grant,2,"48,722"
National Capital Fund,https://www.crunchbase.com/organization/national-capital-fund,9,1,"Warszawa, Mazowieckie, Poland",National Capital Fund is a venture firm that invests in Polish startups.,"Government Office, Venture Capital",,,"48,686"
Melbourne Accelerator Program,https://www.crunchbase.com/organization/melbourne-accelerator-program,30,7,"Melbourne, Victoria, Australia",The Melbourne Accelerator Program (MAP) is the preeminent entrepreneurship program in Australia.,University Program,,29,"48,622"
Ministry of Finance of Singapore,https://www.crunchbase.com/organization/ministry-of-finance-of-singapore,,,"Singapore, Central Region, Singapore",Ministry of Finance of Singapore is a company that specializes in financial news and informations.,Government Office,,,"48,533"
"Ministry of Economy, Trade, and Industry",https://www.crunchbase.com/organization/ministry-of-economy-trade-and-industry,1,,"Tokyo, Tokyo, Japan","Ministry of Economy, Trade, and Industry is a ministry of the Government of Japan that has jurisdiction over a broad policy area.",Government Office,,1,"48,504"
World Education Services,https://www.crunchbase.com/organization/world-education-services-f645,1,,"New York, New York, United States",The WES Mariam Assefa Fund supports catalytic efforts to create more inclusive economies for immigrants and refugees in the U.S. and Canada.,Government Office,,,"48,493"
Department of Health Care Services,https://www.crunchbase.com/organization/department-of-health-care-services,2,,"Sacramento, California, United States",Department of Health Care Services offers healthcare services.,Government Office,,2,"48,418"
Dhyana Capital,https://www.crunchbase.com/organization/dhyana-capital,1,,"New Delhi, Delhi, India",Dhyana Capital invests in Indian public companies with the mindset of a long-term business owner.,"Government Office, Venture Capital",,,"48,374"
