Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Mark Seitz,https://www.crunchbase.com/person/mark-seitz,,,,"A former Assistant Attorney General for the state of Tennessee, Mark became president of NDC in 2005. He spent more than 20 years practicing...",,,,,,,,,,,"193,200"
Open North Foundation,https://www.crunchbase.com/organization/open-north-foundation,1,,"Bishop Auckland, Durham, United Kingdom",Open North Foundation is a not-for-profit company dedicated to assisting the businesses and people of the North East.,,,1,,1,,,,,,"193,202"
Umesh Harigopal,https://www.crunchbase.com/person/umesh-harigopal,,,"Leesburg, Virginia, United States",Umesh Harigopal is the CEO and Co-Founder of PropMix.io LLC. He previously worked at Freddie Mac as a Senior Director / Consultant. Umesh Ha...,,,,,,,,,,,"193,203"
Jonathan Lewin,https://www.crunchbase.com/person/jonathan-lewin,,,"Israel, Asia",Jonathan Lewin,,,,,,,,,,,"193,204"
Scott Braunstein,https://www.crunchbase.com/person/scott-braunstein-2,,,"New York, New York, United States","Scott Braunstein serves as an Operating Partner at Aisling Capital. He is Senior Vice President, Strategy and Corporate Development at Pacir...",,,,,,,,,,,"193,205"
Waleed Rassuli,https://www.crunchbase.com/person/waleed-rassuli,1,,,Waleed Rassuli,Individual/Angel,,1,,,,,,,,"193,206"
Melanie Lougee,https://www.crunchbase.com/person/melanie-lougee,,,"San Francisco Bay Area, California, United States",Melanie Lougee - Head of Employee Workflow Strategy @ ServiceNow,Investment Partner,,,1,,,,,,,"193,209"
Yuya Taketani,https://www.crunchbase.com/person/taketani-yuya,2,1,"Tokyo, Tokyo, Japan",Yuya Taketani - Chief Executive Officer @ Gunosy,"Investment Partner, Individual/Angel",,2,1,,,1,,,,"193,210"
Fukun Xingye,https://www.crunchbase.com/organization/fukun-xingye,1,,"Shenzhen, Guangdong, China",Fukun Xingye is an investment management firm.,,,1,,1,,,,,,"193,213"
Aaron Frenkel,https://www.crunchbase.com/person/aaron-frenkel,1,1,,Aaron Frenkel,Individual/Angel,,1,,1,,1,,,,"193,212"
Klemens Haselsteiner,https://www.crunchbase.com/person/klemens-haselsteiner,,,,Klemens Haselsteiner is the CEO of STRABAG AG.,,,,,,,,,,,"193,214"
Christopher Fraley,https://www.crunchbase.com/person/christopher-fraley,1,,,Christopher Fraley is the Member Board Of Directors at RealBlocks. Christopher Fraley attended at Yale University - Yale School of Managemen...,Individual/Angel,,1,,,1,,,,,"193,215"
Denis Murphy,https://www.crunchbase.com/person/denis-murphy-2,1,,,"Denis is a serial entrepreneur, director, angel investor and mentor. He has over 20 years of sales and management experience, spanning mobil...",Individual/Angel,,1,,1,,,,,,"193,218"
Small Cap Scientist,https://www.crunchbase.com/person/small-cap-scientist,1,,,Small Cap Scientist,Individual/Angel,,1,,,,,,,,"193,219"
Céline Vaessen,https://www.crunchbase.com/person/céline-vaessen,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Céline Vaessen,Investment Partner,,,1,,,,,,,"193,220"
Chad Barden,https://www.crunchbase.com/person/chad-barden,,,,"Chad Barden is a founder and managing partner of In-vivo Ventures. Chad is currently serving as Chairman and CEO of Quadraspec, an In-vivo p...",,,,,,,,,,,"193,221"
Daria Fedko,https://www.crunchbase.com/person/daria-fedko,,,"Kyiv, Kyyiv, Ukraine",Daria Fedko,,,,,,,,,,,"193,222"
Yueyangshi Benncao Shengwu,https://www.crunchbase.com/organization/yueyangshi-benncao-shengwu,1,,"Yueyang, Hunan, China",Yueyangshi Benncao Shengwu is a company engaged in food manufacturing.,,,1,,,,,,,,"193,223"
Mihai Luchian,https://www.crunchbase.com/person/mihai-luchian,,,"Timisoara, Timis, Romania",Mihai Luchian is the Founder and CEO at crystal-matrix.com. He is an experienced Hardware Development Manager with a demonstrated history o...,,Seed,,,,,,,,,"193,224"
Dénes Szluha,https://www.crunchbase.com/person/dénes-szluha,,,"Budapest, Hungary, Europe",Dénes Szluha is a vc investor in early phase startups and head of startup division at Hiventures.,Investment Partner,,,2,,,,,,,"193,225"
Li Gong,https://www.crunchbase.com/person/li-gong,,,"Mountain View, California, United States","Li Gong is the President of Mozilla Corporation. Before his appointment to President, he served as Mozilla Corporation’s Chief Operating Off...",,,,,,,,,,,"193,226"
Nitron Advisors,https://www.crunchbase.com/organization/nitron-advisors,,,,Nitron Advisors is a investment research firm.,,,,,,,,,,,"193,228"
Cenk Çoşkuntürk,https://www.crunchbase.com/person/cenk-çoşkuntürk,2,,,Cenk Çoşkuntürk,"Investment Partner, Individual/Angel",,2,1,,,,,,,"193,229"
Sam Ryder,https://www.crunchbase.com/person/sam-ryder,,,"Philadelphia, Pennsylvania, United States","Sam Ryder Before joining LLR, Sam was as an investment banking associate at Fidus Partners. Prior to that he was an analyst in the structure...",Investment Partner,,,2,,,,,,,"193,233"
Percy Moreira,https://www.crunchbase.com/person/percy-moreira,1,,"Manhattan, New York, United States",Percy Moreira,Individual/Angel,Seed,1,,,,,,,,"193,231"
Andrew Goodman,https://www.crunchbase.com/person/andrew-goodman-728a,1,,,Andrew Goodman,Individual/Angel,,1,,,,,,,,"193,234"
Vinu Varghese,https://www.crunchbase.com/person/vinu-varghese,,,,Vinu Varghese,,,,,,,,,,,"193,235"
javier lopez costa,https://www.crunchbase.com/person/javier-lopez-costa,1,,"Madrid, Madrid, Spain",javier lopez costa,Individual/Angel,,1,,,,,,,,"193,236"
Yingxue Ziben,https://www.crunchbase.com/organization/yingxue-ziben,2,,"Shanghai, Shanghai, China",Yingxue Ziben is engaged in investment management.,,,1,,,,,,,,"193,237"
Leonid Dovladbegyan,https://www.crunchbase.com/person/leonid-dovladbegyan,1,,,Leonid Dovladbegyan is a general director of online hypermarket Vprok.ru.,Individual/Angel,,1,,,,,,,,"193,240"
Jacob Tarango,https://www.crunchbase.com/person/jacob-tarango-63c1,,,"United States, North America",Jacob Tarango,,,,,,,,,,,"193,241"
Damir Ibrahimagic Kopinic,https://www.crunchbase.com/person/damir-ibrahimagic-kopinic,,,"London, England, United Kingdom",Damir Ibrahimagic Kopinic is the Co-Founder and CEO of G+QUANT. He attended The London School of Economics and Political Science (LSE).,,"Debt, Early Stage Venture, Initial Coin Offering, Seed",,,,,,,,,"193,242"
Pauline Brunel,https://www.crunchbase.com/person/pauline-brunel,,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Pauline Brunel - Investment Manager @ BlackFin Capital Partners,Investment Partner,,,1,,,,,,,"193,243"
Richard Crosfield,https://www.crunchbase.com/person/richard-crosfield,,,"London, England, United Kingdom",Richard Crosfield,Investment Partner,,,3,,,,,,,"193,244"
Jusheng Taide Touzi,https://www.crunchbase.com/organization/jusheng-taide-touzi,1,,"Xinjiang, Shanxi, China",Jusheng Taide Touzi is an investment firm that provides asset management and investment management services.,,,1,,,,,,,,"193,245"
Beijing Yuzhou Zhixin Jiaoyu Keji,https://www.crunchbase.com/organization/beijing-yuzhou-zhixin-jiaoyu-keji,1,,"Beijing, Beijing, China",Beijing Yuzhou Zhixin Jiaoyu Keji is an investment firm.,,,1,,,,,,,,"193,246"
Sparkhouse,https://www.crunchbase.com/organization/sparkhouse-d0ae,,,"Lincoln, Lincolnshire, United Kingdom",Sparkhouse is an award-winning business support centre.,,,,,,,,,,,"193,247"
Lebogang Mosiane,https://www.crunchbase.com/person/lebogang-mosiane,,,"Johannesburg, NA - South Africa, South Africa",Lebogang Mosiane Investment Manager at Kagiso Capital.,Investment Partner,,,1,,,,,,,"193,248"
Social media marketing Agency Sa media,https://www.crunchbase.com/person/social-media-marketing-agency-sa-media,,,"New York, New York, United States","It does not matter if you are selling a physical product, a e-learning course or a service, I love all niches. I was also always interested ...",,Private Equity,,,,,,,,,"193,249"
Fanny Wu,https://www.crunchbase.com/person/fanny-wu,,,,Fanny Wu - Team Member @ Ant Group,Investment Partner,,,1,,,,,,,"193,250"
Gary L. Stark,https://www.crunchbase.com/person/gary-l-stark,,,"Greater Chicago Area, United States, North America","Gary L. Stark is the Vice Chairman of the Board of Directors of Aircraft Propeller Service, He is also a Managing Partner at Iron Range Capi...",,,,,,,,,,,"193,251"
Luis Pardo,https://www.crunchbase.com/person/luis-pardo,1,1,"Barcelona, Catalonia, Spain","CEO and vice chairman of Sage Iberia since 2014, Luis Pardo runs a company that innovates to facilitate the day to day of companies. In Sage...",Individual/Angel,Seed,1,,,,1,,,,"193,253"
