Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Craig Lang,https://www.crunchbase.com/person/craig-lang,,,"San Francisco, California, United States",Craig Lang is a Partner at DLA Piper. He previously worked as the VP of Legal Affairs at Oak Investment Partners and Corporate Attorney at W...,Investment Partner,,,6,,,,,,,"163,800"
The Library - Tel Aviv,https://www.crunchbase.com/organization/the-library-tel-aviv,1,,"Tel Aviv, Tel Aviv, Israel",The Library is the home of the startup community in Tel Aviv-Yafo. Provides professional infrastructure for technological visionaries.,,,1,,1,,,,,,"163,801"
Navtej Singh,https://www.crunchbase.com/person/navtej-singh,,,"Cupertino, California, United States",Nav Singh is the Director of Marketing at Egnyte.,,,,,,,,,,,"163,802"
Ruichi Capital,https://www.crunchbase.com/organization/ruichi-capital,1,,"Shenzhen, Guangdong, China",Ruichi Capital,,,1,,,,,,,,"163,804"
Dan Chaplin,https://www.crunchbase.com/person/dan-chaplin-1af0,,,"London, England, United Kingdom","Dan is an investor at Dawn Capital working on B2B software investments across Europe with a particular focus on FinTech. Previously, Dan wo...",Investment Partner,,,1,,,,,,,"163,805"
Karl Wood,https://www.crunchbase.com/person/karl-wood,1,,"Sydney, New South Wales, Australia",Karl Wood is the Director Of Technology at Facto. He attended Dimension Data.,Individual/Angel,"Early Stage Venture, Seed",1,,1,,,,,,"163,806"
David Simon,https://www.crunchbase.com/person/david-simon-2,,,"Indianapolis, Indiana, United States","David Simon is the Chairman of the Board, Chief Executive Officer and President of Simon Property Group.",Investment Partner,,,1,,,,,,,"163,808"
Albert Mansour,https://www.crunchbase.com/person/albert-mansour,,,,Albert Mansour,,Seed,,,,,,,,,"163,807"
Dongying Zhuoyu,https://www.crunchbase.com/organization/dongying-zhuoyu,1,,"Dongying, Shandong, China",Dongying Zhuoyu is an investment firm.,,,1,,,,,,,,"163,809"
Gucang Xueyuan,https://www.crunchbase.com/organization/gucang-xueyuan,1,,"Beijing, Beijing, China",Gucang Xueyuan engages in the research and training of hardware and life consumable entrepreneurship under the trend of consumption upgrade.,,,1,,,,,,,,"163,810"
Mark Groves,https://www.crunchbase.com/person/mark-groves-860b,1,,"Calgary, Alberta, Canada",Mark Groves,Individual/Angel,,1,,,,,,,,"163,815"
Jason Wendt,https://www.crunchbase.com/person/jason-wendt-479c,,,"Watertown, New York, United States",Jason Wendt,,,,,,,,,,,"163,816"
Radhika Shroff,https://www.crunchbase.com/person/radhika-shroff,,,"New York, New York, United States","Radhika Shroff Managing Director, Impact Investing Private Equity at Nuveen.",Investment Partner,,,2,,,,,,,"163,817"
Adam Bolin,https://www.crunchbase.com/person/adam-bolin-ae44,1,,,Adam Bolin,Individual/Angel,,1,,,,,,,,"163,818"
Tianshiyun Jiaoyu,https://www.crunchbase.com/organization/tianshiyun-jiaoyu,1,,"Haidian, Beijing, China",Tianshiyun Jiaoyu is a healthcare firm that offering health education services and sexual health consultation.,,,1,,,,,,,,"163,820"
Carsten Frien,https://www.crunchbase.com/person/carsten-frien,,,"Berlin, Berlin, Germany",Carsten Frien is the Co-Founder and Chief Executive Officer of Roq.ad GmbH. Carsten Frien Co-founded Madvertise Mobile Advertising GmbH and ...,,,,,,,,,,,"163,823"
Alexey Belyakov,https://www.crunchbase.com/person/alexey-belyakov,,,"Moscow, Moscow City, Russian Federation","Alexey Belyakov - Vice President, Head of Industrial Cluster @ Skolkovo Foundation",Investment Partner,,,2,,,,,,,"163,822"
Stuart Wheeler,https://www.crunchbase.com/person/stuart-wheeler,1,,"London, England, United Kingdom",John Stuart Wheeler is the Founder of G Group.,Individual/Angel,Seed,1,,,,,,,,"163,824"
Paul Barlett,https://www.crunchbase.com/person/paul-barlett,,,"San Francisco Bay Area, California, United States",Paul Bartlett is the Chief Executive Officer at CloudPay.,,,,,,,,,,,"163,825"
Badreddin Edris,https://www.crunchbase.com/person/badreddin-edris,,,"Greater New York Area, United States, North America","Badreddin Edris, Ph.D., is a co-founder of Edgewise Therapeutics and continues to serve as a board observer and strategic advisor after havi...",,,,,,,,,,,"163,802"
Venk Krishnan,https://www.crunchbase.com/person/venk-krishnan,1,,"New York, New York, United States",Venk Krishnan is the founder of NuWare. He is a leader who has rapidly grown NuWare by leveraging on market trends and focus on satisfying c...,Individual/Angel,,1,,,,,,,,"163,803"
Midwest Venture Capital Consortium,https://www.crunchbase.com/organization/midwest-venture-capital-consortium,,,,"A consortium established by Sixteen independent, primarily Midwest-based venture capital firms, to serve start-ups' funding needs",Venture Capital,,,,,,,,,,"163,826"
Heriberto Saldivar Massimi,https://www.crunchbase.com/person/heriberto-saldivar-massimi,,,"Barcelona, Catalonia, Spain",Heriberto Saldivar Massimi - Managing Director @ Brinc,Investment Partner,"Early Stage Venture, Seed",,1,,,,,,,"163,827"
Nadia Fonny,https://www.crunchbase.com/person/nadia-fonny,,,"Jakarta, Jakarta Raya, Indonesia",Nadia Fonny is the Head of Business Operations at BukuWarung. Nadia Fonny attended the University of Illinois Urbana-Champaign.,,"Early Stage Venture, Late Stage Venture, Seed",,,,,,,,,"163,828"
Delan Group,https://www.crunchbase.com/organization/delan-group,1,,"Nanjing, Jiangsu, China",Delan Group provides radio and television broadcasting and signal transmission services.,,,1,,,,,,,,"163,831"
John Hall,https://www.crunchbase.com/person/john-hall-41fe,,,"Greater Seattle Area, Washington, United States","John joined DroneSeed in July 2019 as Vice President of Operations. In this role he oversees DroneSeed’s aviation operations, strategic plan...",,,,,,,,,,,"163,832"
Tianjin Wanrong Wenfu Zichan Guanli Zhongxin (Youxian Hehuo),https://www.crunchbase.com/organization/tianjin-wanrong-wenfu-zichan-guanli-zhongxin-youxian-hehuo,1,,"Tianjin, Guangdong, China",Tianjin Wanrong Wenfu Zichan Guanli Zhongxin (Youxian Hehuo) is an asset management firm.,,,1,,,,,,,,"163,811"
Next Generation EU Office,https://www.crunchbase.com/organization/next-generation-eu-office,1,,,The Next Generation EU Office is a service that attempts to publicize various business calls for European Next Generation funds.,,,1,,1,,,,,,"163,834"
John Ferlito,https://www.crunchbase.com/person/john-ferlito,,,"Sydney, New South Wales, Australia","John is a Board Advisor, Non-Executive Director and Mentor, with a +20-year track record of helping start-ups, scale-ups and mature business...",,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed",,,,,,,,,"163,812"
Brent Montgomery,https://www.crunchbase.com/person/brent-montgomery,2,,,Brent Montgomery - CEO @ ITV Studios,Individual/Angel,,2,,,1,,,,,"163,835"
Amitav Misra,https://www.crunchbase.com/person/amitav-misra,2,,"Houston, Texas, United States","Prior to Arundo, Amitav was a partner in Cardinal Advisors, a boutique investment banking, and strategic advisory firm. Prior to Cardinal, h...",Individual/Angel,Seed,1,,,,,,,,"163,836"
Gary Teh,https://www.crunchbase.com/person/gary-teh,,,"San Francisco Bay Area, California, United States",Gary Teh is the founder and chief contributor at TrueSight DAO.,,,,,,,,,,,"163,816"
David Coolidge,https://www.crunchbase.com/person/david-coolidge-924b,,,"British Columbia, Canada, North America",David Coolidge is the Co-Founder and VP of Business Development at Green Mountain.,,,,,,,,,,,"163,838"
Ben Eliass,https://www.crunchbase.com/person/ben-eliass,1,,,Ben Eliass,Individual/Angel,,1,,1,,,,,,"163,839"
Paolo Galvani,https://www.crunchbase.com/person/paolo-galvani,1,,"Milan, Lombardia, Italy",Paolo believes that no industry is safe from either the possibility or the reality of technological disruption. Having observed financial se...,Individual/Angel,,1,,,,,,,,"163,842"
Yaseen Ghazal,https://www.crunchbase.com/person/yaseen-ghazal-e8b7,1,,"Amman, Amman, Jordan",Yaseen Ghazal,Individual/Angel,Seed,1,,1,,,,,,"163,843"
Alex Thabet,https://www.crunchbase.com/person/alex-thabet-aa1e,1,,,Alex Thabet,Individual/Angel,,1,,,,,,,,"163,844"
The Husker Venture Fund,https://www.crunchbase.com/organization/the-husker-venture-fund,1,,"Lincoln, Nebraska, United States",Husker Venture Fund is a venture capital firm.,,,1,,,,,,,,"163,845"
Harri Santamala,https://www.crunchbase.com/person/harri-santamala,,,"Finland, Europe",Harri Santamala is a Co-Founder and Chief Executive Officer at Sensible 4.,,,,,,,,,,,"163,846"
Jonathan Heilbron,https://www.crunchbase.com/person/jonathan-heilbron,1,,"London, England, United Kingdom",Jonathan Heilbron - Senior Adviser @ Highstead Partners,"Investment Partner, Individual/Angel",,1,1,,,,,,,"163,847"
Michael Stam,https://www.crunchbase.com/person/michael-stam,,,"Amsterdam, Noord-Holland, The Netherlands",Michael Stam became INKEF’s Chief Executive Officer mid-2012. As a chair member of INKEF’s Investment Committee and representative of the fo...,Investment Partner,,,2,,,,,,,"163,848"
Gaoyong Ziben,https://www.crunchbase.com/organization/gaoyong-ziben,1,,,Gaoyong Ziben is an investment firm.,,,1,,,,,,,,"163,849"
Prashant Kumar,https://www.crunchbase.com/person/prashant-kumar-7,,,"Mumbai, Maharashtra, India","Prashant Kumar is based in Mumbai, joined Warburg Pincus in 2007 and focuses on investments in India. Prior to joining Warburg Pincus, Mr. K...",,,,,,,,,,,"163,850"
MY Capital,https://www.crunchbase.com/organization/my-capital,1,,"Xiamen, Fujian, China",MY Capital is a professional investment institution focusing on innovative enterprise equity investment and market value management.,Hedge Fund,,1,,,,,,,,"163,825"
Roel van Diepen,https://www.crunchbase.com/person/roel-van-diepen,,,,Roel van Diepen is an investment Director at EIT InnoEnergy.,Investment Partner,,,3,,,,,,,"163,851"
Rami Bitar,https://www.crunchbase.com/person/rami-bitar-2,,,"Newyork, Argyll and Bute, United Kingdom",Rami Bitar,,,,,,,,,,,"163,852"
Euan Thomson,https://www.crunchbase.com/person/euan-thomson,,,"San Francisco, California, United States","A scientist and business professional, Euan Thomson’s commitment to innovation has enabled him to play pioneering roles with a series of bre...",,,,,,,,,,,"163,854"
Andrew Couch,https://www.crunchbase.com/person/andrew-couch,1,,"Irvine, California, United States","Andrew Couch is the Co-Founder at Wolfberry. Additionally, Andrew Couch has had 3 past jobs including Founder at Candy Lab.",Individual/Angel,Seed,1,,,1,,,,,"163,853"
Radford Taylor Partners,https://www.crunchbase.com/organization/radford-taylor-partners,,,"Taipei, T'ai-pei, Taiwan",Radford Taylor Partners has grown to become one of the most respected boutique investment and wealth management service providers in Asia.,Private Equity Firm,Post-Ipo,,,,,,,,,"163,856"
Steve Chamberlain,https://www.crunchbase.com/person/steve-chamberlain,2,1,"Atlanta, Georgia, United States",Steve Chamberlain,Individual/Angel,Seed,2,,,1,1,,,,"163,857"
Ángela Acosta,https://www.crunchbase.com/person/ángela-acosta,1,,"Bogotá, Distrito Especial, Colombia",Ángela Acosta,Individual/Angel,,1,,,,,,,,"163,859"
Olivier Schuepbach,https://www.crunchbase.com/person/olivier-schuepbach,,,"Berlin, Berlin, Germany",Olivier Schuepbach has been with Wellington Partners Venture Capital since 2006.  He is primarily involved in the evaluation of new prospect...,Investment Partner,,,1,,,,,,,"163,863"
Nick Curtis,https://www.crunchbase.com/person/nick-curtis,,,"London, England, United Kingdom",Nick Curtis joined Ludgate in 2009. He has responsibility for execution and portfolio monitoring. After graduating from Bristol University w...,,,,,,,,,,,"163,861"
Ruthi Simha,https://www.crunchbase.com/person/ruthi-simha,,,"Israel, Asia",Ruthi Simha is a veteran of venture lending in Israel with approximately 20 years of experience in high technology investing. In 2000 Ruthi ...,,,,,,,,,,,"163,862"
Ryan Gunther,https://www.crunchbase.com/person/ryan-gunther,,,"Boston, Massachusetts, United States",Ryan Gunther first joined HarbourVest in 2004 as an associate focused on U.S. primary partnership investments.  He left the Firm to atten...,Investment Partner,,,1,,,,,,,"163,865"
Astrec Baltic,https://www.crunchbase.com/organization/astrec-baltic,1,1,"Tallinn, Harjumaa, Estonia","Astrec Baltic offers engineering consulting services and markets and distributes machine oil, lubricants, and related equipment.",,,1,,,,1,,,,"163,868"
Alex Butmanov,https://www.crunchbase.com/person/alexandr-butmanov,,,"Moscow, Moscow City, Russian Federation","Founder, Partner & CEO of DTI Algorithmic  #Wealth Creator. 14 year experience in trading. Stocks, ETF. Options. Bonds. #Blockchain Advisor",,,,,,,,,,,"163,869"
Abel Aktas,https://www.crunchbase.com/person/abel-aktas,1,,,Abel Aktas,Individual/Angel,Early Stage Venture,1,,,,,,,,"163,866"
Shailaja Gupta,https://www.crunchbase.com/person/shailaja-gupta,1,,"Bengaluru, Karnataka, India",Shailaja Gupta,Individual/Angel,,1,,,,,,,,"163,867"
Andrew Savikas,https://www.crunchbase.com/person/andrew-savikas-6777,,,"Boston, Massachusetts, United States",Edtech and Publishing Executive. Investor and Advisor. Chronic reader. Lifelong learner.,,,,,,,,,,,"163,838"
Brice Lodugnon,https://www.crunchbase.com/person/brice-lodugnon,,,"Côte d'Ivoire, Africa","Brice Lodugnon is a Managing Director of Emerging Capital Partners (ECP). Having raised over $2.5 billion for investment, ECP is a leading p...",,,,,,,,,,,"163,870"
VLC Renewables,https://www.crunchbase.com/organization/vlc-renewables,,,"Jersey, Arkansas, United States",VLC Renewables* is a Fund focussed on generating significant investment into renewable energy assets across Europe.,,,,,,,,,,,"163,871"
