Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Angela Sanders,https://www.crunchbase.com/person/angela-sanders-2,,,"Des Moines, Iowa, United States",Angela Sanders is a Board Member at Farm Bureau Financial Services. She attended The University of Iowa Tippie College of Business.,,,,,,,,,,,"219,600"
Masatsugu Shidachi,https://www.crunchbase.com/person/masatsugu-shidachi,1,,"Tokyo, Tokyo, Japan",Masatsugu Shidachi is Executive Vice President & Head of Data & Science Solutions Group at Yahoo! JAPAN.,Individual/Angel,,1,,,,,,,,"219,604"
Matthew Cohen,https://www.crunchbase.com/person/matthew-cohen,,,,Matthew Cohen brings experience and a passion for working with advanced materials and cleantech in both industry and academia. Prior to join...,Investment Partner,,,1,,,,,,,"219,603"
Johnny Falla,https://www.crunchbase.com/person/johnny-falla,1,,"Kenya, Africa",Johnny Falla,Individual/Angel,,1,,,,,,,,"219,605"
Brett Varsov,https://www.crunchbase.com/person/brett-varsov,,,"New York, New York, United States","Brett Varsov is a Partner at Raine.  Prior to joining Raine, he was a senior vice president in the Technology, Media and Telecom (TMT) grou...",,,,,,,,,,,"219,601"
Keisuke Hata,https://www.crunchbase.com/person/keisuke-hata,,,,Keisuke Hata is a General Manager / Blockchain Entertainment Business Division.,Investment Partner,,,1,,,,,,,"219,611"
Shuji Utsumi,https://www.crunchbase.com/person/shuji-utsumi-e2e2,,,,"Shuji Utsumi is a Vice President, Director of the Board",Investment Partner,,,1,,,,,,,"219,607"
Luca Fornari,https://www.crunchbase.com/person/luca-fornari,1,,,Luca Fornari,Individual/Angel,,1,,,,,,,,"219,613"
Stella Tran,https://www.crunchbase.com/person/stella-tran,,,,"Stella is a Senior Associate with Acumen America, the U.S.-focused arm of Acumen. Acumen America invests in early-stage companies with innov...",,,,,,,,,,,"219,614"
Michael Thompson,https://www.crunchbase.com/person/michael-thompson-6054,2,1,,Michael Thompson,Individual/Angel,,2,,,1,1,,,,"219,605"
Wang Tonghui,https://www.crunchbase.com/person/wang-tonghui-3eef,,,,Wang Tonghui is the executive director of Zhongguancun Science City Company.,Investment Partner,,,1,,,,,,,"219,616"
Mark Kvamme,https://www.crunchbase.com/person/mark-kvamme-2,,,,Mark Kvamme - Partner @ 10Xelerator,,,,,,,,,,,"219,618"
Inger Walle,https://www.crunchbase.com/person/inger-walle,,,"Oslo, Oslo, Norway",Inger Walle - Office Manager @ Ferd,,,,,,,,,,,"219,619"
