Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Alan Chettiar,https://www.crunchbase.com/person/alan-chettiar,,,"Toronto, Ontario, Canada","As a Senior Portfolio Manager and a member of the executive team at BEST Funds, Mr. Chettiar is principally involved in transactions, managi...",Investment Partner,,,1,,,,,,,"182,402"
Kishan Sonthalia,https://www.crunchbase.com/person/kishan-sonthalia-5b1b,,,,Kishan Sonthalia,,Early Stage Venture,,,,,,,,,"182,401"
Curtis Urbanowicz,https://www.crunchbase.com/person/curtis-urbanowicz,,,"United Kingdom, Europe",Curtis Urbanowicz is an Investor at Makers Fund.,Investment Partner,,,2,,,,,,,"182,400"
Zhejiang Lingchuang Investment Management,https://www.crunchbase.com/organization/zhejiang-lingchuang-investment-management,2,,"Hangzhou, Zhejiang, China","Zhejiang Lingchuang Investment Management is engaged in industrial investment, investment management, and corporate management consulting.",,,2,,,,,,,,"182,403"
Enes Molu,https://www.crunchbase.com/person/enes-molu,1,,,Enes Molu is a partner/investor at Appsilon Enterprise.,Individual/Angel,,1,,,,,,,,"182,404"
"Zhejiang Feihong Jituan Co., Ltd",https://www.crunchbase.com/organization/zhejiang-feihong-jituan-co-ltd,1,1,"Fuyang, Zhejiang, China","Zhejiang Feihong Jituan Co., Ltd is a communication product manufacturing company.",,,1,,,,1,,,,"182,405"
Ningbo Kunlun Dianjin Equity Investment,https://www.crunchbase.com/organization/ningbo-kunlun-dianjin-equity-investment,1,,"Ningbo, Zhejiang, China",Ningbo Kunlun Dianjin Equity Investment is mainly engaged in equity investment and related consulting services.,,,1,,1,,,,,,"182,406"
Cassandra Ong,https://www.crunchbase.com/person/cassandra-ong,,,"Singapore, Asia","Entrepreneur, Passionate about helping startups grow",,,,,,,,,,,"182,407"
Steven J. Graubart,https://www.crunchbase.com/person/steven-j-graubart,,,"Houston, Texas, United States","Steven Graubart is the CEO of Community Hospital Partners, LLC. Took up Masters in Business Administration in Finance at Northwestern Univer...",,,,,,,,,,,"182,408"
Geeya Technology,https://www.crunchbase.com/organization/geeya-technology,2,,"Chengdu, Sichuan, China","Geeya Technology engaged in the research, development, production and distribution of software and hardware for digital television systems.",,,2,,,,,,,,"182,409"
Shekhar Khanolkar,https://www.crunchbase.com/person/shekhar-khanolkar,1,,,Shekhar Khanolkar,Individual/Angel,,1,,,,,,,,"182,410"
Moovjee Angels,https://www.crunchbase.com/organization/moovjee-angels,1,,,Moovjee Business angels network,,,1,,,,,,,,"182,411"
Lettie Pate Evans Foundation,https://www.crunchbase.com/organization/lettie-pate-evans-foundation,1,,"Atlanta, Georgia, United States",Lettie Pate Evans Foundation is an independent private foundation that invests primarily in education and arts and culture.,,,1,,1,,,,,,"182,413"
Daniel Rodriguez,https://www.crunchbase.com/person/daniel-rodriguez-6,1,,"Miami, Florida, United States",Daniel Rodriguez is the Co-Founder of BILLSHARK. He previously worked at Animusoft and attended Florida International University.,"Investment Partner, Individual/Angel",Seed,1,1,,,,,,,"182,414"
Supavat Cholvanich,https://www.crunchbase.com/person/supavat-cholvanich,1,,,Supavat Cholvanich,"Investment Partner, Individual/Angel",,1,1,,,,,,,"182,415"
Sanjay Baldwa,https://www.crunchbase.com/person/sanjay-baldwa,1,,,Sanjay Baldwa,Individual/Angel,,1,,,,,,,,"182,417"
Gurpreet Singh,https://www.crunchbase.com/person/gurpreet-singh-11,,,"Beijing, Beijing, China",Gurpreet Singh is a Co-Founder at GWC Inc. He attended INSEAD.,Investment Partner,Seed,,2,,,,,,,"182,417"
Capital Emprendedor,https://www.crunchbase.com/organization/capital-emprendedor,1,,"Houston, Texas, United States","Marcos Daniel is founder of Capital Emprendedor,He helps to managers and entrepreneurs to achieve their goals and grow their companies.",,,1,,1,,,,,,"182,419"
Manthan Capital,https://www.crunchbase.com/organization/manthan-capital-2,,,"London, England, United Kingdom","Early stage investor and fundraiser for ventures in financial services, and technology.",Investment Bank,,,,,,,,,,"182,418"
Alex Davies,https://www.crunchbase.com/person/alex-davies-659e,,,"Bristol, Bristol, City of, United Kingdom",Alex Davies,Investment Partner,,,8,,,,,,,"182,419"
MDS Ventures Pacific,https://www.crunchbase.com/organization/mds-ventures-pacific,1,,,MDS Ventures Pacific is an investment firm.,,,1,,1,,,,,,"182,420"
Elias Abboud,https://www.crunchbase.com/person/elias-abboud-7145,1,,,Elias Abboud,Individual/Angel,Seed,1,,,,,,,,"182,421"
Abloom Courtyard,https://www.crunchbase.com/organization/abloom-courtyard,1,1,"Shenzhen, Guangdong, China",Abloom Courtyard is a comprehensive enterprise.,,,1,,,,1,,,,"182,422"
Suzhou Botao Chuang tou,https://www.crunchbase.com/organization/suzhou-botao-chuang-tou,1,,"Suzhou, Jiangsu, China",Suzhou Botao Chuang tou engaged in investment management.,,,1,,,,,,,,"182,423"
