Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Andrew Stokes,https://www.crunchbase.com/person/andrew-stokes-3755,,,"Denver, Colorado, United States","Andrew Stokes is an American software engineer, most notable for his research in anomalous network detection, particularly in the machine le...",,,,,,,,,,,"180,600"
Abigail Ruth Freeman,https://www.crunchbase.com/person/abigail-ruth-freeman,,,"Ireland, Europe",Abigail Ruth Freeman,Investment Partner,,,2,,,,,,,"180,601"
Buy Verified Payoneer Accounts,https://www.crunchbase.com/person/buy-verified-payoneer-accounts-f077,,,"United States, North America",Email: Trustsmmcenter@gmail.com Telegram: @Trustsmmcenter Skype: Trustsmmcenter,,,,,,,,,,,"180,602"
Mark Quick,https://www.crunchbase.com/person/mark-quick-2,,,"Jordbro, Stockholms Lan, Sweden",Mark Quick is an Executive Vice President of Corporate Development at Recipharm AB since February  2010. Prior to his current role Mark was ...,Investment Partner,,,1,,,,,,,"180,603"
Simone Lode,https://www.crunchbase.com/person/simone-lode,,,"Hamburg, Hamburg, Germany",Simone Lode,,,,,,,,,,,"180,604"
Richard L. Jackson,https://www.crunchbase.com/person/richard-l-jackson,1,,,"Rick Jackson is founder, chairman and chief executive officer of Jackson Healthcare. The organization he launched in 2000 has steadily expan...",Individual/Angel,,1,,,,,,,,"180,606"
Mulberry Silks,https://www.crunchbase.com/organization/mulberry-silks,1,,"Bangalore, Karnataka, India",Mulberry Silks is a manufacturer and exporter of premium home furnishing textiles.,,,1,,,,,,,,"180,607"
Neeraj Mohan,https://www.crunchbase.com/person/neeraj-mohan-a4b6,1,,"Delhi, Delhi, India",Neeraj Mohan is a Managing Director & CEO at IARC.,Individual/Angel,,1,,,,,,,,"180,608"
Sadot Research and Development,https://www.crunchbase.com/organization/sadot-research-and-development,5,3,"Tel Aviv, Tel Aviv, Israel","Sadot Research and Development Fund Ltd is a principal investment firm specializing in seed stage, early stage, and buyouts.",,,3,,,,3,,,,"180,609"
Servisen Holding,https://www.crunchbase.com/organization/servisen-holding,1,,"Stockholm, Stockholms Lan, Sweden","Servisen Holding is an investment firm based in Stockholm, Sweden.",Venture Capital,Late Stage Venture,1,,,,,,,,"180,611"
Startup Bang Bang,https://www.crunchbase.com/organization/startup-bang-bang,,,"Barcelona, Catalonia, Spain",The objective of this intensive program is to give tools to reduce the risk of launching your idea and get market traction.,Venture Capital,,,,,,,,,,"180,610"
Coworking-Space 42 GRAMM,https://www.crunchbase.com/organization/coworking-space-c42-42-gramm,,,"Graz, Steiermark, Austria",Coworking-Space 42 GRAMM is a flexible and equipped workplace solution provider.,Co-Working Space,,,,,,,,,,"180,612"
Sam Valenti IV,https://www.crunchbase.com/person/sam-valenti-iv,,,"New York, New York, United States",Sam Valenti is the Co-Founder at DRIP and Co-founder at V5 Partners.,,,,,,,,,,,"180,613"
Tim Bartholow,https://www.crunchbase.com/person/tim-bartholow,,,"Madison, Wisconsin, United States",Tim Bartholow,Investment Partner,,,2,,,,,,,"180,614"
Satvik Bhanot,https://www.crunchbase.com/person/satvik-bhanot,,,"Bangalore, Karnataka, India","Satvik Bhanot is an Investment Analyst at Quona Capital. Prior to that, he was an Analyst of Huddle.Incubation. He graduated from Delhi Univ...",,,,,,,,,,,"180,615"
Giovanna Lombardi,https://www.crunchbase.com/person/giovanna-lombardi,,,,"Professor Lombardi is a Professor of Human Transplant Immunology in the MRC Centre for Transplantation, Peter Gorer Department of Immunology...",,,,,,,,,,,"180,601"
Vertical Engine,https://www.crunchbase.com/organization/vertical-engine,,,"Tel Aviv, Tel Aviv, Israel",Vertical Engine is a TLV based program where academia and industry leaders come together to build the next game changer together with you.,Accelerator,,,,,,,,,,"180,616"
Rodrigo Zerlotti,https://www.crunchbase.com/person/rodrigo-zerlotti,,,"Florianópolis, Santa Catarina, Brazil",Rodrigo Zerlotti is the current CEO of Plooral Brasil. He previously worked at Enlizt as a Co-Founder. Rodrigo Zerlotti attended Instituto T...,,Seed,,,,,,,,,"180,604"
Nicole Debson,https://www.crunchbase.com/person/nicole-debson,,,,Nicole Debson is the Founding Director and Lead Recruiter at ABL Recruitment. Nicole Debson attended The London School of Economics and Poli...,,,,,,,,,,,"180,605"
Hans-Michael Hauser,https://www.crunchbase.com/person/hans-michael-hauser,2,,,Hans-Michael Hauser is the former partner at BCG.,Individual/Angel,,2,,,,,,,,"180,617"
TigerBuyingGroup,https://www.crunchbase.com/organization/tigerbuyinggroup,1,,,Family Investment Firm,Family Investment Office,Early Stage Venture,1,,,,,,,,"180,618"
Jinyang Chuangtou,https://www.crunchbase.com/organization/jinyang-chuangtou,3,3,"Shanghai, Shanghai, China",Jinyang Chuangtou is an investment firm.,,,3,,,,3,,,,"180,619"
John Coleman,https://www.crunchbase.com/person/john-coleman-51a4,,,"London, England, United Kingdom","John Coleman has 15 years of experience acting as a non-executive director on the boards of various companies in different sectors, includin...",,,,,,,,,,,"180,606"
Nicolas Bouchard,https://www.crunchbase.com/person/nicolas-bouchard,1,,"Quebec, Quebec, Canada",Nicolas Bouchard,Individual/Angel,Early Stage Venture,1,,,,,,,,"180,621"
Jon Beizer,https://www.crunchbase.com/person/jon-beizer,,,"San Francisco, California, United States",Jon Beizer - Venture Partner @ Western Technology Investment,Investment Partner,,,2,,,,,,,"180,620"
Wisplus,https://www.crunchbase.com/organization/wisplus,,,,Wisplus is a team of developers specialized at solving real world problems,,,,,,,,,,,"180,622"
Michael Burcham,https://www.crunchbase.com/person/michael-burcham,1,,"Nashville, Tennessee, United States",Michael Burcham is the Executive Partner at Shore Capital Partners.,Individual/Angel,Seed,1,,,,,,,,"180,623"
Helen Steers,https://www.crunchbase.com/person/helen-steers,,,"London, England, United Kingdom",Helen leads Pantheon’s European primary investment activity and chairs the European Investment Committee. She is also a member of the Intern...,,,,,,,,,,,"180,625"
Minco Silver,https://www.crunchbase.com/organization/minco-silver-corporation-0949,1,1,"Vancouver, British Columbia, Canada",Minco Silver is a silver mining company focused on the acquisition and development of high quality silver properties.,,,1,,1,,1,,,,"180,626"
Grigoriy Boudnik,https://www.crunchbase.com/person/grigoriy-boudnik,,,"Riga, Riga, Latvia",Grigoriy is a Partner at Cabra.vc with more than 14 years of work experience in international relations including large business and governm...,,,,,,,,,,,"180,627"
