Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
CKing Home-Key Investment Group,https://www.crunchbase.com/organization/cking-home-key-investment-group,1,1,"Beijing, Beijing, China",CKing Home-Key Investment Group is a diversified business enterprise group.,Private Equity Firm,,1,,,,1,,,,"152,401"
Narendra Bhandari,https://www.crunchbase.com/person/narendra-bhandari,,,,Narendra Bhandari is a general partner at SeaFund,Investment Partner,,,5,,,,,,,"152,404"
Lida Automation Technology,https://www.crunchbase.com/organization/lida-automation-technology,1,,"Jinshan, Shanghai, China","Lida Automation Technology specializes in IT solutions and provides software development, technical assistance, and consulting services.",,,1,,,,,,,,"152,413"
Saltwater Fund,https://www.crunchbase.com/organization/saltwater-fund,,,,A Liquid Evergreen Private-Public Investment Fund,,"Early Stage Venture, Late Stage Venture, Post-Ipo, Secondary Market, Seed, Venture",,,,,,,,,"152,416"
Richard Seibt,https://www.crunchbase.com/person/richard-seibt,,,"Nürnberg, Bayern, Germany",Richard Seibt - Venture Partner @ eCAPITAL ENTREPRENEURIAL PARTNERS,,,,,,,,,,,"152,422"
Emanuel Andjelic,https://www.crunchbase.com/person/emanuel-andjelic,1,,"London, England, United Kingdom","Emanuel graduated from Cambridge in 2002. Since then he has co-founded a temporary worker agency and IT services company, growing the compan...",Individual/Angel,Seed,1,,,,,,,,"152,433"
BJ Kerr,https://www.crunchbase.com/person/bj-kerr,,,,BJ Kerr is a CEO at Kerr Industries.,,,,,,,,,,,"152,436"
JNKS Investments,https://www.crunchbase.com/organization/jnks-investments,1,,,JNKS Investments,,,1,,,,,,,,"152,441"
Silver Group,https://www.crunchbase.com/organization/silver-group-6f9f,1,,,Silver Group,,,1,,1,,,,,,"152,400"
SBI & TH Venture Capital Enterprise,https://www.crunchbase.com/organization/th-venture-capital-enterprise,1,,"Haidian, Beijing, China",SBI & TH Venture Capital Enterprise is a financial organization.,Venture Capital,Early Stage Venture,1,,1,,,,,,"152,401"
Andreas Gal,https://www.crunchbase.com/person/andreas-gal,,,"San Mateo, California, United States",Andreas Gal is a Home product at Apple. He attended UC Irvine.,,,,,,,,,,,"152,445"
Andrea S.Viejo,https://www.crunchbase.com/person/andrea-s-viejo,1,,"New York, New York, United States",Andrea S. Viejo is a General Manager of Laika Mexico.,Individual/Angel,,1,,1,,,,,,"152,402"
Anne-Marie Rakhorst,https://www.crunchbase.com/person/anne-marie-rakhorst,1,1,"Netherlands, Missouri, United States",Anne-Marie Rakhorst,Individual/Angel,,1,,,,1,,,,"152,446"
Peter Murane,https://www.crunchbase.com/person/peter-murane,1,,"Denver, Colorado, United States",Peter Murane is the Founder of Brand VO2. He previously worked at Sterling-Rice Group as a Manager. Peter Murane attended Dartmouth College.,Individual/Angel,,1,,,,,,,,"152,403"
Emmanuel,https://www.crunchbase.com/organization/emmanuel,,,,An agribusiness investment to meet world demand,,,,,,,,,,,"152,450"
MWW Ventures,https://www.crunchbase.com/organization/mww-ventures,1,,"New York, New York, United States","MWW Ventures is a venture capital arm of The MWW Group, Inc. specializing in making incubation and startup stage investments. The firm",Venture Capital,,1,,,,,,,,"152,453"
Jose Sud,https://www.crunchbase.com/person/jose-sud,2,1,"Madrid, Madrid, Spain",Jose Antonio Sud Román is the CEO at TJC Design. Jose Antonio Sud Román attended Northumbria University.,Individual/Angel,Seed,1,,,,1,,,,"152,452"
BAUM PARTNERS,https://www.crunchbase.com/organization/baum-partners,,,"San Sebastian, Pais Vasco, Spain",BAUM Partners is a Spanish firm that provides legal advice to medium and large companies.,Private Equity Firm,,,,,,,,,,"152,404"
Reinhard Vogt,https://www.crunchbase.com/person/reinhard-vogt,,,"Göttingen, Niedersachsen, Germany",Reinhard Vogt is the Managing Director at Dynamk Capital.,Investment Partner,,,2,,,,,,,"152,405"
Michelle Domanico,https://www.crunchbase.com/person/michelle-domanico,,,"San Francisco, California, United States",Michelle Domanico is the Chief Operating Officer at Modern Executive Solutions. Michelle attended The Wharton School.,,,,,,,,,,,"152,406"
Amir Preindl,https://www.crunchbase.com/person/amir-preindl,1,,"Germany, Europe",Amir Preindl,Individual/Angel,,1,,,,,,,,"152,455"
Bohai Zhongsheng,https://www.crunchbase.com/organization/bohai-zhongsheng,5,1,"Wuchang, Hubei, China",Bohai Zhongsheng is an investment firm.,,,5,,1,,1,,,,"152,408"
Ellen Koebler,https://www.crunchbase.com/person/ellen-koebler,,,"Atlanta, Georgia, United States",Ellen Koebler is the Chief Risk Officer Commercial Banking at Wells Fargo. Ellen Koebler attended Northwestern University - Kellogg School o...,,,,,,,,,,,"152,409"
Tianjin Kairuikang Enterprise Management Consulting,https://www.crunchbase.com/organization/tianjin-kairuikang-enterprise-management-consulting,1,,,Tianjin Kairuikang Enterprise Management Consulting is engaged in corporate management consulting services.,,,1,,,,,,,,"152,459"
Innovative Digital Investors,https://www.crunchbase.com/organization/innovative-digital-investors,1,,"Las Vegas, Nevada, United States","Innovative Digital Investors, L.L.C. is focused on making pre-IPO investments in companies involved in emerging technologies.",Venture Capital,Seed,1,,1,,,,,,"152,460"
Osama nabil Ali,https://www.crunchbase.com/person/osama-nabil-ali,,,"Cairo, Al Qahirah, Egypt",Osama Nabil Ali was the CTO and Co-founder at Travelyalla.com. He attended Ain Shams University.,,,,,,,,,,,"152,410"
Venturelab,https://www.crunchbase.com/organization/venturelab,1,,"Leeds, Leeds, United Kingdom",UK mentor led startup accelerator,Accelerator,,1,,,,,,,,"152,463"
Tengro Ventures,https://www.crunchbase.com/organization/tengro-ventures,1,,,Tengro Ventures is a venture capital firm.,Venture Capital,Early Stage Venture,1,,1,,,,,,"152,464"
Marc Lohrmann,https://www.crunchbase.com/person/marc-lohrmann,,,"Munich, Bayern, Germany",Marc Lohrmann has joined Vesalius Biocapital in January 2012 as a venture partner in the Munich office. He has 13 years experience in the li...,Investment Partner,,,4,,,,,,,"152,413"
Aaron Lewis,https://www.crunchbase.com/person/aaron-lewis-ee4b,1,,"San Jose, California, United States",Aaron Lewis,Individual/Angel,,1,,,,,,,,"152,414"
Lixin Li,https://www.crunchbase.com/person/lixin-li,,,"Shenzhen, Guangdong, China","Lixin joined NLVC in 2009 with more than 20 years’ experience in operations, corporate management, startup ventures and investing. Lixin has...",Investment Partner,,,2,,,,,,,"152,415"
Marc Nager,https://www.crunchbase.com/person/marc-nager,,,"Ridgway, Colorado, United States",Marc Nager is a Partner at Greater Colorado Venture Fund. He attended Chapman University.,,Early Stage Venture,,,,,,,,,"152,416"
Norman Pozez,https://www.crunchbase.com/person/norm-pozez,3,,,Norman Pozez - CEO @ Ridemakerz,Individual/Angel,Seed,1,,,,,,,,"152,417"
Zeyu Capital,https://www.crunchbase.com/organization/zeyu-capital,2,,"Guiyang, Guizhou, China",It is a professional equity investment fund management company.,Private Equity Firm,,2,,,,,,,,"152,418"
Beeleev,https://www.crunchbase.com/organization/beeleev,,,"New York, New York, United States",Beeleev is a co-acceleration network of selected entrepreneurs that wish to mutually collaborate to realize their international business.,Accelerator,,,,,,,,,,"152,419"
Amr ElGabry,https://www.crunchbase.com/person/amr-elgabry,1,,,Driving growth and monetization for online marketplaces. Angel investor and an advisor for e-commerce and tech startups in the Middle East.,Individual/Angel,Seed,1,,,,,,,,"152,420"
