Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
TandemAI,https://www.crunchbase.com/organization/tandemai,"Biotechnology, Medical","Shanghai, Shanghai, China",TandemAI is an advanced technology company dedicated to reinventing drug discovery infrastructure.,"16,029",$10M to $50M,Active,2021-01-01,year,,,,,For Profit,https://www.tandemai.com/,"TandemAI is an advanced technology company dedicated to reinventing drug discovery infrastructure. The company integrates proprietary AI-driven, high-performance computation with its efficient, large-scale in-house wet lab operations to deliver a turnkey drug discovery solution.",Early Stage Venture,60000000,USD,60000000
SanReno Therapeutics,https://www.crunchbase.com/organization/sanreno-therapeutics,"Biotechnology, Health Care, Therapeutics","Beijing, Beijing, China","SanReno Therapeutics develop, manufacture and commercialize kidney disease therapies.","17,611",,Active,2020-01-01,year,2024-01-05,day,,,For Profit,https://sanreno.com/,"SanReno Therapeutics develop, manufacture and commercialize kidney disease therapies in the People’s Republic of China, Hong Kong, Macau, Taiwan and Singapore (the “Territory”). SanReno Therapeutics formed with JV of Chinook Therapeutics and Frazier Healthcare Partners and Pivotal bioVenture Partners China.",M&A,40000000,USD,40000000
Medilink Therapeutics,https://www.crunchbase.com/organization/medilink-therapeutics,"Biotechnology, Genetics, Therapeutics","Suzhou, Jiangsu, China",Medilink Therapeutics is a biotech company focusing on next-generation antibody-drug conjugate Research & development.,"18,568",$10M to $50M,Active,2020-01-01,year,,,,,For Profit,https://www.medilinkthera.com,"MediLink Therapeutics has established its R&D center in Suzhou, China. The company focuses on developing next generation drug conjugates, and aims to serve the vast unmet medical needs in China, and create global value through conducting multicenter clinical trials and cross-border collaborations.",Early Stage Venture,120000000,USD,120000000
CellX,https://www.crunchbase.com/organization/cellx,"Agriculture, Alternative Protein, Biotechnology, Food and Beverage","Shanghai, Shanghai, China",CellX is a cell culture meat technology and product development company that brings alternative protein products to consumers.,"19,566",$1M to $10M,Active,2020-01-01,year,,,,,For Profit,http://cellx.co/,"CellX is a cellular agriculture start-up company with the mission of making locally produced meat accessible to consumers worldwide. They offer an animal protein supply that is sustainable, promotes greater health for all people, and improves animal welfare. With a multi-species approach, it engages in the development of key platform technologies, and it has now entered the next stage of development, scaling up, and expenses.",Early Stage Venture,26317500,USD,26317500
MindRank AI,https://www.crunchbase.com/organization/mindrank-ai,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical, Precision Medicine","Shanghai, Shanghai, China",MindRank is a clinical stage AI-powered drug discovery company.,"21,911",$1M to $10M,Active,2020-12-23,day,,,,,For Profit,https://www.mindrank.ai,"MindRank is an artificial intelligence (AI)-empowered drug discovery company. By leveraging its proprietary AI platforms (PharmKG, Molecule Dance and Molecule Pro), the company aims to significantly accelerate the drug discovery process and deliver small molecule medicines with differentiations and clinical benefits.",Early Stage Venture,49000000,USD,49000000
Next Generation Gene Therapeutics,https://www.crunchbase.com/organization/next-generation-gene-therapeutics,"Biotechnology, Genetics, Health Care, Medical, Therapeutics","Suzhou, Jiangsu, China",Next Generation Gene Therapeutics is a healthcare company that engages in the research and development of gene therapy.,"24,059",,Active,2020-03-01,month,,,,,For Profit,,"Next Generation Gene Therapeutics is a healthcare company that engages in the research and development of gene therapy. Its unique propriety technology of ""one target and two bullets"" can provide effective treatment for a variety of genetic diseases that currently have few therapeutic methods in the world. NGGT was founded in March 2020 by senior scientists and entrepreneurs in the field of gene therapy. It is committed to becoming the world's leading gene therapy company with international influence. The company has successful experience in the whole industry chain, concerning the early development of gene therapy products, the large-scale production of viral vectors, the construction of quality standards, international multi-center clinical research, and the application for the marketing of gene therapy products.",Early Stage Venture,70000000,USD,70000000
Enchannel,https://www.crunchbase.com/organization/enchannel,"Biotechnology, Medical, Therapeutics","Huangpu, Guangdong, China",Enchannel Medical is a global innovation platform that provides a one-stop atrial fibrillation treatment solutions.,"24,572",,Active,2020-01-01,year,,,,,For Profit,https://www.enchannel.com/,"Enchannel Medical is a global innovation platform that focuses on electrophysiology and provides atrial fibrillation treatment solution around ""3D mapping + PFA ablation"".",Early Stage Venture,200000000,CNY,27864855
Xunyao Biotechnology,https://www.crunchbase.com/organization/xunyao-biotechnology,"Biotechnology, Hospital, Medical, Wellness","Shanghai, Shanghai, China",Xunyao Biotech is a cutting-edge medication development company focused on coagulation and fibrosis.,"24,856",,Active,2021-01-01,year,,,,,For Profit,,Xunyao Biotech is a cutting-edge medication development company focused on coagulation and fibrosis. Xunyao Biotech specializes on the research and development of novel pharmaceuticals in the disciplines of coagulation and fibrosis.,Early Stage Venture,200000000,CNY,28053639
Magair Chemical,https://www.crunchbase.com/organization/magair-chemical,"Biotechnology, Life Science, Pharmaceutical","Shanghai, Shanghai, China",Magair Chemical is a chemical synthesis CRO that was founded by Magera Technology.,"25,270",,Active,2022-01-01,year,,,,,For Profit,,"Magair Chemical is a chemical synthesis CRO that was founded by Magera Technology. It is committed to using automated and intelligent platforms to provide new drug R&D customers with a new generation of chemical synthesis CRO services, significantly shortening the delivery of chemical synthesis links in the new drug R&D cycle, and significantly reducing the costs associated with chemical synthesis, removing pharmaceutical synthesis's current reliance on manual operations.",Early Stage Venture,26000000,USD,26000000
PhaBuilder,https://www.crunchbase.com/organization/phabuilder,"Biotechnology, Genetics, Manufacturing","Beijing, Beijing, China",PhaBuilder is a biotechnology company that transforms genetic programs in nature to create new chemical molecules and materials.,"26,242",,Active,2021-02-01,month,,,,,For Profit,http://eng.phabuilder.com/,"PhaBuilder is a platform-based & product-based company with advanced technology in synthetic biology, focusing on the transformation and engineering application of halophilic microbes. PhaBuilder was founded in February 2021 by Professor Guoqiang Chen, director of the Center for Synthesis and Systems Biology at Tsinghua University. It mainly uses the cutting-edge ""Next Generation Industrial Biotechnology(NGIB)"" to develop and produce a variety of high-value-added products such as PHA - a biodegradable material, ectoine - a pharmaceutical intermediate, and cadaverine - a Nylon 56 precursor.  PhaBuilder currently has two PHA plants under construction - the synthetic biology intelligent development plant in Beijing China-Germany Industrial Park and the 10 kt/annum plant in Yichang, Hubei Province. It also plans to build up 3-5 large-scale production bases throughout China within five years.  At present, PhaBuilder has completed two rounds of financing, raising around 300 million yuan in total. The investors include Sequoia Capital, China State-owned Enterprise Mixed Ownership Reform Fund, and GRC SinoGreen Fund, etc.  In the future, PhaBuilder will constantly promote synthetic biotechnology to deeply integrate with people's lives and upgrade the intelligent biological manufacturing industry, in order to achieve PhaBuilder's core mission of ""Using microbes to change the world and build a green future"".",Early Stage Venture,754000000,CNY,113639196
