Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Evotec,https://www.crunchbase.com/organization/evotec-inc,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Hamburg, Hamburg, Germany",Evotec is a pharmaceutical and life science company that provides drug discovery and gene therapy solutions.,749,$100M to $500M,Active,1993-01-01,year,2021-11-04,day,,,For Profit,http://evotec.com,"Evotec is a drug discovery alliance and development partnership rapidly progressing innovative product approaches with pharmaceutical and biotechnology companies, academics, patient advocacy groups, and venture capitalists. Drug discovery solutions are provided in the form of fee-for-service work, integrated drug discovery alliances, development partnerships, licencing of innovative drug candidates, and consulting arrangements.",IPO,744236691,USD,744236691
MorphoSys,https://www.crunchbase.com/organization/morphosys,"Biotechnology, Health Care, Health Diagnostics, Medical","Planegg, Bayern, Germany",MorphoSys is a biotechnology company focused on the research and development of fully human antibodies.,"1,802",$50M to $100M,Active,1992-01-01,year,2018-04-18,day,,,For Profit,http://www.morphosys.com,"MorphoSys AG is a biotechnology companies focusing on fully human antibodies. With its unique technologies, MorphoSys is developing the next generation of antibodies, which can be used to treat diseases and for research and diagnostics purposes. Numerous partnerships have already been entered into with well-known companies from the pharmaceutical and biotechnology sectors, such as Boehringer Ingelheim, Daiichi Sankyo, Merck & Co, Novartis, Pfizer, and Roche.",IPO,748107344,USD,748107344
TME Pharma,https://www.crunchbase.com/organization/noxxon-pharma,"Biotechnology, Health Care, Pharmaceutical","Berlin, Berlin, Germany",TME Pharma develops biostable aptamers and substances based on mirror image nucleic acids.,"19,255",Less than $1M,Active,1998-01-01,year,2016-10-07,day,,,For Profit,https://www.tmepharma.com/,"TME Pharma is a biopharmaceutical company, develops biostable aptamers and substances based on mirror image nucleic acids. Its Spiegelmer is a mirror image oligonucleotide therapeutic for the pharmacologically relevant target. The company has a strategic alliance with Pfizer, Inc. NOXXON Pharma AG was founded in 1997 and is based in Berlin, Germany.",IPO,136380000,EUR,160377082
LTS Lohmann Therapie-Systeme AG,https://www.crunchbase.com/organization/lts-lohmann-therapie-systeme-ag,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","Andernach, Rheinland-Pfalz, Germany",LTS Lohmann Therapie-Systeme AG is the market leader in trans dermal therapeutic systems and oral drug films.,"24,689",$100M to $500M,Active,1984-01-01,year,2014-07-17,day,,,For Profit,http://www.ltslohmann.de,"LTS is a leading pharmaceutical technology company that develops and manufactures innovative drug delivery systems such as Transdermal Patches (""TTS""​) and Oral Thin Films (""OTF""​) for the pharmaceutical industry. While we continuously refine our TTS and OTF technologies further, we also research complementary Micro Array Patches for the transdermal delivery of large molecule, biological actives. Incorporated in 1984, we operate today from two sites in Andernach, Germany and West Caldwell/NJ, USA, plus representative office in Shanghai/China.",M&A,5500000,USD,5500000
Vivoryon Therapeutics,https://www.crunchbase.com/organization/probiodrug,"Biopharma, Biotechnology, Health Care, Therapeutics","Halle An Der Saale, Sachsen-Anhalt, Germany",Vivoryon is a clinical stage company focused on bringing first-in-class therapies to patients suffering from age-related diseases.,"34,358",$1M to $10M,Active,1997-01-01,year,2014-10-24,day,,,For Profit,https://www.vivoryon.com,"Vivoryon Therapeutics is a Germany based biopharmaceutical company engaged in the activities of research and development, preclinical and clinical trials. It is focused on the development of therapeutic products for the treatment of Alzheimer's disease and cancer. The company's pipeline products includes PQ912, PQ1565 and PQ-family.",IPO,188919767,USD,188919767
Eleva,https://www.crunchbase.com/organization/eleva,"Biopharma, Biotechnology, Therapeutics","Freiburg, Baden-Wurttemberg, Germany",Eleva develops novel biological therapies.,"41,215",,Active,1999-01-01,year,,,,,For Profit,https://www.elevabiologics.com/,"Eleva develops novel biological therapies with its pharmaceutical partners. The privately-held company leverages its unique moss-based production platform to produce supreme biologics like antibodies, replacement enzymes, or fusion toxins. Eleva has successfully developed drug candidates into clinical phases.",,60000000,EUR,74030661
MediGene,https://www.crunchbase.com/organization/medigene,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Martinsried, Bayern, Germany",MediGene is a company that specializes in biotechnology specifically in the treatment of cancer.,"45,341",$10M to $50M,Active,1994-01-01,year,2000-06-30,day,,,For Profit,http://www.medigene.com,MediGene is a company that specializes in biotechnology specifically in the treatment of cancer.,IPO,26000000,EUR,29379427
SynBiotic,https://www.crunchbase.com/organization/synbiotic,"Biotechnology, Cannabis, Wellness","München, Bayern, Germany",SynBiotic is a cannabinoid company.,"49,017",,Active,1982-01-01,year,2021-01-06,day,,,For Profit,https://www.synbiotic.com,"SynBiotic unlocks the power of cannabinoids to heal various diseases. They are consolidating the muscular player under one roof to make cannabinoids accessible. They treat chronic pain, stress, and sleep issues that affect health and well-being.",IPO,5492607,EUR,5718156
4SC,https://www.crunchbase.com/organization/4sc,"Biopharma, Biotechnology, Therapeutics","Planegg, Bayern, Germany","4SC discovers and develops targeted, small-molecule drugs for the treatment of cancer and autoimmune diseases.","50,249",$1M to $10M,Active,1997-01-01,year,2011-01-14,day,,,For Profit,http://www.4sc.de/,"4SC discovers and develops targeted, small-molecule drugs for the treatment of cancer and autoimmune diseases in indications with high unmet medical needs. These drugs are intended to provide innovative treatment options that are more tolerable and efficacious, and provide a better quality of life.",IPO,94700000,EUR,101100387
Heidelberg Pharma,https://www.crunchbase.com/organization/heidelberg-pharma-ag,"Biotechnology, Health Care, Pharmaceutical","Ladenburg, Baden-Wurttemberg, Germany",Heidelberg Pharma GmbH is a company providing pre-clinical drug discovery and development services.,"54,737",$1M to $10M,Active,1999-01-01,year,2006-11-17,day,,,For Profit,http://www.heidelberg-pharma.com,"Heidelberg Pharma GmbH, a drug development company, provides pre-clinical drug discovery and development services for the development of anti-cancer and anti-inflammatory drugs to pharmaceutical and biotechnology industries. It offers services, such as explorative pharmacology, drug metabolism and pharmacokinetics analysis, and molecular biology in the fields of oncology or inflammatory/autoimmune diseases.",M&A,306096530,USD,306096530
Rentschler Biopharma SE,https://www.crunchbase.com/organization/rentschler-biopharma-se,"Biopharma, Biotechnology, Manufacturing","Laupheim, Baden-Wurttemberg, Germany",Rentschler Biopharma SE is a global full-service contract manufacturer with more than 35 years of experience.,"55,871",Less than $1M,Active,1974-01-01,year,,,,,For Profit,https://www.rentschler-biopharma.com,"What unites us at Rentschler, is the passion for what they do. As a full-service CDMO they are your outsourcing partner for the bioprocess development, cGMP manufacturing and aseptic filling of biopharmaceuticals as well as for the elaboration of approval strategies for your products. Thanks to their many years of experience, the quality of their consulting services, and their expertise in finding solutions, they are among the top suppliers in their field. Founded in 1927, Rentschler is a privately owned and independent company. Their company structure guarantees rapid decision-making and efficient, smooth-running processes, and consequently keeping project timelines. Already in the early beginnings of biotechnology, Rentschler has built up a reputation with the development of different Interferon products (Fiblaferon, Polyferon).  Nowadays, their attention is firmly focused on your products. For the success of your project they can refer to their experience in various molecules like antibodies, fusion proteins or enzymes. Thanks to their focus on innovations, they are always on the cutting edge of technologies.",Early Stage Venture,1600000,USD,1600000
Epigenomics,https://www.crunchbase.com/organization/epigenomics-ag,"Biotechnology, Health Diagnostics, Manufacturing","Berlin, Berlin, Germany",Epigenomics is a molecular diagnostics company developing and manufacturing a pipeline of products for the diagnosis of cancer.,"60,590",$1M to $10M,Active,1998-01-01,year,2004-07-21,day,,,For Profit,http://epigenomics.com,"Epigenomics is a molecular diagnostics company focusing on the development and commercialization of in vitro diagnostic tests for cancer.  Its cancer diagnostic tests aim at finding cancer at early stages before symptoms occur and are carried out conveniently on body fluids such as blood plasma. These tests potentially address millions of individuals in each of the major markets such as the United States, Europe, and Japan and provide product opportunities each with peak sales potentials of several hundred millions of euros for diagnostics companies worldwide. Its lead test development program is in colorectal cancer. Further test are in development for lung and prostate cancer. Each of its products in development addresses either mass markets or high-value niches. While some of them lend themselves to partnering with established diagnostics industry players, others can be commercialized effectively by Epigenomics itself.  The concept of its diagnostic tests in development relies on detecting differences in DNA methylation patterns between healthy and sick individuals or between subgroups of patients for disease classification.",M&A,105835444,USD,105835444
Definiens,https://www.crunchbase.com/organization/definiens,"Analytics, Biotechnology, Data Mining, Health Care, Health Diagnostics, Image Recognition","Munich, Bayern, Germany",Definiens provides image analysis and data mining solutions for quantitative digital pathology in the healthcare industries.,"78,840",$50M to $100M,Closed,1994-01-01,year,2014-11-04,day,,none,For Profit,http://www.definiens.com,"Definiens is the provider of image analysis and data mining solutions for quantitative digital pathology in the life sciences, diagnostic biomarkers and healthcare industries.  Definiens software provides detailed readouts from whole tissue slides, cell-based assays and full body scans and allows correlating this information with data derived from other sources. By automating analysis workflows, Definiens helps pharmaceutical and biotechnology companies, research institutions, clinical service organizations and pathologists to generate new knowledge and supports better decisions in research, diagnostics and therapy. Definiens’ vision is to open new fields of research, to contribute to development of personalized medicine and to significantly improve the quality of patients’ lives.  Definiens is headquartered in Munich, Germany, and has offices throughout the United States.",M&A,25000000,EUR,33293022
Sandoz,https://www.crunchbase.com/organization/sandoz,"Biotechnology, Manufacturing, Pharmaceutical","Holzkirchen, Bayern, Germany",Sandoz is a supplier of off-patent medicines.,"88,181",,Active,1986-01-01,year,,,,,For Profit,https://www.sandoz.de,"Sandoz is a pharmaceutical company that develops, supplies, and markets pharmaceuticals, prescription drugs, biosimilars, generic antibiotics, dermatology, and transplantation products. It is a generic cardiovascular therapeutics, central nervous system therapeutics, pain relievers, and eye care products, as well as oncology, respiratory and hormone therapeutics, and off-patent medicines.",,,,
Elanix Biotechnologies,https://www.crunchbase.com/organization/elanix-biotechnologies,"Biotechnology, Health Care, Life Science","Berlin, Berlin, Germany",Elanix Biotechnologies is a life sciences company that specializes in tissue regeneration products.,"92,700",Less than $1M,Closed,1994-01-01,year,2011-01-28,day,,none,For Profit,https://elanixbiotechnologies.com,"Elanix Biotechnologies is a tissue regeneration company. We develop and commercialize products for acute wound care, dermatological and gynecological applications, as well as providing cell technology services. The company was founded in 2013 as a spin-out from the University Hospital of Lausanne (CHUV), Switzerland, to commercialize a patented progenitor cell technology. Progenitor cells are fully differentiated yet immunologically neutral cells that are very potent inducers of tissue growth and healing. Elanix owns GMP certified Master and Working cell banks containing vast quantities of cells. The Company is headquartered in Nyon, Switzerland with offices in Wiesbaden and listed on the Frankfurt stock exchange under the symbol ELN.",IPO,4000000,EUR,4693050
4Basebio,https://www.crunchbase.com/organization/4basebio,"Biotechnology, Health Care, Life Science, Therapeutics","Heidelberg, Baden-Wurttemberg, Germany","4Basebio focuses on life science technology, DNA manufacturing, and supply DNA products to serve the fast-growing gene therapy market.","100,595",Less than $1M,Active,1997-01-01,day,2019-10-04,day,,,For Profit,https://www.4basebio.com/,"4Basebio focuses on life science technology, DNA manufacturing, and supply DNA products to serve the fast-growing gene therapy market.",IPO,299200,EUR,328502
Vasopharm,https://www.crunchbase.com/organization/vasopharm,"Biotechnology, Medical, Therapeutics","Würzburg, Bayern, Germany",Vasopharm is focused on the R&D of novel therapeutics for the treatment of cerebro and cardiovascular diseases and their symptoms.,"104,802",,Active,1998-07-01,month,,,,,For Profit,http://vasopharm.com,"vasopharm is a biopharmaceutical company dedicated to the discovery and development of novel therapeutics for the treatment of cerebro- and cardiovascular diseases and their consequences. In this area, the company is focused on the development of therapeutics influencing the bioavailability of nitric oxide (NO), a cellular signalling molecule involved in many physiological and pathological processes. vasopharm’s drug candidate VAS203 is an allosteric NO synthase inhibitor and represents a completely new class of modulators of nitric oxide synthase (NOS) enzymes. It rapidly lowers excessive NO production in cerebral vessels and tissues, thereby preventing life-threatening increases in intracranial pressure and associated inflammatory processes following traumatic brain injury.",Private Equity,63230203,USD,63230203
