Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Fortis Healthcare,https://www.crunchbase.com/organization/fortis-healthcare,"Biotechnology, Health Care, Health Diagnostics, Hospital","Gurgaon, Haryana, India","Fortis Healthcare is a leading, pan Asia-Pacific, integrated healthcare delivery provider.","7,572",$500M to $1B,Closed,1996-01-01,year,2014-09-12,day,2014-09-12,day,For Profit,http://fortishealthcare.com,"Fortis Healthcare Limited is a leading, pan Asia-Pacific, integrated healthcare delivery provider. The healthcare verticals of the company span diagnostics, primary care, day care specialty and hospitals, with an asset base in 11 countries, many of which represent the fastest-growing healthcare delivery markets in the world. Currently, the company operates its healthcare delivery network in Australia, Canada, Dubai, Hong Kong, India, Mauritius, New Zealand, Singapore, Sri Lanka, Nepal and Vietnam with 76 hospitals, over 12,000 beds, over 600 primary care centres, 191 day care specialty centres, over 230 diagnostic centres and a talent pool of over 23,000 people. Fortis Healthcare is driven by the vision of becoming a global leader in the integrated healthcare delivery space and the larger purpose of saving and enriching lives through clinical excellence.",M&A,1500000000,INR,22922006
Biocon,https://www.crunchbase.com/organization/biocon,"Biopharma, Biotechnology, Health Care, Medical","Bangalore, Karnataka, India","Biocon is a healthcare and technology, company focused on biotechnology.","10,751",$100M to $500M,Active,1978-01-01,year,2004-04-23,day,,,For Profit,http://www.biocon.com,"Biocon is a fully integrated healthcare company that delivers innovative biopharmaceutical solutions. From discovery to development and commercialisation, Biocon has the defining science, cost-effective drug development capabilities and significant manufacturing capacity to move ideas to market.",M&A,10700000000,INR,129171612
Biocon Biologics,https://www.crunchbase.com/organization/biocon-biologics-india-ltd,Biotechnology,"Bangalore, Karnataka, India","Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.","13,015",$10M to $50M,Active,1978-11-29,day,,,,,For Profit,https://www.biocon.com/,"Biocon Biologics is a fully-integrated pure-play biosimilars organization globally engaged in developing high-quality, affordable biosimilars aimed at expanding patient access to cutting-edge therapies. It develops and commercializes a differentiated portfolio of novel biologics, biosimilars, and complex small molecule APIs in India and several key global markets, as well as, generic formulations in the U.S. and Europe. The company is driven by a belief that the pharmaceutical industry has a humanitarian responsibility to provide essential drugs to patients who are in need and to do so with the power of innovation.",,632398656,USD,632398656
Advanced Enzymes,https://www.crunchbase.com/organization/advanced-enzymes,"Biotechnology, Manufacturing, Nutraceutical","Thane, Maharashtra, India",Advanced Enzyme is a research driven company manufacturing enzymes and probiotics and dedicated to marketing eco-safe solutions.,"29,093",$50M to $100M,Active,1989-01-01,year,2016-08-05,day,,,For Profit,http://www.advancedenzymes.com,"Advanced Enzyme is a research driven company manufacturing enzymes and probiotics and dedicated to marketing eco-safe solutions to a wide variety of industries like pharmaceuticals, nutraceuticals, animal healthcare, baking, agriculture, waste management, textile, leather, distilling, grain processing, brewing, juice processing, etc. Advanced Enzyme Technologies Ltd. aims to replace all harsh drugs and chemicals used in treating healthcare as well as industrial problems with eco-safe solutions using enzymes and probiotics.",IPO,44241039,USD,44241039
Bharat Biotech,https://www.crunchbase.com/organization/bharat-biotech,Biotechnology,"Hyderabad, Andhra Pradesh, India",India's second biggest vaccines company,"29,761",$1M to $10M,Active,1996-01-01,year,,,,,For Profit,http://www.bharatbiotech.com,"Bharat Biotech International Limited, a biotechnology company, engages in the research, development, and manufacture of vaccines and biotherapeutics. Its products include Revac-B+, a recombinant hepatitis-B vaccine; TYPBAR, a vi polysaccharide typhoid vaccine; BIOPOLIO, a poliomyelitis vaccine; INDIRAB, a rabies vaccine; Revac-Bmcf, a thiomersal free recombinant hepatitis-B vaccine; TEVAC, a tetanus vaccine; Scorgen, a scorpion venom anti-serum; and BioHib, a haemophilus influenza type b vaccine",,14100000,USD,14100000
Centre for Sight,https://www.crunchbase.com/organization/centre-for-sight,"Biotechnology, Health Care, Health Diagnostics, Therapeutics","New Delhi, Delhi, India","Centre for Sight provides eye care services, from basic diagnostic and therapeutic services to complex operative procedures.","33,516",,Active,1996-01-01,year,,,,,For Profit,http://centreforsight.net,"Centre for Sight is guided by patient centric values and our endeavor is to provide personalized care to all. From basic diagnostic and therapeutic services to complex operative procedures, all activities are carried out underone roof.",,37184929,USD,37184929
Strides Pharma Science,https://www.crunchbase.com/organization/strides-arcolab,"Biotechnology, Health Care, Life Science, Manufacturing, Pharmaceutical","Bangalore, Karnataka, India",Strides Arcolab is a pharmaceutical company.,"35,239",,Active,1990-01-01,year,2000-09-28,day,,,For Profit,https://www.strides.com,"Strides Pharma Science Limited is a global pharmaceutical company headquartered in Bangalore, India. The Company has two business verticals, viz., Regulated Markets and Emerging Markets. Strides has a global manufacturing footprint with eight manufacturing facilities spread across four continents, including five US FDA approved facilities and two facilities for the rest of world markets . The Company has a dedicated R&D facility in India with global filing capabilities and a strong footprint across 100 countries.",IPO,32500000,USD,32500000
Suburban Diagnostics,https://www.crunchbase.com/organization/sumit-roy,"Biotechnology, Health Care","Mumbai, Maharashtra, India",Suburban Diagnostics provide holistic diagnostic & pathology services across all our centers in Maharashtra.We also provide health check-ups,"39,723",Less than $1M,Active,1994-01-01,day,2021-10-27,day,,,For Profit,https://www.suburbandiagnostics.com/,Suburban Diagnostics provide holistic diagnostic & pathology services across all our centers in Maharashtra.We also provide health check-ups,M&A,20606910,USD,20606910
Torrent Pharmaceuticals,https://www.crunchbase.com/organization/torrent-pharmaceuticals,"Biotechnology, Health Care, Medical Device, Pharmaceutical","Ahmedabad, Gujarat, India","Torrent Pharmaceuticals focuses on the therapeutic segments of CV, CNS, GI, Diabetology, Women's Health, and Pain Management.","41,213",$500M to $1B,Active,1971-01-01,year,1996-04-05,day,,,For Profit,http://torrentpharma.com,"Torrent Pharma, with annual revenues of more than Rs 8,000 crores, is the flagship Company of the Torrent Group, with group revenues of Rs 20,500 crores. It is ranked 8th in the Indian Pharma Market and is among the Top 5 in the therapeutic segments of Cardiovascular (CV), Central Nervous System (CNS), Gastro-intestinal (GI), and Vitamins Minerals Nutritionals (VMN).  Torrent has 8 manufacturing facilities (7 in India & 1 in US), of which 5 are USFDA approved. With R&D as the backbone for its growth in domestic & overseas market, it has invested significantly in R&D capabilities with state-of-the-art R&D infrastructure employing around 700 scientists. The acquisition of Elder Pharma's Indian branded business in 2013, Dermaceuticals business of Zyg Pharma in 2015, API plant of Glochem Industries in 2016, Women healthcare brands from Novartis and Unichem's Indian branded business along with its Sikkim Plant in 2017 strengthened Torrent Pharma's position in the Indian Pharma market. Torrent Pharma started international acquisitions in 2005 with the 90 year old Heumann from Pfizer to enter the German market. In January 2018, Torrent also acquired Bio-Pharm, Inc. (BPI) a generic pharmaceuticals and OTC Company, based in Levittown Pennsylvania, USA, which also included a US FDA registered manufacturing facility. Today, the Company has presence in more than 40 countries and is ranked No. 1 among the Indian pharma Companies in Brazil, Germany, and the Philippines.",IPO,40000000,USD,40000000
Shree Renuka Sugars,https://www.crunchbase.com/organization/shree-renuka-sugars,"Agriculture, Biotechnology, Energy, Manufacturing","Belgaum, Karnataka, India",Shree Renuka Sugars is an agribusiness and bio-energy corporation that produces and manufactures sugar.,"42,344",,Active,1998-01-01,year,2005-10-08,day,,,For Profit,http://www.renukasugars.com/en/,"Shree Renuka Sugars is an agribusiness and bio-energy corporation that produces and manufactures sugar. It operates eleven integrated sugar mills globally, four in Brazil and seven in India. Also, there are two port-based refineries in India. The company was founded in 1998 and is headquartered in Belgaum, Karnataka.",IPO,1750000000,INR,22604373
Panacea Biotec,https://www.crunchbase.com/organization/panacea-biotec-gmbh,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","New Delhi, Delhi, India",Panacea Biotec is an Innovation driven Biotechnology company.,"46,125",$100M to $500M,Active,1994-01-01,year,,,,,For Profit,http://www.panacea-biotec.com/,"Panacea Biotec is an Innovation driven Biotechnology company doing Research and Development, Manufacturing, Sales, Distribution and Marketing of Pharmaceuticals, Vaccines and Biosimilars. Panacea Biotec was set up in the year 1984, under the name of Panacea Drugs Private  Limited with a commitment to make Innovative Products Affordable and Accessible to the masses. It got publically listed on Indian National Stock Exchanges in September 1995 as Panacea Biotec Ltd. Panacea Biotec is witnessing a period of expansion across every aspect of their business from innovative products to customers in market, from manufacturing to regulatory approvals and thereby laying the foundation for translation of their vision in becoming greatest, largest and most admired biotechnology company in the World by 2020. Ardent Research and Development efforts have always been a great strength of Panacea Biotec. The main research areas are New Chemical Entities (NCE), New Biological Entities (NBE) Novel Drug Delivery System (NDDS) based pharmaceutical formulations, Novel peptides & human monoclonal antibodies and Vaccine development. The company has developed four distinguished, ultra-modern, state-of-art R&D centres in different locations, having internal capabilities for constant research, with over 300 highly professional and skilled scientists engaged in various aspects of research.",,168320000,USD,168320000
