Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
BenchSci,https://www.crunchbase.com/organization/benchsci,"Artificial Intelligence (AI), Biotechnology, Life Science, Machine Learning, Pharmaceutical","Toronto, Ontario, Canada",BenchSci uses machine learning and artificial intelligence to accelerate biomedical discoveries.,"1,838",Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://www.benchsci.com,"BenchSci uses AI to empower scientists to run more successful experiments to accelerate drug discovery. The company empowers scientists with advanced biomedical artificial intelligence to run more successful experiments. Backed by F-Prime, Gradient Ventures (Google’s AI fund), and Inovia Capital, BenchSci's proprietary technology accelerates science pharmaceutical companies and over 4,300 research centers worldwide.",Late Stage Venture,164160477,USD,164160477
Zymeworks,https://www.crunchbase.com/organization/zymeworks,"Biotechnology, Medical, Therapeutics","Vancouver, British Columbia, Canada",Zymeworks is a computational biotechnology company focused on optimizing therapeutic antibodies and other protein-based therapeutics.,"2,094",$10M to $50M,Active,2004-04-01,day,2017-04-27,day,,,For Profit,http://zymeworks.com,"Zymeworks is a computational biotechnology company focused on optimizing therapeutic antibodies and other protein-based therapeutics. The company is committed to developing best-in-class protein therapeutics for the treatment of cancer, autoimmune, and inflammatory diseases. Zymeworks' approach combines proprietary molecular modeling and simulation software with high-performance computing to create an environment for in silico experimentation and predictive protein optimization. Using this approach Zymeworks has developed multiple platform technologies to advance the field of biologics drug discovery and optimization. It was founded in 2004 and headquartered in Vancouver, British Columbia.",IPO,883661540,USD,883661540
Fusion Pharmaceuticals,https://www.crunchbase.com/organization/fusion-pharmaceuticals,"Biopharma, Biotechnology, Clinical Trials, Medical, Oncology, Pharmaceutical","Hamilton, Ontario, Canada",Fusion Pharmaceuticals is a clinical-stage oncology company focused on developing next-generation radiopharmaceuticals.,"3,510",$1M to $10M,Active,2014-01-01,year,2020-06-25,day,,,For Profit,https://fusionpharma.com,"Fusion Pharmaceuticals is a clinical-stage biopharmaceutical company located in Hamilton, Ontario, Canada focused on becoming the leader in the targeted alpha therapy field. It is a spinout of the Centre for Probe Development and Commercialization (CPDC), a leading radiopharmaceutical research and GMP production centre. Fusion’s deep radiochemistry expertise presents a technology platform that can be replicated to turn internalizing antibodies that have previously demonstrated limited clinical efficacy into highly effective cytotoxic drugs. Fusion’s ability to link the most effective isotopes to the targeting antibody allows for the creation of optimized agents for both diagnostic imaging and radioimmunotherapy (Precision Medicine). Following positive tumor identification with the imaging agent, treatment with the antibody linked to a therapeutic isotope delivers a cytotoxic payload into the cancer cell. Fusion’s lead product candidate, FPX-01, is a precision RIT that is a product of this innovative approach. FPX-01 has been designed to internalize into targeted cancer cells and deliver a lethal and highly localized radioactive payload. The precise targeting of this radiolabeled antibody causes selective and extremely effective cytotoxicity of tumor cells at relatively low doses of radioactivity.",IPO,230913346,USD,230913346
AbCellera,https://www.crunchbase.com/organization/abcellera-biologics,"Biotechnology, Medical, Therapeutics","Vancouver, British Columbia, Canada",AbCellera is an antibody discovery and development company that develops antibody therapeutics to improve patient outcomes.,"3,684",$10M to $50M,Active,2012-01-01,year,2020-12-10,day,,,For Profit,https://www.abcellera.com,"AbCellera is an antibody discovery and development engine that’s specifically designed to address the barriers of conventional discovery, finding the optimal clinical candidate with greater precision and speed, getting to the clinic – and patients – sooner. With the integrated AbCellera platform, our experts search a wide range of diverse antibodies to select the most effective and developable leads fast and set our partners up for enduring success.   We have extensive experience forging partnerships with emerging biotechs and leading pharmaceutical companies. AbCellera leverages proprietary hardware, software, tools along with the latest data science, to operate as strategic partners and help develop optimized solutions faster for any program.",IPO,886981407,USD,886981407
Deep Genomics,https://www.crunchbase.com/organization/deep-genomics,"Artificial Intelligence (AI), Biotechnology, Genetics, Therapeutics","Toronto, Ontario, Canada",Deep Genomics is using artificial intelligence to build a new universe of life-saving genetic therapies. ,"4,549",$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://www.deepgenomics.com/,"Deep Genomics recruits from among the top 1% of recent graduates and seasoned experts at the intersection of genomics, drug development and AI.",Late Stage Venture,236700000,USD,236700000
BlueRock Therapeutics,https://www.crunchbase.com/organization/bluerock-therapeutics,"Biopharma, Biotechnology, Health Care, Medical","Toronto, Ontario, Canada",It is a regenerative medicine company.,"5,199",$10M to $50M,Active,2016-01-01,year,2019-08-08,day,,,For Profit,http://www.bluerocktx.com,"BlueRock Therapeutics is a biotech company that plans to develop induced pluripotent stem cell (iPSC) therapies to cure a range of diseases using an industry-leading platform. One of the initial programs is to regenerate heart muscle in patients who have had a heart attack (myocard infarction, MI) or are suffering from chronic heart failure, leading causes of morbidity and mortality worldwid.",M&A,225000000,USD,225000000
Abdera Therapeutics,https://www.crunchbase.com/organization/abdera-therapeutics,"Biotechnology, Health Care, Health Diagnostics, Life Science, Oncology","Vancouver, British Columbia, Canada","Abdera is an oncology company developing targeted alpha therapies (TATs) for patients with relapsed, refractory, and metastatic cancers.","6,237",$10M to $50M,Active,2021-01-01,year,,,,,For Profit,https://abderatherapeutics.com,"Abdera is an oncology company developing targeted alpha therapies (TATs) for patients with relapsed, refractory, and metastatic cancers. Its targeted radiotherapies utilize purpose-built vectors to specifically target high-energy radio-isotopes to tumors and metastatic cancer lesions. This new class of drugs holds tremendous untapped therapeutic and commercial potential, and has generated over $10B in recent M&A, financings, and product launches – and are expected to comprise 70% of the $30B nuclear medicine market by 2030.",Early Stage Venture,148325391,USD,148325391
ODAIA,https://www.crunchbase.com/organization/odaia,"Artificial Intelligence (AI), Biotechnology, Machine Learning, Software","Toronto, Ontario, Canada",ODAIA is driving next-generation customer engagement with the leading AI-fueled Customer Data Platform for the Life Sciences industry.,"8,397",$1M to $10M,Active,2018-03-06,day,,,,,For Profit,https://www.odaia.ai/,"ODAIA has innovated the first AI-powered Customer Data Platform (CDP) that pioneered the combination of process mining, customer journey mapping and AI to deliver goal-driven commercial insights and process automation as a SaaS for the Life Sciences industry.",Early Stage Venture,43350000,USD,43350000
Cybin,https://www.crunchbase.com/organization/cybin-corp,"Biotechnology, Health Care, Mental Health, Pharmaceutical","Toronto, Ontario, Canada",Cybin is a biopharmaceutical company that develops psychedelic therapeutics for mental health conditions.,"8,517",$1M to $10M,Active,2019-01-01,year,2021-03-03,day,,,For Profit,https://www.cybin.com,"Cybin is a clinical-stage biopharmaceutical company on a mission to create safe and effective psychedelic-based therapeutics to address the large unmet need for new and innovative treatment options for people who suffer from mental health conditions.  Cybin’s goal of revolutionizing mental healthcare is supported by a network of world-class partners and internationally recognized scientists aimed at progressing proprietary drug discovery platforms, innovative drug delivery systems, and novel formulation approaches and treatment regimens.  The Company is currently developing CYB003, a proprietary deuterated psilocybin analog for the treatment of major depressive disorder, and CYB004, a proprietary deuterated DMT molecule for generalized anxiety disorder, and has a research pipeline of investigational psychedelic-based compounds.    Headquartered in Canada and founded in 2019, Cybin is operational in Canada, the United States, the United Kingdom, the Netherlands, and Ireland.  For company updates and to learn more about Cybin, visit www.cybin.com or follow the team on Twitter, LinkedIn, YouTube, and Instagram.",IPO,163342103,USD,163342103
Repare Therapeutics,https://www.crunchbase.com/organization/repare-therapeutics,"Biotechnology, Health Care, Oncology, Pharmaceutical, Therapeutics","Saint Laurent, Quebec, Canada",Repare Therapeutics is a developer of oncology drugs designed to target specific vulnerabilities of tumor cells.,"9,067",$1M to $10M,Active,2016-01-01,year,2020-06-18,day,,,For Profit,http://www.reparerx.com/,"Repare Therapeutics is a developer of oncology drugs designed to target specific vulnerabilities of tumor cells. The company's drugs combine a proprietary high throughput gene-editing and target discovery method with high-resolution protein crystallography, computational biology and clinical informatics, enabling patients to improve cancer treatment both with single therapy and in combination with existing drugs and treatments.",IPO,251700000,USD,251700000
Chinook Therapeutics,https://www.crunchbase.com/organization/chinook-therapeutics,"Biotechnology, Health Care, Therapeutics","Vancouver, British Columbia, Canada",Chinook Therapeutics is a biotechnology company that specializes in the fields of therapeutics and life science.,"9,151",$1M to $10M,Active,2019-01-01,year,2020-06-02,day,,,For Profit,https://www.chinooktx.com,"Chinook Therapeutics is a biotechnology company that specializes in the fields of therapeutics and life science. The company focuses on developing precision medicines for kidney diseases. Its services offers utilization of novel translational platforms and patient stratification tools, and emergence of accelerated regulatory pathways based on surrogate endpoints.",M&A,171000000,USD,171000000
Aurinia Pharmaceuticals,https://www.crunchbase.com/organization/aurinia-pharmaceuticals,"Biopharma, Biotechnology, Health Care, Medical, Therapeutics","Victoria, British Columbia, Canada",Aurinia develops and commercializes therapies to treat targeted patient populations suffering from serious auto-immune diseases.,"9,956",$50M to $100M,Active,2011-01-01,day,2014-09-02,day,,,For Profit,http://www.auriniapharma.com/,"Aurinia Pharmaceuticals is a clinical stage biopharmaceutical company focused on developing and commercializing therapies to treat targeted patient populations that are suffering from serious diseases with a high unmet medical need. The company is currently developing voclosporin, an investigational drug, for the potential treatment of lupus nephritis, focal segmental glomerulosclerosis, and Dry Eye Syndrome.",IPO,658461737,USD,658461737
3D BioFibR,https://www.crunchbase.com/organization/3d-biofibr,"Biotechnology, Manufacturing, Textiles","Halifax, Nova Scotia, Canada",3D BioFibR is an advanced bio fiber materials company.,"10,087",$1M to $10M,Active,2020-07-01,month,,,,,For Profit,https://3dbiofibr.com/,"3D BioFibR is a biomaterial manufacturing company that produces naturally sourced, high-value bio fibers such as spider silk, collagen, chitosan, and others. Preliminary fiber performance data shows the potential applications of these fibers in several global markets, including biomedical engineering, green textiles, defense, and aerospace engineering. Formed in July 2020, 3D BioFibR was founded on the pioneering research of Dr. John Frampton. 3D BioFibR is focused on novel and proprietary methods of biofiber production that have a quality and scale that is currently not achievable with current methods. 3D BioFibR scientists have demonstrated the ability to make collagen fibers, termed CollaFibR™, that are stronger than natural tendons, and spider silk that is tougher than steel and 2000% more flexible. 3D BioFibR’s vision is to become the global leader in the manmade production of nature’s strongest, lightest and toughest materials at a scale and cost that makes them a competitive solution to the engineering challenges of our day.",Seed,5380505,USD,5380505
Future Fields,https://www.crunchbase.com/organization/future-fields,"Agriculture, AgTech, Alternative Protein, Biotechnology, CleanTech, Farming, Life Science","Edmonton, Alberta, Canada",Future Fields harnesses insect biotechnology to make sustainable recombinant proteins.,"10,209",$1M to $10M,Active,2018-02-18,day,,,,,For Profit,https://www.futurefields.io/,"Future Fields is committed to producing sustainable components for science through insect biotechnology. Its EntoEngine™ platform is the first to harness the genetic prowess of fruit flies to produce Earth’s most environmentally and economically sustainable biomolecules. Founded in 2018, Future Fields is headquartered in Edmonton, Canada and proudly backed by marquee venture capital firms and investors from Silicon Valley and beyond. Learn more about how Future Fields is enabling great science at https://futurefields.io/.",Early Stage Venture,18927341,USD,18927341
Virica Biotech,https://www.crunchbase.com/organization/virica-biotech,"Biotechnology, Health Care, Medical","Ottawa, Ontario, Canada",Virica Biotech is a biotechnology company that addresses the unmet needs in production and development to positively change human health.,"11,307",,Active,2018-01-01,year,,,,,For Profit,https://www.viricabiotech.com,Virica Biotech is a biotechnology company that addresses the unmet needs in production and development to positively change human health. Its Viral Sensitizer technology consists of a library of over one hundred small molecules that can safely overcome the natural immunological defenses in the human and animal body that suppress effective viral medicines.,,4083648,USD,4083648
