Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Exact Sciences,https://www.crunchbase.com/organization/exact-sciences,"Biotechnology, Health Diagnostics, Manufacturing, Medical","Madison, Wisconsin, United States","Exact Sciences is the developer and manufacturer of Cologuard, a non-invasive screening test for the early detection of colorectal cancer.",539,$100M to $500M,Active,1995-01-01,year,2001-01-31,day,,,For Profit,https://www.exactsciences.com,"Exact Sciences is a molecular diagnostics company focused on colorectal cancer. The company has exclusive intellectual property protecting its non-invasive, molecular screening technology for the detection of colorectal cancer. Stool-based DNA (sDNA) technology is included in the colorectal cancer screening guidelines of the American Cancer Society and the U.S. Multi-Society Task Force on Colorectal Cancer.",IPO,2132200000,USD,2132200000
Mirati Therapeutics,https://www.crunchbase.com/organization/mirati-therapeutics-inc,"Biopharma, Biotechnology, Medical","San Diego, California, United States","Mirati Therapeutics is a Biotechnology company located in 9363 Towne Centre Dr, San Diego, CA, United States.","2,647",$10M to $50M,Active,1995-12-13,day,2013-07-16,day,,,For Profit,http://mirati.com,"Mirati Therapeutics Inc is a Biotechnology company located in 9363 Towne Centre Dr, San Diego, CA, United States.",M&A,2350600000,USD,2350600000
Caris Life Sciences,https://www.crunchbase.com/organization/caris-life-sciences,"Biopharma, Biotechnology, Health Care, Life Science","Irving, Texas, United States","Caris Life Sciences is a molecular science company that offers molecular profiling, tissue-based profiling, and testing services.","4,288",$100M to $500M,Active,1996-01-01,year,,,,,For Profit,http://www.carislifesciences.com,Caris Life Sciences is a molecular science and technology company. They develop and deliver solutions for healthcare and improve cancer patient outcomes. Through molecular profiling and the application of artificial intelligence and machine learning algorithms. They create the clinical-genomic databases and cognitive computing needed to analyze and unravel the molecular complexity of the disease.,Private Equity,1690000000,USD,1690000000
Cepheid,https://www.crunchbase.com/organization/cepheid,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical","Sunnyvale, California, United States",Cepheid is a diagnostics company that provides molecular systems and tests for organisms and genetic-based diseases.,"4,672",$500M to $1B,Active,1996-01-01,year,2000-06-21,day,,,For Profit,http://www.cepheid.com,"Cepheid is a molecular diagnostics company that is dedicated to improving healthcare by developing, manufacturing, and marketing accurate yet easy-to-use molecular systems and tests. By automating highly complex and time-consuming manual procedures, the company's solutions deliver a better way for institutions of any size to perform sophisticated genetic testing for organisms and genetic-based diseases. Through its strong molecular biology capabilities, the company is focusing on those applications where accurate, rapid, and actionable test results are needed most, such as managing infectious diseases and cancer.",M&A,117850000,USD,117850000
DermTech,https://www.crunchbase.com/organization/dermtech-international,"Beauty, Biotechnology, Genetics, Health Care, Health Diagnostics","La Jolla, California, United States",DermTech develops and commercializes qPCR assays for skin samples using adhesive tape biopsy methods.,"5,853",$1M to $10M,Active,1996-01-01,year,2019-08-30,day,,,For Profit,http://dermtech.com,"DermTech develops and commercializes qPCR assays for skin samples collected non-invasively using adhesive tape biopsy methods.  The Company’s assays can analyze multiple gene targets to assess their level of RNA expression.  The Company anticipates providing these assays through a CLIA certified laboratory located in San Diego. The Company will initially offer an assay for pigmented skin lesions sampled using an adhesive tape collection method.  The Company has identified gene targets differentially expressed in melanoma samples (British Journal of Dermatology, April 2011).  This assay can assess RNA expression consistent with melanoma with very high sensitivity (>95%) and specificity (>70%).",M&A,259860639,USD,259860639
SINTX Technologies,https://www.crunchbase.com/organization/amedica,"Biotechnology, Health Care, Medical Device","Salt Lake City, Utah, United States",SINTX is a spinal and orthopedic implant company using its silicon nitride ceramic tech to develop spine and total joint implants.,"6,308",Less than $1M,Active,1996-12-01,day,2014-02-14,day,,,For Profit,https://www.sintx.com,"SINTX Technologies is an OEM ceramics company that develops and commercializes silicon nitride for medical and non-medical applications. The core strength of SINTX Technologies is the manufacturing, research, and development of silicon nitride ceramics for external partners. The Company presently manufactures silicon nitride spinal implants in its ISO 13485 certified manufacturing facility for CTL-Amedica, the exclusive retail channel for silicon nitride spinal implants.",IPO,196282826,USD,196282826
Fresenius Medical Care North America,https://www.crunchbase.com/organization/fresenius-medical-care-north-america,"Biotechnology, Health Care, Medical, Medical Device, Pharmaceutical","Waltham, Massachusetts, United States",Fresenius Medical Care North America provides healthcare services to people with renal and other chronic conditions.,"7,261",$10B+,Active,1996-01-01,year,2007-12-01,day,,,For Profit,https://fmcna.com/,"Fresenius Medical Care North America is a hospital and health care company that focuses on providing healthcare services to people with renal and other chronic conditions. It offers dialysis facilities, outpatient cardiac and vascular labs, and urgent care centers. Fresenius Medical Care North America (FMCNA) is one of the largest providers of dialysis products and services. It has raised a record amount of money to support the goals and initiatives of the National Kidney Foundation (NKF) over the course of a two-year partnership. Fresenius Medical Care North America was founded in 1996 by Bill Valle and it is headquartered in Waltham, Massachusetts.",M&A,120390211,USD,120390211
Cyclacel Pharmaceuticals,https://www.crunchbase.com/organization/cyclacel-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Berkeley Heights, New Jersey, United States",Cyclacel Pharmaceuticals develops oral therapies to treat cancers and other critical diseases.,"7,395",Less than $1M,Active,1996-01-01,year,2006-04-07,day,,,For Profit,http://cyclacel.com,"Cyclacel Pharmaceuticals, Inc. is a biopharmaceutical company developing oral therapies that target the various phases of cell cycle control for the treatment of cancer and other serious diseases. Professor Sir David Lane, a recognized leader in the field of tumor suppressor biology, who discovered the p53 protein, founded the Company in 1996. In 1999, Cyclacel Pharmaceuticals was joined by Professor David Glover, a recognized leader in the mechanism of mitosis or cell division, who discovered, among other cell cycle targets, the mitotic kinases, Polo and Aurora, enzymes that act in the mitosis phase of the cell cycle.",IPO,188032995,USD,188032995
RxSight,https://www.crunchbase.com/organization/rxsight-inc,"Biotechnology, Eyewear, Health Care, Medical Device","Aliso Viejo, California, United States",RxSight is a medical device company that offers an intraocular lens and cataract surgery solutions.,"7,639",$10M to $50M,Active,1997-01-01,year,2021-07-29,day,,,For Profit,http://rxsight.com,"RxSight, Inc. is a commercial-stage medical technology company dedicated to improving the vision of patients following cataract surgery. The RxSight Light Adjustable Lens system, comprised of the RxSight Light Adjustable Lens (LAL®), RxSight Light Delivery Device (LDD) and accessories, is the first and only commercially available intraocular lens (IOL) technology that enables doctors to customize and optimize visual acuity for patients after cataract surgery. The LAL now features ActivShield™ technology, a revolutionary UV protection layer built into the lens.",IPO,235975917,USD,235975917
Senseonics,https://www.crunchbase.com/organization/senseonics,"Biotechnology, Health Care, Medical, Medical Device, Sensor, Wearables","Germantown, Maryland, United States","Senseonics is a medical device startup company that focuses on the design, development, and commercialization of glucose monitoring systems.","7,684",$1M to $10M,Active,1996-01-01,year,2016-03-18,day,,,For Profit,http://senseonics.com,"Senseonics is a medical device startup company in Germantown, Maryland, USA (near Washington, DC) developing transformative glucose monitoring products that is intended to enable people with diabetes to confidently live their lives with ease. Utilizing breakthrough fluorescence sensing technology, the Senseonics continuous glucose monitoring (""CGM"") system is being designed to be the first fully implantable CGM that is highly accurate and stable throughout its long sensor life.",IPO,550499998,USD,550499998
