Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Fractyl Health,https://www.crunchbase.com/organization/fractyl-laboratories,"Biotechnology, Health Care, Medical Device, Therapeutics","Lexington, Massachusetts, United States",Fractyl Health is a biotechnology company that provides curative therapies for metabolic diseases.,106,$1M to $10M,Active,2010-01-01,year,2024-02-02,day,,,For Profit,http://www.fractyl.com,"Fractyl Health develops innovative medical device solutions for the treatment of chronic diseases. The growing product pipeline leverages our minimally invasive procedural therapy, Revita DMR (duodenal mucosal resurfacing), which is designed to rejuvenate the lining of the duodenum and improve patient health. They envision a world with better solutions to chronic diseases through the use of less invasive, device-based therapies that will lessen the burden on patients, physicians, and payers. Fractyl Health aims to bring curative therapies to the large populations of patients with metabolic disease.",IPO,255187449,USD,255187449
CG Oncology,https://www.crunchbase.com/organization/cold-genesys,"Biotechnology, Health Care, Health Diagnostics, Oncology","Irvine, California, United States",CG Oncology is a clinical-stage biopharmaceutical company focused on the development of oncolytic immunotherapies to combat cancer.,173,,Active,2010-01-01,year,2024-01-25,day,,,For Profit,https://www.cgoncology.com,"CG Oncology formerly known as Cold Genesys is a privately held, clinical-stage biopharmaceutical company that focuses on the research, acquisition, and development of novel immunotherapies. It specializes in the development of oncolytic immunotherapies to combat cancer, providing patients with new and impactful therapies. CG Oncology acquired the rights to develop CG0070 from BioSante Pharmaceuticals (Nasdaq: BPAX). A phase I/IIa dose-escalating clinical trial has already been completed in 35 patients with NMIBC. Cold Genesys is hopeful to get this therapy back into the clinical setting with the initiation of the proposed phase II/III trial.",IPO,317570000,USD,317570000
Moderna,https://www.crunchbase.com/organization/moderna-therapeutics,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical","Cambridge, Massachusetts, United States",Moderna Therapeutics is a biotechnology company that specializes in drug discovery and drug development based on messenger RNA.,262,$100M to $500M,Active,2010-01-01,year,2018-12-06,day,,,For Profit,http://www.modernatx.com,"Moderna Therapeutics is a biotechnology company that develops messenger RNA therapeutics. Every cell in the body uses mRNA to provide real-time instructions to make the proteins necessary to drive all aspects of biology, including in human health and disease. It provides in vivo drug modality that produces human proteins or antibodies inside patient cells.  Moderna Therapeutics also develops various patent applications with various claims ranging from novel nucleotide chemistries to specific drug compositions. It focuses on disease areas, such as inherited genetic disorders, hemophilia, and blood factors, and oncology.  Moderna Therapeutics in 2010 and is headquartered in Cambridge in Massachusetts. It has strategic option agreements with AstraZeneca and Alexion Pharmaceuticals and strategic collaborations with Karolinska Institutet, Institut Pasteur, Karolinska University Hospital, and Merck.",IPO,2981600000,USD,2981600000
Inhibrx,https://www.crunchbase.com/organization/inhibrx,"Biotechnology, Life Science, Therapeutics","La Jolla, California, United States",Inhibrx is a clinical-stage biotechnology company that focuses on developing a broad pipeline of biologic therapeutic candidates.,606,$100M to $500M,Active,2010-01-01,year,2020-08-18,day,,,For Profit,http://inhibrx.com,"Inhibrx is a clinical-stage biotechnology company focused on developing a broad pipeline of novel biologic therapeutic candidates. Inhibrx utilizes diverse methods of protein engineering to address the specific requirements of complex target and disease biology, including its proprietary sdAb platform. The Inhibrx pipeline is focused on oncology, orphan diseases, and infectious diseases. Inhibrx has collaborations with Celgene and Bluebird Bio and has received awards from several granting agencies, including NIH, NIAID, and CARB-X.",M&A,269590000,USD,269590000
Invitae,https://www.crunchbase.com/organization/invitae-corporation,"Biotechnology, Genetics, Health Care","San Francisco, California, United States",Invitae is a medical genetics company that bring comprehensive genetic information into mainstream medicine to improve healthcare.,946,$100M to $500M,Active,2010-01-01,year,2015-02-12,day,,,For Profit,http://invitae.com,"Invitae is a genetic information company whose mission is to bring genetic information into routine medical practice to improve the quality of healthcare for billions of people. Specializing in genetic diagnostics for hereditary disorders, Invitae is aggregating the world’s genetic tests into a single service with better quality, faster turnaround time, and a lower price than most single-gene diagnostic tests today. What’s our plan? It takes three steps: --Make genetic testing more affordable and accessible than ever before. --Build a secure and trusted genome management infrastructure. --Design a new global community for sharing genetic information to advance science and medicine. Today, we are reinventing genetic testing by lowering the barriers for clinicians and patients to obtain diagnostic genetic information. Together we can improve healthcare for billions of people.",IPO,2482502111,USD,2482502111
HeartFlow,https://www.crunchbase.com/organization/heartflow,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical","Mountain View, California, United States",HeartFlow is a medical technology company that provides various methods of diagnosis and treatment of cardiovascular disease.,"1,963",$10M to $50M,Active,2010-01-01,year,,,,,For Profit,https://www.heartflow.com,"HeartFlow focuses on precision heart care, combining human ingenuity with technology. HeartFlow’s non-invasive HeartFlow FFRCT Analysis leverages artificial intelligence to create a personalized three-dimensional model of the heart. Clinicians can use this model to evaluate the impact a blockage has on blood flow and determine the best treatment for patients. HeartFlow’s technology is reflective of our Silicon Valley roots and incorporates over two decades of scientific evidence with the latest advances in artificial intelligence. The HeartFlow FFRCT Analysis is commercially available in the United States, UK, Canada, Europe, and Japan.",Late Stage Venture,792722908,USD,792722908
Coherus Biosciences,https://www.crunchbase.com/organization/coherus-biosciences,"Biotechnology, Health Care, Medical, Oncology, Therapeutics","Redwood City, California, United States","Coherus Biosciences develops, manufactures, and commercializes biologic therapeutics for oncology and inflammatory diseases.","3,743",$100M to $500M,Active,2010-01-01,year,2014-11-07,day,,,For Profit,http://www.coherus.com,"Coherus Biosciences is a biopharmaceutical company that engages in the development, manufacture, and commercialization of biologic therapeutics. The company develops biologic medicines primarily for the treatment of oncology and inflammatory diseases. It focuses on process science, analytical characterization, protein production, and clinical-regulatory development. Its pipeline includes Immunology, anti-tumor necrosis factor (Anti-TNF) biosimilar candidates; Ophthalmology biosimilar candidates; and Oncology Biosimilar candidates.",IPO,1264607132,USD,1264607132
SAGE Therapeutics,https://www.crunchbase.com/organization/sage-therapeutics,"Biotechnology, Health Care, Medical, Therapeutics","Cambridge, Massachusetts, United States",SAGE Therapeutics develops and delivers novel medicines for most debilitating and disabling central nervous system disorders.,"3,907",$1M to $10M,Active,2010-01-01,year,2014-07-21,day,,,For Profit,http://www.sagerx.com,"SAGE Therapeutics is dedicated to the health and well being of patients with central nervous system (CNS) disorders. Their mission is to discover, develop and deliver novel medicines for many of today's most debilitating and disabling CNS disorders by leveraging compelling science, a robust clinical foundation, strong partnerships, and a world-class team of founders, advisors, investors, scientists and managers.",IPO,2701000000,USD,2701000000
BeiGene,https://www.crunchbase.com/organization/beigene,"Biotechnology, Health Care, Life Science, Medical","Cambridge, Massachusetts, United States","BeiGene is a life sciences, biotechnology company.","4,483",$1B to $10B,Active,2010-01-01,year,2016-02-04,day,,,For Profit,https://www.beigene.com,"Founded in 2010, BeiGene is a global biotechnology company that discovers and develops innovative oncology treatments and aims to make their medicines more accessible and affordable to cancer patients worldwide. The company has more than 9,200 colleagues globally and administrative offices on three continents, as well as one of the largest oncology research teams in the world.  BeiGene continues to expand its broad in-house internal clinical development capabilities to make its therapies more available for patients around the globe. BeiGene’s innovative BTK inhibitor BRUKINSA® (zanubrutinib) has been approved in more than 65 markets as a treatment for various blood cancers, and the company's other internally developed cornerstone medicine, tislelizumab, is currently under review by regulators in the U.S. and the EU for the treatment of advanced or metastatic esophageal squamous cell carcinoma after prior chemotherapy.  The company’s broad and deep pipeline has the potential to address 80 of cancers by incidence. Adjacent to its product portfolio and pipeline, the company also sponsors programs aimed at serving the broader needs of oncology patients, such as a program to raise awareness of mental health resources for people and families affected by cancer.",IPO,6790000000,USD,6790000000
Atreca,https://www.crunchbase.com/organization/atreca,"Biotechnology, Health Care, Product Research, Therapeutics","San Carlos, California, United States","Atreca develops a technology to identify the set of antibodies produced during an immune response, without prior knowledge of an antigen.","4,516",$10M to $50M,Active,2010-01-01,year,2019-06-20,day,,,For Profit,http://www.atreca.com,"Atreca is a biopharmaceutical that develops a technology to identify the set of antibodies produced during an immune response, without prior knowledge of an antigen. Its product candidate, ATRC-101, is a monoclonal antibody in preclinical development with a novel mechanism of action and target-derived from an antibody identified using its discovery platform.",M&A,347860000,USD,347860000
