Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Immunocore,https://www.crunchbase.com/organization/immunocore,"Biotechnology, Health Care, Medical, Pharmaceutical","Abingdon, Oxfordshire, United Kingdom",Immunocore is a biotechnology company that specializes in the development of TCR bispecific immunotherapies.,"1,078",$10M to $50M,Active,2008-01-01,year,2021-02-04,day,,,For Profit,http://immunocore.com,"Immunocore is focused on the discovery and development of novel T cell receptor-based drugs to treat diseases with a high unmet need, including cancer and viral disease. The company’s expertise in engineering T Cell Receptors (TCRs) and linking them to an antibody fragment (scFv) known as anti-CD3, has led to its first product candidate, IMCgp100, entering clinical trials in patients with metastatic melanoma. The proprietary T Cell Receptor technology platform is well validated and can easily be manufactured for clinical and commercial supply in microbial systems.  Immunocore is a biotechnology company that specializes in the development of TCR bispecific immunotherapies.",IPO,1158834313,USD,1158834313
Verona Pharma,https://www.crunchbase.com/organization/verona-pharma,"Biotechnology, Pharmaceutical, Therapeutics","London, England, United Kingdom",Verona Pharma is a biotechnology company dedicated to discovering new drugs for the treatment of chronic respiratory diseases.,"2,467",$10M to $50M,Active,2005-01-01,year,2017-04-26,day,,,For Profit,http://www.veronapharma.com,"Verona Pharma is a biotechnology company dedicated to discovering new drugs for the treatment of chronic respiratory diseases, such as asthma, allergic rhinitis (hay fever), chronic obstructive pulmonary disease (COPD) and cough. The company creates therapies to address unmet medical requirements in the treatment of respiratory disorders.  Verona Pharma was established in 2005 by Clive Page in London, England.",IPO,857127780,USD,857127780
Oxford Nanopore Technologies,https://www.crunchbase.com/organization/oxford-nanopore-technologies,"Biopharma, Biotechnology, Genetics, Health Diagnostics, Nanotechnology","Oxford, Oxfordshire, United Kingdom",Oxford Nanopore Technologies is a biotechnology company that develops and commercializes nanopore sequencing technology.,"3,868",$100M to $500M,Active,2005-01-01,year,2021-09-30,day,,,For Profit,http://www.nanoporetech.com,"Oxford Nanopore Technologies is a biotechnology company that develops and commercializes nanopore sequencing technology. Their novel, electronics-based DNA/RNA sequencing technology is being used in more than 80 countries, for a range of biological research applications. These include large scale human genomics, cancer research, microbiology, plant science, and environmental research. Nanopore sequencing is also being explored beyond research, where it has the potential to provide rapid, meaningful information in the fields of healthcare, agriculture, food and water surveillance, and education. Oxford Nanopore’s proprietary technology is fully scalable for any requirement.  Small formats such as Flongle address the need for on-demand, rapid, smaller tests or experiments, and can be used in labs or in the field. The pocket-sized MinION is a powerful and portable sequencing device that can deliver high volumes of long-read sequence data.   The benchtop GridION X5 can run up to five MinION Flow Cells at a time, on-demand, for larger genomics projects.  The recently launched PromethION is the largest format for nanopore sequencing, designed to offer on-demand use of up to 48 Flow Cells – each of which can offer more than 100Gb of sequencing data. Focusing on ease of use, nanopore sequencing offers easy and rapid preparation, including a ten-minute library preparation kit and the automated, programmable VolTRAX. Supported by a broad patent portfolio, the Oxford Nanopore pipeline includes multiple generations of nanopore-based sensing technologies, including those based on both biological and solid-state nanopores.",IPO,1064637500,GBP,1498031802
Adaptimmune,https://www.crunchbase.com/organization/adaptimmune,"Biopharma, Biotechnology, Health Care, Medical","Oxton, York, United Kingdom","Adaptimmune develops T cell therapies to treat cancer, human immunodeficiency virus, and infectious diseases.","8,633",$1M to $10M,Active,2008-01-01,year,2015-05-06,day,,,For Profit,http://adaptimmune.com,"Adaptimmune develops T cell therapies to treat cancer, human immunodeficiency virus, and infectious diseases. It utilizes the T cell to target and destroys cancerous or infected cells by using affinity T cell receptor proteins as a means of strengthening patient T cell responses. The company was incorporated in 2007 and is based in Abingdon, United Kingdom.",IPO,474500000,USD,474500000
ieso,https://www.crunchbase.com/organization/ieso-digital-health,"Biotechnology, Health Care, Internet, Mental Health, Psychology, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Transforming mental healthcare by unlocking the power of clinical data,"10,155",Less than $1M,Active,2000-09-01,day,,,,,For Profit,https://www.iesogroup.com,ieso is a provider of online mental health therapy and develops clinically evidenced assessment and treatment products. ieso's breakthrough discoveries transforms mental healthcare and is revolutionising how the world sees mental health. ieso is building globally scalable digital products and therapeutics for the assessment and treatment of common mood disorders with an additional focus on behaviorally modifiable chronic diseases.,Early Stage Venture,77853657,USD,77853657
Summit Therapeutics,https://www.crunchbase.com/organization/summit-therapeutics,"Biotechnology, Health Care, Medical Device, Therapeutics","Abingdon, Oxfordshire, United Kingdom",Summit Therapeutics is a clinical-stage drug discovery and development company.,"11,651",$1M to $10M,Active,2003-01-01,day,2004-10-14,day,,,For Profit,https://www.summittxinc.com,Summit Therapeutics is a clinical-stage drug discovery and development company. The company's new mechanism antibiotics are designed to become the new standards of care for the benefit of patients and create value for payors and healthcare providers.,IPO,855943378,USD,855943378
Touchlight Genetics,https://www.crunchbase.com/organization/touchlight-genetics,"Biopharma, Biotechnology, Health Care, Medical, Oncology","Hampton, Shropshire, United Kingdom",Touchlight Genetics develops a DNA production platform designed for the development of DNA vaccines for oncology and infectious diseases.,"13,423",$1M to $10M,Active,2007-01-01,year,,,,,For Profit,https://www.touchlight.com,"Touchlight Genetics develops a DNA production platform designed for the development of DNA vaccines for oncology and infectious diseases. Founded in 2007, Touchlight brings together a highly talented scientific and drug development team supported by an experienced board. Founder and CEO Jonny Ohlson has assembled a dynamic management team, including Clive Dix, Non-Executive Chairman, and John Tite, Executive Head of Research (formerly founding CEO of Bicycle Therapeutics), with substantial experience in growing life science companies and particularly in DNA vaccines. Touchlight is supported by a group of Non-Executive Directors, who bring a wealth of healthcare and entrepreneurial experience. Led by experienced drug pharmaceutical scientists Neil Porter and Jill Makin, Touchlight’s scientific team- some of the brightest talents in the UK industry- has successfully established and patented the proTLx™ synthetic DNA platform as well as successfully establishing the first therapeutic proof-of-principle through collaboration with leading academic partners. The company has established strong collaborative links with academic laboratories worldwide including Imperial College London, Southampton University, Queen’s University Belfast and the University of Pennsylvania in the US.",,130394127,USD,130394127
Eagle Genomics,https://www.crunchbase.com/organization/eagle-genomics,"Biotechnology, Cloud Computing, Genetics, Open Source, Software","Cambridge, Cambridgeshire, United Kingdom","Eagle Genomics is a enterprise software solutions company to enable the management, orchestration and exploitation of life sciences data.","16,606",$1M to $10M,Active,2008-05-07,day,,,,,For Profit,http://www.eaglegenomics.com,"Eagle Genomics is a enterprise software solutions company whose products enable the management, orchestration and exploitation of genomics and other life sciences data. They help Life Science companies get the maximum value from their R&D data and they are delivering the information architecture for the genomics era. Their suite of software products radically reduces cost and time to complete research, enabling drastic productivity improvements. Their architecture translates data sets into data assets, redefining the current paradigm in the industry, enabling the objective measurement of the value of digital assets and providing clarity on “return on information”. Their mix of expertise in biology, bioinformatics, data science and enterprise-class software engineering is unique in the field and has been applied over the last decade to solve their customers’ challenges in areas as diverse as drug development, personal hygiene and plant breeding. With global customers in the pharmaceuticals, fast moving consumer goods and agri-tech industries they understand the common challenges facing these industries in the handling of ever growing of data and information resources.  Eagle Genomics is at the forefront in addressing the challenges, risks, and opportunities in delivering the enterprise information architecture for the genomics era.",,43538085,USD,43538085
Arecor,https://www.crunchbase.com/organization/arecor,"Biopharma, Biotechnology, Education, Pharmaceutical","Little Chesterford, Essex, United Kingdom",Arecor is a leader in developing superior biopharmaceuticals through the application of its innovative formulation technology platform.,"18,158",$1M to $10M,Active,2007-01-01,day,2021-06-03,day,,,For Profit,http://www.arecor.com,"Arecor is a leader in developing superior biopharmaceuticals through the application of its innovative formulation technology platform. Arecor is leveraging this platform to develop a portfolio of proprietary products enabling improved treatments for diabetes care via the innovative reformulation of approved proteins and peptides. In addition to its internal product portfolio, Arecor partners with leading pharmaceutical and biotech companies to deliver superior reformulations of their proprietary products, which would otherwise not be possible using conventional formulation science.",IPO,26555000,GBP,34815243
Crescendo Biologics,https://www.crunchbase.com/organization/crescendo-biologics,"Biotechnology, Health Care, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Crescendo Biologics is engaged in the development of a proprietary drug portfolio based on their VH antibody fragment platform.,"19,659",$1M to $10M,Active,2007-01-01,year,,,,,For Profit,http://www.crescendobiologics.com,"Crescendo Biologics is a new Cambridge-based company whose vision is to deliver next-generation antibody therapeutics based on novel class-leading platforms. The focus of the company is on developing platforms that will address key issues in generating high-affinity, soluble, human VH antibody fragments. These are the smallest fragments that retain antibody binding, and have many desirable properties as potential therapeutics. Crescendo will then utilise these platforms for product development of in-house targets or in partnership with other companies.",,148203748,USD,148203748
