Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Thermo Fisher Scientific,https://www.crunchbase.com/organization/thermo-fisher-scientific,"Bioinformatics, Biotechnology, Cloud Data Services, Consulting, Health Care, Life Science, Management Information Systems, Office Supplies, Precision Medicine","Waltham, Massachusetts, United States",Thermo Fisher Scientific is a biotechnology and laboratory equipment company that provides a wide range of scientific products and services.,522,$10B+,Active,1956-01-01,year,2014-04-11,day,,,For Profit,http://www.thermofisher.com,"Thermo Fisher Scientific is a provider of laboratory information management and scientific data systems. It aims to enable its customers to make the world healthier, cleaner, and safer. Whether its customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies, or increasing productivity in their laboratories, they are here to support them.  Its global team delivers an unrivaled combination of innovative technologies, purchasing convenience, and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services, and Patheon.",IPO,11047155227,USD,11047155227
LabCorp,https://www.crunchbase.com/organization/laboratory-corporation-of-america,"Biotechnology, Health Care, Hospital, Life Science, Medical, Precision Medicine","Burlington, North Carolina, United States",Labcorp specializes in providing physicians with laboratory tests.,"1,708",$1B to $10B,Active,1978-09-05,day,1988-07-15,day,,,For Profit,https://www.labcorp.com/,"Labcorp specializes in providing physicians with laboratory tests.  They develop new tests that provide enhanced accuracy and additional clinical information.  Their customers include physicians and their patients, hospitals and managed care plans, private employers, military and law enforcement agencies, and pharmaceutical and biotechnology companies.",IPO,850000000,USD,850000000
Quest Diagnostics,https://www.crunchbase.com/organization/quest-diagnostics,"Biotechnology, Health Care, Health Diagnostics, Information Services, Precision Medicine","Secaucus, New Jersey, United States","Quest Diagnostics is a clinical laboratory that offers diagnostic testing, services, and information.","2,721",$1B to $10B,Active,1959-01-01,year,1996-12-27,day,,,For Profit,https://www.questdiagnostics.com/,"Quest Diagnostics is a multinational clinical laboratory at the forefront of providing the world with diagnostic testing, information and services to empower patients and doctors to make better healthcare decisions.",IPO,750000000,USD,750000000
Biogen,https://www.crunchbase.com/organization/biogen-idec,"Biotechnology, Health Care, Neuroscience, Therapeutics","Cambridge, Massachusetts, United States","Biogen is an American biotechnology company that provides therapeutics for neurological, autoimmune, and rare diseases.","3,696",$1B to $10B,Active,1978-01-01,year,1991-09-27,day,,,For Profit,https://www.biogen.com/en_us/home.html,"Biogen Idec uses cutting-edge science to discover, develop, manufacture and market biological products for the treatment of serious diseases with a focus on neurological disorders.  Founded in 1978, Biogen Idec is the world's oldest independent biotechnology company. Patients worldwide benefit from its leading multiple sclerosis therapies, and the company generates more than $4 billion in annual revenues.",IPO,1500000000,USD,1500000000
Tenax Therapeutics,https://www.crunchbase.com/organization/oxygen-biotherapeutics,"Biotechnology, Health Care, Therapeutics","Chapel Hill, North Carolina, United States",Tenax Therapeutics focuses on identifying and developing treatments that address cardiovascular and pulmonary diseases.,"5,279",$10M to $50M,Active,1967-01-01,year,2010-01-22,day,,,For Profit,http://www.tenaxthera.com,"Tenax Therapeutics is a pharmaceutical company that focuses on identifying, developing, and commercializing products that address cardiovascular and pulmonary diseases with high unmet medical needs. Tenax Therapeutics develops novel dosing and formulations of imatinib mesylate, a kinase inhibitor for the treatment of pulmonary arterial hypertension. Imatinib, which acts on underlying cellular proliferative pathways linked to PAH, has the potential to be the first disease-modifying therapy for the disease.",IPO,108290000,USD,108290000
Bio-Rad Laboratories,https://www.crunchbase.com/organization/bio-rad-laboratories,"Biotechnology, Health Care, Health Diagnostics","Hercules, California, United States",Bio-Rad Laboratories has played a leading role in the advancement of scientific discovery for over 50 years by providing a broad range of,"8,809",$500M to $1B,Active,1952-01-01,year,1980-03-01,day,,,For Profit,http://www.bio-rad.com/,"Bio-Rad Laboratories has played a leading role in the advancement of scientific discovery for over 50 years by providing a broad range of innovative tools and services to the life science research and clinical diagnostics markets. Founded in 1952, Bio-Rad has a global team of more than 6,500 employees and serves more than 85,000 research and industry customers worldwide through its global network of operations. Throughout its existence, Bio-Rad has built strong customer relationships that advance scientific research and development efforts and support the introduction of new technology used in the growing fields of genomics, proteomics, drug discovery, food safety, medical diagnostics, and more.",IPO,1200000000,USD,1200000000
Inovio Pharmaceuticals,https://www.crunchbase.com/organization/inovio-pharmaceuticals,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Plymouth Meeting, Pennsylvania, United States","Inovio is a biotech company focusing on bringing to market DNA medicines for diseases associated with HPV, cancer, and infectious diseases.","9,330",$50M to $100M,Active,1979-01-01,year,1998-12-18,day,,,For Profit,http://www.inovio.com,"INOVIO is a biotechnology company focused on rapidly bringing to market precisely designed DNA medicines to treat, cure, and protect people from diseases associated with HPV, cancer, and infectious diseases. INOVIO is the first and only company to have clinically demonstrated that DNA medicine can be delivered directly into cells in the body via a proprietary smart device to produce a robust and tolerable immune response.  Specifically, INOVIO's lead candidate VGX-3100, currently in Phase 3 trials for precancerous cervical dysplasia, demonstrated it destroyed and cleared high-risk HPV 16 and 18 in a Phase 2b clinical trial. High-risk HPV is responsible for 70% of cervical cancer, 90% of anal cancer, and 69% of vulvar cancer.",IPO,446383430,USD,446383430
SurModics,https://www.crunchbase.com/organization/surmodics-pharmaceuticals,"Biotechnology, Chemical, Health Care, Manufacturing, Medical Device","Birmingham, Alabama, United States",SurModics vision is to extend and improve the lives of patients through technology innovation.,"10,367",$50M to $100M,Active,1979-01-01,year,1998-03-04,day,,,For Profit,http://www.surmodics.com/,"SurModics™ vision is to extend and improve the lives of patients through technology innovation. The Company partners with the world foremost medical device, pharmaceutical and life science companies to develop and commercialize innovative products that result in improved diagnosis and treatment for patients. Core offerings include: drug delivery technologies (coatings, microparticles, nanoparticles, and implants); surface modification coating technologies that impart lubricity, prohealing, and biocompatibility capabilities; and components for in vitro diagnostic test kits and specialized surfaces for cell culture and microarrays. SurModics is headquartered in Eden Prairie, Minnesota and its SurModics Pharmaceuticals subsidiary is located in Birmingham, Alabama.",IPO,125000000,USD,125000000
Elanco,https://www.crunchbase.com/organization/elanco,"Biotechnology, Health Care, Pet, Pharmaceutical","Greenfield, Indiana, United States","Elanco develops, manufactures and markets products for companion and food animals.","11,533",$500M to $1B,Active,1954-01-01,year,2018-09-19,day,,,For Profit,https://www.elanco.com,Elanco is a global animal health company that benefits people as well as animals through their vision: food and companionship enriching life.,IPO,2860000,USD,2860000
Wright Medical Group,https://www.crunchbase.com/organization/wright-medical-group,"Biotechnology, Health Care, Manufacturing, Medical, Medical Device","Arlington, Tennessee, United States",Wright Medical Group is an international medical device company specializing in extremities and biologics.,"11,742",$100M to $500M,Active,1950-01-01,year,2001-07-13,day,,,For Profit,http://www.wright.com/,"Wright Medical Group is an international medical device company specialized in extremities and biologics. It develops and offers solutions to improve the quality of life for patients worldwide. The company provides surgical solutions for the upper extremities, including shoulder, elbow, wrist, and hand; lower extremities, including foot and ankle; and biologics markets. Its products and services are used for the replacement of damaged or diseased bones, stimulation of bone growth, and to provide other biological solutions for surgeons and patients. Founded in 1950, Wright Medical Group is headquartered in Arlington, Tennessee.",M&A,707000000,USD,707000000
