Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Aviasales,https://www.crunchbase.com/organization/aviasales,"Hospitality, Tourism, Transportation, Travel","Phuket, Phuket, Thailand",The leading travel metasearch company in Eastern Europe and Central Asia,"11,122",Active,2007-11-30,day,,,,,For Profit,http://www.aviasales.com,"Aviasales is the leading travel metasearch company in Eastern Europe and Central Asia — allowing users to search for air tickets, hotel accommodation and car rental. In 2021 the company achieved a gross merchandise value (GMV) of over $1.6bn and held a market share in Russia of almost 20% of all air ticket sales.  During 2021 the company attracted a series B investment round worth $43m from iTech Capital and Elbrus Capital.  Since it was founded in 2007 the company now employs around 500 staff in its main offices in Thailand and Russia. In addition to its main Aviasales brand, the company also has a B2B travel technology offering including Travelpayouts (a partnership platform) and Aviastats (revenue optimisation data for airlines).",Early Stage Venture,53000000,USD,53000000
Thai Credit Retail Bank,https://www.crunchbase.com/organization/thai-credit-retail-bank,"Banking, Software","Bangkok, Krung Thep, Thailand","Thai Credit Retail Bank Public Company is a Computer Software company located in Bangkok, Bangkok, Thailand.","18,510",Active,2004-01-01,year,,,,,For Profit,https://www.tcrbank.com/th,"The Thai Credit Retail Bank Public Company Limited is committed to conducting sustainable banking with responsibility. (Responsibility) by focusing on promoting sustainability in three dimensions. Also known as ESG is the environment. (Environment), society and employees (Social and employee) and good governance (Governance) through the operation of the Bank and all employees. by focusing on sustainable growth of business and society in the long run Conduct business with responsibility for the environment, society, employees and under good governance (ESG) principles to lead to sustainable banking operations. Thai Credit Retail Bank was established in 2004 by Wanit Chaiyawan in Krung Thep, Thailand.",,197581609,USD,197581609
WISESIGHT,https://www.crunchbase.com/organization/wisesight,"Analytics, Information Technology, Internet, Social Media Marketing","Bangkok, Krung Thep, Thailand",WISESIGHT is a data processing company that provides social media analytics solutions.,"47,092",Active,2007-01-01,year,,,,,For Profit,https://wisesight.com/,"Wisesight utilizes social media data for analytics, synthesizing, and unlocking the potential of Raw Data to make it become Valuable Data. utilize Social Data for analyzing, synthesizing, and unlocking the potential of Raw Data in order to make it become Valuable Data which can make benefits for more than 200 brands and agencies in every industry by more than 200 developers, researchers, operator,s and supporters in Bangkok. Our services are cover Thai, English, Burmese and Malay languages, processing the data via Social Media for more than 20 million messages a day.",Early Stage Venture,7000000,USD,7000000
Ally Kex Private Equity Trust,https://www.crunchbase.com/organization/ally-kex-private-equity-trust,"Financial Services, Real Estate Investment, Venture Capital","Bangkok, Krung Thep, Thailand",Ally Kex Private Equity Trust is the first private equity trust in Thailand to concentrate solely on real estate.,"69,153",Active,2007-01-01,year,,,,,For Profit,https://www.kexpe.com/,Ally Kex Private Equity Trust is the first private equity trust in Thailand to concentrate solely on real estate and be open to retail investors.,Seed,2000000000,THB,54555374
YDM Thailand,https://www.crunchbase.com/organization/ydm-thailand,"Advertising, Digital Marketing, Digital Media, Social Media Management","Bangkok, Krung Thep, Thailand","YDM Thailand is an advertising agency that offers digital media, creative design, digital marketing, and social media management services.","75,222",Active,2009-01-01,year,,,,,For Profit,https://www.ydmthailand.com,,Seed,3000000000,KRW,2694328
Claim Di,https://www.crunchbase.com/organization/claim-di,"Apps, Insurance, Mobile, Real Time, Software","Bangkok, Krung Thep, Thailand","Claim Di is a mobile application for facilitating communication and claims between drivers and their insurance companies,","104,049",Active,2000-07-20,day,,,,,For Profit,http://www.claimdi.com,Claim Di mobile application for facilitating communication and claims between drivers and their insurance companies.,,2000000,USD,2000000
Plan B Media,https://www.crunchbase.com/organization/plan-b-media,"Advertising, Digital Media, Outdoors","Bangkok, Krung Thep, Thailand",Plan B Media is a company focused on the outdoor media industry in Asia.,"121,035",Active,2005-01-01,year,2015-02-27,day,,,For Profit,http://www.planbmedia.co.th,"Plan B Media is a company focused on the outdoor media industry in Asia. It is focused on offering a wide range of innovative outdoor platforms to support world class campaigns, including Transit Media, Digital Media, Static Media, and holistic in mall/in store platforms. It provides advertising formats on offers such as bus body, in-bus advertising, golf driving range, ambient media large-format displays, and phone booths. Plan B Media is based in Bankok, Thailand.",IPO,300000,GBP,497886
Principal Capital Public Company,https://www.crunchbase.com/organization/principal-capital-public-company,"Building Maintenance, Property Management, Real Estate","Watthana, Krung Thep, Thailand","Principal Capital Public operates property for rent in the CBD area,  as well as offers full-service office building management services.","135,520",Active,2000-01-01,year,2011-10-21,day,,,For Profit,https://www.principalcapital.co.th/,"Principal Capital Public Company Limited (PRINC) operates property for rent in the CBD area, as well as offers full-service office building management services.",IPO,30000000,USD,30000000
JIB Computer Group,https://www.crunchbase.com/organization/jib-computer-group,"Computer, E-Commerce, Retail, Shopping, Wholesale","Bangkok, Krung Thep, Thailand","JIB Computer Group is an online shop that sells computers, notebooks, smartphones, and all kinds of computer accessories.","207,362",Active,2001-07-01,month,,,,,For Profit,https://www.jib.co.th,,,,,
Yengo,https://www.crunchbase.com/organization/yengo,"Advertising, Native Advertising, SEO","Bangkok, Krung Thep, Thailand",Yengo is a digital marketing firm that drives targeted traffic to websites.,"211,136",Active,2001-01-01,year,,,,,For Profit,http://www.yengo.com,"Yengo was created by JSC Search Technologies in 2010, which was founded in 2004 by the company Ashmanov and Partners and investment holding Finam. Yengo provides traffic to your website: 5 million visitors per day in Asia (English language), 4 million visitors per day in Thailand (local language), 1.6 million visitors per day Worldwide (English language).  Yengo is a new digital media solution that uses a unique system to attract people to different websites. More traffic = more visitors = more revenue. Yengo delivers not just any traffic, but targeted traffic. Yengo developed the latest technique, which proves to be the most effective way to advertise online. Yengo uses fresh and interesting news to attract visitors with different interests; Yengo then customizes your ads to match the required target market that will give optimum results! Advertising with Yengo can save your budget as much as 80%, compared to other pay-per-click.",,,,
