Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Atlan,https://www.crunchbase.com/organization/atlan-239d,"Big Data, Data Governance, Information Technology, Software","Singapore, Central Region, Singapore",Atlan is a modern data collaboration workspace that operates similarly to GitHub for engineering and Figma for design.,"1,142",Active,2018-01-01,month,,,,,For Profit,https://atlan.com,"Atlan is a modern data collaboration workspace (like GitHub for engineering or Figma for design). By acting as a virtual hub for data assets ranging from tables and dashboards to models and code, Atlan enables teams to create a single source of truth for all their data assets and collaborate across the modern data stack through deep integrations with collaboration tools like Slack, data warehouses like Snowflake and Redshift, BI tools like Looker, Sisense, and Tableau, data science tools, and more. A pioneer in the space, Atlan was recognized by Gartner as a Cool Vendor in DataOps, one of the top three companies globally.",Early Stage Venture,69000000,USD,69000000
Aspire,https://www.crunchbase.com/organization/aspire-singapore,"Banking, Financial Services, FinTech, Small and Medium Businesses","Singapore, Central Region, Singapore","Aspire is a financial platform providing earnings, payment, and expense management.","1,469",Active,2018-01-01,day,,,,,For Profit,https://aspireapp.com,"Aspire is a finance operating system for growing businesses in SouthEast Asia. Its portfolio of services now includes business accounts for cross-border businesses, corporate cards, and automated invoice processing, all of which are connected to financial management software. The company also operates an incorporation service for Singaporean companies called Aspire Kickstart. The company was founded in 2018 and is based in Singapore.",Late Stage Venture,299500000,USD,299500000
TONIK,https://www.crunchbase.com/organization/tonik-8155,"Banking, Financial Services, FinTech","Singapore, Central Region, Singapore","TONIK is a digital bank that provides retail financial products, including savings deposits, loans, current accounts, payments, and cards.","2,360",Active,2018-01-01,year,,,,,For Profit,https://www.tonikbank.com,"TONIK provides retail financial products, including deposits, loans, current accounts, payments, and cards on a highly secure digital banking platform.",Early Stage Venture,175000000,USD,175000000
Alchemy Pay,https://www.crunchbase.com/organization/alchemy-pay,"Blockchain, Cryptocurrency, Payments","Singapore, Central Region, Singapore","Alchemy Pay specializes in cryptocurrency investment, payment processing, digital wallets, and blockchain management services.","3,669",Active,2018-01-01,year,,,,,For Profit,https://www.alchemytech.io,"Alchemy Pay is a payment solutions provider that specializes in cryptocurrency investment, payment processing, digital wallets, and blockchain management services. They provide mainstream-friendly payment systems that promote worldwide cryptocurrency adoption by integrating fiat and crypto economies.",,10000000,USD,10000000
LongHash Ventures,https://www.crunchbase.com/organization/longhash,"Financial Services, Information Technology, Internet","Singapore, Central Region, Singapore",LongHash Ventures is a global blockchain accelerator and VC fund.,"4,491",Active,2018-01-01,year,,,,,For Profit,https://www.longhashventures.com,"LongHash Ventures is a global blockchain accelerator and venture capital fund. We seek financial returns through venture building and investing in early stage blockchain start ups, with a mission to enable the Web 3.0 blockchain native economy. We source projects globally, leveraging especially on our strong Asia network across key hubs like Singapore, China, Hong Kong, and Japan. In addition to providing capital, we support portfolio companies with a rigorous hands-on venture building platform with strategy formulation, go-to market execution, and our comprehensive investor network.",,10000000,CNY,1493764
Beam,https://www.crunchbase.com/organization/ridebeam,"Electric Vehicle, Last Mile Transportation, Sharing Economy, Transportation","Singapore, Central Region, Singapore",Beam is a micromobility company that offers e-scooter rentals.,"4,683",Active,2018-01-01,year,,,,,For Profit,https://www.ridebeam.com,"Beam is a micro-mobility startup that encourages users to park their e-scooters in pre-determined parking spots via its app by offering incentives, instead of parking it anywhere randomly on the street.",Early Stage Venture,126400000,USD,126400000
Blockchain Founders Fund,https://www.crunchbase.com/organization/blockchain-founders-fund,"Blockchain, Cryptocurrency, Emerging Markets, Financial Services, FinTech, Internet, Metaverse, Venture Capital, Web3","Singapore, Central Region, Singapore",Blockchain Founders Fund (BFF) is a Singapore based early-stage Venture Capital Fund which invests in top-tier Blockchain startups globally.,"5,276",Active,2018-01-01,year,,,,,For Profit,http://www.blockchainff.com,"Blockchain Founders Fund (BFF) is a Singapore based early-stage Venture Capital Fund which invests in top-tier Blockchain startups globally. Their industry leading go-to-market focused Venture Program aids seasoned and first-time entrepreneurs across key business functions to fast-track growth. BFF has scaled many of the leading Blockchain startups and is always looking to connect with exceptional founders across the industry including Web3, metaverse, gamefi, DeFi, and NFT.",Seed,,USD,
DeBank,https://www.crunchbase.com/organization/debank,"Blockchain, Decentralized Finance (DeFi), Financial Services","Singapore, Central Region, Singapore",DeBank creates a cryptocurrency wallet that allows users to access decentralized finance services.,"5,557",Active,2018-01-01,year,,,,,For Profit,https://debank.com/,"DeBank creates a cryptocurrency wallet that gives users access to decentralized finance services like token swapping and portfolio tracking. DeBank allows users to keep track of their DeFi investments, such as how much money they have deposited in various DeFi protocols and how much interest they have earned. DeBank's platform supports 800 DeFi protocols across over 15 blockchains, including Ethereum, Binance Smart Chain, and Avalanche.",Early Stage Venture,25000000,USD,25000000
Shiok Meats,https://www.crunchbase.com/organization/shiok-meats,"Alternative Protein, Food Processing, Organic Food, Seafood","Singapore, Central Region, Singapore",Shiok Meats is a cellular aquaculture and cell-based meat company.,"7,202",Active,2018-01-01,year,,,,,For Profit,https://shiokmeats.com,"Shiok Meats is cellular aquaculture and cell-based meat company. With a mission to bring clean and healthy meats and seafood by harvesting from cells instead of animals. Shiok Meats brings cell-based crustacean meats that are animal-, health- and environment-friendly. Shiok Meats was founded in 2018 and is headquartered in Central Region, Singapore.",Seed,30200000,USD,30200000
Mesh Bio,https://www.crunchbase.com/organization/mesh-bio,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Predictive Analytics","Bukit Merah, Central Region, Singapore",Mesh Bio is a digital health startup that is transforming chronic disease management through predictive analytics.,"8,077",Active,2018-01-01,year,,,,,For Profit,https://www.meshbio.com/,"Mesh Bio is a digital health startup that is transforming chronic disease management through predictive analytics. Mesh Bio works with healthcare providers and stakeholders to provide innovative solutions that transform health screening and disease management. They translate clinical data and numbers into actionable insights that help patients better manage their health, lifestyle and disease risks.",Early Stage Venture,5300000,USD,5300000
