Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Seatrium,https://www.crunchbase.com/organization/sembcorp-marine,"Energy, Marine Transportation","Singapore, Central Region, Singapore",Seatrium is a provider of marine and offshore engineering solutions.,937,Active,1963-01-01,year,2005-09-30,day,,,For Profit,https://seatrium.com/,"Seatrium  provides innovative engineering solutions to the global marine and offshore industry, drawing upon more than 50 years of track record. Our customers include major oil companies, drilling contractors, shipping companies as well as owners and operators of floating production units.",IPO,2000000000,SGD,1504723263
DBS Bank,https://www.crunchbase.com/organization/dbs-bank-ltd,"Banking, Finance, Financial Services","Singapore, Central Region, Singapore","DBS Bank is a digital banking firm that offers consumer, SME, and corporate banking services.","1,610",Active,1968-01-01,year,2005-09-30,day,,,For Profit,https://www.dbs.com,"DBS Bank provides services in consumer, SME, and corporate banking activities. They create banking by supporting social enterprises and businesses with profit and social environmental impact. They give back to society by equipping communities with building food resilience. Their personal banking provides credit cards, digital banking, and wealth management services.",IPO,1500000000,USD,1500000000
Keppel Corporation,https://www.crunchbase.com/organization/keppel-corporation-28d0,"Energy, Renewable Energy","Singapore, Central Region, Singapore",Keppel Corporation is a company that provides solutions for sustainable urbanisation.,"18,533",Active,1968-01-01,year,,,,,For Profit,https://www.kepcorp.com/en/,"They provide solutions for sustainable urbanisation, focusing on four key areas comprising energy & environment, urban development, connectivity and asset management. With sustainability at the core of their strategy, they harness the strengths and expertise of our business units to develop, operate and maintain real assets, which provide diverse solutions that are good for the planet, for people and for the Company.",,300000000,SGD,218420413
Frasers Property,https://www.crunchbase.com/organization/frasers-centrepoint,"Commercial Real Estate, Property Management, Real Estate","Singapore, Central Region, Singapore","Frasers Property is a company that owns, develops and manages a diverse portfolio of properties across the globe.","19,392",Active,1963-12-14,day,2014-01-24,day,,,For Profit,https://www.frasersproperty.com/,"Frasers Property is a company that owns, develops and manages a diverse portfolio of properties across the globe. At Frasers Property, the integrated portfolio and services they provide across the property value chain are unified by their commitment to deliver enriching and memorable experiences for their customers and stakeholders. They have businesses in Southeast Asia, Australia, Europe and China, and their well-established hospitality footprint spans over 80 cities across Asia, Australia, Europe, Middle East and Africa.",IPO,1804810009,USD,1804810009
Esco Lifesciences,https://www.crunchbase.com/organization/esco-lifesciences,Biotechnology,"Singapore, Central Region, Singapore","Esco Lifesciences provides enabling technologies, products, and services.","22,057",Active,1978-01-01,year,,,,,For Profit,https://www.group.escolifesciences.com/,"Esco Lifesciences Group provides enabling technologies, products, and services for the life sciences and healthcare industries, supporting academic research and scientific discoveries, clinical practice, as well as biopharmaceutical R&D and manufacturing.",Early Stage Venture,200000000,USD,200000000
Singapore Airlines,https://www.crunchbase.com/organization/singapore-airlines,"Air Transportation, Transportation","Singapore, Central Region, Singapore",Singapore Airlines is the flag carrier airline of Singapore that provides air transportation services to customers.,"28,899",Active,1972-10-01,day,2007-09-14,day,,,For Profit,http://singaporeair.com,"Singapore Airlines is the flag carrier airline of Singapore that provides air transportation services to customers. The airline provides regional and cross-continental passenger and cargo services destined to or transit through Singapore. The company is operating under dual brands, the premium carrier, SIA, coupled with its wholly owned subsidiary, and the low-cost regional carrier Scoot. It also owns stakes in SATs and SIA Engineering.",IPO,750000000,USD,750000000
NEON,https://www.crunchbase.com/organization/cityneon,"Electronics, Service Industry","Singapore, Central Region, Singapore",NEON is a global leader in creating and producing immersive experiences.,"35,949",Active,1956-04-14,day,,,,,For Profit,https://www.neonglobal.com,"NEON is a global leader in creating and producing immersive experiences. NEON enjoys worldwide partnerships with The Walt Disney Company and Marvel Entertainment for Marvel Avengers S.T.A.T.I.O.N. and Marvel Avengers Station: Evolution, 20th Century Studios for AVATAR: The Exhibition, Hasbro for Transformers: The Experience, NBCUniversal for Jurassic World: The Exhibition, and Lionsgate for The Hunger Games: The Exhibition. It also has a partnership with Warner Bros. Themed Entertainment to produce two brand-new, unique global touring-themed art experiences inspired by DC and the Wizarding World, slated to launch in 2023. The Company also partners with the governments of Peru and Egypt for their original artifact IP experiences, Machu Picchu and the Golden Empires of Peru and Ramses the Great and the Gold of the Pharaohs, respectively, plus authentic artifact tours Pompeii: The Exhibition, Mummies of the World: The Exhibition, Victoria the T. Rex and Auschwitz. Not Long Ago. Not Far Away. These partnerships have enabled the Group to bring compelling experiences that leave lasting memories to millions of visitors in more than 60 cities to date globally.",Private Equity,385000000,SGD,282725603
PSA International,https://www.crunchbase.com/organization/psa-international,"Automotive, Logistics, Transportation","Singapore, Central Region, Singapore",PSA International provides innovative cargo solutions and co-create an Internet of Logistics.,"41,140",Active,1964-04-01,day,,,,,For Profit,https://www.globalpsa.com/,PSA International offers innovative cargo solutions and co-create an Internet of Logistics. PSA offers global career and development opportunities across diverse disciplines. Explore the possibilities with us today.,,2700000,USD,2700000
Indorama Corporation,https://www.crunchbase.com/organization/indorama-corporation,"Chemical, Manufacturing","Singapore, Central Region, Singapore",Indorama Corporation is one of Asia’s leading chemical holding companies,"45,937",Active,1975-01-01,year,,,,,For Profit,http://www.indorama.com/,"Indorama Corporation is one of Asia’s leading chemical holding companies.  Indorama manufactures a multitude of products including Polyethylene, Polypropylene, Polyester, Fertilizers, Textiles, and Medical Gloves. It is the largest producer of Polyolefins in West Africa, the largest producer of fertilizers in Sub-Saharan Africa, and the largest producer of synthetic disposable gloves in the world. It is also one of the most international and geographically diversified producer of spun yarns in the world. Their purpose is to build, acquire, and operate world-class manufacturing businesses around the world based on internal synergies and growth opportunities.",,65000000,USD,65000000
City Developments,https://www.crunchbase.com/organization/city-developments-limited,"Consulting, Property Management, Real Estate","Singapore, Central Region, Singapore",City Developments is a leading global real estate operating company.,"47,583",Active,1963-01-01,year,2005-09-30,day,,,For Profit,https://www.cdl.com.sg/,"City Developments Limited (CDL) is a leading global real estate operating company with a network spanning 103 locations in 29 countries and regions. Listed on the Singapore Exchange, the Group is one of the largest companies by market capitalisation. Its income-stable and geographically-diverse portfolio comprises residences, offices, hotels, serviced apartments, integrated developments and shopping malls.",IPO,250000000,SGD,180611174
